 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -3.8867 -3.8072 -4.0151 -3.9413 -3.7312 -3.4512 -3.1428 -2.9331 -2.7421 -2.5474
 -2.3659 -2.1987 -2.0445 -1.8988 -1.7610 -1.4648 -1.1784 -0.9242 -0.7637
 -3.8736 -3.6217 -3.4211 -3.2853 -3.2059 -3.0920 -2.9089 -2.7055 -2.5145 -2.3331
 -2.1619 -2.0030 -1.8565 -1.7212 -1.5953 -1.3144 -1.0778 -0.8906 -0.7513 -0.6459
 -3.6409 -3.3904 -3.1703 -2.9846 -2.8340 -2.7304 -2.6458 -2.5168 -2.3518 -2.1787
 -2.0171 -1.8671 -1.7291 -1.6027 -1.4866 -1.2352 -1.0300 -0.8678 -0.7452 -0.6509
 -0.5753
 -3.4575 -3.2248 -3.0089 -2.8168 -2.6484 -2.5012 -2.3782 -2.2844 -2.1866 -2.0575
 -1.9114 -1.7694 -1.6390 -1.5196 -1.4105 -1.1784 -0.9951 -0.8533 -0.7442 -0.6594
 -0.5901 -0.5314
 -3.3021 -3.0912 -2.8888 -2.7014 -2.5329 -2.3813 -2.2442 -2.1211 -2.0187 -1.9232
 -1.8184 -1.6983 -1.5763 -1.4624 -1.3587 -1.1395 -0.9702 -0.8423 -0.7451 -0.6692
 -0.6062 -0.5519 -0.5041 -0.4619
 -3.1691 -2.9748 -2.7900 -2.6123 -2.4483 -2.2990 -2.1628 -2.0378 -1.9235 -1.8193
 -1.7239 -1.6296 -1.5287 -1.4247 -1.3247 -1.1137 -0.9527 -0.8332 -0.7449 -0.6776
 -0.6213 -0.5722 -0.5283 -0.4885 -0.4505 -0.4160 -0.3873 -0.3662 -0.3541 -0.3518
 -3.0579 -2.8743 -2.7024 -2.5374 -2.3800 -2.2348 -2.1017 -1.9793 -1.8669 -1.7623
 -1.6641 -1.5715 -1.4824 -1.3931 -1.3031 -1.0979 -0.9406 -0.8245 -0.7420 -0.6818
 -0.6329 -0.5900 -0.5512 -0.5154 -0.4820 -0.4492 -0.4194 -0.3953 -0.3791 -0.3726
 -0.3767
 -2.9680 -2.7903 -2.6252 -2.4697 -2.3215 -2.1811 -2.0512 -1.9318 -1.8222 -1.7205
 -1.6252 -1.5346 -1.4477 -1.3641 -1.2823 -1.0907 -0.9339 -0.8182 -0.7369 -0.6807
 -0.6385 -0.6026 -0.5701 -0.5396 -0.5108 -0.4829 -0.4547 -0.4291 -0.4095 -0.3985
 -0.3978
 -2.8991 -2.7231 -2.5602 -2.4055 -2.2659 -2.1323 -2.0060 -1.8887 -1.7814 -1.6824
 -1.5901 -1.5031 -1.4201 -1.3399 -1.2621 -1.0818 -0.9300 -0.8139 -0.7309 -0.6753
 -0.6371 -0.6077 -0.5823 -0.5585 -0.5354 -0.5125 -0.4901 -0.4685 -0.4501 -0.4353
 -0.4237
 -2.8505 -2.6733 -2.5096 -2.3581 -2.2179 -2.0879 -1.9668 -1.8523 -1.7461 -1.6488
 -1.5589 -1.4749 -1.3955 -1.3189 -1.2450 -1.0741 -0.9275 -0.8120 -0.7274 -0.6698
 -0.6319 -0.6063 -0.5870 -0.5703 -0.5542 -0.5377 -0.5208 -0.5037 -0.4870 -0.4717
 -0.4575
 -2.8175 -2.6367 -2.4706 -2.3177 -2.1770 -2.0474 -1.9281 -1.8176 -1.7135 -1.6168
 -1.5282 -1.4464 -1.3698 -1.2974 -1.2279 -1.0654 -0.9237 -0.8097 -0.7247 -0.6648
 -0.6255 -0.6005 -0.5846 -0.5738 -0.5646 -0.5553 -0.5453 -0.5342 -0.5224 -0.5107
 -0.4999
