 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F098M
 -1.4242 -1.4559 -1.6341 -1.6676 -1.6404 -1.5666 -1.4545 -1.3907 -1.3389 -1.2856
 -1.2373 -1.1925 -1.1517 -1.1167 -1.0882 -1.0366 -1.0323 -1.1049 -1.1685
 -1.4577 -1.4355 -1.4216 -1.4285 -1.4578 -1.4654 -1.4333 -1.3844 -1.3351 -1.2892
 -1.2467 -1.2079 -1.1733 -1.1439 -1.1201 -1.0891 -1.0986 -1.1369 -1.1873 -1.2414
 -1.3829 -1.3636 -1.3427 -1.3264 -1.3193 -1.3321 -1.3539 -1.3532 -1.3277 -1.2914
 -1.2556 -1.2215 -1.1906 -1.1641 -1.1429 -1.1156 -1.1242 -1.1612 -1.2111 -1.2649
 -1.3192
 -1.3113 -1.3031 -1.2866 -1.2689 -1.2541 -1.2441 -1.2438 -1.2584 -1.2720 -1.2696
 -1.2520 -1.2271 -1.2012 -1.1779 -1.1591 -1.1355 -1.1440 -1.1797 -1.2297 -1.2836
 -1.3380 -1.3919
 -1.2326 -1.2407 -1.2352 -1.2228 -1.2095 -1.1980 -1.1898 -1.1860 -1.1911 -1.2012
 -1.2095 -1.2085 -1.1986 -1.1833 -1.1680 -1.1484 -1.1576 -1.1930 -1.2432 -1.2982
 -1.3534 -1.4080 -1.4617 -1.5146
 -1.1462 -1.1687 -1.1786 -1.1768 -1.1694 -1.1608 -1.1536 -1.1483 -1.1449 -1.1448
 -1.1501 -1.1583 -1.1642 -1.1658 -1.1636 -1.1543 -1.1648 -1.2000 -1.2508 -1.3083
 -1.3656 -1.4217 -1.4766 -1.5303 -1.5823 -1.6337 -1.6857 -1.7394 -1.7955 -1.8545
 -1.0546 -1.0882 -1.1119 -1.1233 -1.1260 -1.1239 -1.1202 -1.1171 -1.1150 -1.1134
 -1.1133 -1.1162 -1.1222 -1.1296 -1.1365 -1.1499 -1.1657 -1.1996 -1.2520 -1.3127
 -1.3735 -1.4323 -1.4893 -1.5447 -1.5985 -1.6496 -1.6997 -1.7514 -1.8063 -1.8652
 -1.9261
 -0.9602 -1.0022 -1.0357 -1.0590 -1.0735 -1.0811 -1.0843 -1.0855 -1.0864 -1.0873
 -1.0884 -1.0902 -1.0936 -1.0995 -1.1074 -1.1317 -1.1591 -1.1951 -1.2474 -1.3106
 -1.3757 -1.4386 -1.4988 -1.5568 -1.6128 -1.6668 -1.7181 -1.7686 -1.8207 -1.8763
 -1.9365
 -0.8655 -0.9135 -0.9537 -0.9852 -1.0106 -1.0286 -1.0410 -1.0493 -1.0553 -1.0599
 -1.0640 -1.0682 -1.0728 -1.0785 -1.0858 -1.1118 -1.1460 -1.1870 -1.2391 -1.3036
 -1.3724 -1.4401 -1.5047 -1.5664 -1.6255 -1.6822 -1.7369 -1.7899 -1.8429 -1.8961
 -1.9496
 -0.7730 -0.8252 -0.8699 -0.9080 -0.9400 -0.9665 -0.9879 -1.0046 -1.0179 -1.0283
 -1.0368 -1.0446 -1.0521 -1.0599 -1.0685 -1.0952 -1.1312 -1.1753 -1.2281 -1.2918
 -1.3622 -1.4337 -1.5030 -1.5693 -1.6324 -1.6926 -1.7505 -1.8061 -1.8600 -1.9130
 -1.9657
