 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F606W
 -3.1819 -3.1116 -3.3021 -3.2342 -3.0544 -2.8092 -2.5421 -2.3667 -2.2138 -2.0568
 -1.9093 -1.7726 -1.6469 -1.5314 -1.4246 -1.2015 -1.0050 -0.8309 -0.7399
 -3.1804 -2.9710 -2.7991 -2.6833 -2.6195 -2.5256 -2.3723 -2.2055 -2.0533 -1.9105
 -1.7752 -1.6490 -1.5328 -1.4265 -1.3290 -1.1188 -0.9530 -0.8305 -0.7450 -0.6844
 -2.9951 -2.7912 -2.6028 -2.4405 -2.3110 -2.2281 -2.1658 -2.0676 -1.9398 -1.8055
 -1.6804 -1.5638 -1.4563 -1.3579 -1.2683 -1.0787 -0.9328 -0.8261 -0.7508 -0.6964
 -0.6557
 -2.8445 -2.6625 -2.4820 -2.3142 -2.1665 -2.0421 -1.9446 -1.8769 -1.8095 -1.7176
 -1.6091 -1.5016 -1.4021 -1.3107 -1.2271 -1.0514 -0.9191 -0.8248 -0.7580 -0.7092
 -0.6718 -0.6423
 -2.7078 -2.5531 -2.3914 -2.2316 -2.0828 -1.9508 -1.8374 -1.7415 -1.6676 -1.6030
 -1.5326 -1.4487 -1.3603 -1.2757 -1.1979 -1.0327 -0.9091 -0.8234 -0.7643 -0.7214
 -0.6877 -0.6606 -0.6386 -0.6214
 -2.5812 -2.4481 -2.3105 -2.1663 -2.0247 -1.8927 -1.7755 -1.6741 -1.5872 -1.5126
 -1.4472 -1.3843 -1.3161 -1.2442 -1.1734 -1.0186 -0.9009 -0.8203 -0.7671 -0.7307
 -0.7019 -0.6782 -0.6587 -0.6424 -0.6283 -0.6178 -0.6122 -0.6129 -0.6206 -0.6359
 -2.4667 -2.3482 -2.2298 -2.1046 -1.9758 -1.8499 -1.7327 -1.6286 -1.5394 -1.4621
 -1.3928 -1.3291 -1.2688 -1.2088 -1.1479 -1.0056 -0.8929 -0.8138 -0.7649 -0.7347
 -0.7122 -0.6934 -0.6774 -0.6638 -0.6521 -0.6406 -0.6317 -0.6286 -0.6335 -0.6474
 -0.6676
 -2.3662 -2.2565 -2.1493 -2.0397 -1.9267 -1.8117 -1.6995 -1.5951 -1.5033 -1.4245
 -1.3557 -1.2930 -1.2334 -1.1766 -1.1215 -0.9921 -0.8848 -0.8069 -0.7587 -0.7322
 -0.7160 -0.7035 -0.6927 -0.6831 -0.6747 -0.6670 -0.6588 -0.6530 -0.6529 -0.6610
 -0.6790
 -2.2817 -2.1762 -2.0739 -1.9697 -1.8710 -1.7693 -1.6667 -1.5665 -1.4737 -1.3923
 -1.3224 -1.2612 -1.2046 -1.1503 -1.0977 -0.9766 -0.8754 -0.7995 -0.7499 -0.7243
 -0.7125 -0.7064 -0.7020 -0.6981 -0.6942 -0.6903 -0.6867 -0.6837 -0.6837 -0.6870
 -0.6933
 -2.2150 -2.1105 -2.0092 -1.9108 -1.8152 -1.7222 -1.6309 -1.5392 -1.4500 -1.3674
 -1.2947 -1.2324 -1.1774 -1.1256 -1.0762 -0.9630 -0.8663 -0.7923 -0.7420 -0.7146
 -0.7037 -0.7018 -0.7036 -0.7062 -0.7083 -0.7096 -0.7104 -0.7107 -0.7113 -0.7132
 -0.7158
 -2.1627 -2.0550 -1.9526 -1.8550 -1.7619 -1.6730 -1.5879 -1.5057 -1.4241 -1.3449
 -1.2713 -1.2063 -1.1503 -1.1009 -1.0554 -0.9495 -0.8568 -0.7848 -0.7348 -0.7053
 -0.6932 -0.6922 -0.6978 -0.7062 -0.7149 -0.7225 -0.7290 -0.7342 -0.7385 -0.7428
 -0.7479
 -2.1048 -1.9816 -1.8752 -1.7814 -1.6963 -1.6167 -1.5399 -1.4641 -1.3898 -1.3177
 -1.2486 -1.1835 -1.1253 -1.0750 -1.0308 -0.9337 -0.8469 -0.7768 -0.7272
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F606W
 -3.5440 -3.4647 -3.3403 -3.1054 -2.8379 -2.5837 -2.3739 -2.2051 -2.0552 -1.9144
 -1.7813 -1.6573 -1.5428 -1.4374 -1.3407 -1.1369 -0.9677 -0.8262 -0.7324
 -3.2498 -3.0553 -2.9442 -2.8751 -2.7098 -2.4857 -2.2724 -2.0971 -1.9494 -1.8137
 -1.6866 -1.5687 -1.4605 -1.3620 -1.2725 -1.0835 -0.9336 -0.8180 -0.7336 -0.6731
 -3.0903 -2.8721 -2.6850 -2.5426 -2.4653 -2.3731 -2.2056 -2.0274 -1.8760 -1.7450
 -1.6235 -1.5110 -1.4079 -1.3143 -1.2296 -1.0528 -0.9158 -0.8124 -0.7376 -0.6835
 -0.6430
 -2.9774 -2.7683 -2.5713 -2.3913 -2.2419 -2.1359 -2.0655 -1.9663 -1.8276 -1.6973
 -1.5800 -1.4725 -1.3739 -1.2843 -1.2032 -1.0345 -0.9056 -0.8103 -0.7427 -0.6942
 -0.6574 -0.6284
 -2.8840 -2.6932 -2.5040 -2.3255 -2.1632 -2.0191 -1.9012 -1.8126 -1.7434 -1.6541
 -1.5489 -1.4451 -1.3503 -1.2643 -1.1862 -1.0234 -0.8996 -0.8094 -0.7473 -0.7040
 -0.6713 -0.6450 -0.6238 -0.6080
 -2.8059 -2.6287 -2.4539 -2.2820 -2.1202 -1.9720 -1.8389 -1.7233 -1.6291 -1.5582
 -1.4931 -1.4162 -1.3314 -1.2487 -1.1733 -1.0155 -0.8952 -0.8080 -0.7496 -0.7113
 -0.6834 -0.6609 -0.6422 -0.6270 -0.6137 -0.6037 -0.5990 -0.6012 -0.6110 -0.6273
 -2.7293 -2.5674 -2.4085 -2.2481 -2.0920 -1.9454 -1.8109 -1.6901 -1.5839 -1.4941
 -1.4202 -1.3582 -1.2962 -1.2292 -1.1605 -1.0084 -0.8906 -0.8050 -0.7485 -0.7142
 -0.6918 -0.6742 -0.6595 -0.6470 -0.6365 -0.6268 -0.6199 -0.6183 -0.6238 -0.6376
 -0.6592
