 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  R   
 -2.2911 -2.2499 -2.4394 -2.3988 -2.2555 -2.0528 -1.8285 -1.6799 -1.5493 -1.4145
 -1.2865 -1.1669 -1.0579 -0.9592 -0.8704 -0.6855 -0.5508 -0.4428 -0.3918
 -2.2936 -2.1386 -2.0105 -1.9270 -1.8869 -1.8179 -1.6937 -1.5552 -1.4276 -1.3073
 -1.1926 -1.0852 -0.9868 -0.8976 -0.8172 -0.6513 -0.5315 -0.4531 -0.4054 -0.3773
 -2.1329 -1.9832 -1.8419 -1.7183 -1.6198 -1.5602 -1.5183 -1.4437 -1.3408 -1.2301
 -1.1262 -1.0288 -0.9392 -0.8578 -0.7846 -0.6348 -0.5285 -0.4601 -0.4187 -0.3937
 -0.3794
 -1.9988 -1.8678 -1.7341 -1.6069 -1.4933 -1.3971 -1.3230 -1.2751 -1.2280 -1.1588
 -1.0730 -0.9858 -0.9047 -0.8304 -0.7632 -0.6250 -0.5277 -0.4670 -0.4309 -0.4090
 -0.3959 -0.3894
 -1.8745 -1.7663 -1.6491 -1.5298 -1.4165 -1.3148 -1.2270 -1.1533 -1.0986 -1.0528
 -1.0030 -0.9409 -0.8733 -0.8071 -0.7460 -0.6180 -0.5268 -0.4714 -0.4403 -0.4224
 -0.4115 -0.4058 -0.4046 -0.4077
 -1.7575 -1.6669 -1.5702 -1.4650 -1.3591 -1.2586 -1.1687 -1.0906 -1.0242 -0.9682
 -0.9210 -0.8768 -0.8289 -0.7773 -0.7256 -0.6101 -0.5240 -0.4720 -0.4449 -0.4321
 -0.4248 -0.4214 -0.4213 -0.4242 -0.4297 -0.4388 -0.4524 -0.4713 -0.4961 -0.5270
 -1.6499 -1.5709 -1.4905 -1.4013 -1.3071 -1.2132 -1.1246 -1.0454 -0.9777 -0.9195
 -0.8682 -0.8220 -0.7796 -0.7383 -0.6964 -0.5976 -0.5180 -0.4666 -0.4432 -0.4359
 -0.4340 -0.4344 -0.4369 -0.4413 -0.4475 -0.4540 -0.4631 -0.4776 -0.4998 -0.5301
 -0.5645
 -1.5539 -1.4816 -1.4101 -1.3341 -1.2533 -1.1696 -1.0865 -1.0085 -0.9397 -0.8811
 -0.8307 -0.7854 -0.7430 -0.7035 -0.6658 -0.5794 -0.5083 -0.4589 -0.4360 -0.4324
 -0.4366 -0.4427 -0.4494 -0.4568 -0.4651 -0.4742 -0.4830 -0.4941 -0.5104 -0.5343
 -0.5672
 -1.4717 -1.4024 -1.3342 -1.2635 -1.1941 -1.1213 -1.0470 -0.9738 -0.9056 -0.8459
 -0.7954 -0.7520 -0.7125 -0.6751 -0.6393 -0.5591 -0.4947 -0.4490 -0.4252 -0.4229
 -0.4317 -0.4441 -0.4566 -0.4688 -0.4807 -0.4924 -0.5044 -0.5170 -0.5325 -0.5511
 -0.5725
 -1.4055 -1.3366 -1.2686 -1.2014 -1.1352 -1.0697 -1.0046 -0.9387 -0.8746 -0.8151
 -0.7633 -0.7198 -0.6824 -0.6477 -0.6149 -0.5413 -0.4808 -0.4380 -0.4142 -0.4103
 -0.4206 -0.4374 -0.4561 -0.4742 -0.4913 -0.5072 -0.5224 -0.5372 -0.5522 -0.5684
 -0.5858
 -1.3531 -1.2810 -1.2117 -1.1448 -1.0804 -1.0181 -0.9579 -0.8993 -0.8413 -0.7852
 -0.7336 -0.6887 -0.6512 -0.6193 -0.5904 -0.5241 -0.4673 -0.4267 -0.4038 -0.3980
 -0.4072 -0.4254 -0.4480 -0.4719 -0.4950 -0.5164 -0.5364 -0.5549 -0.5726 -0.5901
 -0.6085
 -1.2993 -1.2117 -1.1378 -1.0739 -1.0165 -0.9626 -0.9097 -0.8565 -0.8037 -0.7527
 -0.7043 -0.6598 -0.6211 -0.5889 -0.5619 -0.5047 -0.4539 -0.4153 -0.3932
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  R   
 -2.6260 -2.5807 -2.4927 -2.3047 -2.0860 -1.8769 -1.7028 -1.5615 -1.4355 -1.3171
 -1.2045 -1.0985 -0.9999 -0.9089 -0.8260 -0.6539 -0.5275 -0.4341 -0.3809
 -2.3792 -2.2337 -2.1565 -2.1139 -1.9850 -1.8018 -1.6257 -1.4805 -1.3579 -1.2454
 -1.1394 -1.0400 -0.9480 -0.8640 -0.7881 -0.6322 -0.5183 -0.4407 -0.3926 -0.3643
 -2.2411 -2.0758 -1.9321 -1.8242 -1.7723 -1.7067 -1.5729 -1.4269 -1.3026 -1.1953
 -1.0955 -1.0023 -0.9161 -0.8375 -0.7667 -0.6221 -0.5173 -0.4469 -0.4042 -0.3792
 -0.3652
 -2.1385 -1.9818 -1.8302 -1.6894 -1.5730 -1.4937 -1.4458 -1.3726 -1.2627 -1.1576
 -1.0627 -0.9752 -0.8943 -0.8205 -0.7539 -0.6177 -0.5190 -0.4532 -0.4145 -0.3926
 -0.3802 -0.3743
 -2.0496 -1.9090 -1.7654 -1.6267 -1.4992 -1.3857 -1.2941 -1.2284 -1.1807 -1.1155
 -1.0344 -0.9521 -0.8760 -0.8067 -0.7439 -0.6150 -0.5208 -0.4582 -0.4224 -0.4038
 -0.3939 -0.3893 -0.3889 -0.3936
 -1.9712 -1.8429 -1.7126 -1.5810 -1.4547 -1.3380 -1.2331 -1.1424 -1.0703 -1.0191
 -0.9743 -0.9193 -0.8558 -0.7918 -0.7329 -0.6109 -0.5208 -0.4603 -0.4267 -0.4117
 -0.4054 -0.4033 -0.4043 -0.4083 -0.4142 -0.4235 -0.4379 -0.4587 -0.4863 -0.5186
 -1.8921 -1.7776 -1.6614 -1.5413 -1.4214 -1.3070 -1.2013 -1.1064 -1.0233 -0.9541
 -0.8990 -0.8553 -0.8126 -0.7656 -0.7161 -0.6038 -0.5178 -0.4589 -0.4265 -0.4146
 -0.4129 -0.4148 -0.4185 -0.4242 -0.4317 -0.4403 -0.4516 -0.4678 -0.4902 -0.5199
 -0.5564
 -1.8190 -1.7117 -1.6094 -1.5008 -1.3905 -1.2815 -1.1783 -1.0832 -0.9981 -0.9237
 -0.8607 -0.8081 -0.7637 -0.7243 -0.6855 -0.5905 -0.5111 -0.4540 -0.4220 -0.4118
 -0.4147 -0.4217 -0.4297 -0.4385 -0.4481 -0.4569 -0.4667 -0.4801 -0.4991 -0.5251
 -0.5591
 -1.7580 -1.6516 -1.5551 -1.4570 -1.3562 -1.2551 -1.1567 -1.0635 -0.9781 -0.9022
 -0.8365 -0.7809 -0.7328 -0.6905 -0.6529 -0.5693 -0.4986 -0.4454 -0.4137 -0.4039
 -0.4099 -0.4224 -0.4360 -0.4495 -0.4626 -0.4757 -0.4892 -0.5047 -0.5225 -0.5422
 -0.5637
 -1.7168 -1.6045 -1.5061 -1.4136 -1.3217 -1.2285 -1.1360 -1.0468 -0.9630 -0.8864
 -0.8188 -0.7610 -0.7119 -0.6688 -0.6302 -0.5489 -0.4836 -0.4347 -0.4039 -0.3930
 -0.3994 -0.4156 -0.4349 -0.4541 -0.4723 -0.4895 -0.5063 -0.5226 -0.5392 -0.5571
 -0.5761
 -1.7055 -1.5719 -1.4646 -1.3725 -1.2867 -1.2002 -1.1141 -1.0293 -0.9485 -0.8729
 -0.8041 -0.7440 -0.6929 -0.6495 -0.6113 -0.5312 -0.4684 -0.4223 -0.3931 -0.3812
 -0.3863 -0.4035 -0.4266 -0.4514 -0.4755 -0.4981 -0.5194 -0.5395 -0.5587 -0.5778
 -0.5976
 -1.7185 -1.5537 -1.4305 -1.3338 -1.2509 -1.1710 -1.0910 -1.0114 -0.9336 -0.8598
 -0.7915 -0.7298 -0.6761 -0.6306 -0.5921 -0.5149 -0.4543 -0.4097 -0.3818
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  R   
 -2.8285 -2.6972 -2.4551 -2.2015 -1.9559 -1.7462 -1.5905 -1.4614 -1.3448 -1.2372
 -1.1360 -1.0405 -0.9507 -0.8669 -0.7895 -0.6263 -0.5046 -0.4184 -0.3632
 -2.4769 -2.4255 -2.3548 -2.1547 -1.9286 -1.7164 -1.5430 -1.4080 -1.2917 -1.1873
 -1.0899 -0.9985 -0.9131 -0.8339 -0.7613 -0.6104 -0.4998 -0.4229 -0.3738 -0.3450
 -2.3329 -2.1668 -2.0765 -2.0387 -1.8996 -1.7053 -1.5229 -1.3749 -1.2560 -1.1535
 -1.0596 -0.9721 -0.8907 -0.8154 -0.7465 -0.6041 -0.5005 -0.4289 -0.3837 -0.3579
 -0.3443
 -2.2586 -2.0735 -1.9124 -1.7936 -1.7348 -1.6645 -1.5171 -1.3618 -1.2330 -1.1288
 -1.0375 -0.9534 -0.8755 -0.8037 -0.7381 -0.6024 -0.5034 -0.4352 -0.3925 -0.3691
 -0.3573 -0.3524
 -2.2028 -2.0248 -1.8544 -1.7007 -1.5727 -1.4799 -1.4238 -1.3431 -1.2231 -1.1109
 -1.0195 -0.9380 -0.8631 -0.7943 -0.7316 -0.6017 -0.5065 -0.4407 -0.3998 -0.3783
 -0.3687 -0.3653 -0.3662 -0.3702
 -2.1547 -1.9878 -1.8228 -1.6656 -1.5212 -1.3951 -1.2918 -1.2156 -1.1607 -1.0899
 -1.0037 -0.9236 -0.8509 -0.7848 -0.7246 -0.6000 -0.5082 -0.4442 -0.4047 -0.3848
 -0.3778 -0.3770 -0.3795 -0.3850 -0.3925 -0.4035 -0.4200 -0.4435 -0.4734 -0.5051
 -2.1110 -1.9548 -1.7987 -1.6467 -1.5026 -1.3706 -1.2523 -1.1491 -1.0648 -1.0021
 -0.9517 -0.8978 -0.8361 -0.7736 -0.7157 -0.5960 -0.5074 -0.4451 -0.4065 -0.3879
 -0.3835 -0.3861 -0.3914 -0.3987 -0.4080 -0.4184 -0.4316 -0.4501 -0.4754 -0.5077
 -0.5430
 -2.0712 -1.9233 -1.7763 -1.6315 -1.4920 -1.3606 -1.2396 -1.1304 -1.0341 -0.9520
 -0.8855 -0.8353 -0.7927 -0.7485 -0.7009 -0.5890 -0.5037 -0.4430 -0.4050 -0.3871
 -0.3848 -0.3912 -0.4005 -0.4110 -0.4224 -0.4350 -0.4479 -0.4633 -0.4835 -0.5106
 -0.5457
 -2.0415 -1.8925 -1.7531 -1.6155 -1.4813 -1.3538 -1.2343 -1.1240 -1.0241 -0.9356
 -0.8593 -0.7963 -0.7461 -0.7047 -0.6671 -0.5748 -0.4955 -0.4370 -0.3997 -0.3820
 -0.3810 -0.3909 -0.4051 -0.4201 -0.4351 -0.4503 -0.4661 -0.4839 -0.5040 -0.5259
 -0.5496
 -2.0316 -1.8747 -1.7328 -1.6022 -1.4739 -1.3501 -1.2334 -1.1245 -1.0241 -0.9329
 -0.8521 -0.7826 -0.7249 -0.6772 -0.6368 -0.5538 -0.4830 -0.4285 -0.3919 -0.3737
 -0.3726 -0.3845 -0.4031 -0.4234 -0.4433 -0.4625 -0.4814 -0.5000 -0.5190 -0.5393
 -0.5623
 -2.0566 -1.8628 -1.7169 -1.5888 -1.4670 -1.3478 -1.2335 -1.1263 -1.0270 -0.9353
 -0.8521 -0.7787 -0.7157 -0.6633 -0.6192 -0.5333 -0.4674 -0.4162 -0.3817 -0.3633
 -0.3612 -0.3734 -0.3948 -0.4200 -0.4454 -0.4698 -0.4931 -0.5152 -0.5367 -0.5582
 -0.5803
 -2.1258 -1.8848 -1.7142 -1.5797 -1.4587 -1.3450 -1.2356 -1.1297 -1.0310 -0.9397
 -0.8559 -0.7801 -0.7132 -0.6561 -0.6083 -0.5178 -0.4520 -0.4028 -0.3696
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  R   
 -2.8801 -2.6751 -2.4022 -2.1465 -1.9057 -1.6978 -1.5426 -1.4182 -1.3081 -1.2038
 -1.1068 -1.0154 -0.9294 -0.8490 -0.7742 -0.6140 -0.4933 -0.4079 -0.3518
 -2.5678 -2.5384 -2.3639 -2.1212 -1.8892 -1.6754 -1.5064 -1.3747 -1.2632 -1.1614
 -1.0675 -0.9795 -0.8971 -0.8202 -0.7491 -0.5995 -0.4890 -0.4119 -0.3620 -0.3327
 -2.3680 -2.2348 -2.2045 -2.0923 -1.8836 -1.6774 -1.4935 -1.3492 -1.2335 -1.1328
 -1.0415 -0.9567 -0.8776 -0.8041 -0.7362 -0.5941 -0.4898 -0.4177 -0.3713 -0.3445
 -0.3309
 -2.3006 -2.1064 -1.9604 -1.8917 -1.8363 -1.6790 -1.4994 -1.3406 -1.2151 -1.1122
 -1.0226 -0.9405 -0.8643 -0.7938 -0.7289 -0.5928 -0.4929 -0.4238 -0.3797 -0.3548
 -0.3429 -0.3384
 -2.2620 -2.0640 -1.8834 -1.7349 -1.6301 -1.5731 -1.4884 -1.3466 -1.2092 -1.0980
 -1.0075 -0.9271 -0.8534 -0.7855 -0.7232 -0.5925 -0.4962 -0.4293 -0.3868 -0.3632
 -0.3531 -0.3501 -0.3517 -0.3566
 -2.2334 -2.0419 -1.8592 -1.6920 -1.5479 -1.4297 -1.3438 -1.2840 -1.2021 -1.0929
 -0.9954 -0.9150 -0.8429 -0.7772 -0.7171 -0.5914 -0.4982 -0.4331 -0.3918 -0.3694
 -0.3610 -0.3604 -0.3636 -0.3698 -0.3792 -0.3924 -0.4101 -0.4333 -0.4625 -0.4960
 -2.2103 -2.0268 -1.8488 -1.6809 -1.5271 -1.3910 -1.2734 -1.1758 -1.1025 -1.0450
 -0.9778 -0.9030 -0.8322 -0.7679 -0.7097 -0.5884 -0.4982 -0.4347 -0.3942 -0.3728
 -0.3660 -0.3681 -0.3741 -0.3822 -0.3925 -0.4052 -0.4207 -0.4402 -0.4654 -0.4984
 -0.5343
