 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F606W
 -4.0111 -3.9415 -4.1303 -4.0630 -3.8858 -3.6441 -3.3808 -3.2091 -3.0596 -2.9058
 -2.7621 -2.6287 -2.5062 -2.3942 -2.2915 -2.0756 -1.8904 -1.7279 -1.6453
 -4.0110 -3.8053 -3.6360 -3.5221 -3.4598 -3.3679 -3.2175 -3.0545 -2.9063 -2.7675
 -2.6360 -2.5135 -2.4008 -2.2978 -2.2035 -2.0017 -1.8444 -1.7301 -1.6513 -1.5965
 -3.8305 -3.6306 -3.4452 -3.2851 -3.1578 -3.0769 -3.0170 -2.9220 -2.7982 -2.6679
 -2.5467 -2.4339 -2.3298 -2.2348 -2.1483 -1.9661 -1.8275 -1.7278 -1.6586 -1.6094
 -1.5732
 -3.6832 -3.5059 -3.3288 -3.1633 -3.0176 -2.8954 -2.8005 -2.7356 -2.6715 -2.5834
 -2.4790 -2.3753 -2.2794 -2.1913 -2.1109 -1.9422 -1.8163 -1.7280 -1.6667 -1.6226
 -1.5893 -1.5638
 -3.5484 -3.3992 -3.2414 -3.0843 -2.9373 -2.8072 -2.6961 -2.6031 -2.5322 -2.4707
 -2.4039 -2.3241 -2.2395 -2.1585 -2.0839 -1.9257 -1.8080 -1.7278 -1.6736 -1.6350
 -1.6052 -1.5817 -1.5632 -1.5494
 -3.4225 -3.2955 -3.1625 -3.0216 -2.8821 -2.7517 -2.6364 -2.5373 -2.4531 -2.3816
 -2.3194 -2.2599 -2.1954 -2.1273 -2.0601 -1.9128 -1.8008 -1.7253 -1.6767 -1.6444
 -1.6193 -1.5991 -1.5827 -1.5696 -1.5588 -1.5513 -1.5488 -1.5523 -1.5627 -1.5804
 -3.3077 -3.1956 -3.0826 -2.9614 -2.8353 -2.7112 -2.5955 -2.4931 -2.4062 -2.3317
 -2.2654 -2.2048 -2.1478 -2.0913 -2.0339 -1.8997 -1.7931 -1.7189 -1.6746 -1.6483
 -1.6294 -1.6139 -1.6010 -1.5903 -1.5816 -1.5730 -1.5671 -1.5666 -1.5741 -1.5904
 -1.6129
 -3.2061 -3.1030 -3.0016 -2.8967 -2.7872 -2.6747 -2.5641 -2.4610 -2.3709 -2.2944
 -2.2284 -2.1687 -2.1122 -2.0586 -2.0067 -1.8853 -1.7846 -1.7118 -1.6681 -1.6457
 -1.6330 -1.6237 -1.6158 -1.6090 -1.6033 -1.5983 -1.5928 -1.5897 -1.5921 -1.6026
 -1.6228
 -3.1196 -3.0211 -2.9248 -2.8258 -2.7314 -2.6329 -2.5326 -2.4339 -2.3424 -2.2627
 -2.1952 -2.1367 -2.0830 -2.0319 -1.9824 -1.8688 -1.7744 -1.7039 -1.6589 -1.6374
 -1.6292 -1.6263 -1.6247 -1.6235 -1.6222 -1.6208 -1.6196 -1.6191 -1.6215 -1.6272
 -1.6357
 -3.0504 -2.9533 -2.8583 -2.7654 -2.6744 -2.5852 -2.4970 -2.4075 -2.3199 -2.2386
 -2.1677 -2.1076 -2.0554 -2.0066 -1.9602 -1.8544 -1.7643 -1.6960 -1.6504 -1.6272
 -1.6200 -1.6213 -1.6260 -1.6312 -1.6357 -1.6394 -1.6425 -1.6450 -1.6478 -1.6519
 -1.6568
 -2.9952 -2.8951 -2.7993 -2.7075 -2.6194 -2.5347 -2.4532 -2.3740 -2.2947 -2.2171
 -2.1449 -2.0816 -2.0278 -1.9812 -1.9386 -1.8400 -1.7540 -1.6877 -1.6427 -1.6174
 -1.6089 -1.6113 -1.6198 -1.6308 -1.6418 -1.6517 -1.6603 -1.6676 -1.6740 -1.6803
 -1.6874
 -2.9342 -2.8174 -2.7173 -2.6297 -2.5503 -2.4758 -2.4035 -2.3314 -2.2602 -2.1905
 -2.1231 -2.0594 -2.0029 -1.9548 -1.9133 -1.8234 -1.7434 -1.6791 -1.6344
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F606W
 -4.3725 -4.2959 -4.1741 -3.9424 -3.6779 -3.4266 -3.2197 -3.0548 -2.9090 -2.7722
 -2.6428 -2.5221 -2.4106 -2.3080 -2.2140 -2.0164 -1.8553 -1.7226 -1.6365
 -4.0848 -3.8940 -3.7853 -3.7179 -3.5553 -3.3342 -3.1241 -2.9524 -2.8087 -2.6772
 -2.5539 -2.4394 -2.3343 -2.2386 -2.1518 -1.9691 -1.8260 -1.7173 -1.6395 -1.5848
 -3.9292 -3.7154 -3.5313 -3.3911 -3.3155 -3.2256 -3.0614 -2.8868 -2.7392 -2.6123
 -2.4946 -2.3857 -2.2858 -2.1951 -2.1131 -1.9424 -1.8114 -1.7140 -1.6450 -1.5960
 -1.5601
 -3.8186 -3.6146 -3.4210 -3.2435 -3.0962 -2.9921 -2.9239 -2.8279 -2.6933 -2.5669
 -2.4534 -2.3495 -2.2542 -2.1676 -2.0893 -1.9268 -1.8035 -1.7135 -1.6511 -1.6073
 -1.5746 -1.5495
 -3.7259 -3.5411 -3.3560 -3.1803 -3.0199 -2.8777 -2.7620 -2.6760 -2.6098 -2.5243
 -2.4232 -2.3231 -2.2316 -2.1487 -2.0736 -1.9173 -1.7990 -1.7137 -1.6563 -1.6173
 -1.5885 -1.5659 -1.5481 -1.5356
 -3.6467 -3.4767 -3.3070 -3.1387 -2.9791 -2.8325 -2.7013 -2.5879 -2.4964 -2.4284
 -2.3667 -2.2935 -2.2125 -2.1332 -2.0610 -1.9101 -1.7953 -1.7129 -1.6589 -1.6247
 -1.6005 -1.5814 -1.5661 -1.5540 -1.5438 -1.5369 -1.5353 -1.5404 -1.5529 -1.5717
 -3.5681 -3.4140 -3.2613 -3.1055 -2.9525 -2.8078 -2.6748 -2.5557 -2.4517 -2.3645
 -2.2934 -2.2345 -2.1759 -2.1125 -2.0473 -1.9028 -1.7910 -1.7102 -1.6580 -1.6276
 -1.6088 -1.5945 -1.5829 -1.5733 -1.5658 -1.5591 -1.5551 -1.5562 -1.5643 -1.5805
 -1.6044
 -3.4961 -3.3509 -3.2146 -3.0727 -2.9299 -2.7906 -2.6597 -2.5393 -2.4319 -2.3380
 -2.2582 -2.1904 -2.1317 -2.0779 -2.0241 -1.8929 -1.7850 -1.7053 -1.6536 -1.6253
 -1.6114 -1.6029 -1.5963 -1.5908 -1.5862 -1.5806 -1.5761 -1.5753 -1.5804 -1.5931
 -1.6143
 -3.4373 -3.2939 -3.1646 -3.0356 -2.9043 -2.7734 -2.6470 -2.5280 -2.4192 -2.3223
 -2.2384 -2.1667 -2.1041 -2.0480 -1.9967 -1.8781 -1.7758 -1.6980 -1.6462 -1.6182
 -1.6075 -1.6047 -1.6042 -1.6041 -1.6040 -1.6040 -1.6043 -1.6067 -1.6113 -1.6180
 -1.6266
 -3.4003 -3.2500 -3.1194 -2.9977 -2.8775 -2.7565 -2.6367 -2.5215 -2.4135 -2.3147
 -2.2273 -2.1521 -2.0875 -2.0302 -1.9780 -1.8636 -1.7666 -1.6907 -1.6384 -1.6091
 -1.5987 -1.5995 -1.6049 -1.6110 -1.6167 -1.6216 -1.6261 -1.6302 -1.6346 -1.6402
 -1.6468
 -3.3935 -3.2206 -3.0812 -2.9608 -2.8482 -2.7355 -2.6241 -2.5144 -2.4093 -2.3109
 -2.2211 -2.1420 -2.0741 -2.0155 -1.9633 -1.8504 -1.7567 -1.6828 -1.6306 -1.5997
 -1.5877 -1.5894 -1.5984 -1.6103 -1.6223 -1.6333 -1.6432 -1.6519 -1.6598 -1.6676
 -1.6762
 -3.4098 -3.2057 -3.0502 -2.9249 -2.8158 -2.7108 -2.6071 -2.5045 -2.4040 -2.3079
 -2.2182 -2.1365 -2.0644 -2.0025 -1.9490 -1.8382 -1.7470 -1.6747 -1.6229
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F606W
 -4.5809 -4.4095 -4.1164 -3.8114 -3.5155 -3.2631 -3.0774 -2.9257 -2.7897 -2.6643
 -2.5462 -2.4355 -2.3327 -2.2378 -2.1506 -1.9660 -1.8206 -1.7063 -1.6205
 -4.1750 -4.0950 -3.9955 -3.7527 -3.4813 -3.2262 -3.0180 -2.8578 -2.7211 -2.5981
 -2.4832 -2.3762 -2.2772 -2.1866 -2.1041 -1.9321 -1.7998 -1.6981 -1.6222 -1.5675
 -4.0129 -3.8031 -3.6827 -3.6222 -3.4486 -3.2149 -2.9959 -2.8186 -2.6774 -2.5557
 -2.4437 -2.3400 -2.2443 -2.1569 -2.0777 -1.9136 -1.7889 -1.6948 -1.6258 -1.5765
 -1.5410
 -3.9350 -3.7025 -3.5023 -3.3522 -3.2698 -3.1743 -2.9940 -2.8073 -2.6527 -2.5281
 -2.4183 -2.3172 -2.2244 -2.1397 -2.0629 -1.9041 -1.7842 -1.6948 -1.6303 -1.5854
 -1.5532 -1.5289
 -3.8813 -3.6561 -3.4443 -3.2547 -3.0959 -2.9773 -2.8997 -2.7944 -2.6475 -2.5119
 -2.4011 -2.3020 -2.2115 -2.1289 -2.0542 -1.8993 -1.7826 -1.6960 -1.6347 -1.5932
 -1.5645 -1.5429 -1.5263 -1.5130
 -3.8383 -3.6256 -3.4184 -3.2239 -3.0465 -2.8912 -2.7626 -2.6646 -2.5900 -2.4976
 -2.3900 -2.2912 -2.2019 -2.1212 -2.0481 -1.8964 -1.7817 -1.6970 -1.6377 -1.5990
 -1.5739 -1.5560 -1.5419 -1.5312 -1.5226 -1.5175 -1.5180 -1.5254 -1.5398 -1.5582
 -3.8023 -3.6013 -3.4034 -3.2132 -3.0353 -2.8731 -2.7277 -2.6002 -2.4946 -2.4133
 -2.3452 -2.2729 -2.1931 -2.1144 -2.0425 -1.8936 -1.7804 -1.6967 -1.6386 -1.6018
 -1.5802 -1.5664 -1.5561 -1.5482 -1.5423 -1.5374 -1.5355 -1.5389 -1.5494 -1.5676
 -1.5908
 -3.7704 -3.5803 -3.3920 -3.2086 -3.0343 -2.8719 -2.7232 -2.5887 -2.4696 -2.3673
 -2.2830 -2.2168 -2.1584 -2.0980 -2.0345 -1.8897 -1.7779 -1.6946 -1.6368 -1.6011
 -1.5821 -1.5728 -1.5673 -1.5634 -1.5606 -1.5590 -1.5576 -1.5586 -1.5648 -1.5783
 -1.6005
 -3.7489 -3.5593 -3.3805 -3.2046 -3.0348 -2.8753 -2.7273 -2.5912 -2.4677 -2.3577
 -2.2624 -2.1826 -2.1171 -2.0614 -2.0094 -1.8814 -1.7725 -1.6897 -1.6320 -1.5963
 -1.5789 -1.5736 -1.5734 -1.5748 -1.5764 -1.5783 -1.5809 -1.5856 -1.5925 -1.6014
 -1.6121
 -3.7479 -3.5514 -3.3716 -3.2044 -3.0406 -2.8838 -2.7374 -2.6021 -2.4776 -2.3642
 -2.2630 -2.1754 -2.1016 -2.0393 -1.9852 -1.8688 -1.7657 -1.6842 -1.6260 -1.5895
 -1.5718 -1.5686 -1.5732 -1.5803 -1.5875 -1.5943 -1.6009 -1.6073 -1.6140 -1.6221
 -1.6329
 -3.7816 -3.5453 -3.3643 -3.2026 -3.0472 -2.8950 -2.7501 -2.6153 -2.4911 -2.3767
 -2.2725 -2.1797 -2.0994 -2.0314 -1.9730 -1.8547 -1.7574 -1.6772 -1.6189 -1.5812
 -1.5623 -1.5593 -1.5667 -1.5788 -1.5921 -1.6047 -1.6165 -1.6273 -1.6374 -1.6476
 -1.6585
 -3.8602 -3.5722 -3.3670 -3.2017 -3.0496 -2.9048 -2.7653 -2.6311 -2.5065 -2.3918
 -2.2865 -2.1907 -2.1054 -2.0315 -1.9683 -1.8445 -1.7484 -1.6702 -1.6114
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F606W
 -4.6277 -4.3760 -4.0495 -3.7420 -3.4513 -3.2016 -3.0170 -2.8706 -2.7418 -2.6200
 -2.5064 -2.3997 -2.3004 -2.2087 -2.1242 -1.9441 -1.8034 -1.6940 -1.6098
 -4.2697 -4.2154 -4.0006 -3.7109 -3.4324 -3.1746 -2.9718 -2.8156 -2.6843 -2.5644
 -2.4532 -2.3494 -2.2531 -2.1646 -2.0836 -1.9143 -1.7848 -1.6858 -1.6112 -1.5565
 -4.0447 -3.8743 -3.8219 -3.6784 -3.4280 -3.1805 -2.9591 -2.7861 -2.6489 -2.5295
 -2.4205 -2.3193 -2.2257 -2.1397 -2.0614 -1.8986 -1.7755 -1.6829 -1.6142 -1.5644
 -1.5288
 -3.9746 -3.7341 -3.5526 -3.4591 -3.3801 -3.1877 -2.9720 -2.7810 -2.6304 -2.5077
 -2.3999 -2.3008 -2.2095 -2.1257 -2.0495 -1.8911 -1.7720 -1.6831 -1.6182 -1.5722
 -1.5398 -1.5159
 -3.9404 -3.6942 -3.4723 -3.2901 -3.1579 -3.0788 -2.9683 -2.7957 -2.6303 -2.4961
 -2.3868 -2.2890 -2.1994 -2.1175 -2.0429 -1.8879 -1.7713 -1.6847 -1.6224 -1.5791
 -1.5498 -1.5285 -1.5124 -1.4999
 -3.9200 -3.6802 -3.4543 -3.2498 -3.0741 -2.9284 -2.8189 -2.7381 -2.6325 -2.4985
 -2.3797 -2.2812 -2.1925 -2.1119 -2.0387 -1.8864 -1.7715 -1.6863 -1.6256 -1.5844
 -1.5579 -1.5399 -1.5265 -1.5164 -1.5096 -1.5066 -1.5080 -1.5153 -1.5293 -1.5492
 -3.9080 -3.6763 -3.4543 -3.2471 -3.0594 -2.8937 -2.7499 -2.6288 -2.5350 -2.4584
 -2.3707 -2.2762 -2.1876 -2.1076 -2.0354 -1.8851 -1.7713 -1.6869 -1.6270 -1.5874
 -1.5633 -1.5489 -1.5391 -1.5319 -1.5270 -1.5245 -1.5249 -1.5293 -1.5394 -1.5582
 -1.5822
 -3.9000 -3.6777 -3.4616 -3.2568 -3.0671 -2.8953 -2.7414 -2.6049 -2.4863 -2.3867
