 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F606W
 -4.0673 -3.9978 -4.1860 -4.1187 -3.9424 -3.7014 -3.4392 -3.2678 -3.1195 -2.9669
 -2.8239 -2.6917 -2.5702 -2.4586 -2.3569 -2.1423 -1.9624 -1.8002 -1.7204
 -4.0673 -3.8626 -3.6940 -3.5805 -3.5186 -3.4272 -3.2776 -3.1155 -2.9683 -2.8306
 -2.7001 -2.5784 -2.4666 -2.3645 -2.2711 -2.0716 -1.9167 -1.8046 -1.7279 -1.6747
 -3.8879 -3.6892 -3.5045 -3.3450 -3.2182 -3.1378 -3.0785 -2.9844 -2.8615 -2.7323
 -2.6122 -2.5003 -2.3972 -2.3030 -2.2175 -2.0373 -1.9007 -1.8030 -1.7355 -1.6878
 -1.6530
 -3.7414 -3.5654 -3.3891 -3.2242 -3.0791 -2.9575 -2.8633 -2.7990 -2.7358 -2.6488
 -2.5455 -2.4428 -2.3478 -2.2607 -2.1811 -2.0144 -1.8902 -1.8036 -1.7439 -1.7012
 -1.6692 -1.6448
 -3.6070 -3.4592 -3.3025 -3.1461 -2.9997 -2.8700 -2.7596 -2.6673 -2.5971 -2.5365
 -2.4708 -2.3920 -2.3085 -2.2285 -2.1547 -1.9985 -1.8824 -1.8037 -1.7510 -1.7137
 -1.6850 -1.6626 -1.6452 -1.6324
 -3.4812 -3.3557 -3.2241 -3.0840 -2.9452 -2.8152 -2.7003 -2.6018 -2.5185 -2.4477
 -2.3865 -2.3279 -2.2645 -2.1974 -2.1312 -1.9859 -1.8755 -1.8015 -1.7542 -1.7231
 -1.6991 -1.6799 -1.6645 -1.6524 -1.6426 -1.6361 -1.6346 -1.6390 -1.6502 -1.6687
 -3.3662 -3.2559 -3.1443 -3.0241 -2.8988 -2.7753 -2.6600 -2.5581 -2.4718 -2.3980
 -2.3326 -2.2729 -2.2168 -2.1612 -2.1048 -1.9728 -1.8679 -1.7951 -1.7521 -1.7270
 -1.7091 -1.6946 -1.6826 -1.6729 -1.6650 -1.6573 -1.6522 -1.6527 -1.6611 -1.6783
 -1.7014
 -3.2641 -3.1631 -3.0632 -2.9594 -2.8509 -2.7391 -2.6290 -2.5263 -2.4367 -2.3609
 -2.2956 -2.2367 -2.1811 -2.1284 -2.0774 -1.9582 -1.8594 -1.7880 -1.7456 -1.7243
 -1.7127 -1.7043 -1.6973 -1.6914 -1.6865 -1.6823 -1.6777 -1.6754 -1.6787 -1.6900
 -1.7109
 -3.1770 -3.0807 -2.9862 -2.8882 -2.7950 -2.6975 -2.5978 -2.4996 -2.4085 -2.3293
 -2.2624 -2.2047 -2.1519 -2.1015 -2.0529 -1.9414 -1.8489 -1.7800 -1.7363 -1.7160
 -1.7088 -1.7068 -1.7061 -1.7057 -1.7052 -1.7046 -1.7042 -1.7045 -1.7077 -1.7141
 -1.7234
 -3.1072 -3.0122 -2.9191 -2.8276 -2.7378 -2.6496 -2.5622 -2.4735 -2.3863 -2.3054
 -2.2350 -2.1755 -2.1241 -2.0761 -2.0306 -1.9268 -1.8386 -1.7718 -1.7276 -1.7056
 -1.6995 -1.7017 -1.7072 -1.7132 -1.7185 -1.7229 -1.7267 -1.7301 -1.7336 -1.7383
 -1.7440
 -3.0513 -2.9531 -2.8590 -2.7688 -2.6820 -2.5986 -2.5182 -2.4399 -2.3612 -2.2842
 -2.2124 -2.1496 -2.0964 -2.0506 -2.0088 -1.9122 -1.8281 -1.7633 -1.7197 -1.6956
 -1.6882 -1.6916 -1.7010 -1.7128 -1.7245 -1.7351 -1.7444 -1.7523 -1.7594 -1.7664
 -1.7741
 -2.9895 -2.8743 -2.7759 -2.6899 -2.6121 -2.5391 -2.4680 -2.3970 -2.3266 -2.2576
 -2.1908 -2.1276 -2.0716 -2.0241 -1.9833 -1.8954 -1.8172 -1.7545 -1.7113
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F606W
 -4.4284 -4.3524 -4.2313 -4.0004 -3.7366 -3.4860 -3.2799 -3.1159 -2.9712 -2.8354
 -2.7070 -2.5872 -2.4764 -2.3745 -2.2812 -2.0850 -1.9270 -1.7957 -1.7121
 -4.1422 -3.9525 -3.8443 -3.7774 -3.6154 -3.3951 -3.1857 -3.0149 -2.8723 -2.7419
 -2.6196 -2.5061 -2.4017 -2.3068 -2.2206 -2.0397 -1.8985 -1.7919 -1.7160 -1.6629
 -3.9875 -3.7749 -3.5916 -3.4520 -3.3768 -3.2874 -3.1241 -2.9504 -2.8038 -2.6780
 -2.5614 -2.4534 -2.3544 -2.2644 -2.1832 -2.0142 -1.8849 -1.7892 -1.7218 -1.6744
 -1.6398
 -3.8774 -3.6747 -3.4821 -3.3053 -3.1585 -3.0549 -2.9873 -2.8921 -2.7585 -2.6332
 -2.5207 -2.4178 -2.3234 -2.2376 -2.1602 -1.9994 -1.8776 -1.7891 -1.7282 -1.6858
 -1.6544 -1.6305
 -3.7848 -3.6015 -3.4177 -3.2426 -3.0828 -2.9411 -2.8259 -2.7406 -2.6752 -2.5907
 -2.4907 -2.3916 -2.3011 -2.2191 -2.1448 -1.9903 -1.8735 -1.7897 -1.7336 -1.6959
 -1.6682 -1.6467 -1.6301 -1.6188
 -3.7052 -3.5370 -3.3688 -3.2015 -3.0425 -2.8964 -2.7656 -2.6528 -2.5621 -2.4948
 -2.4340 -2.3619 -2.2820 -2.2036 -2.1323 -1.9833 -1.8701 -1.7891 -1.7363 -1.7033
 -1.6802 -1.6622 -1.6479 -1.6368 -1.6275 -1.6216 -1.6210 -1.6270 -1.6404 -1.6600
 -3.6258 -3.4739 -3.3228 -3.1684 -3.0162 -2.8721 -2.7395 -2.6208 -2.5175 -2.4311
 -2.3607 -2.3026 -2.2450 -2.1826 -2.1184 -1.9760 -1.8659 -1.7864 -1.7354 -1.7062
 -1.6885 -1.6752 -1.6645 -1.6559 -1.6492 -1.6434 -1.6403 -1.6424 -1.6514 -1.6684
 -1.6930
 -3.5528 -3.4101 -3.2756 -3.1353 -2.9937 -2.8552 -2.7247 -2.6048 -2.4978 -2.4045
 -2.3254 -2.2584 -2.2005 -2.1476 -2.0948 -1.9659 -1.8599 -1.7816 -1.7310 -1.7039
 -1.6910 -1.6835 -1.6777 -1.6731 -1.6694 -1.6647 -1.6611 -1.6612 -1.6671 -1.6805
 -1.7024
 -3.4931 -3.3520 -3.2247 -3.0975 -2.9677 -2.8379 -2.7123 -2.5938 -2.4853 -2.3888
 -2.3056 -2.2346 -2.1727 -2.1175 -2.0670 -1.9507 -1.8504 -1.7742 -1.7235 -1.6967
