 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  J   
  1.8583  1.8370  1.8104  1.7798  1.7493  1.7206  1.6888  1.6592  1.6359  1.6195
  1.6105  1.6101  1.6008  1.5946  1.5840  1.5464  1.4702  1.3772  1.2786
  1.8665  1.8466  1.8172  1.7793  1.7369  1.7029  1.6748  1.6484  1.6231  1.5997
  1.5815  1.5697  1.5623  1.5543  1.5428  1.4938  1.4230  1.3396  1.2521  1.1634
  1.8617  1.8307  1.8019  1.7732  1.7417  1.7046  1.6649  1.6339  1.6109  1.5911
  1.5707  1.5519  1.5384  1.5274  1.5146  1.4674  1.3985  1.3166  1.2306  1.1439
  1.0572
  1.8681  1.8314  1.7987  1.7687  1.7393  1.7087  1.6760  1.6411  1.6080  1.5828
  1.5635  1.5436  1.5249  1.5092  1.4941  1.4458  1.3790  1.2985  1.2132  1.1276
  1.0425  0.9579
  1.8878  1.8457  1.8083  1.7747  1.7436  1.7132  1.6826  1.6512  1.6197  1.5894
  1.5631  1.5411  1.5196  1.5001  1.4814  1.4301  1.3645  1.2852  1.1999  1.1143
  1.0298  0.9463  0.8635  0.7814
  1.9143  1.8690  1.8276  1.7902  1.7561  1.7238  1.6925  1.6613  1.6301  1.5998
  1.5713  1.5453  1.5206  1.4980  1.4765  1.4200  1.3545  1.2765  1.1909  1.1043
  1.0193  0.9358  0.8537  0.7724  0.6913  0.6099  0.5279  0.4451  0.3613  0.2764
  1.9376  1.8953  1.8523  1.8122  1.7751  1.7405  1.7073  1.6749  1.6429  1.6114
  1.5812  1.5528  1.5259  1.5003  1.4763  1.4155  1.3486  1.2718  1.1864  1.0984
  1.0117  0.9272  0.8446  0.7637  0.6839  0.6055  0.5272  0.4476  0.3657  0.2814
  0.1974
  1.9555  1.9168  1.8765  1.8366  1.7979  1.7612  1.7262  1.6923  1.6588  1.6260
  1.5939  1.5630  1.5336  1.5056  1.4791  1.4146  1.3459  1.2700  1.1856  1.0967
  1.0080  0.9215  0.8375  0.7557  0.6758  0.5974  0.5205  0.4438  0.3659  0.2858
  0.2027
  1.9576  1.9267  1.8930  1.8568  1.8195  1.7826  1.7467  1.7116  1.6769  1.6427
  1.6090  1.5760  1.5440  1.5133  1.4842  1.4153  1.3450  1.2691  1.1860  1.0974
  1.0073  0.9183  0.8319  0.7482  0.6670  0.5881  0.5108  0.4339  0.3572  0.2808
  0.2047
  1.9438  1.9250  1.8970  1.8678  1.8354  1.8010  1.7660  1.7311  1.6961  1.6611
  1.6263  1.5917  1.5578  1.5247  1.4928  1.4185  1.3461  1.2701  1.1882  1.1011
  1.0111  0.9207  0.8320  0.7457  0.6625  0.5821  0.5040  0.4277  0.3496  0.2752
  0.2035
  1.9142  1.9117  1.8885  1.8634  1.8390  1.8105  1.7792  1.7465  1.7128  1.6784
  1.6435  1.6082  1.5730  1.5382  1.5040  1.4237  1.3483  1.2717  1.1906  1.1049
  1.0159  0.9256  0.8356  0.7472  0.6614  0.5786  0.4986  0.4213  0.3460  0.2721
  0.1990
  1.8688  1.8868  1.8675  1.8422  1.8262  1.8057  1.7810  1.7531  1.7230  1.6910
  1.6578  1.6232  1.5879  1.5522  1.5178  1.4309  1.3516  1.2739  1.1932
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  J   
