 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  U   
 -9.5033 -8.9273 -8.5130 -8.2245 -8.0114 -7.8337 -7.7434 -7.5677 -7.3742 -7.1445
 -6.8724 -6.4166 -6.1228 -5.8080 -5.4815 -4.5387 -3.4901 -2.8661 -2.2193
 -8.7746 -8.3208 -7.9727 -7.7198 -7.5375 -7.3735 -7.2015 -7.0138 -6.8098 -6.5817
 -6.3088 -5.9830 -5.6271 -5.2685 -4.9110 -3.9827 -3.1328 -2.4821 -2.0297 -1.7107
 -8.5219 -8.0293 -7.5987 -7.2341 -6.9393 -6.7174 -6.5561 -6.4089 -6.2377 -6.0249
 -5.7778 -5.4856 -5.1481 -4.8051 -4.4700 -3.6463 -2.8749 -2.2787 -1.8708 -1.5896
 -1.3901
 -8.3728 -7.8526 -7.3829 -6.9652 -6.6003 -6.2888 -6.0296 -5.8219 -5.6512 -5.4763
 -5.2643 -5.0164 -4.7232 -4.4042 -4.0926 -3.3551 -2.6709 -2.1209 -1.7455 -1.4927
 -1.3166 -1.1899
 -8.2781 -7.7464 -7.2568 -6.8109 -6.4093 -6.0513 -5.7354 -5.4595 -5.2201 -5.0124
 -4.8166 -4.6041 -4.3603 -4.0826 -3.7975 -3.1322 -2.5237 -2.0115 -1.6525 -1.4166
 -1.2563 -1.1429 -1.0605 -0.9989
 -8.2205 -7.6906 -7.1948 -6.7343 -6.3115 -5.9275 -5.5799 -5.2666 -4.9858 -4.7338
 -4.5063 -4.2939 -4.0804 -3.8434 -3.5899 -2.9778 -2.4301 -1.9501 -1.5942 -1.3600
 -1.2068 -1.1015 -1.0265 -0.9723 -0.9311 -0.8984 -0.8711 -0.8467 -0.8230 -0.7987
 -8.2012 -7.6749 -7.1818 -6.7177 -6.2844 -5.8843 -5.5172 -5.1811 -4.8745 -4.5960
 -4.3423 -4.1101 -3.8932 -3.6767 -3.4525 -2.8852 -2.3785 -1.9287 -1.5709 -1.3258
 -1.1676 -1.0638 -0.9929 -0.9431 -0.9079 -0.8818 -0.8617 -0.8454 -0.8312 -0.8176
 -0.8037
 -8.2217 -7.7026 -7.2125 -6.7494 -6.3139 -5.9055 -5.5247 -5.1732 -4.8495 -4.5509
 -4.2779 -4.0281 -3.7981 -3.5797 -3.3662 -2.8415 -2.3547 -1.9325 -1.5767 -1.3160
 -1.1423 -1.0308 -0.9587 -0.9108 -0.8787 -0.8574 -0.8423 -0.8315 -0.8239 -0.8186
 -0.8150
 -8.2847 -7.7679 -7.2802 -6.8192 -6.3838 -5.9720 -5.5835 -5.2204 -4.8827 -4.5696
 -4.2800 -4.0133 -3.7683 -3.5399 -3.3227 -2.8190 -2.3511 -1.9425 -1.5960 -1.3246
 -1.1323 -1.0054 -0.9251 -0.8750 -0.8439 -0.8251 -0.8149 -0.8089 -0.8060 -0.8058
 -0.8081
 -8.3902 -7.8708 -7.3939 -6.9325 -6.4966 -6.0841 -5.6922 -5.3211 -4.9719 -4.6456
