 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F438W
 -6.8951 -6.3881 -6.1010 -5.9828 -5.9733 -5.9719 -5.7058 -5.5231 -5.3299 -5.1149
 -4.8708 -4.6047 -4.3480 -4.0752 -3.8014 -3.1084 -2.4579 -1.9771 -1.5447
 -6.5188 -6.1242 -5.8245 -5.6103 -5.4577 -5.3134 -5.1536 -4.9803 -4.7970 -4.6027
 -4.3822 -4.1306 -3.8617 -3.5963 -3.3408 -2.7394 -2.2161 -1.7968 -1.4862 -1.2504
 -6.2546 -5.8633 -5.5270 -5.2414 -5.0069 -4.8261 -4.6877 -4.5457 -4.3740 -4.1776
 -3.9745 -3.7573 -3.5194 -3.2812 -3.0549 -2.5399 -2.0866 -1.7157 -1.4385 -1.2282
 -1.0593
 -6.0444 -5.6705 -5.3338 -5.0301 -4.7592 -4.5225 -4.3204 -4.1520 -4.0022 -3.8363
 -3.6446 -3.4473 -3.2414 -3.0305 -2.8292 -2.3794 -1.9889 -1.6607 -1.4103 -1.2201
 -1.0667 -0.9360
 -5.8402 -5.4961 -5.1765 -4.8773 -4.5992 -4.3442 -4.1141 -3.9093 -3.7273 -3.5625
 -3.3984 -3.2218 -3.0370 -2.8462 -2.6631 -2.2617 -1.9191 -1.6261 -1.3965 -1.2218
 -1.0811 -0.9607 -0.8533 -0.7558
 -5.6320 -5.3230 -5.0304 -4.7492 -4.4793 -4.2241 -3.9861 -3.7676 -3.5692 -3.3884
 -3.2207 -3.0594 -2.8971 -2.7279 -2.5587 -2.1826 -1.8732 -1.6071 -1.3924 -1.2288
 -1.0987 -0.9876 -0.8882 -0.7969 -0.7075 -0.6222 -0.5448 -0.4782 -0.4247 -0.3856
 -5.4322 -5.1504 -4.8870 -4.6303 -4.3786 -4.1338 -3.8994 -3.6787 -3.4740 -3.2862
 -3.1131 -2.9517 -2.7976 -2.6455 -2.4942 -2.1397 -1.8469 -1.5998 -1.3950 -1.2380
 -1.1158 -1.0134 -0.9222 -0.8381 -0.7592 -0.6850 -0.6154 -0.5502 -0.4895 -0.4370
 -0.4072
 -5.2447 -4.9890 -4.7486 -4.5153 -4.2858 -4.0586 -3.8348 -3.6193 -3.4153 -3.2244
 -3.0483 -2.8857 -2.7333 -2.5877 -2.4474 -2.1195 -1.8360 -1.6006 -1.4029 -1.2482
 -1.1303 -1.0350 -0.9520 -0.8759 -0.8041 -0.7358 -0.6698 -0.6077 -0.5513 -0.5021
 -0.4611
 -5.0764 -4.8417 -4.6174 -4.4027 -4.1933 -3.9849 -3.7773 -3.5724 -3.3739 -3.1847
 -3.0072 -2.8425 -2.6897 -2.5464 -2.4106 -2.1023 -1.8313 -1.6032 -1.4119 -1.2579
 -1.1408 -1.0500 -0.9742 -0.9064 -0.8429 -0.7819 -0.7235 -0.6687 -0.6174 -0.5693
 -0.5243
 -4.9273 -4.7085 -4.5009 -4.2993 -4.1046 -3.9138 -3.7236 -3.5336 -3.3456 -3.1622
 -2.9863 -2.8206 -2.6662 -2.5227 -2.3886 -2.0902 -1.8315 -1.6092 -1.4231 -1.2706
 -1.1521 -1.0620 -0.9907 -0.9301 -0.8750 -0.8225 -0.7719 -0.7228 -0.6783 -0.6329
 -0.5897
 -4.7973 -4.5894 -4.3991 -4.1978 -4.0148 -3.8366 -3.6620 -3.4881 -3.3143 -3.1417
 -2.9722 -2.8087 -2.6538 -2.5089 -2.3741 -2.0791 -1.8297 -1.6138 -1.4318 -1.2817
 -1.1629 -1.0718 -1.0018 -0.9458 -0.8978 -0.8538 -0.8118 -0.7709 -0.7308 -0.6921
 -0.6556
 -4.6865 -4.4844 -4.3120 -4.0957 -3.9187 -3.7494 -3.5863 -3.4267 -3.2681 -3.1099
 -2.9522 -2.7964 -2.6450 -2.5008 -2.3671 -2.0690 -1.8259 -1.6170 -1.4380
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F438W
 -6.6521 -6.2371 -5.9508 -5.7644 -5.6458 -5.5493 -5.3732 -5.2219 -5.0469 -4.8403
 -4.5995 -4.3352 -4.0710 -3.8121 -3.5637 -2.9719 -2.4229 -1.9722 -1.5752
 -6.2244 -5.8771 -5.6266 -5.4105 -5.2156 -5.0430 -4.8865 -4.7337 -4.5705 -4.3862
 -4.1740 -3.9342 -3.6816 -3.4370 -3.2070 -2.6865 -2.2227 -1.8217 -1.5051 -1.2584
 -5.9607 -5.5585 -5.2415 -4.9990 -4.8260 -4.6820 -4.5234 -4.3521 -4.1785 -4.0037
 -3.8166 -3.6089 -3.3815 -3.1555 -2.9447 -2.4823 -2.0842 -1.7374 -1.4559 -1.2383
 -1.0648
 -5.8286 -5.4211 -5.0817 -4.7979 -4.5621 -4.3678 -4.2143 -4.0784 -3.9153 -3.7275
 -3.5403 -3.3535 -3.1546 -2.9481 -2.7539 -2.3327 -1.9823 -1.6792 -1.4268 -1.2287
 -1.0702 -0.9366
 -5.7427 -5.3451 -5.0046 -4.7082 -4.4483 -4.2209 -4.0219 -3.8470 -3.6950 -3.5442
 -3.3657 -3.1773 -2.9908 -2.8027 -2.6209 -2.2300 -1.9122 -1.6413 -1.4123 -1.2293
 -1.0829 -0.9593 -0.8503 -0.7517
 -5.6725 -5.2928 -4.9607 -4.6641 -4.3960 -4.1529 -3.9332 -3.7348 -3.5538 -3.3879
 -3.2323 -3.0696 -2.8950 -2.7132 -2.5370 -2.1641 -1.8675 -1.6187 -1.4072 -1.2358
 -1.0991 -0.9845 -0.8835 -0.7914 -0.7062 -0.6270 -0.5536 -0.4837 -0.4191 -0.3775
 -5.6077 -5.2490 -4.9312 -4.6413 -4.3733 -4.1243 -3.8941 -3.6825 -3.4878 -3.3073
