 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F125W
  1.6699  1.6568  1.6381  1.6165  1.5945  1.5742  1.5634  1.5437  1.5280  1.5164
  1.5095  1.5097  1.5009  1.4931  1.4820  1.4401  1.3609  1.2630  1.1630
  1.7063  1.6931  1.6701  1.6383  1.6025  1.5755  1.5541  1.5341  1.5146  1.4962
  1.4808  1.4698  1.4616  1.4521  1.4391  1.3869  1.3136  1.2280  1.1385  1.0477
  1.7103  1.6860  1.6632  1.6399  1.6136  1.5814  1.5469  1.5211  1.5025  1.4860
  1.4685  1.4513  1.4376  1.4253  1.4111  1.3606  1.2893  1.2054  1.1175  1.0288
  0.9401
  1.7235  1.6930  1.6658  1.6404  1.6153  1.5886  1.5595  1.5281  1.4985  1.4766
  1.4595  1.4414  1.4233  1.4069  1.3904  1.3390  1.2699  1.1875  1.1004  1.0130
  0.9260  0.8396
  1.7486  1.7121  1.6795  1.6501  1.6225  1.5952  1.5672  1.5382  1.5088  1.4806
  1.4564  1.4361  1.4159  1.3966  1.3771  1.3230  1.2551  1.1741  1.0872  0.9999
  0.9137  0.8285  0.7440  0.6602
  1.7792  1.7388  1.7017  1.6680  1.6370  1.6072  1.5779  1.5484  1.5187  1.4895
  1.4622  1.4373  1.4138  1.3919  1.3704  1.3123  1.2446  1.1650  1.0780  0.9900
  0.9034  0.8184  0.7347  0.6518  0.5691  0.4863  0.4031  0.3192  0.2344  0.1487
  1.8053  1.7671  1.7278  1.6911  1.6569  1.6245  1.5931  1.5621  1.5311  1.5004
  1.4708  1.4429  1.4166  1.3916  1.3678  1.3064  1.2379  1.1597  1.0731  0.9840
  0.8959  0.8100  0.7260  0.6435  0.5623  0.4825  0.4028  0.3221  0.2391  0.1540
  0.0694
  1.8247  1.7893  1.7521  1.7151  1.6791  1.6446  1.6115  1.5789  1.5464  1.5143
  1.4826  1.4520  1.4228  1.3950  1.3686  1.3038  1.2342  1.1571  1.0716  0.9819
  0.8922  0.8044  0.7190  0.6359  0.5547  0.4750  0.3968  0.3189  0.2399  0.1588
  0.0749
