 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F110W
 -1.1458 -1.1640 -1.1850 -1.2120 -1.2364 -1.2545 -1.2553 -1.2746 -1.2880 -1.2949
 -1.2948 -1.2845 -1.2854 -1.2824 -1.2824 -1.2991 -1.3601 -1.4470 -1.5348
 -1.1142 -1.1214 -1.1407 -1.1708 -1.2074 -1.2363 -1.2583 -1.2773 -1.2945 -1.3094
 -1.3193 -1.3225 -1.3215 -1.3212 -1.3247 -1.3556 -1.4113 -1.4825 -1.5590 -1.6371
 -1.1114 -1.1298 -1.1472 -1.1657 -1.1884 -1.2186 -1.2534 -1.2807 -1.2994 -1.3132
 -1.3265 -1.3376 -1.3431 -1.3463 -1.3515 -1.3815 -1.4359 -1.5059 -1.5813 -1.6579
 -1.7344
 -1.0985 -1.1237 -1.1452 -1.1648 -1.1845 -1.2064 -1.2318 -1.2609 -1.2901 -1.3122
 -1.3278 -1.3425 -1.3547 -1.3630 -1.3710 -1.4026 -1.4553 -1.5243 -1.5992 -1.6751
 -1.7505 -1.8252
 -1.0713 -1.1036 -1.1311 -1.1548 -1.1764 -1.1978 -1.2204 -1.2446 -1.2701 -1.2957
 -1.3185 -1.3373 -1.3549 -1.3696 -1.3823 -1.4177 -1.4695 -1.5375 -1.6129 -1.6890
 -1.7642 -1.8384 -1.9115 -1.9832
 -1.0349 -1.0729 -1.1063 -1.1352 -1.1607 -1.1844 -1.2076 -1.2312 -1.2556 -1.2799
 -1.3033 -1.3252 -1.3462 -1.3653 -1.3827 -1.4264 -1.4786 -1.5456 -1.6218 -1.6993
 -1.7754 -1.8500 -1.9231 -1.9951 -2.0661 -2.1366 -2.2076 -2.2794 -2.3526 -2.4274
 -0.9985 -1.0368 -1.0743 -1.1078 -1.1377 -1.1648 -1.1904 -1.2153 -1.2403 -1.2653
 -1.2897 -1.3129 -1.3351 -1.3566 -1.3768 -1.4274 -1.4827 -1.5489 -1.6254 -1.7051
 -1.7834 -1.8594 -1.9335 -2.0059 -2.0766 -2.1453 -2.2134 -2.2826 -2.3543 -2.4287
 -2.5037
 -0.9643 -1.0022 -1.0400 -1.0759 -1.1094 -1.1401 -1.1684 -1.1956 -1.2223 -1.2486
 -1.2746 -1.2998 -1.3240 -1.3472 -1.3693 -1.4237 -1.4823 -1.5484 -1.6245 -1.7057
 -1.7867 -1.8654 -1.9415 -2.0153 -2.0870 -2.1568 -2.2245 -2.2916 -2.3598 -2.4306
 -2.5048
 -0.9422 -0.9756 -1.0099 -1.0450 -1.0796 -1.1125 -1.1435 -1.1729 -1.2016 -1.2297
 -1.2574 -1.2846 -1.3111 -1.3367 -1.3610 -1.4190 -1.4796 -1.5464 -1.6215 -1.7030
 -1.7862 -1.8681 -1.9473 -2.0235 -2.0971 -2.1683 -2.2377 -2.3064 -2.3745 -2.4420
 -2.5090
 -0.9323 -0.9570 -0.9884 -1.0195 -1.0521 -1.0850 -1.1172 -1.1483 -1.1786 -1.2084
 -1.2377 -1.2668 -1.2953 -1.3232 -1.3502 -1.4130 -1.4753 -1.5424 -1.6164 -1.6967
 -1.7804 -1.8645 -1.9467 -2.0261 -2.1025 -2.1759 -2.2469 -2.3158 -2.3867 -2.4530
 -2.5162
 -0.9346 -0.9464 -0.9755 -1.0050 -1.0324 -1.0623 -1.0935 -1.1247 -1.1557 -1.1864
 -1.2170 -1.2475 -1.2778 -1.3076 -1.3369 -1.4058 -1.4706 -1.5382 -1.6114 -1.6903
 -1.7730 -1.8575 -1.9416 -2.0240 -2.1036 -2.1800 -2.2536 -2.3245 -2.3932 -2.4602
 -2.5264
 -0.9491 -0.9438 -0.9712 -1.0027 -1.0246 -1.0494 -1.0768 -1.1058 -1.1357 -1.1662
 -1.1970 -1.2282 -1.2596 -1.2909 -1.3211 -1.3974 -1.4655 -1.5338 -1.6065
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F110W
 -1.0707 -1.1005 -1.1346 -1.1727 -1.2102 -1.2439 -1.2684 -1.2945 -1.3132 -1.3237
 -1.3260 -1.3204 -1.3164 -1.3127 -1.3124 -1.3285 -1.3758 -1.4464 -1.5289
 -1.0733 -1.0968 -1.1331 -1.1663 -1.1972 -1.2289 -1.2605 -1.2897 -1.3144 -1.3328
 -1.3438 -1.3473 -1.3460 -1.3449 -1.3466 -1.3677 -1.4135 -1.4793 -1.5544 -1.6320
 -1.1001 -1.1146 -1.1329 -1.1582 -1.1951 -1.2337 -1.2637 -1.2884 -1.3112 -1.3324
 -1.3497 -1.3611 -1.3659 -1.3680 -1.3718 -1.3950 -1.4394 -1.5026 -1.5761 -1.6523
 -1.7288
 -1.1117 -1.1300 -1.1476 -1.1660 -1.1875 -1.2139 -1.2481 -1.2845 -1.3122 -1.3319
 -1.3492 -1.3648 -1.3762 -1.3829 -1.3896 -1.4154 -1.4596 -1.5209 -1.5933 -1.6688
 -1.7443 -1.8192
 -1.1042 -1.1292 -1.1510 -1.1706 -1.1898 -1.2104 -1.2337 -1.2600 -1.2907 -1.3207
