 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F555W
 -4.2348 -3.6281 -3.2895 -3.2295 -3.4734 -3.8350 -4.2195 -4.0677 -3.9144 -3.7504
 -3.5782 -3.4362 -3.2520 -3.0706 -2.9006 -2.5357 -2.2247 -1.9968 -1.8235
 -4.9083 -4.5613 -4.3084 -4.1402 -4.0283 -3.9233 -3.8090 -3.6903 -3.5706 -3.4487
 -3.3134 -3.1607 -2.9988 -2.8420 -2.6965 -2.3809 -2.1321 -1.9466 -1.8134 -1.7150
 -4.6773 -4.3507 -4.0937 -3.8923 -3.7379 -3.6268 -3.5463 -3.4600 -3.3520 -3.2299
 -3.1081 -2.9818 -2.8433 -2.7041 -2.5750 -2.3020 -2.0888 -1.9286 -1.8115 -1.7232
 -1.6536
 -4.4956 -4.2010 -3.9601 -3.7604 -3.5939 -3.4557 -3.3422 -3.2504 -3.1687 -3.0733
 -2.9598 -2.8453 -2.7273 -2.6048 -2.4881 -2.2435 -2.0570 -1.9176 -1.8142 -1.7345
 -1.6703 -1.6166
 -4.3272 -4.0674 -3.8488 -3.6615 -3.4989 -3.3568 -3.2324 -3.1233 -3.0263 -2.9374
 -2.8462 -2.7460 -2.6428 -2.5342 -2.4282 -2.2029 -2.0338 -1.9097 -1.8182 -1.7467
 -1.6880 -1.6381 -1.5945 -1.5543
 -4.1659 -3.9377 -3.7426 -3.5715 -3.4192 -3.2824 -3.1585 -3.0460 -2.9435 -2.8481
 -2.7571 -2.6671 -2.5776 -2.4837 -2.3882 -2.1764 -2.0173 -1.9024 -1.8203 -1.7570
 -1.7045 -1.6592 -1.6191 -1.5829 -1.5488 -1.5184 -1.4939 -1.4770 -1.4690 -1.4706
 -4.0192 -3.8133 -3.6384 -3.4832 -3.3429 -3.2149 -3.0970 -2.9875 -2.8856 -2.7903
 -2.6996 -2.6118 -2.5266 -2.4425 -2.3577 -2.1612 -2.0065 -1.8954 -1.8185 -1.7625
 -1.7170 -1.6774 -1.6420 -1.6096 -1.5794 -1.5495 -1.5227 -1.5021 -1.4903 -1.4888
 -1.4965
 -3.8896 -3.7003 -3.5388 -3.3960 -3.2670 -3.1482 -3.0374 -2.9340 -2.8368 -2.7443
 -2.6565 -2.5722 -2.4904 -2.4108 -2.3322 -2.1505 -2.0013 -1.8901 -1.8139 -1.7620
 -1.7230 -1.6902 -1.6608 -1.6335 -1.6076 -1.5826 -1.5572 -1.5345 -1.5181 -1.5108
 -1.5145
 -3.7789 -3.6018 -3.4466 -3.3112 -3.1903 -3.0790 -2.9754 -2.8782 -2.7869 -2.6998
 -2.6162 -2.5360 -2.4586 -2.3834 -2.3095 -2.1383 -1.9958 -1.8862 -1.8084 -1.7566
 -1.7214 -1.6951 -1.6727 -1.6518 -1.6315 -1.6114 -1.5917 -1.5743 -1.5595 -1.5470
 -1.5367
 -3.6870 -3.5178 -3.3705 -3.2364 -3.1183 -3.0122 -2.9143 -2.8225 -2.7365 -2.6551
 -2.5772 -2.5020 -2.4293 -2.3588 -2.2901 -2.1282 -1.9912 -1.8836 -1.8048 -1.7509
 -1.7158 -1.6930 -1.6766 -1.6628 -1.6494 -1.6355 -1.6212 -1.6066 -1.5972 -1.5837
 -1.5675
 -3.6141 -3.4483 -3.3105 -3.1754 -3.0551 -2.9489 -2.8537 -2.7660 -2.6840 -2.6072
 -2.5345 -2.4651 -2.3977 -2.3322 -2.2684 -2.1175 -1.9854 -1.8799 -1.8011 -1.7456
