 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F475W
 -6.1576 -5.8140 -5.7320 -5.8540 -6.0890 -6.2772 -5.9940 -5.8147 -5.6403 -5.4540
 -5.2496 -5.0516 -4.8412 -4.6267 -4.4238 -3.9393 -3.5037 -3.1776 -2.8990
 -6.6585 -6.3242 -6.0742 -5.9001 -5.7791 -5.6625 -5.5312 -5.3893 -5.2410 -5.0854
 -4.9103 -4.7122 -4.5039 -4.3029 -4.1155 -3.6961 -3.3478 -3.0733 -2.8686 -2.7122
 -6.4334 -6.1128 -5.8435 -5.6199 -5.4397 -5.3035 -5.2004 -5.0903 -4.9533 -4.7965
 -4.6365 -4.4676 -4.2837 -4.1019 -3.9339 -3.5712 -3.2703 -3.0301 -2.8485 -2.7083
 -2.5948
 -6.2489 -5.9541 -5.6947 -5.4657 -5.2645 -5.0902 -4.9419 -4.8184 -4.7067 -4.5790
 -4.4289 -4.2755 -4.1159 -3.9523 -3.7987 -3.4740 -3.2120 -3.0011 -2.8387 -2.7119
 -2.6081 -2.5190
 -6.0626 -5.8037 -5.5678 -5.3508 -5.1510 -4.9683 -4.8029 -4.6544 -4.5207 -4.3976
 -4.2725 -4.1363 -3.9947 -3.8472 -3.7050 -3.4052 -3.1700 -2.9817 -2.8353 -2.7200
 -2.6247 -2.5423 -2.4686 -2.4006
 -5.8666 -5.6462 -5.4410 -5.2457 -5.0590 -4.8819 -4.7151 -4.5597 -4.4162 -4.2825
 -4.1559 -4.0319 -3.9077 -3.7778 -3.6475 -3.3613 -3.1420 -2.9689 -2.8344 -2.7290
 -2.6420 -2.5664 -2.4982 -2.4354 -2.3743 -2.3169 -2.2661 -2.2243 -2.1932 -2.1738
 -5.6712 -5.4815 -5.3071 -5.1379 -4.9713 -4.8076 -4.6486 -4.4957 -4.3507 -4.2145
 -4.0857 -3.9626 -3.8439 -3.7265 -3.6095 -3.3399 -3.1263 -2.9613 -2.8338 -2.7358
 -2.6566 -2.5881 -2.5264 -2.4690 -2.4149 -2.3628 -2.3143 -2.2712 -2.2349 -2.2080
 -2.1965
 -5.4796 -5.3178 -5.1681 -5.0230 -4.8791 -4.7339 -4.5878 -4.4436 -4.3036 -4.1687
 -4.0407 -3.9191 -3.8028 -3.6904 -3.5810 -3.3297 -3.1213 -2.9589 -2.8339 -2.7394
 -2.6661 -2.6048 -2.5502 -2.4994 -2.4511 -2.4046 -2.3586 -2.3157 -2.2789 -2.2504
 -2.2318
 -5.2992 -5.1597 -5.0273 -4.9014 -4.7775 -4.6513 -4.5220 -4.3906 -4.2595 -4.1305
 -4.0056 -3.8862 -3.7724 -3.6633 -3.5580 -3.3192 -3.1187 -2.9588 -2.8343 -2.7400
