 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F098M
 -0.4602 -0.4808 -0.5072 -0.5336 -0.5481 -0.5476 -0.5051 -0.5195 -0.5247 -0.5189
 -0.5005 -0.4634 -0.4433 -0.4173 -0.3928 -0.3554 -0.3785 -0.4418 -0.5065
 -0.3783 -0.3677 -0.3751 -0.3986 -0.4352 -0.4669 -0.4886 -0.5034 -0.5135 -0.5186
 -0.5137 -0.4972 -0.4735 -0.4504 -0.4323 -0.4167 -0.4359 -0.4784 -0.5299 -0.5846
 -0.3777 -0.3782 -0.3790 -0.3833 -0.3953 -0.4190 -0.4530 -0.4825 -0.5000 -0.5065
 -0.5084 -0.5040 -0.4895 -0.4713 -0.4561 -0.4414 -0.4610 -0.5033 -0.5545 -0.6087
 -0.6635
 -0.3647 -0.3732 -0.3778 -0.3808 -0.3851 -0.3939 -0.4090 -0.4316 -0.4586 -0.4800
 -0.4913 -0.4974 -0.4950 -0.4843 -0.4729 -0.4616 -0.4803 -0.5225 -0.5742 -0.6283
 -0.6829 -0.7369
 -0.3305 -0.3496 -0.3621 -0.3696 -0.3748 -0.3804 -0.3885 -0.4003 -0.4159 -0.4348
 -0.4534 -0.4680 -0.4792 -0.4826 -0.4800 -0.4747 -0.4933 -0.5356 -0.5887 -0.6440
 -0.6991 -0.7537 -0.8072 -0.8585
 -0.2775 -0.3078 -0.3302 -0.3456 -0.3558 -0.3636 -0.3711 -0.3798 -0.3908 -0.4035
 -0.4173 -0.4317 -0.4468 -0.4588 -0.4671 -0.4793 -0.4997 -0.5417 -0.5972 -0.6551
 -0.7121 -0.7680 -0.8227 -0.8761 -0.9277 -0.9785 -1.0300 -1.0833 -1.1391 -1.1980
 -0.2134 -0.2507 -0.2828 -0.3074 -0.3252 -0.3385 -0.3491 -0.3589 -0.3693 -0.3807
 -0.3928 -0.4051 -0.4180 -0.4314 -0.4434 -0.4707 -0.4989 -0.5412 -0.5985 -0.6603
 -0.7208 -0.7792 -0.8359 -0.8911 -0.9444 -0.9949 -1.0445 -1.0957 -1.1501 -1.2086
 -1.2694
 -0.1400 -0.1841 -0.2232 -0.2559 -0.2823 -0.3030 -0.3192 -0.3328 -0.3455 -0.3579
 -0.3707 -0.3837 -0.3965 -0.4096 -0.4222 -0.4546 -0.4906 -0.5350 -0.5932 -0.6584
 -0.7235 -0.7859 -0.8458 -0.9035 -0.9591 -1.0127 -1.0634 -1.1134 -1.1649 -1.2199
 -1.2797
 -0.0677 -0.1146 -0.1570 -0.1953 -0.2289 -0.2569 -0.2801 -0.2994 -0.3164 -0.3320
 -0.3469 -0.3617 -0.3764 -0.3910 -0.4049 -0.4392 -0.4787 -0.5258 -0.5840 -0.6510
