 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  R   
 -3.4812 -3.2167 -2.9237 -2.6709 -2.5287 -2.4994 -2.7853 -2.7297 -2.6623 -2.5768
 -2.4794 -2.4098 -2.2955 -2.1815 -2.0752 -1.8736 -1.7319 -1.6457 -1.5960
 -3.2462 -3.0317 -2.8791 -2.7822 -2.7257 -2.6739 -2.6157 -2.5553 -2.4952 -2.4342
 -2.3638 -2.2801 -2.1877 -2.0969 -2.0135 -1.8440 -1.7262 -1.6527 -1.6093 -1.5849
 -3.1289 -2.9329 -2.7721 -2.6463 -2.5556 -2.4995 -2.4688 -2.4360 -2.3881 -2.3287
 -2.2685 -2.2046 -2.1298 -2.0510 -1.9771 -1.8268 -1.7249 -1.6619 -1.6243 -1.6025
 -1.5912
 -3.0352 -2.8609 -2.7117 -2.5858 -2.4833 -2.4045 -2.3476 -2.3094 -2.2809 -2.2442
 -2.1939 -2.1408 -2.0825 -2.0170 -1.9518 -1.8162 -1.7250 -1.6704 -1.6383 -1.6192
 -1.6087 -1.6045
 -2.9328 -2.7854 -2.6560 -2.5413 -2.4404 -2.3550 -2.2865 -2.2330 -2.1906 -2.1554
 -2.1200 -2.0786 -2.0348 -1.9839 -1.9299 -1.8082 -1.7239 -1.6758 -1.6496 -1.6340
 -1.6252 -1.6217 -1.6223 -1.6254
 -2.8184 -2.6971 -2.5901 -2.4923 -2.4014 -2.3185 -2.2460 -2.1860 -2.1370 -2.0949
 -2.0565 -2.0192 -1.9835 -1.9444 -1.9018 -1.7988 -1.7204 -1.6760 -1.6555 -1.6451
 -1.6396 -1.6380 -1.6395 -1.6440 -1.6509 -1.6612 -1.6759 -1.6959 -1.7218 -1.7540
 -2.6990 -2.5974 -2.5107 -2.4311 -2.3547 -2.2808 -2.2111 -2.1490 -2.0965 -2.0524
 -2.0129 -1.9754 -1.9397 -1.9055 -1.8699 -1.7837 -1.7135 -1.6710 -1.6543 -1.6499
 -1.6497 -1.6516 -1.6556 -1.6614 -1.6689 -1.6766 -1.6867 -1.7022 -1.7253 -1.7565
 -1.7922
 -2.5767 -2.4924 -2.4214 -2.3572 -2.2958 -2.2345 -2.1728 -2.1138 -2.0608 -2.0150
 -1.9759 -1.9403 -1.9063 -1.8738 -1.8413 -1.7651 -1.7033 -1.6624 -1.6467 -1.6468
 -1.6528 -1.6602 -1.6683 -1.6771 -1.6866 -1.6968 -1.7067 -1.7187 -1.7359 -1.7606
 -1.7943
 -2.4564 -2.3874 -2.3269 -2.2741 -2.2250 -2.1757 -2.1249 -2.0733 -2.0235 -1.9782
