 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  K   
  2.7545  2.7594  2.8168  2.8610  2.8586  2.8441  2.8588  2.8837  2.8832  2.8488
  2.7942  2.7271  2.6579  2.5887  2.5167  2.3373  2.1630  1.9951  1.8325
  2.7708  2.7435  2.7399  2.7475  2.7614  2.7794  2.7960  2.8052  2.8025  2.7855
  2.7525  2.7029  2.6399  2.5701  2.4986  2.3216  2.1501  1.9837  1.8227  1.6670
  2.7638  2.7257  2.6924  2.6753  2.6833  2.7050  2.7217  2.7306  2.7323  2.7254
  2.7052  2.6692  2.6159  2.5501  2.4804  2.3062  2.1374  1.9732  1.8140  1.6604
  1.5120
  2.7335  2.7060  2.6743  2.6444  2.6243  2.6209  2.6359  2.6599  2.6726  2.6685
  2.6523  2.6260  2.5859  2.5287  2.4621  2.2911  2.1249  1.9636  1.8063  1.6542
  1.5077  1.3661
  2.6666  2.6588  2.6407  2.6170  2.5928  2.5748  2.5682  2.5731  2.5856  2.5969
  2.5936  2.5742  2.5447  2.5006  2.4416  2.2758  2.1121  1.9540  1.7993  1.6486
  1.5033  1.3634  1.2282  1.0970
  2.5542  2.5732  2.5771  2.5693  2.5541  2.5365  2.5219  2.5148  2.5143  2.5157
  2.5149  2.5061  2.4856  2.4550  2.4102  2.2591  2.0987  1.9436  1.7925  1.6438
  1.4994  1.3604  1.2265  1.0971  0.9716  0.8495  0.7304  0.6140  0.5003  0.3909
  2.3980  2.4440  2.4751  2.4907  2.4930  2.4861  2.4745  2.4637  2.4568  2.4532
  2.4479  2.4371  2.4192  2.3953  2.3614  2.2358  2.0839  1.9321  1.7847  1.6393
  1.4962  1.3577  1.2245  1.0962  0.9723  0.8520  0.7349  0.6207  0.5090  0.3998
  0.2941
  2.2129  2.2774  2.3328  2.3749  2.4009  2.4123  2.4128  2.4070  2.3996  2.3934
  2.3880  2.3790  2.3625  2.3388  2.3097  2.2020  2.0650  1.9191  1.7755  1.6341
  1.4937  1.3559  1.2228  1.0949  0.9718  0.8528  0.7373  0.6250  0.5154  0.4081
  0.3028
  2.0190  2.0911  2.1601  2.2238  2.2741  2.3088  2.3278  2.3347  2.3338  2.3294
  2.3244  2.3182  2.3073  2.2885  2.2627  2.1656  2.0402  1.9023  1.7628  1.6253
  1.4884  1.3524  1.2195  1.0913  0.9682  0.8497  0.7350  0.6239  0.5159  0.4104
  0.3071
  1.8286  1.9000  1.9721  2.0467  2.1160  2.1725  2.2140  2.2395  2.2519  2.2554
  2.2539  2.2502  2.2443  2.2334  2.2153  2.1326  2.0169  1.8866  1.7516  1.6174
  1.4844  1.3517  1.2202  1.0920  0.9686  0.8499  0.7356  0.6252  0.5183  0.4143
  0.3110
  1.6438  1.7125  1.7845  1.8591  1.9347  2.0075  2.0689  2.1154  2.1466  2.1643
  2.1722  2.1736  2.1717  2.1669  2.1575  2.0981  1.9935  1.8709  1.7406  1.6093
  1.4790  1.3496  1.2210  1.0939  0.9701  0.8509  0.7361  0.6258  0.5193  0.4161
  0.3158
  1.4646  1.5286  1.6013  1.6702  1.7463  1.8237  1.8973  1.9621  2.0127  2.0490
  2.0720  2.0844  2.0895  2.0900  2.0893  2.0621  1.9700  1.8552  1.7298
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  K   
  2.8504  2.8588  2.8738  2.8913  2.9061  2.9147  2.9143  2.9030  2.8798  2.8440
  2.7950  2.7343  2.6658  2.5940  2.5200  2.3407  2.1659  1.9977  1.8346
  2.7945  2.7864  2.7909  2.8031  2.8177  2.8299  2.8362  2.8344  2.8226  2.7990
  2.7616  2.7095  2.6455  2.5754  2.5035  2.3254  2.1528  1.9863  1.8252  1.6694
  2.7836  2.7460  2.7319  2.7326  2.7400  2.7503  2.7592  2.7629  2.7595  2.7466
  2.7217  2.6818  2.6262  2.5593  2.4887  2.3121  2.1412  1.9763  1.8169  1.6632
  1.5146
  2.7894  2.7360  2.7029  2.6874  2.6842  2.6884  2.6957  2.7016  2.6998  2.6911
  2.6744  2.6464  2.6033  2.5438  2.4756  2.3008  2.1311  1.9677  1.8097  1.6574
  1.5107  1.3689
  2.7817  2.7423  2.7005  2.6700  2.6512  2.6412  2.6377  2.6384  2.6418  2.6428
  2.6292  2.6056  2.5723  2.5248  2.4624  2.2908  2.1222  1.9602  1.8036  1.6523
  1.5068  1.3666  1.2312  1.0998
  2.7432  2.7189  2.6869  2.6512  2.6159  2.5863  2.5663  2.5576  2.5574  2.5644
  2.5687  2.5579  2.5337  2.4969  2.4453  2.2811  2.1140  1.9532  1.7982  1.6481
  1.5033  1.3640  1.2299  1.1003  0.9745  0.8521  0.7326  0.6160  0.5024  0.3930
  2.6598  2.6606  2.6467  2.6237  2.5956  2.5663  2.5397  2.5197  2.5069  2.4983
  2.4915  2.4850  2.4723  2.4494  2.4133  2.2700  2.1058  1.9463  1.7930  1.6446
  1.5006  1.3617  1.2283  1.0997  0.9755  0.8549  0.7374  0.6230  0.5112  0.4019
  0.2963
  2.5321  2.5582  2.5686  2.5659  2.5534  2.5340  2.5113  2.4890  2.4699  2.4547
  2.4408  2.4249  2.4067  2.3861  2.3599  2.2485  2.0961  1.9390  1.7874  1.6411
  1.4987  1.3602  1.2269  1.0988  0.9754  0.8561  0.7402  0.6275  0.5177  0.4102
  0.3049
  2.3675  2.4165  2.4504  2.4712  2.4792  2.4767  2.4658  2.4500  2.4321  2.4148
  2.3985  2.3809  2.3594  2.3337  2.3059  2.2104  2.0779  1.9281  1.7788  1.6346
  1.4944  1.3571  1.2238  1.0954  0.9721  0.8532  0.7383  0.6268  0.5184  0.4127
  0.3092
  2.1838  2.2471  2.2986  2.3401  2.3702  2.3883  2.3949  2.3921  2.3823  2.3687
  2.3535  2.3372  2.3180  2.2939  2.2648  2.1728  2.0536  1.9156  1.7714  1.6297
  1.4921  1.3571  1.2248  1.0963  0.9726  0.8537  0.7391  0.6284  0.5211  0.4168
  0.3132
  1.9983  2.0655  2.1275  2.1826  2.2299  2.2679  2.2941  2.3087  2.3125  2.3082
  2.2985  2.2856  2.2702  2.2511  2.2266  2.1405  2.0281  1.8996  1.7622  1.6239
  1.4886  1.3562  1.2261  1.0984  0.9744  0.8548  0.7399  0.6292  0.5223  0.4188
  0.3182
  1.8144  1.8838  1.9498  2.0123  2.0698  2.1209  2.1641  2.1969  2.2176  2.2273
  2.2279  2.2219  2.2116  2.1979  2.1913  2.1135  2.0014  1.8801  1.7512
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  K   
  2.9336  2.9466  2.9624  2.9772  2.9856  2.9843  2.9712  2.9452  2.9077  2.8595
  2.8015  2.7358  2.6657  2.5940  2.5221  2.3439  2.1697  2.0010  1.8378
  2.8641  2.8694  2.8813  2.8955  2.9071  2.9114  2.9056  2.8886  2.8612  2.8232
  2.7745  2.7150  2.6477  2.5768  2.5052  2.3282  2.1562  1.9899  1.8292  1.6732
  2.8130  2.8051  2.8087  2.8185  2.8294  2.8369  2.8369  2.8277  2.8094  2.7816
  2.7434  2.6934  2.6322  2.5635  2.4925  2.3159  2.1450  1.9804  1.8214  1.6675
  1.5188
  2.8027  2.7717  2.7508  2.7515  2.7584  2.7654  2.7680  2.7642  2.7528  2.7335
  2.7055  2.6666  2.6152  2.5520  2.4827  2.3067  2.1363  1.9726  1.8148  1.6624
  1.5154  1.3734
  2.8138  2.7658  2.7295  2.7053  2.6936  2.6946  2.7041  2.7059  2.6987  2.6840
  2.6622  2.6323  2.5922  2.5387  2.4739  2.2999  2.1298  1.9665  1.8095  1.6580
  1.5122  1.3716  1.2358  1.1041
  2.8185  2.7730  2.7273  2.6856  2.6525  2.6309  2.6225  2.6261  2.6328  2.6331
  2.6206  2.5960  2.5622  2.5190  2.4631  2.2944  2.1248  1.9618  1.8053  1.6546
  1.5094  1.3697  1.2352  1.1051  0.9789  0.8561  0.7363  0.6193  0.5056  0.3965
  2.8034  2.7671  2.7263  2.6840  2.6434  2.6081  2.5813  2.5636  2.5530  2.5483
  2.5483  2.5431  2.5241  2.4911  2.4457  2.2891  2.1207  1.9581  1.8021  1.6520
  1.5073  1.3680  1.2342  1.1052  0.9805  0.8594  0.7415  0.6266  0.5145  0.4054
  0.3001
