 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -2.1388 -2.1038 -2.1079 -2.0791 -2.0049 -1.9344 -1.9105 -1.9107 -1.8926 -1.8409
 -1.7702 -1.6857 -1.5974 -1.5139 -1.4339 -1.2576 -1.1201 -1.0182 -0.9379
 -2.1078 -2.0181 -1.9569 -1.9054 -1.8629 -1.8306 -1.8060 -1.7833 -1.7567 -1.7224
 -1.6773 -1.6187 -1.5468 -1.4689 -1.3938 -1.2323 -1.1081 -1.0160 -0.9471 -0.8973
 -2.0855 -1.9688 -1.8714 -1.8001 -1.7595 -1.7349 -1.7096 -1.6824 -1.6559 -1.6296
 -1.5974 -1.5557 -1.4996 -1.4310 -1.3617 -1.2125 -1.0989 -1.0153 -0.9550 -0.9107
 -0.8770
 -2.0719 -1.9559 -1.8514 -1.7632 -1.6947 -1.6473 -1.6213 -1.6080 -1.5902 -1.5625
 -1.5305 -1.4967 -1.4558 -1.4002 -1.3376 -1.1982 -1.0925 -1.0161 -0.9615 -0.9214
 -0.8908 -0.8666
 -2.0441 -1.9392 -1.8409 -1.7524 -1.6767 -1.6158 -1.5702 -1.5380 -1.5171 -1.5006
 -1.4768 -1.4451 -1.4117 -1.3701 -1.3169 -1.1873 -1.0876 -1.0166 -0.9676 -0.9321
 -0.9048 -0.8832 -0.8655 -0.8508
 -1.9922 -1.9043 -1.8194 -1.7397 -1.6669 -1.6027 -1.5488 -1.5057 -1.4715 -1.4437
 -1.4193 -1.3937 -1.3644 -1.3332 -1.2924 -1.1774 -1.0827 -1.0155 -0.9712 -0.9406
 -0.9176 -0.8994 -0.8843 -0.8717 -0.8609 -0.8519 -0.8453 -0.8430 -0.8470 -0.8582
 -1.9155 -1.8461 -1.7780 -1.7122 -1.6491 -1.5895 -1.5348 -1.4864 -1.4456 -1.4108
 -1.3795 -1.3498 -1.3198 -1.2920 -1.2601 -1.1644 -1.0767 -1.0122 -0.9708 -0.9450
 -0.9270 -0.9131 -0.9017 -0.8920 -0.8836 -0.8761 -0.8703 -0.8663 -0.8674 -0.8762
 -0.8926
 -1.8201 -1.7674 -1.7157 -1.6654 -1.6155 -1.5658 -1.5165 -1.4690 -1.4253 -1.3868
 -1.3523 -1.3200 -1.2885 -1.2577 -1.2287 -1.1461 -1.0681 -1.0066 -0.9667 -0.9439
 -0.9309 -0.9222 -0.9155 -0.9099 -0.9048 -0.9001 -0.8961 -0.8933 -0.8928 -0.8968
 -0.9104
 -1.7124 -1.6742 -1.6365 -1.6000 -1.5635 -1.5258 -1.4860 -1.4447 -1.4034 -1.3641
 -1.3281 -1.2951 -1.2635 -1.2324 -1.2031 -1.1265 -1.0561 -0.9990 -0.9598 -0.9382
 -0.9285 -0.9249 -0.9237 -0.9232 -0.9227 -0.9219 -0.9211 -0.9204 -0.9206 -0.9232
 -0.9310
 -1.6011 -1.5747 -1.5481 -1.5222 -1.4972 -1.4708 -1.4421 -1.4099 -1.3751 -1.3393
 -1.3042 -1.2712 -1.2404 -1.2109 -1.1822 -1.1104 -1.0444 -0.9909 -0.9527 -0.9306
 -0.9217 -0.9212 -0.9248 -0.9299 -0.9349 -0.9391 -0.9427 -0.9457 -0.9485 -0.9520
 -0.9563
 -1.4882 -1.4722 -1.4549 -1.4373 -1.4203 -1.4032 -1.3842 -1.3619 -1.3360 -1.3070
 -1.2761 -1.2453 -1.2158 -1.1880 -1.1613 -1.0958 -1.0333 -0.9824 -0.9456 -0.9229
 -0.9131 -0.9133 -0.9197 -0.9294 -0.9398 -0.9497 -0.9587 -0.9665 -0.9733 -0.9798
 -0.9868
 -1.3737 -1.3667 -1.3602 -1.3490 -1.3383 -1.3276 -1.3160 -1.3023 -1.2852 -1.2646
 -1.2407 -1.2149 -1.1884 -1.1626 -1.1404 -1.0827 -1.0228 -0.9735 -0.9385
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.3652 -2.3063 -2.2550 -2.2069 -2.1602 -2.1102 -2.0523 -1.9838 -1.9082 -1.8309
 -1.7509 -1.6669 -1.5802 -1.4962 -1.4133 -1.2463 -1.1148 -1.0149 -0.9418
 -2.2622 -2.1860 -2.1210 -2.0633 -2.0100 -1.9594 -1.9091 -1.8541 -1.7963 -1.7375
 -1.6757 -1.6078 -1.5327 -1.4554 -1.3818 -1.2248 -1.1035 -1.0123 -0.9454 -0.8961
