 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F555W
 -4.8265 -4.4838 -4.2347 -3.9591 -3.6543 -3.4042 -3.2602 -3.1713 -3.0688 -2.9299
 -2.7739 -2.6061 -2.4384 -2.2813 -2.1314 -1.7952 -1.5170 -1.3030 -1.1339
 -4.4295 -4.0279 -3.7278 -3.4814 -3.2793 -3.1171 -2.9854 -2.8720 -2.7652 -2.6567
 -2.5405 -2.4116 -2.2701 -2.1262 -1.9904 -1.6964 -1.4592 -1.2751 -1.1339 -1.0288
 -4.1591 -3.7342 -3.4087 -3.1700 -3.0054 -2.8787 -2.7604 -2.6491 -2.5470 -2.4522
 -2.3558 -2.2520 -2.1342 -2.0061 -1.8827 -1.6204 -1.4145 -1.2548 -1.1344 -1.0421
 -0.9683
 -4.0153 -3.6027 -3.2774 -3.0249 -2.8326 -2.6890 -2.5852 -2.5026 -2.4142 -2.3164
 -2.2198 -2.1273 -2.0307 -1.9210 -1.8083 -1.5672 -1.3829 -1.2421 -1.1354 -1.0521
 -0.9844 -0.9272
 -3.9109 -3.5224 -3.2109 -2.9626 -2.7649 -2.6080 -2.4836 -2.3836 -2.3016 -2.2252
 -2.1381 -2.0435 -1.9527 -1.8586 -1.7577 -1.5320 -1.3611 -1.2336 -1.1383 -1.0634
 -1.0017 -0.9487 -0.9019 -0.8599
 -3.8036 -3.4483 -3.1590 -2.9234 -2.7302 -2.5705 -2.4378 -2.3266 -2.2314 -2.1467
 -2.0673 -1.9857 -1.8998 -1.8142 -1.7223 -1.5094 -1.3463 -1.2267 -1.1399 -1.0733
 -1.0180 -0.9700 -0.9270 -0.8879 -0.8518 -0.8189 -0.7897 -0.7675 -0.7551 -0.7530
 -3.6818 -3.3630 -3.1006 -2.8834 -2.7009 -2.5455 -2.4116 -2.2952 -2.1934 -2.1024
 -2.0179 -1.9366 -1.8559 -1.7780 -1.6966 -1.4956 -1.3367 -1.2206 -1.1385 -1.0787
 -1.0305 -0.9885 -0.9506 -0.9155 -0.8825 -0.8514 -0.8232 -0.7980 -0.7803 -0.7738
 -0.7781
 -3.5526 -3.2672 -3.0309 -2.8335 -2.6650 -2.5183 -2.3883 -2.2720 -2.1674 -2.0732
 -1.9863 -1.9040 -1.8245 -1.7472 -1.6727 -1.4868 -1.3315 -1.2158 -1.1348 -1.0786
 -1.0367 -1.0016 -0.9699 -0.9401 -0.9116 -0.8841 -0.8580 -0.8340 -0.8136 -0.7998
 -0.7990
 -3.4209 -3.1654 -2.9514 -2.7716 -2.6172 -2.4809 -2.3579 -2.2455 -2.1423 -2.0475
 -1.9599 -1.8778 -1.7995 -1.7236 -1.6511 -1.4761 -1.3272 -1.2121 -1.1297 -1.0740
 -1.0358 -1.0070 -0.9822 -0.9591 -0.9365 -0.9139 -0.8917 -0.8703 -0.8506 -0.8343
 -0.8251
 -3.3027 -3.0733 -2.8749 -2.7070 -2.5634 -2.4365 -2.3213 -2.2146 -2.1152 -2.0224
 -1.9359 -1.8549 -1.7784 -1.7051 -1.6346 -1.4675 -1.3238 -1.2104 -1.1268 -1.0691
 -1.0311 -1.0056 -0.9869 -0.9708 -0.9552 -0.9390 -0.9225 -0.9056 -0.8889 -0.8735
 -0.8591
 -3.2020 -2.9918 -2.8060 -2.6448 -2.5061 -2.3854 -2.2767 -2.1761 -2.0815 -1.9925
 -1.9086 -1.8297 -1.7555 -1.6850 -1.6175 -1.4586 -1.3193 -1.2077 -1.1241 -1.0647
 -1.0251 -1.0000 -0.9844 -0.9740 -0.9654 -0.9565 -0.9468 -0.9359 -0.9242 -0.9124
 -0.9015
 -3.1189 -2.9209 -2.7465 -2.5897 -2.4525 -2.3329 -2.2270 -2.1307 -2.0408 -1.9561
 -1.8759 -1.8002 -1.7288 -1.6614 -1.5998 -1.4494 -1.3137 -1.2040 -1.1216
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F555W
 -5.7101 -5.2048 -4.7664 -4.3898 -4.0682 -3.7859 -3.5274 -3.2834 -3.0601 -2.8632
 -2.6831 -2.5117 -2.3469 -2.1930 -2.0394 -1.7397 -1.4940 -1.2947 -1.1418
 -5.3083 -4.7958 -4.3514 -3.9761 -3.6633 -3.4018 -3.1786 -2.9768 -2.7966 -2.6365
 -2.4883 -2.3434 -2.1977 -2.0566 -1.9264 -1.6528 -1.4369 -1.2648 -1.1312 -1.0285
 -4.9010 -4.3873 -3.9664 -3.6691 -3.3840 -3.1425 -2.9381 -2.7612 -2.6060 -2.4689
 -2.3435 -2.2215 -2.0954 -1.9663 -1.8442 -1.5897 -1.3952 -1.2435 -1.1256 -1.0337
 -0.9592
 -4.5986 -4.0843 -3.6794 -3.3696 -3.1299 -2.9366 -2.7696 -2.6154 -2.4738 -2.3471
 -2.2337 -2.1282 -2.0218 -1.9074 -1.7928 -1.5504 -1.3689 -1.2308 -1.1250 -1.0421
 -0.9746 -0.9175
 -4.4782 -3.9601 -3.5407 -3.2157 -2.9666 -2.7737 -2.6207 -2.4937 -2.3813 -2.2731
 -2.1630 -2.0600 -1.9637 -1.8658 -1.7609 -1.5274 -1.3531 -1.2236 -1.1266 -1.0516
 -0.9902 -0.9376 -0.8912 -0.8498
 -4.4219 -3.9060 -3.4860 -3.1512 -2.8869 -2.6786 -2.5144 -2.3840 -2.2791 -2.1933
 -2.1108 -2.0190 -1.9249 -1.8329 -1.7386 -1.5145 -1.3438 -1.2190 -1.1279 -1.0598
 -1.0048 -0.9573 -0.9150 -0.8766 -0.8413 -0.8094 -0.7813 -0.7600 -0.7479 -0.7458
 -4.3711 -3.8760 -3.4647 -3.1332 -2.8683 -2.6564 -2.4857 -2.3469 -2.2325 -2.1351
 -2.0496 -1.9712 -1.8914 -1.8084 -1.7215 -1.5072 -1.3382 -1.2152 -1.1274 -1.0644
 -1.0159 -0.9745 -0.9373 -0.9030 -0.8708 -0.8408 -0.8137 -0.7897 -0.7727 -0.7664
 -0.7708
 -4.3072 -3.8403 -3.4479 -3.1267 -2.8661 -2.6546 -2.4809 -2.3364 -2.2149 -2.1108
 -2.0184 -1.9338 -1.8544 -1.7785 -1.7027 -1.5027 -1.3350 -1.2118 -1.1248 -1.0646
 -1.0215 -0.9866 -0.9556 -0.9266 -0.8990 -0.8724 -0.8474 -0.8246 -0.8054 -0.7923
 -0.7918
 -4.2200 -3.7847 -3.4183 -3.1128 -2.8618 -2.6546 -2.4817 -2.3350 -2.2089 -2.0992
 -2.0020 -1.9136 -1.8309 -1.7527 -1.6790 -1.4956 -1.3324 -1.2080 -1.1201 -1.0604
 -1.0204 -0.9915 -0.9672 -0.9448 -0.9230 -0.9013 -0.8802 -0.8600 -0.8415 -0.8263
 -0.8178
 -4.1196 -3.7295 -3.3891 -3.0998 -2.8581 -2.6561 -2.4851 -2.3381 -2.2097 -2.0965
 -1.9953 -1.9038 -1.8194 -1.7398 -1.6646 -1.4887 -1.3322 -1.2074 -1.1171 -1.0556
 -1.0157 -0.9900 -0.9716 -0.9560 -0.9411 -0.9258 -0.9102 -0.8944 -0.8789 -0.8648
 -0.8514
 -4.0190 -3.6711 -3.3582 -3.0854 -2.8525 -2.6549 -2.4859 -2.3392 -2.2098 -2.0945
 -1.9908 -1.8970 -1.8110 -1.7310 -1.6555 -1.4821 -1.3304 -1.2072 -1.1152 -1.0511
 -1.0096 -0.9842 -0.9689 -0.9591 -0.9511 -0.9429 -0.9340 -0.9242 -0.9136 -0.9030
 -0.8932
 -3.9206 -3.6103 -3.3295 -3.0760 -2.8506 -2.6543 -2.4859 -2.3386 -2.2080 -2.0912
 -1.9856 -1.8899 -1.8025 -1.7221 -1.6517 -1.4758 -1.3270 -1.2074 -1.1144
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F555W
 -6.5606 -6.1120 -5.6951 -5.3000 -4.9255 -4.5399 -4.1089 -3.6387 -3.2363 -2.9145
 -2.6574 -2.4466 -2.2678 -2.1127 -1.9757 -1.6925 -1.4669 -1.2822 -1.1346
 -6.1986 -5.6986 -5.2412 -4.8234 -4.4387 -4.0754 -3.7046 -3.3232 -2.9953 -2.7260
 -2.5045 -2.3170 -2.1530 -2.0075 -1.8781 -1.6135 -1.4102 -1.2490 -1.1201 -1.0180
 -5.9174 -5.4019 -4.9241 -4.4908 -4.1035 -3.7567 -3.4337 -3.1144 -2.8329 -2.5972
 -2.4007 -2.2322 -2.0815 -1.9440 -1.8197 -1.5659 -1.3755 -1.2287 -1.1132 -1.0214
 -0.9474
 -5.5440 -5.0286 -4.6141 -4.2247 -3.8608 -3.5299 -3.2348 -2.9612 -2.7142 -2.5029
 -2.3246 -2.1718 -2.0348 -1.9066 -1.7871 -1.5396 -1.3561 -1.2179 -1.1114 -1.0277
 -0.9600 -0.9031
 -5.2187 -4.6898 -4.2490 -3.8803 -3.5689 -3.3022 -3.0655 -2.8372 -2.6226 -2.4315
 -2.2665 -2.1247 -1.9995 -1.8826 -1.7696 -1.5268 -1.3464 -1.2130 -1.1125 -1.0351
 -0.9733 -0.9211 -0.8753 -0.8348
 -5.1000 -4.5308 -4.0498 -3.6523 -3.3273 -3.0608 -2.8433 -2.6652 -2.5113 -2.3670
 -2.2242 -2.0909 -1.9712 -1.8628 -1.7587 -1.5219 -1.3423 -1.2110 -1.1143 -1.0418
 -0.9855 -0.9385 -0.8970 -0.8596 -0.8255 -0.7950 -0.7685 -0.7486 -0.7372 -0.7348
 -5.0832 -4.4886 -3.9797 -3.5599 -3.2192 -2.9440 -2.7208 -2.5377 -2.3860 -2.2609
 -2.1555 -2.0549 -1.9508 -1.8477 -1.7492 -1.5212 -1.3413 -1.2100 -1.1152 -1.0462
 -0.9948 -0.9535 -0.9172 -0.8840 -0.8532 -0.8246 -0.7991 -0.7773 -0.7613 -0.7551
 -0.7591
 -5.0996 -4.5012 -3.9785 -3.5411 -3.1856 -2.9001 -2.6699 -2.4826 -2.3285 -2.1993
 -2.0893 -1.9949 -1.9105 -1.8266 -1.7393 -1.5220 -1.3420 -1.2094 -1.1146 -1.0475
 -0.9971 -0.9640 -0.9336 -0.9059 -0.8796 -0.8545 -0.8312 -0.8091 -0.7911 -0.7807
 -0.7801
 -5.0933 -4.5139 -3.9936 -3.5527 -3.1887 -2.8944 -2.6573 -2.4643 -2.3054 -2.1726
 -2.0592 -1.9599 -1.8712 -1.7908 -1.7147 -1.5196 -1.3420 -1.2075 -1.1116 -1.0449
 -0.9995 -0.9681 -0.9439 -0.9225 -0.9020 -0.8819 -0.8625 -0.8439 -0.8273 -0.8139
 -0.8063
 -5.0544 -4.5089 -4.0142 -3.5802 -3.2156 -2.9163 -2.6730 -2.4738 -2.3090 -2.1704
 -2.0519 -1.9486 -1.8561 -1.7717 -1.6938 -1.5139 -1.3447 -1.2083 -1.1097 -1.0413
 -0.9960 -0.9670 -0.9478 -0.9328 -0.9190 -0.9051 -0.8911 -0.8769 -0.8632 -0.8509
 -0.8394
 -4.9860 -4.4855 -4.0253 -3.6075 -3.2497 -2.9497 -2.7019 -2.4972 -2.3266 -2.1822
 -2.0579 -1.9493 -1.8528 -1.7654 -1.6848 -1.5055 -1.3458 -1.2103 -1.1086 -1.0374
 -0.9905 -0.9617 -0.9452 -0.9355 -0.9283 -0.9213 -0.9138 -0.9054 -0.8965 -0.8876
 -0.8797
 -4.8910 -4.4445 -4.0251 -3.6350 -3.2893 -2.9919 -2.7409 -2.5304 -2.3532 -2.2025
