 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F125W
  0.8918  0.8611  0.8129  0.7800  0.7638  0.7373  0.6910  0.6454  0.6143  0.5974
  0.5873  0.5826  0.5791  0.5711  0.5600  0.5133  0.4403  0.3538  0.2649
  0.8507  0.8305  0.8023  0.7746  0.7451  0.7134  0.6809  0.6496  0.6207  0.5953
  0.5743  0.5582  0.5468  0.5369  0.5249  0.4787  0.4099  0.3266  0.2385  0.1481
  0.8279  0.8101  0.7904  0.7661  0.7339  0.7018  0.6739  0.6469  0.6194  0.5918
  0.5662  0.5434  0.5253  0.5116  0.4977  0.4506  0.3845  0.3038  0.2168  0.1283
  0.0398
  0.8234  0.7999  0.7772  0.7545  0.7302  0.7025  0.6700  0.6373  0.6104  0.5869
  0.5630  0.5382  0.5146  0.4952  0.4784  0.4290  0.3641  0.2854  0.1997  0.1126
  0.0257 -0.0608
  0.8362  0.8060  0.7780  0.7519  0.7265  0.7006  0.6731  0.6434  0.6120  0.5825
  0.5580  0.5354  0.5113  0.4876  0.4668  0.4136  0.3488  0.2716  0.1864  0.0996
  0.0135 -0.0718 -0.1564 -0.2406
  0.8627  0.8261  0.7921  0.7612  0.7324  0.7046  0.6768  0.6483  0.6189  0.5893
  0.5606  0.5346  0.5106  0.4859  0.4624  0.4039  0.3382  0.2620  0.1772  0.0898
  0.0033 -0.0819 -0.1657 -0.2486 -0.3309 -0.4129 -0.4954 -0.5797 -0.6662 -0.7518
  0.8963  0.8555  0.8166  0.7807  0.7478  0.7167  0.6867  0.6570  0.6270  0.5971
  0.5677  0.5396  0.5133  0.4873  0.4620  0.3997  0.3319  0.2562  0.1720  0.0838
 -0.0042 -0.0902 -0.1743 -0.2569 -0.3381 -0.4186 -0.4988 -0.5791 -0.6615 -0.7466
 -0.8312
  0.9273  0.8871  0.8465  0.8072  0.7705  0.7360  0.7031  0.6712  0.6396  0.6081
  0.5771  0.5472  0.5186  0.4913  0.4641  0.3991  0.3293  0.2535  0.1702  0.0816
 -0.0079 -0.0958 -0.1812 -0.2644 -0.3457 -0.4255 -0.5043 -0.5828 -0.6615 -0.7419
 -0.8257
  0.9457  0.9113  0.8736  0.8345  0.7963  0.7595  0.7241  0.6899  0.6561  0.6227
  0.5897  0.5575  0.5266  0.4970  0.4681  0.3994  0.3284  0.2521  0.1696  0.0814
 -0.0091 -0.0990 -0.1866 -0.2716 -0.3541 -0.4343 -0.5129 -0.5904 -0.6672 -0.7444
 -0.8235
  0.9443  0.9198  0.8901  0.8560  0.8200  0.7836  0.7473  0.7117  0.6764  0.6413
  0.6065  0.5722  0.5387  0.5064  0.4753  0.4019  0.3295  0.2528  0.1711  0.0842
 -0.0060 -0.0969 -0.1866 -0.2739 -0.3583 -0.4399 -0.5193 -0.5967 -0.6728 -0.7481
 -0.8244
  0.9218  0.9086  0.8887  0.8637  0.8343  0.8016  0.7673  0.7323  0.6969  0.6612
  0.6253  0.5894  0.5538  0.5191  0.4854  0.4062  0.3311  0.2543  0.1729  0.0873
 -0.0018 -0.0926 -0.1833 -0.2726 -0.3593 -0.4431 -0.5242 -0.6027 -0.6791 -0.7540
 -0.8281
  0.8781  0.8777  0.8677  0.8529  0.8325  0.8072  0.7782  0.7466  0.7133  0.6787
  0.6433  0.6070  0.5704  0.5340  0.4984  0.4123  0.3332  0.2566  0.1750
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F125W
  0.9038  0.8721  0.8357  0.7968  0.7567  0.7171  0.6796  0.6454  0.6159  0.5925
  0.5756  0.5647  0.5577  0.5507  0.5394  0.5004  0.4379  0.3566  0.2667
  0.9000  0.8739  0.8411  0.8038  0.7639  0.7232  0.6831  0.6453  0.6111  0.5817
  0.5581  0.5404  0.5284  0.5185  0.5073  0.4663  0.4059  0.3288  0.2421  0.1521
  0.8774  0.8602  0.8336  0.8012  0.7665  0.7289  0.6899  0.6515  0.6151  0.5819
  0.5528  0.5286  0.5103  0.4966  0.4832  0.4396  0.3800  0.3058  0.2216  0.1338
  0.0452
  0.8533  0.8393  0.8174  0.7888  0.7560  0.7213  0.6865  0.6528  0.6194  0.5866
  0.5556  0.5270  0.5024  0.4833  0.4671  0.4203  0.3602  0.2876  0.2052  0.1188
  0.0319 -0.0549
  0.8448  0.8228  0.8002  0.7737  0.7439  0.7121  0.6795  0.6470  0.6155  0.5856
  0.5576  0.5300  0.5029  0.4783  0.4581  0.4073  0.3460  0.2739  0.1926  0.1068
  0.0204 -0.0653 -0.1504 -0.2352
  0.8534  0.8249  0.7970  0.7699  0.7430  0.7153  0.6862  0.6554  0.6228  0.5890
  0.5581  0.5314  0.5055  0.4798  0.4558  0.3998  0.3367  0.2645  0.1837  0.0978
  0.0110 -0.0747 -0.1590 -0.2426 -0.3255 -0.4083 -0.4914 -0.5763 -0.6631 -0.7485
  0.8772  0.8415  0.8076  0.7755  0.7452  0.7160  0.6870  0.6575  0.6273  0.5967
  0.5663  0.5367  0.5095  0.4834  0.4581  0.3970  0.3317  0.2589  0.1784  0.0921
  0.0042 -0.0824 -0.1671 -0.2502 -0.3322 -0.4133 -0.4943 -0.5754 -0.6582 -0.7434
 -0.8279
  0.9112  0.8699  0.8303  0.7929  0.7579  0.7253  0.6943  0.6640  0.6338  0.6034
  0.5736  0.5444  0.5163  0.4889  0.4622  0.3985  0.3302  0.2565  0.1761  0.0899
  0.0008 -0.0875 -0.1735 -0.2573 -0.3392 -0.4197 -0.4993 -0.5784 -0.6578 -0.7387
 -0.8226
  0.9490  0.9058  0.8620  0.8198  0.7803  0.7434  0.7089  0.6763  0.6445  0.6131
  0.5822  0.5520  0.5229  0.4948  0.4670  0.4010  0.3311  0.2558  0.1753  0.0893
