 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F775W
 -0.5394 -0.4978 -0.5057 -0.4934 -0.4469 -0.4052 -0.4019 -0.4168 -0.4122 -0.3754
 -0.3216 -0.2548 -0.1852 -0.1212 -0.0612  0.0557  0.1222  0.1487  0.1570
 -0.5155 -0.4315 -0.3845 -0.3529 -0.3333 -0.3245 -0.3219 -0.3191 -0.3106 -0.2937
 -0.2661 -0.2259 -0.1737 -0.1165 -0.0624  0.0428  0.1029  0.1259  0.1284  0.1159
 -0.4984 -0.3954 -0.3193 -0.2716 -0.2536 -0.2509 -0.2477 -0.2420 -0.2360 -0.2294
 -0.2163 -0.1941 -0.1585 -0.1115 -0.0639  0.0309  0.0859  0.1063  0.1052  0.0923
  0.0720
 -0.4881 -0.3895 -0.3101 -0.2495 -0.2078 -0.1844 -0.1793 -0.1855 -0.1884 -0.1825
 -0.1722 -0.1594 -0.1396 -0.1062 -0.0657  0.0200  0.0712  0.0899  0.0875  0.0746
  0.0552  0.0308
 -0.4609 -0.3746 -0.3019 -0.2422 -0.1954 -0.1614 -0.1398 -0.1288 -0.1272 -0.1304
 -0.1288 -0.1209 -0.1113 -0.0930 -0.0629  0.0129  0.0608  0.0782  0.0739  0.0597
  0.0402  0.0167 -0.0105 -0.0411
 -0.4083 -0.3386 -0.2786 -0.2268 -0.1829 -0.1473 -0.1202 -0.1010 -0.0884 -0.0806
 -0.0763 -0.0723 -0.0670 -0.0611 -0.0461  0.0120  0.0560  0.0726  0.0660  0.0488
  0.0275  0.0034 -0.0232 -0.0526 -0.0846 -0.1196 -0.1582 -0.2025 -0.2531 -0.3057
 -0.3310 -0.2785 -0.2334 -0.1939 -0.1586 -0.1275 -0.1010 -0.0794 -0.0629 -0.0501
 -0.0396 -0.0305 -0.0222 -0.0177 -0.0109  0.0227  0.0579  0.0733  0.0653  0.0441
  0.0189 -0.0075 -0.0353 -0.0646 -0.0957 -0.1286 -0.1643 -0.2030 -0.2475 -0.2990
 -0.3532
 -0.2362 -0.1983 -0.1669 -0.1405 -0.1167 -0.0944 -0.0734 -0.0541 -0.0375 -0.0237
 -0.0118 -0.0010  0.0094  0.0184  0.0244  0.0467  0.0684  0.0800  0.0714  0.0470
  0.0168 -0.0139 -0.0446 -0.0756 -0.1072 -0.1397 -0.1736 -0.2097 -0.2489 -0.2933
 -0.3458
 -0.1299 -0.1046 -0.0845 -0.0688 -0.0561 -0.0441 -0.0318 -0.0188 -0.0060  0.0058
  0.0165  0.0262  0.0358  0.0453  0.0525  0.0721  0.0863  0.0918  0.0822  0.0563
  0.0219 -0.0144 -0.0498 -0.0842 -0.1180 -0.1516 -0.1855 -0.2204 -0.2569 -0.2965
 -0.3414
 -0.0195 -0.0041  0.0071  0.0146  0.0187  0.0215  0.0245  0.0291  0.0352  0.0422
  0.0494  0.0563  0.0632  0.0702  0.0767  0.0933  0.1049  0.1063  0.0955  0.0702
  0.0341 -0.0064 -0.0473 -0.0866 -0.1242 -0.1605 -0.1962 -0.2316 -0.2673 -0.3043
 -0.3435
  0.0933  0.1005  0.1043  0.1052  0.1032  0.0990  0.0943  0.0905  0.0886  0.0886
  0.0901  0.0925  0.0953  0.0986  0.1020  0.1121  0.1216  0.1210  0.1089  0.0846
  0.0493  0.0072 -0.0375 -0.0819 -0.1246 -0.1651 -0.2040 -0.2416 -0.2783 -0.3151
 -0.3529
  0.2085  0.2092  0.2037  0.2000  0.1929  0.1838  0.1735  0.1630  0.1537  0.1460
  0.1405  0.1366  0.1340  0.1324  0.1284  0.1285  0.1364  0.1359  0.1224
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F775W
 -0.8135 -0.7346 -0.6736 -0.6256 -0.5872 -0.5525 -0.5160 -0.4738 -0.4264 -0.3756
