 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F547M
 -4.9481 -4.6079 -4.3719 -4.1219 -3.8496 -3.6326 -3.5162 -3.4447 -3.3490 -3.2094
 -3.0501 -2.8763 -2.7026 -2.5403 -2.3868 -2.0473 -1.7717 -1.5643 -1.4031
 -4.5618 -4.1760 -3.8956 -3.6703 -3.4889 -3.3455 -3.2294 -3.1274 -3.0277 -2.9224
 -2.8063 -2.6752 -2.5305 -2.3836 -2.2458 -1.9516 -1.7187 -1.5416 -1.4083 -1.3116
 -4.2951 -3.8953 -3.5953 -3.3775 -3.2286 -3.1133 -3.0034 -2.8987 -2.8019 -2.7109
 -2.6163 -2.5128 -2.3941 -2.2648 -2.1406 -1.8797 -1.6787 -1.5258 -1.4129 -1.3282
 -1.2616
 -4.1480 -3.7658 -3.4710 -3.2435 -3.0687 -2.9360 -2.8382 -2.7586 -2.6716 -2.5749
 -2.4801 -2.3891 -2.2934 -2.1839 -2.0712 -1.8316 -1.6517 -1.5169 -1.4168 -1.3401
 -1.2788 -1.2277
 -4.0332 -3.6770 -3.3987 -3.1786 -3.0015 -2.8580 -2.7410 -2.6446 -2.5640 -2.4881
 -2.4015 -2.3080 -2.2188 -2.1258 -2.0256 -1.8014 -1.6338 -1.5113 -1.4217 -1.3526
 -1.2964 -1.2489 -1.2075 -1.1709
 -3.9111 -3.5879 -3.3329 -3.1277 -2.9583 -2.8153 -2.6930 -2.5876 -2.4951 -2.4117
 -2.3331 -2.2524 -2.1680 -2.0840 -1.9936 -1.7829 -1.6222 -1.5064 -1.4246 -1.3631
 -1.3128 -1.2696 -1.2315 -1.1973 -1.1661 -1.1382 -1.1141 -1.0982 -1.0933 -1.0967
 -3.7731 -3.4844 -3.2556 -3.0700 -2.9139 -2.7786 -2.6590 -2.5518 -2.4553 -2.3670
 -2.2840 -2.2041 -2.1247 -2.0485 -1.9688 -1.7715 -1.6148 -1.5017 -1.4238 -1.3686
 -1.3250 -1.2875 -1.2540 -1.2233 -1.1948 -1.1682 -1.1446 -1.1241 -1.1121 -1.1124
 -1.1219
 -3.6295 -3.3704 -3.1650 -2.9987 -2.8582 -2.7348 -2.6228 -2.5195 -2.4238 -2.3349
 -2.2512 -2.1710 -2.0932 -2.0175 -1.9447 -1.7629 -1.6107 -1.4975 -1.4201 -1.3682
 -1.3307 -1.2999 -1.2722 -1.2465 -1.2221 -1.1986 -1.1766 -1.1568 -1.1407 -1.1319
 -1.1371
 -3.4873 -3.2536 -3.0661 -2.9146 -2.7878 -2.6766 -2.5749 -2.4795 -2.3891 -2.3032
 -2.2214 -2.1430 -2.0672 -1.9934 -1.9226 -1.7516 -1.6062 -1.4939 -1.4147 -1.3629
 -1.3290 -1.3043 -1.2836 -1.2642 -1.2454 -1.2265 -1.2079 -1.1901 -1.1740 -1.1616
 -1.1567
 -3.3648 -3.1511 -2.9739 -2.8299 -2.7111 -2.6087 -2.5168 -2.4304 -2.3478 -2.2680
 -2.1908 -2.1162 -2.0438 -1.9736 -1.9055 -1.7425 -1.6021 -1.4917 -1.4112 -1.3570
 -1.3231 -1.3018 -1.2870 -1.2747 -1.2625 -1.2498 -1.2365 -1.2228 -1.2092 -1.1970
 -1.1855
 -3.2665 -3.0660 -2.8952 -2.7522 -2.6339 -2.5349 -2.4486 -2.3698 -2.2953 -2.2232
