 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F390M
 -9.8349 -9.7288 -9.6875 -9.5914 -9.4096 -9.2240 -9.1232 -9.0825 -9.0032 -8.8254
 -8.5782 -8.2787 -7.9505 -7.6175 -7.2813 -6.4284 -5.5819 -4.8813 -4.3091
 -9.5629 -9.3170 -9.1328 -8.9737 -8.8317 -8.7062 -8.5927 -8.4790 -8.3473 -8.1821
 -7.9713 -7.7094 -7.4040 -7.0850 -6.7735 -6.0200 -5.2957 -4.6817 -4.2029 -3.8457
 -9.4151 -9.0749 -8.7896 -8.5616 -8.3933 -8.2569 -8.1188 -7.9696 -7.8116 -7.6440
 -7.4495 -7.2177 -6.9431 -6.6459 -6.3578 -5.6889 -5.0677 -4.5293 -4.1173 -3.8077
 -3.5648
 -9.3915 -9.0025 -8.6579 -8.3551 -8.0944 -7.8761 -7.7015 -7.5543 -7.3961 -7.2111
 -7.0128 -6.8036 -6.5678 -6.3002 -6.0342 -5.4351 -4.8979 -4.4241 -4.0524 -3.7733
 -3.5550 -3.3759
 -9.4509 -9.0248 -8.6414 -8.2954 -7.9841 -7.7068 -7.4628 -7.2502 -7.0667 -6.8967
 -6.7095 -6.5021 -6.2885 -6.0547 -5.8087 -5.2587 -4.7828 -4.3600 -4.0177 -3.7597
 -3.5597 -3.3962 -3.2574 -3.1366
 -9.5849 -9.1277 -8.7107 -8.3302 -7.9836 -7.6680 -7.3817 -7.1236 -6.8920 -6.6838
 -6.4932 -6.3053 -6.1084 -5.9004 -5.6738 -5.1517 -4.7156 -4.3300 -4.0076 -3.7619
 -3.5743 -3.4230 -3.2952 -3.1842 -3.0860 -2.9978 -2.9185 -2.8448 -2.7767 -2.7232
 -9.7783 -9.2999 -8.8555 -8.4443 -8.0657 -7.7191 -7.4017 -7.1105 -6.8450 -6.6034
 -6.3833 -6.1807 -5.9890 -5.8021 -5.6014 -5.1031 -4.6865 -4.3262 -4.0167 -3.7758
 -3.5947 -3.4524 -3.3341 -3.2321 -3.1423 -3.0619 -2.9898 -2.9243 -2.8662 -2.8171
 -2.7783
-10.0153 -9.5219 -9.0591 -8.6244 -8.2183 -7.8428 -7.4967 -7.1781 -6.8847 -6.6155
 -6.3687 -6.1430 -5.9363 -5.7445 -5.5571 -5.0935 -4.6842 -4.3395 -4.0397 -3.7985
 -3.6181 -3.4809 -3.3705 -3.2772 -3.1958 -3.1234 -3.0585 -3.0002 -2.9481 -2.9039
 -2.8720
-10.2738 -9.7723 -9.2963 -8.8468 -8.4206 -8.0204 -7.6483 -7.3039 -6.9860 -6.6924
 -6.4214 -6.1724 -5.9446 -5.7365 -5.5417 -5.0934 -4.6963 -4.3571 -4.0666 -3.8250
 -3.6415 -3.5052 -3.4004 -3.3152 -3.2425 -3.1785 -3.1216 -3.0706 -3.0250 -2.9854
 -2.9542
-10.5468-10.0545 -9.5672 -9.1054 -8.6657 -8.2480 -7.8547 -7.4870 -7.1453 -6.8287
 -6.5353 -6.2637 -6.0135 -5.7847 -5.5740 -5.1107 -4.7212 -4.3838 -4.0975 -3.8575
 -3.6692 -3.5293 -3.4257 -3.3461 -3.2815 -3.2261 -3.1778 -3.1348 -3.0966 -3.0633
 -3.0327
-10.8337-10.3370 -9.8507 -9.3803 -8.9300 -8.5025 -8.0956 -7.7100 -7.3476 -7.0092
 -6.6940 -6.4012 -6.1294 -5.8784 -5.6470 -5.1482 -4.7516 -4.4146 -4.1281 -3.8883
 -3.6968 -3.5520 -3.4455 -3.3675 -3.3088 -3.2618 -3.2225 -3.1883 -3.1581 -3.1321
 -3.1102
-11.1346-10.6198-10.1199 -9.6522 -9.1987 -8.7655 -8.3521 -7.9569 -7.5804 -7.2246
 -6.8900 -6.5767 -6.2841 -6.0118 -5.7607 -5.2059 -4.7875 -4.4495 -4.1584
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F390M
 -9.1981 -9.1296 -9.0919 -9.0706 -9.0529 -9.0271 -8.9832 -8.9127 -8.8058 -8.6507
