 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  I   
 -0.7575 -0.7377 -0.7678 -0.7850 -0.7729 -0.7644 -0.7882 -0.8253 -0.8400 -0.8193
 -0.7796 -0.7252 -0.6669 -0.6125 -0.5620 -0.4665 -0.4193 -0.4086 -0.4130
 -0.7605 -0.7074 -0.6890 -0.6850 -0.6916 -0.7073 -0.7272 -0.7448 -0.7544 -0.7530
 -0.7383 -0.7089 -0.6663 -0.6179 -0.5722 -0.4860 -0.4426 -0.4339 -0.4434 -0.4657
 -0.7620 -0.6957 -0.6527 -0.6330 -0.6381 -0.6555 -0.6710 -0.6827 -0.6925 -0.7000
 -0.6988 -0.6865 -0.6594 -0.6204 -0.5804 -0.5028 -0.4627 -0.4553 -0.4676 -0.4900
 -0.5187
 -0.7620 -0.7026 -0.6589 -0.6290 -0.6124 -0.6090 -0.6196 -0.6390 -0.6543 -0.6603
 -0.6611 -0.6580 -0.6462 -0.6200 -0.5866 -0.5169 -0.4796 -0.4728 -0.4857 -0.5080
 -0.5358 -0.5678
 -0.7406 -0.6941 -0.6580 -0.6300 -0.6092 -0.5960 -0.5906 -0.5923 -0.6012 -0.6137
 -0.6213 -0.6226 -0.6214 -0.6104 -0.5868 -0.5262 -0.4915 -0.4854 -0.4996 -0.5229
 -0.5507 -0.5820 -0.6163 -0.6537
 -0.6925 -0.6621 -0.6383 -0.6181 -0.6006 -0.5861 -0.5755 -0.5693 -0.5671 -0.5682
 -0.5720 -0.5759 -0.5785 -0.5799 -0.5719 -0.5287 -0.4974 -0.4917 -0.5078 -0.5336
 -0.5630 -0.5948 -0.6288 -0.6653 -0.7040 -0.7452 -0.7895 -0.8387 -0.8932 -0.9494
 -0.6201 -0.6060 -0.5961 -0.5874 -0.5778 -0.5677 -0.5581 -0.5499 -0.5441 -0.5402
 -0.5376 -0.5359 -0.5347 -0.5371 -0.5371 -0.5189 -0.4964 -0.4917 -0.5089 -0.5384
 -0.5712 -0.6051 -0.6401 -0.6766 -0.7147 -0.7544 -0.7966 -0.8414 -0.8911 -0.9468
 -1.0048
 -0.5305 -0.5302 -0.5331 -0.5364 -0.5374 -0.5354 -0.5310 -0.5254 -0.5200 -0.5155
 -0.5116 -0.5079 -0.5043 -0.5018 -0.5022 -0.4949 -0.4862 -0.4854 -0.5033 -0.5357
 -0.5733 -0.6111 -0.6487 -0.6865 -0.7250 -0.7644 -0.8052 -0.8480 -0.8935 -0.9435
 -1.0005
 -0.4310 -0.4419 -0.4549 -0.4681 -0.4792 -0.4868 -0.4904 -0.4908 -0.4894 -0.4873
 -0.4849 -0.4823 -0.4793 -0.4761 -0.4750 -0.4696 -0.4683 -0.4739 -0.4928 -0.5268
 -0.5685 -0.6114 -0.6534 -0.6943 -0.7346 -0.7748 -0.8156 -0.8572 -0.9005 -0.9466
 -0.9974
 -0.3284 -0.3474 -0.3679 -0.3881 -0.4071 -0.4231 -0.4355 -0.4438 -0.4489 -0.4517
 -0.4532 -0.4537 -0.4534 -0.4525 -0.4518 -0.4487 -0.4497 -0.4594 -0.4796 -0.5131
 -0.5565 -0.6036 -0.6506 -0.6960 -0.7397 -0.7822 -0.8242 -0.8660 -0.9084 -0.9521
 -0.9983
 -0.2242 -0.2496 -0.2758 -0.3013 -0.3255 -0.3480 -0.3677 -0.3839 -0.3966 -0.4063
 -0.4135 -0.4189 -0.4230 -0.4258 -0.4279 -0.4306 -0.4332 -0.4447 -0.4663 -0.4988
 -0.5415 -0.5901 -0.6409 -0.6911 -0.7393 -0.7856 -0.8303 -0.8738 -0.9167 -0.9597
 -1.0038
 -0.1183 -0.1485 -0.1816 -0.2103 -0.2388 -0.2658 -0.2907 -0.3133 -0.3331 -0.3501
 -0.3642 -0.3760 -0.3857 -0.3937 -0.4033 -0.4153 -0.4188 -0.4298 -0.4529
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  I   
 -1.0029 -0.9452 -0.9077 -0.8855 -0.8744 -0.8686 -0.8625 -0.8520 -0.8354 -0.8115
 -0.7772 -0.7323 -0.6798 -0.6268 -0.5752 -0.4791 -0.4236 -0.4067 -0.4155
 -0.8887 -0.8223 -0.7821 -0.7626 -0.7574 -0.7608 -0.7676 -0.7719 -0.7716 -0.7645
 -0.7473 -0.7179 -0.6770 -0.6310 -0.5871 -0.5001 -0.4491 -0.4322 -0.4404 -0.4622
 -0.8351 -0.7493 -0.6987 -0.6801 -0.6736 -0.6786 -0.6902 -0.7026 -0.7124 -0.7171
