 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  B   
 -8.5085 -8.2620 -8.1029 -7.9076 -7.6604 -7.4474 -7.3344 -7.2638 -7.1480 -6.9613
 -6.7406 -6.4971 -6.2483 -6.0092 -5.7761 -5.2300 -4.7408 -4.3400 -4.0122
 -8.1857 -7.8514 -7.6006 -7.3892 -7.2087 -7.0564 -6.9242 -6.7985 -6.6653 -6.5154
 -6.3430 -6.1445 -5.9249 -5.7025 -5.4911 -5.0146 -4.5976 -4.2481 -3.9700 -3.7558
 -7.9708 -7.5907 -7.2859 -7.0502 -6.8781 -6.7364 -6.5937 -6.4495 -6.3083 -6.1689
 -6.0187 -5.8509 -5.6604 -5.4579 -5.2649 -4.8424 -4.4831 -4.1778 -3.9369 -3.7489
 -3.5961
 -7.8638 -7.4799 -7.1588 -6.8906 -6.6686 -6.4874 -6.3429 -6.2168 -6.0770 -5.9218
 -5.7677 -5.6163 -5.4548 -5.2754 -5.0975 -4.7134 -4.3973 -4.1291 -3.9130 -3.7432
 -3.6044 -3.4856
 -7.7898 -7.4167 -7.0975 -6.8225 -6.5836 -6.3762 -6.1962 -6.0394 -5.9014 -5.7674
 -5.6171 -5.4576 -5.3041 -5.1454 -4.9815 -4.6238 -4.3371 -4.0974 -3.9011 -3.7458
 -3.6187 -3.5092 -3.4116 -3.3229
 -7.7150 -7.3638 -7.0572 -6.7867 -6.5453 -6.3280 -6.1320 -5.9553 -5.7951 -5.6478
 -5.5077 -5.3644 -5.2157 -5.0663 -4.9105 -4.5671 -4.2987 -4.0783 -3.8968 -3.7526
 -3.6354 -3.5348 -3.4447 -3.3621 -3.2854 -3.2140 -3.1483 -3.0865 -3.0311 -2.9971
 -7.6253 -7.3036 -7.0175 -6.7596 -6.5239 -6.3066 -6.1054 -5.9186 -5.7463 -5.5867
 -5.4372 -5.2946 -5.1547 -5.0181 -4.8758 -4.5396 -4.2779 -4.0692 -3.8973 -3.7605
 -3.6514 -3.5590 -3.4767 -3.4009 -3.3300 -3.2632 -3.2010 -3.1433 -3.0906 -3.0465
 -3.0218
 -7.5222 -7.2302 -6.9683 -6.7288 -6.5051 -6.2943 -6.0945 -5.9052 -5.7267 -5.5598
 -5.4033 -5.2559 -5.1159 -4.9819 -4.8509 -4.5344 -4.2721 -4.0676 -3.9013 -3.7681
 -3.6641 -3.5790 -3.5045 -3.4363 -3.3723 -3.3114 -3.2538 -3.1999 -3.1502 -3.1063
 -3.0731
 -7.4074 -7.1432 -6.9040 -6.6844 -6.4766 -6.2771 -6.0841 -5.8978 -5.7190 -5.5490
 -5.3881 -5.2367 -5.0940 -4.9591 -4.8304 -4.5302 -4.2747 -4.0702 -3.9064 -3.7745
 -3.6724 -3.5921 -3.5249 -3.4647 -3.4085 -3.3547 -3.3034 -3.2543 -3.2083 -3.1664
 -3.1312
 -7.2959 -7.0572 -6.8353 -6.6315 -6.4395 -6.2536 -6.0718 -5.8930 -5.7184 -5.5494
 -5.3875 -5.2338 -5.0886 -4.9521 -4.8230 -4.5293 -4.2813 -4.0779 -3.9150 -3.7836
 -3.6806 -3.6017 -3.5392 -3.4862 -3.4381 -3.3925 -3.3486 -3.3062 -3.2655 -3.2273
 -3.1919
 -7.1917 -6.9693 -6.7628 -6.5700 -6.3889 -6.2162 -6.0469 -5.8790 -5.7127 -5.5491
 -5.3898 -5.2365 -5.0904 -4.9523 -4.8220 -4.5295 -4.2862 -4.0850 -3.9227 -3.7918
 -3.6882 -3.6087 -3.5477 -3.4994 -3.4584 -3.4211 -3.3856 -3.3510 -3.3173 -3.2848
 -3.2544
 -7.0948 -6.8795 -6.6852 -6.5013 -6.3284 -6.1644 -6.0059 -5.8499 -5.6942 -5.5397
 -5.3870 -5.2378 -5.0936 -4.9557 -4.8274 -4.5308 -4.2894 -4.0915 -3.9295
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  B   
 -8.6642 -8.3551 -8.0980 -7.8809 -7.6926 -7.5182 -7.3440 -7.1604 -6.9666 -6.7637
 -6.5467 -6.3153 -6.0781 -5.8504 -5.6263 -5.1519 -4.7290 -4.3551 -4.0497
 -8.2817 -7.9362 -7.6502 -7.4164 -7.2217 -7.0516 -6.8929 -6.7321 -6.5665 -6.3934
 -6.2073 -6.0041 -5.7873 -5.5735 -5.3751 -4.9451 -4.5786 -4.2583 -3.9907 -3.7772
 -7.9971 -7.6125 -7.3061 -7.0809 -6.8748 -6.6989 -6.5431 -6.3951 -6.2475 -6.0966
 -5.9371 -5.7634 -5.5716 -5.3720 -5.1844 -4.7871 -4.4627 -4.1844 -3.9483 -3.7570
 -3.5993
 -7.8409 -7.4271 -7.0987 -6.8442 -6.6421 -6.4717 -6.3160 -6.1636 -6.0156 -5.8719
 -5.7276 -5.5775 -5.4136 -5.2326 -5.0542 -4.6779 -4.3813 -4.1334 -3.9225 -3.7491
