 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F475W
 -3.6329 -1.8250 -0.2045 -0.5594 -3.2893 -8.1278 -6.3283 -3.6568 -2.2277 -2.2558
 -2.1332 -2.0409 -2.5448 -3.0483 -3.0793 -2.3038
 -5.7141 -4.6556 -3.5628 -3.3744 -4.2482 -6.3987 -5.6211 -4.4047 -3.5547 -3.2463
 -2.9715 -2.8128 -2.9359 -3.0628 -2.9655 -2.2569 -1.7973 -1.5142 -1.4237
 -6.2206 -5.6770 -5.0417 -4.6403 -4.5289 -4.9988 -4.7643 -4.3910 -3.9878 -3.6239
 -3.3373 -3.1509 -3.0463 -2.9405 -2.7692 -2.1620 -1.7174 -1.4506 -1.2966 -1.1631
 -0.9577
 -5.1524 -4.8892 -4.6413 -4.3571 -4.1313 -3.9280 -3.7579 -3.6157 -3.5271 -3.3885
 -3.2308 -3.0553 -2.8758 -2.6813 -2.4904 -2.0191 -1.6672 -1.4123 -1.2245 -1.0815
 -0.9660 -0.8676 -0.7802
 -4.7535 -4.5462 -4.3407 -4.1156 -3.9035 -3.6986 -3.5104 -3.3432 -3.1955 -3.0592
 -2.9217 -2.7748 -2.6218 -2.4640 -2.3046 -1.9207 -1.6106 -1.3855 -1.2194 -1.0902
 -0.9840 -0.8924 -0.8105 -0.7364 -0.6690
 -4.3633 -4.2022 -4.0351 -3.8581 -3.6713 -3.4809 -3.2941 -3.1197 -2.9618 -2.8194
 -2.6878 -2.5597 -2.4283 -2.2956 -2.1602 -1.8412 -1.5683 -1.3660 -1.2168 -1.0998
 -1.0026 -0.9179 -0.8416 -0.7713 -0.7062 -0.6463
 -3.9817 -3.8572 -3.7245 -3.5846 -3.4348 -3.2749 -3.1090 -2.9452 -2.7905 -2.6486
 -2.5195 -2.4002 -2.2858 -2.1727 -2.0572 -1.7806 -1.5403 -1.3538 -1.2167 -1.1103
 -1.0218 -0.9441 -0.8735 -0.8079 -0.7461 -0.6884 -0.6354 -0.5878 -0.5487 -0.5267
 -3.6087 -3.5112 -3.4089 -3.3024 -3.1889 -3.0656 -2.9324 -2.7933 -2.6541 -2.5214
 -2.3983 -2.2849 -2.1801 -2.0803 -1.9820 -1.7399 -1.5239 -1.3483 -1.2173 -1.1184
 -1.0379 -0.9676 -0.9036 -0.8437 -0.7866 -0.7321 -0.6805 -0.6337 -0.5937 -0.5634
 -0.5494
 -3.2577 -3.1822 -3.1046 -3.0253 -2.9419 -2.8524 -2.7543 -2.6468 -2.5326 -2.4173
 -2.3052 -2.1999 -2.1021 -2.0108 -1.9232 -1.7112 -1.5144 -1.3485 -1.2194 -1.1231
 -1.0484 -0.9855 -0.9289 -0.8757 -0.8246 -0.7751 -0.7278 -0.6821 -0.6413 -0.6088
 -0.5870
 -2.9345 -2.8780 -2.8213 -2.7645 -2.7054 -2.6427 -2.5742 -2.4978 -2.4124 -2.3197
 -2.2242 -2.1303 -2.0403 -1.9554 -1.8750 -1.6854 -1.5052 -1.3485 -1.2222 -1.1253
 -1.0527 -0.9953 -0.9461 -0.9006 -0.8567 -0.8136 -0.7716 -0.7310 -0.6928 -0.6595
 -0.6313
 -2.6390 -2.6023 -2.5640 -2.5243 -2.4843 -2.4421 -2.3964 -2.3455 -2.2874 -2.2201
 -2.1459 -2.0679 -1.9889 -1.9112 -1.8363 -1.6609 -1.4984 -1.3493 -1.2264 -1.1291
 -1.0553 -0.9998 -0.9558 -0.9177 -0.8818 -0.8464 -0.8113 -0.7766 -0.7429 -0.7110
 -0.6811
 -2.3846 -2.3551 -2.3281 -2.3035 -2.2789 -2.2522 -2.2241 -2.1923 -2.1554 -2.1094
 -2.0554 -1.9959 -1.9328 -1.8681 -1.8030 -1.6424 -1.4892 -1.3485 -1.2283 -1.1321
 -1.0574 -1.0011 -0.9591 -0.9261 -0.8974 -0.8701 -0.8430 -0.8157 -0.7882 -0.7613
 -0.7360
 -2.1714 -2.1363 -2.1136 -2.1021 -2.0892 -2.0730 -2.0586 -2.0414 -2.0200 -1.9922
 -1.9581 -1.9180 -1.8726 -1.8261 -1.7751 -1.6299 -1.4776 -1.3461 -1.2279
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F475W
 -5.2462 -4.9233 -4.7068 -4.6027 -4.6303 -5.0998 -4.8033 -4.4983 -4.2470 -4.0405
 -3.7693 -3.5019 -3.3634 -3.2581 -3.0852 -2.4649
 -5.1187 -4.7869 -4.5385 -4.3748 -4.3067 -4.4898 -4.3073 -4.1073 -3.9172 -3.7365
 -3.5264 -3.3140 -3.1462 -2.9897 -2.8057 -2.2778 -1.8446 -1.5210 -1.2815
 -4.9768 -4.6469 -4.3806 -4.1757 -4.0367 -4.0161 -3.8956 -3.7601 -3.6119 -3.4535
 -3.2869 -3.1137 -2.9354 -2.7534 -2.5688 -2.1186 -1.7453 -1.4606 -1.2494 -1.0881
 -0.9587
 -4.8205 -4.5033 -4.2331 -4.0054 -3.8203 -3.6787 -3.5682 -3.4567 -3.3314 -3.1917
 -3.0507 -2.9010 -2.7310 -2.5492 -2.3745 -1.9873 -1.6655 -1.4151 -1.2280 -1.0835
 -0.9662 -0.8665 -0.7770
 -4.6498 -4.3561 -4.0960 -3.8639 -3.6575 -3.4776 -3.3251 -3.1971 -3.0755 -2.9510
 -2.8179 -2.6760 -2.5330 -2.3771 -2.2228 -1.8839 -1.6052 -1.3845 -1.2174 -1.0870
 -0.9799 -0.8876 -0.8056 -0.7316 -0.6643
 -4.4647 -4.2053 -3.9693 -3.7512 -3.5483 -3.3610 -3.1904 -3.0381 -2.9026 -2.7779
 -2.6529 -2.5212 -2.3897 -2.2530 -2.1133 -1.8081 -1.5613 -1.3642 -1.2136 -1.0953
 -0.9973 -0.9120 -0.8354 -0.7652 -0.7005 -0.6409
 -4.2589 -4.0375 -3.8332 -3.6392 -3.4529 -3.2739 -3.1036 -2.9440 -2.7973 -2.6628
 -2.5364 -2.4133 -2.2903 -2.1700 -2.0441 -1.7586 -1.5319 -1.3512 -1.2128 -1.1049
 -1.0154 -0.9371 -0.8664 -0.8009 -0.7396 -0.6824 -0.6299 -0.5829 -0.5443 -0.5225
 -4.0425 -3.8558 -3.6828 -3.5174 -3.3542 -3.1926 -3.0332 -2.8785 -2.7305 -2.5922
 -2.4631 -2.3411 -2.2234 -2.1107 -1.9975 -1.7326 -1.5156 -1.3444 -1.2127 -1.1122
 -1.0308 -0.9599 -0.8958 -0.8360 -0.7793 -0.7256 -0.6753 -0.6288 -0.5888 -0.5590
 -0.5453
 -3.7968 -3.6615 -3.5238 -3.3842 -3.2457 -3.1057 -2.9633 -2.8205 -2.6799 -2.5438
 -2.4147 -2.2933 -2.1785 -2.0692 -1.9632 -1.7174 -1.5097 -1.3432 -1.2126 -1.1165
 -1.0387 -0.9775 -0.9206 -0.8676 -0.8169 -0.7680 -0.7213 -0.6794 -0.6427 -0.6106
 -0.5827
 -3.5947 -3.4803 -3.3629 -3.2430 -3.1252 -3.0064 -2.8838 -2.7576 -2.6292 -2.5012
 -2.3763 -2.2569 -2.1442 -2.0377 -1.9358 -1.7031 -1.5051 -1.3436 -1.2157 -1.1181
 -1.0450 -0.9872 -0.9377 -0.8923 -0.8488 -0.8062 -0.7649 -0.7249 -0.6873 -0.6536
 -0.6269
