 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F814W
 -1.8286 -0.9271  0.2396  0.6214 -0.1987 -2.0793 -1.3394 -0.1185  0.6076  0.6319
  0.6933  0.6533  0.2389 -0.2534 -0.5301 -0.4506
 -1.6152 -1.2205 -0.6477 -0.4040 -0.6480 -1.4690 -1.1425 -0.6000 -0.2101 -0.0833
  0.0140  0.0219 -0.1478 -0.3631 -0.4843 -0.4221 -0.3825 -0.3685 -0.4296
 -1.2843 -1.1770 -0.9811 -0.8446 -0.8037 -0.9877 -0.9001 -0.7591 -0.6132 -0.4899
 -0.4067 -0.3776 -0.4020 -0.4440 -0.4639 -0.4153 -0.4029 -0.3950 -0.4211 -0.4509
 -0.4563
 -0.8359 -0.7966 -0.7606 -0.7004 -0.6659 -0.6355 -0.6122 -0.5959 -0.6018 -0.5879
 -0.5687 -0.5451 -0.5236 -0.4962 -0.4689 -0.4302 -0.4093 -0.4109 -0.4259 -0.4503
 -0.4797 -0.5126 -0.5478
 -0.6421 -0.6358 -0.6274 -0.6063 -0.5891 -0.5704 -0.5528 -0.5379 -0.5264 -0.5175
 -0.5080 -0.4958 -0.4833 -0.4688 -0.4523 -0.4267 -0.4223 -0.4310 -0.4481 -0.4715
 -0.4993 -0.5304 -0.5639 -0.6002 -0.6399
 -0.4642 -0.4829 -0.4967 -0.5043 -0.5052 -0.5009 -0.4932 -0.4843 -0.4757 -0.4681
 -0.4618 -0.4561 -0.4495 -0.4436 -0.4353 -0.4208 -0.4267 -0.4425 -0.4636 -0.4883
 -0.5161 -0.5466 -0.5793 -0.6141 -0.6511 -0.6911
 -0.3021 -0.3379 -0.3685 -0.3944 -0.4142 -0.4270 -0.4334 -0.4351 -0.4340 -0.4313
 -0.4282 -0.4252 -0.4226 -0.4211 -0.4179 -0.4125 -0.4225 -0.4454 -0.4724 -0.5007
 -0.5301 -0.5612 -0.5940 -0.6282 -0.6639 -0.7016 -0.7419 -0.7872 -0.8385 -0.8922
 -0.1558 -0.2008 -0.2428 -0.2821 -0.3170 -0.3459 -0.3677 -0.3826 -0.3918 -0.3970
 -0.3996 -0.4005 -0.4007 -0.4009 -0.4012 -0.4023 -0.4136 -0.4393 -0.4721 -0.5061
 -0.5396 -0.5730 -0.6069 -0.6417 -0.6772 -0.7138 -0.7516 -0.7927 -0.8394 -0.8922
 -0.9479
 -0.0325 -0.0797 -0.1269 -0.1739 -0.2187 -0.2597 -0.2952 -0.3236 -0.3447 -0.3597
 -0.3697 -0.3763 -0.3807 -0.3837 -0.3856 -0.3913 -0.4032 -0.4279 -0.4633 -0.5027
 -0.5419 -0.5798 -0.6166 -0.6532 -0.6897 -0.7266 -0.7644 -0.8032 -0.8451 -0.8924
 -0.9465
  0.0698  0.0222 -0.0268 -0.0770 -0.1268 -0.1750 -0.2199 -0.2594 -0.2921 -0.3174
 -0.3360 -0.3495 -0.3592 -0.3661 -0.3709 -0.3796 -0.3928 -0.4156 -0.4500 -0.4920
 -0.5364 -0.5800 -0.6217 -0.6618 -0.7008 -0.7391 -0.7774 -0.8163 -0.8565 -0.9001
 -0.9472
