 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F606W
  0.3258  2.1887  3.3081  2.1247 -1.0463 -5.3352 -4.3580 -2.5374 -1.4229 -1.2589
 -1.0792 -0.9948 -1.3725 -1.8625 -2.0028 -1.5904
 -2.6333 -1.7245 -0.9708 -1.2128 -2.3240 -4.1865 -3.7439 -2.8945 -2.2407 -1.9498
 -1.7195 -1.6027 -1.7122 -1.8843 -1.9051 -1.5495 -1.3167 -1.1824 -1.1751
 -3.7973 -3.4515 -3.0174 -2.8074 -2.8192 -3.2151 -3.0670 -2.7987 -2.5033 -2.2426
 -2.0443 -1.9249 -1.8785 -1.8541 -1.7942 -1.5033 -1.3030 -1.1785 -1.1226 -1.0785
 -0.9912
 -3.1662 -2.9923 -2.8317 -2.6591 -2.5319 -2.4211 -2.3273 -2.2498 -2.2106 -2.1372
 -2.0536 -1.9614 -1.8715 -1.7720 -1.6701 -1.4518 -1.2896 -1.1785 -1.1031 -1.0512
 -1.0131 -0.9836 -0.9593
 -2.8724 -2.7448 -2.6216 -2.4923 -2.3785 -2.2735 -2.1795 -2.0967 -2.0241 -1.9575
 -1.8900 -1.8173 -1.7431 -1.6666 -1.5881 -1.4095 -1.2761 -1.1832 -1.1176 -1.0698
 -1.0336 -1.0052 -0.9818 -0.9634 -0.9502
 -2.5909 -2.5018 -2.4116 -2.3184 -2.2243 -2.1329 -2.0469 -1.9675 -1.8953 -1.8296
 -1.7685 -1.7090 -1.6474 -1.5867 -1.5231 -1.3756 -1.2629 -1.1841 -1.1278 -1.0854
 -1.0524 -1.0260 -1.0042 -0.9860 -0.9710 -0.9602
 -2.3218 -2.2633 -2.2017 -2.1374 -2.0694 -1.9993 -1.9295 -1.8622 -1.7983 -1.7382
 -1.6819 -1.6289 -1.5775 -1.5274 -1.4751 -1.3501 -1.2500 -1.1812 -1.1337 -1.0980
 -1.0695 -1.0460 -1.0264 -1.0095 -0.9949 -0.9831 -0.9745 -0.9732 -0.9820 -0.9973
 -2.0651 -2.0293 -1.9919 -1.9531 -1.9110 -1.8650 -1.8158 -1.7655 -1.7150 -1.6651
 -1.6166 -1.5697 -1.5246 -1.4810 -1.4379 -1.3305 -1.2397 -1.1749 -1.1331 -1.1044
 -1.0819 -1.0631 -1.0469 -1.0327 -1.0199 -1.0086 -0.9984 -0.9928 -0.9956 -1.0086
 -1.0289
 -1.8330 -1.8129 -1.7932 -1.7740 -1.7531 -1.7290 -1.7012 -1.6696 -1.6350 -1.5985
 -1.5602 -1.5214 -1.4827 -1.4447 -1.4068 -1.3142 -1.2308 -1.1680 -1.1273 -1.1030
 -1.0870 -1.0744 -1.0633 -1.0532 -1.0437 -1.0348 -1.0270 -1.0199 -1.0172 -1.0229
 -1.0397
 -1.6243 -1.6182 -1.6131 -1.6089 -1.6036 -1.5966 -1.5864 -1.5724 -1.5541 -1.5314
 -1.5052 -1.4760 -1.4447 -1.4124 -1.3795 -1.2975 -1.2212 -1.1603 -1.1193 -1.0955
 -1.0837 -1.0775 -1.0730 -1.0686 -1.0640 -1.0589 -1.0539 -1.0494 -1.0466 -1.0483
 -1.0546
 -1.4390 -1.4463 -1.4529 -1.4589 -1.4650 -1.4699 -1.4729 -1.4731 -1.4695 -1.4608
 -1.4469 -1.4286 -1.4066 -1.3816 -1.3544 -1.2819 -1.2120 -1.1533 -1.1117 -1.0864
 -1.0749 -1.0725 -1.0741 -1.0765 -1.0781 -1.0784 -1.0780 -1.0770 -1.0762 -1.0766
 -1.0779
 -1.2861 -1.2972 -1.3100 -1.3244 -1.3389 -1.3521 -1.3644 -1.3747 -1.3821 -1.3848
 -1.3825 -1.3755 -1.3638 -1.3477 -1.3275 -1.2665 -1.2023 -1.1461 -1.1041 -1.0777
 -1.0648 -1.0627 -1.0677 -1.0758 -1.0840 -1.0910 -1.0964 -1.1005 -1.1036 -1.1066
 -1.1104
 -1.1654 -1.1708 -1.1844 -1.2054 -1.2253 -1.2432 -1.2626 -1.2800 -1.2950 -1.3061
 -1.3131 -1.3163 -1.3162 -1.3107 -1.2990 -1.2513 -1.1921 -1.1387 -1.0965
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F606W
 -3.5020 -3.1639 -2.9559 -2.8686 -2.8746 -3.1815 -2.9415 -2.7265 -2.5641 -2.4363
 -2.2636 -2.0910 -2.0164 -1.9898 -1.9221 -1.5970
 -3.4262 -3.0926 -2.8629 -2.7293 -2.6744 -2.7970 -2.6602 -2.5276 -2.4116 -2.3066
