 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F390M
-10.0477 -7.7917 -5.6864 -5.8541 -9.1580-14.8366-13.0075 -8.9199 -5.7867 -4.9573
 -4.7090 -4.7301 -5.7312 -6.5436 -6.7800 -5.5172
-10.9144 -9.5296 -8.1741 -7.8996 -9.0804-11.6603-10.9449 -9.2453 -7.7463 -7.0475
 -6.6435 -6.4715 -6.7369 -6.9148 -6.7539 -5.4920 -4.7452 -4.2229 -4.1148
-10.9844-10.1967 -9.3957 -8.9161 -8.8729 -9.4535 -9.2609 -8.8537 -8.3551 -7.8716
 -7.4802 -7.2161 -7.0491 -6.8406 -6.4950 -5.3331 -4.5169 -4.0339 -3.7525 -3.4865
 -3.0648
-10.2577 -9.7931 -9.3511 -8.9037 -8.5353 -8.2162 -7.9555 -7.7453 -7.6132 -7.4296
 -7.2191 -6.9640 -6.6679 -6.3210 -6.0033 -5.0405 -4.3435 -3.8376 -3.4668 -3.1848
 -2.9617 -2.7775 -2.6222
 -9.8889 -9.4664 -9.0549 -8.6421 -8.2591 -7.9042 -7.5880 -7.3153 -7.0812 -6.8719
 -6.6654 -6.4402 -6.1882 -5.9084 -5.6132 -4.8493 -4.2075 -3.7461 -3.4145 -3.1641
 -2.9648 -2.7987 -2.6565 -2.5316 -2.4187
 -9.5376 -9.1495 -8.7659 -8.3839 -8.0053 -7.6384 -7.2928 -6.9801 -6.7046 -6.4613
 -6.2389 -6.0227 -5.7965 -5.5554 -5.3026 -4.6800 -4.1079 -3.6838 -3.3811 -3.1547
 -2.9748 -2.8243 -2.6943 -2.5795 -2.4767 -2.3834
 -9.2039 -8.8424 -8.4841 -8.1291 -7.7739 -7.4188 -7.0699 -6.7397 -6.4389 -6.1714
 -5.9333 -5.7147 -5.5043 -5.2915 -5.0715 -4.5326 -4.0447 -3.6507 -3.3666 -3.1566
 -2.9917 -2.8543 -2.7356 -2.6304 -2.5361 -2.4508 -2.3737 -2.3023 -2.2370 -2.1857
 -8.8877 -8.5451 -8.2095 -7.8806 -7.5528 -7.2233 -6.8914 -6.5652 -6.2558 -5.9740
 -5.7232 -5.4990 -5.2947 -5.0996 -4.9064 -4.4312 -4.0011 -3.6413 -3.3673 -3.1657
 -3.0110 -2.8847 -2.7762 -2.6805 -2.5947 -2.5169 -2.4460 -2.3824 -2.3268 -2.2800
 -2.2430
 -8.6024 -8.2813 -7.9659 -7.6559 -7.3512 -7.0484 -6.7433 -6.4365 -6.1345 -5.8497
 -5.5900 -5.3588 -5.1530 -4.9659 -4.7882 -4.3658 -3.9764 -3.6447 -3.3804 -3.1806
 -3.0301 -2.9115 -2.8125 -2.7262 -2.6492 -2.5796 -2.5168 -2.4589 -2.4080 -2.3666
 -2.3363
 -8.3802 -8.0650 -7.7615 -7.4689 -7.1814 -6.8993 -6.6183 -6.3362 -6.0533 -5.7758
 -5.5144 -5.2772 -5.0653 -4.8767 -4.7050 -4.3178 -3.9607 -3.6507 -3.3973 -3.1981
 -3.0468 -2.9318 -2.8403 -2.7633 -2.6957 -2.6351 -2.5804 -2.5311 -2.4869 -2.4493
 -2.4182
 -8.2018 -7.9045 -7.6135 -7.3285 -7.0531 -6.7836 -6.5197 -6.2585 -5.9977 -5.7370
