 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -1.6979 -1.6776 -1.8638 -1.8566 -1.7588 -1.6013 -1.4099 -1.2862 -1.1741 -1.0549
 -0.9412 -0.8333 -0.7329 -0.6392 -0.5547 -0.3752 -0.2351 -0.1195 -0.0468
 -1.6993 -1.5977 -1.5128 -1.4617 -1.4455 -1.4017 -1.3048 -1.1889 -1.0768 -0.9679
 -0.8622 -0.7618 -0.6685 -0.5830 -0.5050 -0.3399 -0.2121 -0.1170 -0.0484  0.0018
 -1.5630 -1.4651 -1.3684 -1.2816 -1.2120 -1.1734 -1.1486 -1.0920 -1.0039 -0.9035
 -0.8057 -0.7118 -0.6241 -0.5435 -0.4704 -0.3174 -0.2011 -0.1156 -0.0541 -0.0087
  0.0259
 -1.4418 -1.3598 -1.2696 -1.1798 -1.0969 -1.0243 -0.9676 -0.9326 -0.8961 -0.8358
 -0.7562 -0.6715 -0.5900 -0.5142 -0.4451 -0.3009 -0.1932 -0.1160 -0.0608 -0.0200
  0.0115  0.0366
 -1.3226 -1.2606 -1.1856 -1.1036 -1.0219 -0.9453 -0.8761 -0.8154 -0.7693 -0.7295
 -0.6844 -0.6254 -0.5581 -0.4897 -0.4251 -0.2886 -0.1869 -0.1160 -0.0668 -0.0310
 -0.0031  0.0194  0.0379  0.0530
 -1.2040 -1.1584 -1.1020 -1.0341 -0.9606 -0.8870 -0.8176 -0.7538 -0.6961 -0.6449
 -0.6006 -0.5584 -0.5112 -0.4585 -0.4040 -0.2780 -0.1809 -0.1143 -0.0700 -0.0398
 -0.0164  0.0026  0.0184  0.0319  0.0447  0.0554  0.0623  0.0640  0.0594  0.0479
 -1.0886 -1.0548 -1.0136 -0.9613 -0.9004 -0.8351 -0.7696 -0.7073 -0.6501 -0.5971
 -0.5478 -0.5025 -0.4601 -0.4180 -0.3741 -0.2655 -0.1742 -0.1091 -0.0689 -0.0441
 -0.0263 -0.0119  0.0002  0.0107  0.0201  0.0295  0.0371  0.0409  0.0391  0.0304
  0.0138
 -0.9788 -0.9530 -0.9217 -0.8822 -0.8349 -0.7811 -0.7235 -0.6656 -0.6106 -0.5595
 -0.5119 -0.4668 -0.4237 -0.3830 -0.3436 -0.2488 -0.1657 -0.1030 -0.0639 -0.0427
 -0.0305 -0.0219 -0.0147 -0.0082 -0.0024  0.0033  0.0098  0.0146  0.0153  0.0095
 -0.0040
 -0.8772 -0.8563 -0.8305 -0.7979 -0.7622 -0.7199 -0.6727 -0.6223 -0.5717 -0.5233
 -0.4782 -0.4359 -0.3955 -0.3563 -0.3182 -0.2302 -0.1544 -0.0954 -0.0562 -0.0364
 -0.0282 -0.0253 -0.0240 -0.0230 -0.0218 -0.0201 -0.0182 -0.0166 -0.0171 -0.0200
 -0.0251
 -0.7862 -0.7679 -0.7450 -0.7180 -0.6873 -0.6534 -0.6162 -0.5750 -0.5315 -0.4875
 -0.4453 -0.4058 -0.3686 -0.3324 -0.2972 -0.2147 -0.1432 -0.0872 -0.0485 -0.0280
 -0.0210 -0.0218 -0.0261 -0.0312 -0.0358 -0.0393 -0.0419 -0.0439 -0.0456 -0.0482
 -0.0517
 -0.7062 -0.6871 -0.6651 -0.6405 -0.6135 -0.5846 -0.5538 -0.5211 -0.4857 -0.4483
 -0.4105 -0.3740 -0.3398 -0.3073 -0.2760 -0.2003 -0.1324 -0.0787 -0.0412 -0.0195
 -0.0118 -0.0138 -0.0215 -0.0319 -0.0425 -0.0521 -0.0604 -0.0672 -0.0731 -0.0785
 -0.0845
 -0.6307 -0.6012 -0.5764 -0.5544 -0.5332 -0.5115 -0.4879 -0.4617 -0.4333 -0.4031
 -0.3717 -0.3397 -0.3086 -0.2792 -0.2512 -0.1846 -0.1219 -0.0702 -0.0335
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  G   
 -1.9962 -1.9857 -1.9360 -1.7979 -1.6285 -1.4610 -1.3171 -1.1964 -1.0855 -0.9789
 -0.8766 -0.7793 -0.6878 -0.6022 -0.5231 -0.3540 -0.2205 -0.1145 -0.0405
 -1.7949 -1.6979 -1.6547 -1.6394 -1.5476 -1.4035 -1.2583 -1.1336 -1.0238 -0.9203
 -0.8214 -0.7275 -0.6396 -0.5583 -0.4837 -0.3261 -0.2036 -0.1106 -0.0420  0.0088
 -1.6746 -1.5606 -1.4591 -1.3852 -1.3580 -1.3173 -1.2122 -1.0888 -0.9780 -0.8778
 -0.7825 -0.6921 -0.6074 -0.5292 -0.4577 -0.3082 -0.1939 -0.1084 -0.0461 -0.0002
  0.0349
 -1.5768 -1.4716 -1.3638 -1.2606 -1.1752 -1.1200 -1.0904 -1.0354 -0.9416 -0.8449
 -0.7535 -0.6668 -0.5852 -0.5097 -0.4407 -0.2969 -0.1881 -0.1081 -0.0511 -0.0096
  0.0221  0.0474
 -1.4839 -1.3952 -1.2963 -1.1961 -1.1015 -1.0153 -0.9447 -0.8947 -0.8587 -0.8028
 -0.7269 -0.6460 -0.5682 -0.4955 -0.4288 -0.2894 -0.1846 -0.1084 -0.0556 -0.0186
  0.0095  0.0319  0.0501  0.0644
 -1.3935 -1.3186 -1.2348 -1.1432 -1.0512 -0.9635 -0.8819 -0.8086 -0.7487 -0.7054
 -0.6652 -0.6128 -0.5492 -0.4824 -0.4187 -0.2835 -0.1815 -0.1079 -0.0583 -0.0256
 -0.0019  0.0168  0.0323  0.0451  0.0566  0.0658  0.0713  0.0721  0.0672  0.0557
 -1.2977 -1.2377 -1.1695 -1.0916 -1.0079 -0.9242 -0.8440 -0.7688 -0.6997 -0.6392
 -0.5887 -0.5470 -0.5048 -0.4566 -0.4039 -0.2774 -0.1779 -0.1058 -0.0582 -0.0290
 -0.0102  0.0039  0.0155  0.0254  0.0338  0.0421  0.0487  0.0512  0.0480  0.0380
  0.0216
 -1.2036 -1.1526 -1.0987 -1.0343 -0.9628 -0.8869 -0.8114 -0.7387 -0.6704 -0.6070
 -0.5497 -0.4990 -0.4548 -0.4145 -0.3736 -0.2673 -0.1728 -0.1020 -0.0550 -0.0280
 -0.0137 -0.0048  0.0020  0.0076  0.0127  0.0189  0.0246  0.0275  0.0259  0.0183
  0.0040
 -1.1160 -1.0690 -1.0229 -0.9702 -0.9103 -0.8451 -0.7771 -0.7090 -0.6436 -0.5819
 -0.5246 -0.4722 -0.4242 -0.3808 -0.3412 -0.2486 -0.1638 -0.0957 -0.0491 -0.0228
 -0.0114 -0.0076 -0.0065 -0.0061 -0.0056 -0.0049 -0.0043 -0.0051 -0.0075 -0.0114
 -0.0165
 -1.0401 -0.9932 -0.9494 -0.9030 -0.8532 -0.7981 -0.7392 -0.6782 -0.6175 -0.5588
 -0.5034 -0.4522 -0.4048 -0.3608 -0.3199 -0.2305 -0.1527 -0.0886 -0.0426 -0.0156
 -0.0048 -0.0042 -0.0082 -0.0136 -0.0188 -0.0232 -0.0270 -0.0302 -0.0333 -0.0373
 -0.0423
 -0.9814 -0.9263 -0.8802 -0.8364 -0.7934 -0.7458 -0.6953 -0.6422 -0.5879 -0.5337
 -0.4812 -0.4320 -0.3863 -0.3438 -0.3039 -0.2154 -0.1410 -0.0803 -0.0356 -0.0077
  0.0040  0.0038 -0.0035 -0.0140 -0.0251 -0.0354 -0.0447 -0.0527 -0.0598 -0.0666
 -0.0739
 -0.9357 -0.8684 -0.8152 -0.7712 -0.7312 -0.6905 -0.6471 -0.6009 -0.5532 -0.5046
 -0.4565 -0.4100 -0.3662 -0.3255 -0.2876 -0.2028 -0.1303 -0.0717 -0.0282
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.1833 -2.0989 -1.9154 -1.7172 -1.5213 -1.3515 -1.2235 -1.1138 -1.0106 -0.9125
 -0.8191 -0.7302 -0.6463 -0.5676 -0.4940 -0.3344 -0.2067 -0.1066 -0.0314
 -1.8920 -1.8725 -1.8341 -1.6817 -1.5021 -1.3297 -1.1861 -1.0707 -0.9665 -0.8696
 -0.7779 -0.6909 -0.6091 -0.5327 -0.4619 -0.3106 -0.1924 -0.1013 -0.0327  0.0186
 -1.7659 -1.6476 -1.5902 -1.5773 -1.4749 -1.3194 -1.1684 -1.0423 -0.9363 -0.8405
 -0.7507 -0.6658 -0.5859 -0.5114 -0.4426 -0.2966 -0.1841 -0.0987 -0.0353  0.0116
  0.0472
 -1.6911 -1.5596 -1.4410 -1.3557 -1.3218 -1.2769 -1.1599 -1.0293 -0.9163 -0.8199
 -0.7319 -0.6491 -0.5712 -0.4984 -0.4312 -0.2889 -0.1800 -0.0984 -0.0388  0.0044
  0.0368  0.0622
 -1.6248 -1.5042 -1.3806 -1.2654 -1.1695 -1.1027 -1.0670 -1.0066 -0.9056 -0.8051
 -0.7177 -0.6370 -0.5610 -0.4900 -0.4242 -0.2847 -0.1783 -0.0992 -0.0423 -0.0023
