 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.4987 -0.4892 -0.6719 -0.6769 -0.6006 -0.4694 -0.3066 -0.2032 -0.1102 -0.0119
  0.0825  0.1710  0.2528  0.3262  0.3896  0.5218  0.5807  0.5887  0.5921
 -0.5014 -0.4267 -0.3654 -0.3335 -0.3324 -0.3064 -0.2325 -0.1411 -0.0520  0.0344
  0.1181  0.1971  0.2695  0.3341  0.3905  0.4961  0.5553  0.5778  0.5784  0.5668
 -0.3803 -0.3117 -0.2422 -0.1800 -0.1321 -0.1119 -0.1047 -0.0702 -0.0068  0.0687
  0.1430  0.2144  0.2804  0.3394  0.3909  0.4871  0.5412  0.5604  0.5590  0.5469
  0.5283
 -0.2691 -0.2173 -0.1561 -0.0931 -0.0347  0.0152  0.0507  0.0662  0.0817  0.1170
  0.1706  0.2308  0.2895  0.3431  0.3902  0.4790  0.5293  0.5463  0.5429  0.5299
  0.5115  0.4890
 -0.1552 -0.1240 -0.0791 -0.0254  0.0304  0.0828  0.1291  0.1678  0.1933  0.2119
  0.2329  0.2652  0.3064  0.3507  0.3926  0.4741  0.5214  0.5364  0.5310  0.5160
  0.4968  0.4743  0.4489  0.4204
 -0.0378 -0.0234  0.0023  0.0406  0.0866  0.1349  0.1807  0.2219  0.2580  0.2882
  0.3110  0.3300  0.3514  0.3772  0.4057  0.4743  0.5185  0.5323  0.5248  0.5062
  0.4846  0.4610  0.4352  0.4073  0.3773  0.3444  0.3083  0.2684  0.2243  0.1760
  0.0802  0.0824  0.0925  0.1144  0.1461  0.1846  0.2254  0.2646  0.2999  0.3317
  0.3599  0.3836  0.4031  0.4206  0.4385  0.4838  0.5212  0.5354  0.5253  0.5024
  0.4766  0.4501  0.4227  0.3941  0.3643  0.3342  0.3020  0.2657  0.2236  0.1755
  0.1249
  0.1958  0.1897  0.1896  0.1984  0.2156  0.2405  0.2716  0.3053  0.3378  0.3673
  0.3939  0.4179  0.4392  0.4572  0.4728  0.5054  0.5308  0.5423  0.5320  0.5059
  0.4747  0.4436  0.4130  0.3824  0.3514  0.3199  0.2885  0.2552  0.2180  0.1750
  0.1252
  0.3060  0.2946  0.2887  0.2898  0.2952  0.3076  0.3262  0.3502  0.3768  0.4030
  0.4268  0.4480  0.4672  0.4845  0.4998  0.5290  0.5467  0.5530  0.5430  0.5154
  0.4798  0.4431  0.4076  0.3733  0.3397  0.3066  0.2733  0.2394  0.2032  0.1646
  0.1237
  0.4079  0.3934  0.3842  0.3797  0.3796  0.3833  0.3910  0.4038  0.4208  0.4409
  0.4609  0.4789  0.4948  0.5094  0.5226  0.5488  0.5637  0.5665  0.5557  0.5292
  0.4919  0.4507  0.4097  0.3704  0.3328  0.2966  0.2611  0.2262  0.1910  0.1549
  0.1170
  0.5000  0.4859  0.4756  0.4684  0.4643  0.4628  0.4638  0.4673  0.4744  0.4853
  0.4989  0.5128  0.5254  0.5363  0.5459  0.5663  0.5793  0.5801  0.5681  0.5432
  0.5066  0.4639  0.4189  0.3745  0.3318  0.2912  0.2523  0.2147  0.1780  0.1414
  0.1041
  0.5857  0.5843  0.5779  0.5686  0.5584  0.5491  0.5419  0.5378  0.5368  0.5389
  0.5439  0.5513  0.5594  0.5668  0.5730  0.5849  0.5934  0.5932  0.5804
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.7838 -0.7891 -0.7576 -0.6451 -0.5045 -0.3657 -0.2481 -0.1516 -0.0638  0.0201
  0.1004  0.1768  0.2487  0.3156  0.3763  0.5009  0.5743  0.6038  0.6079
 -0.6072 -0.5359 -0.5119 -0.5127 -0.4450 -0.3303 -0.2145 -0.1165 -0.0317  0.0475
  0.1227  0.1942  0.2613  0.3231  0.3789  0.4880  0.5555  0.5854  0.5887  0.5778
 -0.4995 -0.4154 -0.3404 -0.2892 -0.2803 -0.2604 -0.1842 -0.0908 -0.0072  0.0676
  0.1380  0.2048  0.2675  0.3251  0.3770  0.4779  0.5403  0.5684  0.5707  0.5593
  0.5406
 -0.4072 -0.3341 -0.2556 -0.1795 -0.1187 -0.0853 -0.0761 -0.0466  0.0173  0.0864
  0.1518  0.2139  0.2724  0.3263  0.3748  0.4691  0.5276  0.5546  0.5563  0.5441
  0.5252  0.5022
 -0.3141 -0.2591 -0.1919 -0.1203 -0.0521  0.0089  0.0555  0.0828  0.0958  0.1246
  0.1719  0.2260  0.2795  0.3296  0.3750  0.4634  0.5185  0.5445  0.5457  0.5321
  0.5121  0.4888  0.4626  0.4325
 -0.2175 -0.1784 -0.1285 -0.0680 -0.0041  0.0576  0.1143  0.1632  0.1996  0.2204
  0.2363  0.2612  0.2969  0.3384  0.3794  0.4619  0.5139  0.5389  0.5396  0.5239
  0.5016  0.4768  0.4500  0.4211  0.3907  0.3577  0.3208  0.2791  0.2325  0.1831
 -0.1128 -0.0891 -0.0561 -0.0118  0.0411  0.0972  0.1519  0.2027  0.2480  0.2856
  0.3136  0.3323  0.3494  0.3705  0.3964  0.4654  0.5139  0.5379  0.5383  0.5207
  0.4951  0.4674  0.4388  0.4091  0.3780  0.3459  0.3117  0.2740  0.2317  0.1842
  0.1318
 -0.0072  0.0080  0.0262  0.0553  0.0931  0.1385  0.1867  0.2343  0.2788  0.3192
  0.3541  0.3828  0.4047  0.4215  0.4370  0.4789  0.5189  0.5412  0.5418  0.5232
  0.4939  0.4620  0.4302  0.3984  0.3662  0.3346  0.3020  0.2668  0.2274  0.1827
  0.1321
  0.0944  0.1058  0.1164  0.1332  0.1577  0.1893  0.2268  0.2677  0.3083  0.3468
  0.3816  0.4120  0.4382  0.4595  0.4763  0.5070  0.5318  0.5490  0.5492  0.5305
  0.4986  0.4620  0.4256  0.3902  0.3555  0.3210  0.2863  0.2500  0.2119  0.1722
  0.1311
  0.1864  0.1974  0.2059  0.2176  0.2316  0.2513  0.2764  0.3067  0.3401  0.3742
  0.4065  0.4355  0.4612  0.4834  0.5022  0.5338  0.5518  0.5612  0.5595  0.5418
  0.5094  0.4695  0.4282  0.3879  0.3493  0.3119  0.2751  0.2387  0.2021  0.1645
  0.1251
  0.2625  0.2814  0.2925  0.3025  0.3102  0.3225  0.3377  0.3569  0.3800  0.4066
  0.4341  0.4603  0.4838  0.5044  0.5223  0.5548  0.5717  0.5768  0.5717  0.5544
  0.5232  0.4823  0.4375  0.3924  0.3488  0.3072  0.2670  0.2281  0.1900  0.1519
  0.1133
  0.3262  0.3577  0.3762  0.3864  0.3925  0.3984  0.4066  0.4176  0.4312  0.4480
  0.4679  0.4889  0.5091  0.5273  0.5430  0.5724  0.5888  0.5926  0.5851
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.9688 -0.9069 -0.7541 -0.5878 -0.4237 -0.2839 -0.1829 -0.0991 -0.0213  0.0528
  0.1226  0.1891  0.2523  0.3121  0.3681  0.4860  0.5679  0.6125  0.6237
 -0.7093 -0.7072 -0.6875 -0.5651 -0.4182 -0.2781 -0.1646 -0.0770  0.0005  0.0718
  0.1384  0.2015  0.2614  0.3178  0.3703  0.4794  0.5533  0.5930  0.6031  0.5943
 -0.5954 -0.5055 -0.4688 -0.4727 -0.3979 -0.2757 -0.1574 -0.0614  0.0166  0.0859
