 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F300M
  1.0403  0.9721  0.9710  0.9715  0.9308  0.8785  0.8250  0.7664  0.6891  0.6079
  0.5266  0.4454  0.3656  0.2865  0.2088  0.0157 -0.1665 -0.3355 -0.4970
  0.9565  0.9360  0.9093  0.8768  0.8469  0.8226  0.7810  0.7226  0.6533  0.5773
  0.4987  0.4195  0.3408  0.2630  0.1861 -0.0013 -0.1818 -0.3542 -0.5187 -0.6761
  0.9077  0.8864  0.8569  0.8215  0.7823  0.7419  0.7094  0.6727  0.6179  0.5497
  0.4754  0.3984  0.3210  0.2441  0.1681 -0.0171 -0.1958 -0.3677 -0.5318 -0.6884
 -0.8383
  0.8519  0.8329  0.8048  0.7691  0.7278  0.6831  0.6373  0.5948  0.5559  0.5080
  0.4470  0.3771  0.3032  0.2281  0.1533 -0.0297 -0.2065 -0.3776 -0.5417 -0.6980
 -0.8471 -0.9901
  0.7839  0.7730  0.7493  0.7170  0.6777  0.6333  0.5857  0.5368  0.4883  0.4414
  0.3951  0.3418  0.2797  0.2110  0.1392 -0.0403 -0.2148 -0.3846 -0.5486 -0.7053
 -0.8542 -0.9965 -1.1332 -1.2649
  0.7043  0.7014  0.6868  0.6603  0.6259  0.5852  0.5398  0.4915  0.4407  0.3886
  0.3379  0.2888  0.2374  0.1809  0.1190 -0.0508 -0.2220 -0.3894 -0.5525 -0.7100
 -0.8595 -1.0018 -1.1379 -1.2688 -1.3953 -1.5179 -1.6369 -1.7525 -1.8650 -1.9746
  0.6153  0.6188  0.6149  0.5956  0.5679  0.5329  0.4923  0.4475  0.3992  0.3483
  0.2960  0.2440  0.1926  0.1405  0.0858 -0.0657 -0.2298 -0.3932 -0.5543 -0.7118
 -0.8626 -1.0057 -1.1420 -1.2725 -1.3980 -1.5191 -1.6365 -1.7506 -1.8618 -1.9704
 -2.0763
  0.5192  0.5278  0.5306  0.5204  0.5007  0.4730  0.4388  0.3994  0.3557  0.3085
  0.2588  0.2077  0.1562  0.1043  0.0517 -0.0881 -0.2408 -0.3984 -0.5555 -0.7111
 -0.8627 -1.0074 -1.1447 -1.2755 -1.4009 -1.5215 -1.6379 -1.7506 -1.8602 -1.9672
 -2.0719
  0.4182  0.4310  0.4369  0.4328  0.4218  0.4021  0.3753  0.3427  0.3050  0.2632
  0.2180  0.1702  0.1210  0.0708  0.0198 -0.1134 -0.2571 -0.4075 -0.5602 -0.7123
 -0.8627 -1.0086 -1.1477 -1.2799 -1.4059 -1.5267 -1.6430 -1.7552 -1.8640 -1.9697
 -2.0724
  0.3148  0.3310  0.3388  0.3390  0.3325  0.3199  0.3014  0.2764  0.2459  0.2107
  0.1716  0.1290  0.0839  0.0372 -0.0109 -0.1375 -0.2730 -0.4168 -0.5641 -0.7119
 -0.8591 -1.0042 -1.1444 -1.2782 -1.4056 -1.5272 -1.6439 -1.7561 -1.8644 -1.9691
 -2.0725
  0.2129  0.2278  0.2360  0.2382  0.2351  0.2271  0.2147  0.1978  0.1751  0.1476
  0.1154  0.0794  0.0402 -0.0019 -0.0461 -0.1639 -0.2913 -0.4274 -0.5692 -0.7131
 -0.8567 -0.9992 -1.1389 -1.2739 -1.4028 -1.5256 -1.6432 -1.7561 -1.8647 -1.9695
 -2.0708
  0.1216  0.1137  0.1127  0.1152  0.1182  0.1189  0.1154  0.1062  0.0914  0.0717
  0.0474  0.0189 -0.0134 -0.0489 -0.0874 -0.1942 -0.3128 -0.4408 -0.5763
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F300M
  0.9981  0.9774  0.9736  0.9593  0.9272  0.8830  0.8268  0.7597  0.6861  0.6078
  0.5282  0.4482  0.3689  0.2904  0.2130  0.0233 -0.1588 -0.3323 -0.4974
  0.9873  0.9736  0.9500  0.9295  0.9056  0.8587  0.7997  0.7335  0.6612  0.5837
  0.5042  0.4241  0.3446  0.2662  0.1891  0.0020 -0.1777 -0.3502 -0.5149 -0.6724
  0.9595  0.9409  0.9153  0.8842  0.8494  0.8207  0.7737  0.7105  0.6407  0.5654
  0.4871  0.4075  0.3280  0.2494  0.1722 -0.0143 -0.1925 -0.3637 -0.5277 -0.6843
 -0.8343
  0.9226  0.9031  0.8741  0.8371  0.7958  0.7540  0.7149  0.6755  0.6179  0.5484
  0.4731  0.3950  0.3162  0.2379  0.1607 -0.0257 -0.2033 -0.3736 -0.5372 -0.6935
 -0.8427 -0.9859
  0.8764  0.8595  0.8320  0.7956  0.7527  0.7052  0.6551  0.6076  0.5649  0.5168
