 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F444W
 -3.9646 -4.1121 -4.2027 -4.2397 -4.2981 -4.3670 -4.4393 -4.5072 -4.5828 -4.6643
 -4.7449 -4.8234 -4.9008 -4.9774 -5.0517 -5.2338 -5.4020 -5.5555 -5.7197
 -4.0465 -4.1122 -4.1835 -4.2619 -4.3449 -4.4151 -4.4794 -4.5476 -4.6196 -4.6975
 -4.7762 -4.8546 -4.9320 -5.0082 -5.0832 -5.2643 -5.4344 -5.5948 -5.7529 -5.9114
 -4.0811 -4.1417 -4.2084 -4.2797 -4.3548 -4.4349 -4.5129 -4.5816 -4.6502 -4.7223
 -4.7981 -4.8747 -4.9512 -5.0271 -5.1019 -5.2826 -5.4525 -5.6123 -5.7708 -5.9284
 -6.0798
 -4.1206 -4.1757 -4.2373 -4.3044 -4.3758 -4.4496 -4.5250 -4.6022 -4.6761 -4.7471
 -4.8182 -4.8909 -4.9649 -5.0393 -5.1134 -5.2939 -5.4645 -5.6260 -5.7838 -5.9408
 -6.0919 -6.2363
 -4.1695 -4.2159 -4.2711 -4.3328 -4.3998 -4.4704 -4.5425 -4.6151 -4.6899 -4.7647
 -4.8373 -4.9080 -4.9783 -5.0494 -5.1215 -5.3004 -5.4717 -5.6344 -5.7930 -5.9498
 -6.1007 -6.2449 -6.3828 -6.5153
 -4.2269 -4.2662 -4.3124 -4.3670 -4.4280 -4.4939 -4.5628 -4.6329 -4.7041 -4.7762
 -4.8487 -4.9206 -4.9910 -5.0605 -5.1298 -5.3044 -5.4752 -5.6390 -5.7987 -5.9559
 -6.1071 -6.2514 -6.3892 -6.5213 -6.6484 -6.7710 -6.8898 -7.0051 -7.1174 -7.2270
 -4.2907 -4.3254 -4.3633 -4.4100 -4.4634 -4.5230 -4.5868 -4.6532 -4.7219 -4.7914
 -4.8609 -4.9304 -4.9998 -5.0689 -5.1376 -5.3081 -5.4766 -5.6402 -5.8006 -5.9588
 -6.1112 -6.2560 -6.3940 -6.5259 -6.6526 -6.7746 -6.8924 -7.0065 -7.1174 -7.2255
 -7.3315
 -4.3584 -4.3904 -4.4240 -4.4637 -4.5090 -4.5604 -4.6174 -4.6784 -4.7432 -4.8097
 -4.8768 -4.9438 -5.0104 -5.0772 -5.1442 -5.3116 -5.4775 -5.6397 -5.7993 -5.9582
 -6.1125 -6.2587 -6.3973 -6.5296 -6.6562 -6.7778 -6.8949 -7.0082 -7.1180 -7.2249
 -7.3292
 -4.4278 -4.4584 -4.4909 -4.5291 -4.5665 -4.6102 -4.6591 -4.7129 -4.7717 -4.8339
 -4.8978 -4.9623 -5.0266 -5.0906 -5.1549 -5.3171 -5.4800 -5.6402 -5.7986 -5.9567
 -6.1128 -6.2615 -6.4018 -6.5349 -6.6619 -6.7836 -6.9007 -7.0137 -7.1230 -7.2290
 -7.3318
 -4.4964 -4.5264 -4.5592 -4.5943 -4.6315 -4.6706 -4.7120 -4.7579 -4.8085 -4.8644
 -4.9232 -4.9839 -5.0454 -5.1069 -5.1685 -5.3237 -5.4813 -5.6391 -5.7949 -5.9506
 -6.1064 -6.2574 -6.4002 -6.5350 -6.6629 -6.7851 -6.9024 -7.0152 -7.1240 -7.2293
 -7.3334
 -4.5621 -4.5953 -4.6297 -4.6653 -4.7017 -4.7389 -4.7768 -4.8158 -4.8582 -4.9057
 -4.9577 -5.0128 -5.0698 -5.1281 -5.1869 -5.3350 -5.4857 -5.6389 -5.7920 -5.9451
 -6.0986 -6.2499 -6.3951 -6.5325 -6.6623 -6.7857 -6.9037 -7.0168 -7.1256 -7.2307
 -7.3324
