 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F460M
  0.3168  0.1750  0.0608  0.0106 -0.0549 -0.1208 -0.1800 -0.2374 -0.2986 -0.3785
 -0.4556 -0.5313 -0.6045 -0.6761 -0.7458 -0.9133 -1.0598 -1.1548 -1.3510
  0.2476  0.1838  0.1128  0.0314 -0.0581 -0.1364 -0.2043 -0.2695 -0.3332 -0.4083
 -0.4847 -0.5602 -0.6342 -0.7067 -0.7775 -0.9446 -1.0937 -1.2317 -1.3751 -1.5329
  0.2280  0.1706  0.1067  0.0362 -0.0410 -0.1257 -0.2105 -0.2846 -0.3540 -0.4247
 -0.4993 -0.5738 -0.6476 -0.7202 -0.7915 -0.9606 -1.1123 -1.2500 -1.3948 -1.5509
 -1.7023
  0.2004  0.1488  0.0906  0.0259 -0.0447 -0.1197 -0.1976 -0.2789 -0.3581 -0.4341
 -0.5078 -0.5807 -0.6529 -0.7248 -0.7960 -0.9672 -1.1230 -1.2652 -1.4094 -1.5640
 -1.7150 -1.8596
  0.1618  0.1184  0.0669  0.0081 -0.0572 -0.1271 -0.1993 -0.2734 -0.3512 -0.4305
 -0.5085 -0.5833 -0.6554 -0.7260 -0.7961 -0.9680 -1.1278 -1.2742 -1.4202 -1.5735
 -1.7243 -1.8687 -2.0068 -2.1393
  0.1135  0.0765  0.0335 -0.0177 -0.0761 -0.1406 -0.2087 -0.2788 -0.3514 -0.4260
 -0.5020 -0.5780 -0.6522 -0.7243 -0.7947 -0.9657 -1.1282 -1.2790 -1.4274 -1.5800
 -1.7309 -1.8755 -2.0135 -2.1458 -2.2729 -2.3955 -2.5142 -2.6294 -2.7416 -2.8511
  0.0581  0.0250 -0.0108 -0.0542 -0.1042 -0.1616 -0.2240 -0.2897 -0.3592 -0.4301
 -0.5018 -0.5740 -0.6464 -0.7185 -0.7896 -0.9621 -1.1259 -1.2806 -1.4306 -1.5836
 -1.7353 -1.8804 -2.0186 -2.1509 -2.2778 -2.3999 -2.5178 -2.6319 -2.7426 -2.8505
 -2.9564
 -0.0017 -0.0330 -0.0653 -0.1023 -0.1447 -0.1928 -0.2475 -0.3072 -0.3725 -0.4401
 -0.5087 -0.5776 -0.6463 -0.7155 -0.7848 -0.9565 -1.1219 -1.2788 -1.4300 -1.5836
 -1.7369 -1.8832 -2.0222 -2.1548 -2.2818 -2.4037 -2.5210 -2.6343 -2.7441 -2.8509
 -2.9551
 -0.0635 -0.0941 -0.1260 -0.1625 -0.1977 -0.2387 -0.2845 -0.3358 -0.3943 -0.4576
 -0.5227 -0.5887 -0.6546 -0.7206 -0.7868 -0.9536 -1.1184 -1.2757 -1.4288 -1.5824
 -1.7376 -1.8863 -2.0268 -2.1603 -2.2878 -2.4099 -2.5274 -2.6407 -2.7502 -2.8562
 -2.9589
 -0.1246 -0.1551 -0.1877 -0.2221 -0.2582 -0.2956 -0.3348 -0.3777 -0.4261 -0.4825
 -0.5424 -0.6043 -0.6672 -0.7304 -0.7937 -0.9531 -1.1136 -1.2712 -1.4235 -1.5758
 -1.7312 -1.8825 -2.0255 -2.1605 -2.2889 -2.4116 -2.5294 -2.6426 -2.7519 -2.8575
 -2.9616
 -0.1827 -0.2168 -0.2517 -0.2872 -0.3233 -0.3598 -0.3966 -0.4339 -0.4735 -0.5200
 -0.5724 -0.6285 -0.6867 -0.7463 -0.8064 -0.9583 -1.1122 -1.2666 -1.4179 -1.5692
 -1.7228 -1.8749 -2.0207 -2.1584 -2.2884 -2.4123 -2.5308 -2.6444 -2.7538 -2.8594
 -2.9616
 -0.2369 -0.2930 -0.3383 -0.3759 -0.4087 -0.4392 -0.4694 -0.5009 -0.5352 -0.5733
 -0.6161 -0.6640 -0.7156 -0.7697 -0.8256 -0.9692 -1.1157 -1.2645 -1.4143
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F460M
  0.2485  0.1553  0.0795  0.0162 -0.0514 -0.1199 -0.1877 -0.2546 -0.3148 -0.3910
 -0.4702 -0.5480 -0.6236 -0.6968 -0.7679 -0.9368 -1.0893 -1.2115 -1.3623
