 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F360M
 -3.2438 -3.3954 -3.4292 -3.4490 -3.5056 -3.5769 -3.6582 -3.7325 -3.8147 -3.8952
 -3.9745 -4.0536 -4.1325 -4.2107 -4.2877 -4.4780 -4.6607 -4.8296 -4.9980
 -3.3331 -3.3945 -3.4586 -3.5261 -3.5928 -3.6470 -3.7056 -3.7749 -3.8508 -3.9289
 -4.0071 -4.0850 -4.1625 -4.2395 -4.3158 -4.5027 -4.6832 -4.8568 -5.0229 -5.1815
 -3.3814 -3.4399 -3.5025 -3.5679 -3.6346 -3.7031 -3.7655 -3.8222 -3.8866 -3.9582
 -4.0329 -4.1087 -4.1848 -4.2608 -4.3362 -4.5211 -4.6998 -4.8724 -5.0380 -5.1960
 -5.3471
 -3.4299 -3.4845 -3.5437 -3.6069 -3.6731 -3.7405 -3.8077 -3.8736 -3.9343 -3.9950
 -4.0607 -4.1310 -4.2037 -4.2776 -4.3518 -4.5347 -4.7119 -4.8838 -5.0492 -5.2070
 -5.3574 -5.5015
 -3.4850 -3.5314 -3.5859 -3.6452 -3.7083 -3.7743 -3.8413 -3.9076 -3.9736 -4.0376
 -4.0986 -4.1603 -4.2254 -4.2942 -4.3654 -4.5449 -4.7204 -4.8916 -5.0570 -5.2151
 -5.3653 -5.5088 -5.6464 -5.7789
 -3.5471 -3.5862 -3.6323 -3.6862 -3.7449 -3.8071 -3.8720 -3.9375 -4.0030 -4.0681
 -4.1319 -4.1938 -4.2550 -4.3175 -4.3823 -4.5538 -4.7265 -4.8961 -5.0613 -5.2204
 -5.3712 -5.5146 -5.6518 -5.7835 -5.9107 -6.0339 -6.1534 -6.2695 -6.3826 -6.4928
 -3.6145 -3.6485 -3.6863 -3.7333 -3.7859 -3.8432 -3.9038 -3.9666 -4.0306 -4.0947
 -4.1580 -4.2204 -4.2818 -4.3429 -4.4046 -4.5648 -4.7319 -4.8981 -5.0625 -5.2226
 -5.3748 -5.5189 -5.6561 -5.7875 -5.9137 -6.0355 -6.1536 -6.2682 -6.3798 -6.4887
 -6.5952
 -3.6857 -3.7164 -3.7495 -3.7894 -3.8347 -3.8855 -3.9406 -3.9988 -4.0594 -4.1213
 -4.1833 -4.2447 -4.3052 -4.3654 -4.4257 -4.5794 -4.7388 -4.9004 -5.0617 -5.2214
 -5.3754 -5.5212 -5.6592 -5.7908 -5.9168 -6.0379 -6.1548 -6.2680 -6.3781 -6.4855
 -6.5905
 -3.7591 -3.7878 -3.8191 -3.8563 -3.8943 -3.9378 -3.9862 -4.0385 -4.0943 -4.1522
 -4.2115 -4.2712 -4.3304 -4.3890 -4.4475 -4.5960 -4.7494 -4.9056 -5.0631 -5.2205
 -5.3753 -5.5234 -5.6632 -5.7958 -5.9222 -6.0434 -6.1601 -6.2727 -6.3818 -6.4879
 -6.5909
 -3.8331 -3.8607 -3.8915 -3.9252 -3.9615 -4.0000 -4.0411 -4.0865 -4.1357 -4.1881
 -4.2429 -4.2993 -4.3563 -4.4131 -4.4697 -4.6125 -4.7592 -4.9104 -5.0632 -5.2167
 -5.3696 -5.5188 -5.6610 -5.7955 -5.9231 -6.0448 -6.1616 -6.2739 -6.3823 -6.4873
 -6.5911
 -3.9058 -3.9356 -3.9671 -4.0003 -4.0348 -4.0706 -4.1074 -4.1458 -4.1879 -4.2334
 -4.2822 -4.3335 -4.3865 -4.4406 -4.4951 -4.6321 -4.7719 -4.9166 -5.0647 -5.2143
 -5.3638 -5.5117 -5.6553 -5.7923 -5.9220 -6.0451 -6.1627 -6.2753 -6.3837 -6.4885
 -6.5898
 -3.9745 -4.0211 -4.0598 -4.0932 -4.1238 -4.1536 -4.1843 -4.2171 -4.2525 -4.2908
 -4.3323 -4.3770 -4.4243 -4.4736 -4.5244 -4.6549 -4.7883 -4.9259 -5.0686
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F360M
 -3.2259 -3.2933 -3.3412 -3.3981 -3.4704 -3.5500 -3.6336 -3.7188 -3.8034 -3.8871
 -3.9689 -4.0494 -4.1287 -4.2070 -4.2844 -4.4739 -4.6568 -4.8307 -4.9986
 -3.2711 -3.3310 -3.3961 -3.4575 -3.5115 -3.5823 -3.6625 -3.7466 -3.8313 -3.9155
 -3.9980 -4.0788 -4.1582 -4.2364 -4.3134 -4.5005 -4.6804 -4.8536 -5.0195 -5.1781
 -3.3146 -3.3748 -3.4371 -3.5009 -3.5690 -3.6279 -3.6924 -3.7694 -3.8518 -3.9353
 -4.0177 -4.0987 -4.1783 -4.2564 -4.3333 -4.5198 -4.6981 -4.8696 -5.0345 -5.1923
 -5.3434
 -3.3568 -3.4149 -3.4767 -3.5408 -3.6069 -3.6749 -3.7422 -3.8039 -3.8736 -3.9519
 -4.0326 -4.1129 -4.1921 -4.2701 -4.3468 -4.5331 -4.7108 -4.8813 -5.0455 -5.2029
 -5.3533 -5.4974
 -3.4005 -3.4548 -3.5139 -3.5766 -3.6423 -3.7100 -3.7792 -3.8477 -3.9137 -3.9787
 -4.0500 -4.1257 -4.2030 -4.2800 -4.3562 -4.5418 -4.7192 -4.8892 -5.0531 -5.2105
 -5.3607 -5.5043 -5.6421 -5.7752
 -3.4492 -3.4975 -3.5523 -3.6116 -3.6746 -3.7407 -3.8089 -3.8779 -3.9468 -4.0153
 -4.0820 -4.1482 -4.2173 -4.2897 -4.3638 -4.5475 -4.7244 -4.8940 -5.0577 -5.2155
 -5.3661 -5.5097 -5.6470 -5.7790 -5.9065 -6.0300 -6.1499 -6.2665 -6.3800 -6.4902
 -3.5044 -3.5462 -3.5947 -3.6492 -3.7083 -3.7709 -3.8365 -3.9041 -3.9724 -4.0410
 -4.1094 -4.1768 -4.2425 -4.3082 -4.3755 -4.5520 -4.7275 -4.8963 -5.0595 -5.2178
 -5.3693 -5.5136 -5.6509 -5.7825 -5.9091 -6.0314 -6.1499 -6.2649 -6.3769 -6.4861
 -6.5926
 -3.5654 -3.6033 -3.6444 -3.6923 -3.7460 -3.8041 -3.8658 -3.9301 -3.9963 -4.0632
 -4.1305 -4.1979 -4.2643 -4.3296 -4.3943 -4.5590 -4.7297 -4.8970 -5.0592 -5.2172
 -5.3700 -5.5156 -5.6537 -5.7855 -5.9117 -6.0332 -6.1505 -6.2643 -6.3749 -6.4826
 -6.5878
 -3.6307 -3.6664 -3.7031 -3.7441 -3.7911 -3.8436 -3.9004 -3.9605 -4.0232 -4.0875
 -4.1527 -4.2183 -4.2837 -4.3484 -4.4126 -4.5726 -4.7354 -4.8996 -5.0601 -5.2170
 -5.3703 -5.5177 -5.6574 -5.7901 -5.9168 -6.0383 -6.1554 -6.2686 -6.3783 -6.4847
 -6.5879
 -3.6977 -3.7323 -3.7674 -3.8042 -3.8444 -3.8900 -3.9405 -3.9952 -4.0534 -4.1139
 -4.1759 -4.2390 -4.3023 -4.3654 -4.4281 -4.5844 -4.7419 -4.9007 -5.0583 -5.2129
 -5.3651 -5.5134 -5.6552 -5.7896 -5.9173 -6.0393 -6.1565 -6.2693 -6.3782 -6.4836
 -6.5879
 -3.7626 -3.8005 -3.8364 -3.8712 -3.9065 -3.9461 -3.9900 -4.0381 -4.0904 -4.1460
 -4.2040 -4.2637 -4.3242 -4.3851 -4.4458 -4.5972 -4.7498 -4.9038 -5.0577 -5.2096
 -5.3592 -5.5066 -5.6497 -5.7864 -5.9161 -6.0393 -6.1573 -6.2703 -6.3792 -6.4843
 -6.5861
 -3.8250 -3.8710 -3.9101 -3.9446 -3.9775 -4.0116 -4.0494 -4.0912 -4.1370 -4.1863
 -4.2390 -4.2942 -4.3511 -4.4089 -4.4672 -4.6130 -4.7600 -4.9090 -5.0588
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F360M
 -3.1871 -3.2252 -3.2861 -3.3612 -3.4409 -3.5244 -3.6120 -3.7000 -3.7870 -3.8730
 -3.9569 -4.0389 -4.1192 -4.1981 -4.2759 -4.4654 -4.6485 -4.8250 -4.9936
 -3.2186 -3.2800 -3.3270 -3.3883 -3.4668 -3.5507 -3.6373 -3.7252 -3.8127 -3.8994
 -3.9843 -4.0671 -4.1482 -4.2276 -4.3055 -4.4940 -4.6743 -4.8476 -5.0139 -5.1728
 -3.2602 -3.3179 -3.3777 -3.4378 -3.4942 -3.5710 -3.6555 -3.7425 -3.8298 -3.9166
 -4.0019 -4.0853 -4.1669 -4.2467 -4.3249 -4.5136 -4.6929 -4.8643 -5.0289 -5.1867
 -5.3378
 -3.2975 -3.3577 -3.4190 -3.4805 -3.5455 -3.6055 -3.6745 -3.7562 -3.8421 -3.9283
 -4.0136 -4.0972 -4.1790 -4.2591 -4.3376 -4.5266 -4.7058 -4.8763 -5.0398 -5.1968
 -5.3472 -5.4916
 -3.3337 -3.3929 -3.4550 -3.5190 -3.5839 -3.6501 -3.7174 -3.7818 -3.8556 -3.9377
 -4.0219 -4.1054 -4.1872 -4.2672 -4.3457 -4.5349 -4.7142 -4.8846 -5.0475 -5.2040
 -5.3541 -5.4979 -5.6359 -5.7692
 -3.3720 -3.4279 -3.4882 -3.5514 -3.6170 -3.6844 -3.7530 -3.8222 -3.8906 -3.9581
 -4.0327 -4.1125 -4.1932 -4.2729 -4.3511 -4.5400 -4.7195 -4.8898 -5.0525 -5.2088
 -5.3589 -5.5026 -5.6401 -5.7724 -5.9004 -6.0246 -6.1451 -6.2622 -6.3759 -6.4860
 -3.4150 -3.4659 -3.5222 -3.5828 -3.6465 -3.7127 -3.7813 -3.8513 -3.9217 -3.9918
 -4.0607 -4.1306 -4.2032 -4.2786 -4.3552 -4.5431 -4.7223 -4.8926 -5.0552 -5.2114
 -5.3618 -5.5058 -5.6434 -5.7753 -5.9022 -6.0251 -6.1443 -6.2600 -6.3724 -6.4817
 -6.5882
 -3.4639 -3.5094 -3.5600 -3.6162 -3.6767 -3.7402 -3.8065 -3.8750 -3.9451 -4.0156
 -4.0857 -4.1562 -4.2257 -4.2946 -4.3644 -4.5452 -4.7234 -4.8935 -5.0559 -5.2120
 -5.3626 -5.5074 -5.6455 -5.7776 -5.9042 -6.0263 -6.1444 -6.2589 -6.3700 -6.4781
 -6.5833
 -3.5179 -3.5596 -3.6048 -3.6552 -3.7109 -3.7708 -3.8339 -3.8995 -3.9673 -4.0364
 -4.1060 -4.1759 -4.2459 -4.3150 -4.3829 -4.5522 -4.7258 -4.8952 -5.0573 -5.2131
 -5.3638 -5.5094 -5.6487 -5.7816 -5.9087 -6.0307 -6.1484 -6.2623 -6.3726 -6.4795
 -6.5833
 -3.5750 -3.6142 -3.6558 -3.7003 -3.7500 -3.8046 -3.8634 -3.9253 -3.9898 -4.0560
 -4.1235 -4.1917 -4.2603 -4.3289 -4.3965 -4.5622 -4.7273 -4.8936 -5.0547 -5.2097
 -5.3598 -5.5059 -5.6465 -5.7807 -5.9087 -6.0311 -6.1488 -6.2622 -6.3718 -6.4779
 -6.5809
 -3.6317 -3.6737 -3.7128 -3.7531 -3.7969 -3.8453 -3.8985 -3.9556 -4.0160 -4.0788
 -4.1432 -4.2088 -4.2751 -4.3419 -4.4084 -4.5718 -4.7327 -4.8931 -5.0520 -5.2057
 -5.3547 -5.5001 -5.6415 -5.7775 -5.9070 -6.0306 -6.1490 -6.2626 -6.3722 -6.4780
 -6.5804
 -3.6865 -3.7323 -3.7729 -3.8115 -3.8515 -3.8944 -3.9413 -3.9926 -4.0479 -4.1064
 -4.1671 -4.2295 -4.2930 -4.3571 -4.4216 -4.5814 -4.7388 -4.8951 -5.0502
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F360M
 -3.1599 -3.2039 -3.2709 -3.3480 -3.4282 -3.5121 -3.5999 -3.6887 -3.7769 -3.8637
 -3.9485 -4.0313 -4.1123 -4.1917 -4.2697 -4.4595 -4.6427 -4.8196 -4.9890
 -3.1988 -3.2473 -3.2958 -3.3697 -3.4526 -3.5374 -3.6249 -3.7136 -3.8020 -3.8895
 -3.9752 -4.0589 -4.1407 -4.2208 -4.2992 -4.4887 -4.6696 -4.8431 -5.0098 -5.1691
 -3.2369 -3.2908 -3.3495 -3.3982 -3.4713 -3.5557 -3.6424 -3.7304 -3.8186 -3.9061
 -3.9922 -4.0765 -4.1589 -4.2394 -4.3183 -4.5082 -4.6884 -4.8603 -5.0250 -5.1828
 -5.3342
 -3.2741 -3.3330 -3.3912 -3.4514 -3.5087 -3.5741 -3.6560 -3.7426 -3.8301 -3.9171
 -4.0033 -4.0879 -4.1705 -4.2514 -4.3306 -4.5211 -4.7013 -4.8724 -5.0360 -5.1928
 -5.3434 -5.4878
 -3.3075 -3.3682 -3.4302 -3.4925 -3.5548 -3.6193 -3.6815 -3.7554 -3.8392 -3.9252
 -4.0109 -4.0955 -4.1782 -4.2592 -4.3384 -4.5293 -4.7098 -4.8808 -5.0438 -5.1999
 -5.3499 -5.4938 -5.6319 -5.7654
 -3.3412 -3.4005 -3.4627 -3.5266 -3.5917 -3.6577 -3.7245 -3.7917 -3.8589 -3.9346
 -4.0171 -4.1009 -4.1835 -4.2643 -4.3435 -4.5343 -4.7150 -4.8861 -5.0489 -5.2048
 -5.3545 -5.4981 -5.6358 -5.7682 -5.8962 -6.0205 -6.1416 -6.2592 -6.3731 -6.4832
 -3.3782 -3.4338 -3.4937 -3.5565 -3.6216 -3.6885 -3.7568 -3.8260 -3.8955 -3.9644
 -4.0336 -4.1091 -4.1883 -4.2682 -4.3470 -4.5373 -4.7180 -4.8891 -5.0519 -5.2076
 -5.3572 -5.5010 -5.6386 -5.7706 -5.8978 -6.0209 -6.1404 -6.2566 -6.3695 -6.4789
 -6.5830
 -3.4205 -3.4711 -3.5266 -3.5866 -3.6495 -3.7150 -3.7825 -3.8518 -3.9224 -3.9929
 -4.0629 -4.1330 -4.2039 -4.2764 -4.3510 -4.5390 -4.7192 -4.8903 -5.0530 -5.2086
 -5.3582 -5.5023 -5.6403 -5.7725 -5.8993 -6.0217 -6.1402 -6.2552 -6.3667 -6.4750
 -6.5803
 -3.4677 -3.5142 -3.5648 -3.6201 -3.6797 -3.7426 -3.8080 -3.8754 -3.9447 -4.0151
 -4.0857 -4.1560 -4.2268 -4.2969 -4.3664 -4.5428 -4.7214 -4.8922 -5.0549 -5.2103
 -5.3600 -5.5044 -5.6432 -5.7761 -5.9033 -6.0256 -6.1437 -6.2578 -6.3684 -6.4758
 -6.5801
 -3.5187 -3.5625 -3.6083 -3.6583 -3.7128 -3.7716 -3.8338 -3.8983 -3.9650 -4.0332
 -4.1025 -4.1723 -4.2422 -4.3122 -4.3813 -4.5509 -4.7208 -4.8904 -5.0525 -5.2075
 -5.3568 -5.5014 -5.6410 -5.7750 -5.9030 -6.0257 -6.1437 -6.2575 -6.3675 -6.4741
 -6.5774
 -3.5709 -3.6147 -3.6576 -3.7029 -3.7521 -3.8056 -3.8632 -3.9241 -3.9876 -4.0529
 -4.1196 -4.1874 -4.2557 -4.3244 -4.3928 -4.5604 -4.7246 -4.8884 -5.0494 -5.2037
 -5.3523 -5.4964 -5.6366 -5.7718 -5.9012 -6.0249 -6.1435 -6.2575 -6.3674 -6.4737
 -6.5764
 -3.6216 -3.6683 -3.7110 -3.7533 -3.7982 -3.8464 -3.8986 -3.9547 -4.0141 -4.0759
 -4.1396 -4.2045 -4.2704 -4.3369 -4.4037 -4.5688 -4.7298 -4.8889 -5.0464
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F360M
 -3.1378 -3.1908 -3.2586 -3.3353 -3.4165 -3.5002 -3.5877 -3.6765 -3.7654 -3.8531
 -3.9387 -4.0223 -4.1040 -4.1839 -4.2623 -4.4525 -4.6358 -4.8125 -4.9830
 -3.1806 -3.2129 -3.2763 -3.3550 -3.4393 -3.5249 -3.6126 -3.7014 -3.7901 -3.8784
 -3.9647 -4.0492 -4.1317 -4.2124 -4.2914 -4.4819 -4.6635 -4.8375 -5.0046 -5.1645
 -3.2135 -3.2671 -3.3085 -3.3729 -3.4551 -3.5420 -3.6297 -3.7180 -3.8065 -3.8946
 -3.9813 -4.0662 -4.1493 -4.2306 -4.3101 -4.5014 -4.6826 -4.8551 -5.0202 -5.1783
 -5.3299
 -3.2532 -3.3083 -3.3627 -3.4165 -3.4745 -3.5550 -3.6420 -3.7298 -3.8178 -3.9054
 -3.9922 -4.0773 -4.1607 -4.2422 -4.3221 -4.5140 -4.6955 -4.8674 -5.0314 -5.1883
 -5.3388 -5.4835
 -3.2856 -3.3462 -3.4061 -3.4644 -3.5241 -3.5820 -3.6546 -3.7390 -3.8261 -3.9131
 -3.9995 -4.0846 -4.1681 -4.2497 -4.3297 -4.5221 -4.7039 -4.8758 -5.0392 -5.1954
 -5.3452 -5.4891 -5.6274 -5.7609
 -3.3156 -3.3774 -3.4403 -3.5034 -3.5662 -3.6290 -3.6930 -3.7581 -3.8350 -3.9193
 -4.0048 -4.0897 -4.1730 -4.2547 -4.3347 -4.5271 -4.7091 -4.8812 -5.0445 -5.2002
 -5.3496 -5.4931 -5.6308 -5.7634 -5.8919 -6.0167 -6.1379 -6.2557 -6.3700 -6.4800
 -3.3471 -3.4070 -3.4697 -3.5339 -3.5991 -3.6651 -3.7316 -3.7985 -3.8660 -3.9350
 -4.0114 -4.0938 -4.1766 -4.2581 -4.3379 -4.5301 -4.7122 -4.8843 -5.0476 -5.2032
 -5.3523 -5.4956 -5.6332 -5.7653 -5.8926 -6.0160 -6.1360 -6.2527 -6.3659 -6.4756
 -6.5818
 -3.3828 -3.4386 -3.4987 -3.5618 -3.6266 -3.6929 -3.7605 -3.8294 -3.8988 -3.9680
 -4.0371 -4.1077 -4.1831 -4.2613 -4.3402 -4.5318 -4.7136 -4.8857 -5.0489 -5.2044
 -5.3534 -5.4967 -5.6345 -5.7667 -5.8937 -6.0163 -6.1352 -6.2506 -6.3626 -6.4714
 -6.5769
 -3.4231 -3.4750 -3.5311 -3.5910 -3.6540 -3.7191 -3.7858 -3.8541 -3.9239 -3.9944
 -4.0646 -4.1345 -4.2051 -4.2767 -4.3491 -4.5346 -4.7159 -4.8880 -5.0512 -5.2067
 -5.3556 -5.4990 -5.6372 -5.7699 -5.8972 -6.0197 -6.1381 -6.2527 -6.3638 -6.4717
 -6.5764
 -3.4674 -3.5158 -3.5674 -3.6228 -3.6821 -3.7446 -3.8093 -3.8758 -3.9438 -4.0132
 -4.0834 -4.1536 -4.2236 -4.2942 -4.3644 -4.5386 -4.7147 -4.8862 -5.0492 -5.2044
 -5.3531 -5.4966 -5.6351 -5.7686 -5.8966 -6.0194 -6.1377 -6.2519 -6.3623 -6.4694
 -6.5732
 -3.5139 -3.5609 -3.6089 -3.6599 -3.7145 -3.7729 -3.8345 -3.8984 -3.9641 -4.0313
 -4.0995 -4.1687 -4.2381 -4.3076 -4.3772 -4.5480 -4.7159 -4.8838 -5.0463 -5.2011
 -5.3494 -5.4925 -5.6313 -5.7655 -5.8946 -6.0182 -6.1371 -6.2514 -6.3617 -6.4684
 -6.5715
 -3.5605 -3.6087 -3.6548 -3.7022 -3.7525 -3.8062 -3.8634 -3.9237 -3.9865 -4.0511
 -4.1168 -4.1837 -4.2513 -4.3194 -4.3877 -4.5564 -4.7207 -4.8826 -5.0428
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F360M
 -3.1288 -3.1809 -3.2461 -3.3218 -3.4029 -3.4871 -3.5748 -3.6634 -3.7528 -3.8414
