 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F140M
  0.9147  0.7645  0.6457  0.6476  0.6470  0.6569  0.6831  0.6830  0.6873  0.6985
  0.7062  0.7028  0.6894  0.6716  0.6505  0.5863  0.4809  0.3280  0.2255
  0.8277  0.7839  0.7469  0.7094  0.6742  0.6674  0.6713  0.6723  0.6749  0.6787
  0.6778  0.6703  0.6570  0.6388  0.6158  0.5389  0.4410  0.3318  0.2185  0.1038
  0.8599  0.8115  0.7714  0.7371  0.7064  0.6753  0.6577  0.6583  0.6613  0.6618
  0.6584  0.6490  0.6342  0.6147  0.5909  0.5145  0.4199  0.3140  0.2036  0.0922
 -0.0195
  0.8940  0.8419  0.7970  0.7584  0.7242  0.6939  0.6673  0.6466  0.6424  0.6457
  0.6436  0.6336  0.6175  0.5966  0.5717  0.4944  0.4017  0.2987  0.1908  0.0818
 -0.0270 -0.1357
  0.9241  0.8737  0.8255  0.7827  0.7444  0.7096  0.6786  0.6526  0.6341  0.6245
  0.6219  0.6165  0.6035  0.5830  0.5572  0.4784  0.3863  0.2855  0.1799  0.0726
 -0.0343 -0.1405 -0.2463 -0.3519
  0.9465  0.9005  0.8543  0.8090  0.7674  0.7291  0.6938  0.6622  0.6360  0.6165
  0.6016  0.5910  0.5805  0.5651  0.5432  0.4656  0.3736  0.2744  0.1707  0.0647
 -0.0410 -0.1457 -0.2494 -0.3524 -0.4557 -0.5589 -0.6617 -0.7636 -0.8642 -0.9634
  0.9585  0.9184  0.8787  0.8341  0.7915  0.7509  0.7126  0.6769  0.6448  0.6180
  0.5951  0.5749  0.5572  0.5404  0.5211  0.4528  0.3628  0.2649  0.1628  0.0582
 -0.0468 -0.1507 -0.2532 -0.3545 -0.4547 -0.5540 -0.6528 -0.7518 -0.8514 -0.9510
 -1.0477
  0.9572  0.9243  0.8910  0.8522  0.8118  0.7716  0.7322  0.6942  0.6583  0.6259
  0.5970  0.5706  0.5457  0.5223  0.4997  0.4351  0.3517  0.2562  0.1558  0.0528
 -0.0512 -0.1549 -0.2569 -0.3572 -0.4561 -0.5536 -0.6501 -0.7460 -0.8420 -0.9383
 -1.0353
  0.9400  0.9152  0.8880  0.8573  0.8215  0.7850  0.7476  0.7099  0.6724  0.6368
  0.6037  0.5727  0.5430  0.5143  0.4867  0.4173  0.3378  0.2466  0.1482  0.0468
 -0.0560 -0.1592 -0.2614 -0.3618 -0.4601 -0.5566 -0.6517 -0.7457 -0.8393 -0.9326
 -1.0255
  0.9039  0.8881  0.8680  0.8440  0.8166  0.7861  0.7532  0.7191  0.6834  0.6475
  0.6122  0.5783  0.5455  0.5135  0.4822  0.4049  0.3255  0.2374  0.1419  0.0425
 -0.0587 -0.1607 -0.2624 -0.3630 -0.4614 -0.5576 -0.6519 -0.7445 -0.8357 -0.9261
 -1.0175
  0.8495  0.8425  0.8306  0.8145  0.7945  0.7710  0.7445  0.7153  0.6842  0.6514
  0.6175  0.5831  0.5489  0.5150  0.4812  0.3979  0.3151  0.2289  0.1359  0.0383
 -0.0614 -0.1620 -0.2627 -0.3629 -0.4617 -0.5582 -0.6525 -0.7445 -0.8346 -0.9233
 -1.0111
  0.7873  0.7862  0.7807  0.7710  0.7576  0.7407  0.7204  0.6971  0.6712  0.6431
  0.6132  0.5817  0.5489  0.5152  0.4810  0.3943  0.3078  0.2208  0.1301
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F140M
  0.7155  0.6526  0.6327  0.6446  0.6560  0.6657  0.6717  0.6730  0.6733  0.6747
  0.6743  0.6695  0.6587  0.6427  0.6224  0.5585  0.4692  0.3508  0.2375
  0.7542  0.7159  0.6725  0.6364  0.6436  0.6537  0.6570  0.6555  0.6535  0.6530
  0.6507  0.6441  0.6321  0.6152  0.5945  0.5274  0.4398  0.3358  0.2237  0.1090
  0.7877  0.7462  0.7141  0.6858  0.6512  0.6406  0.6475  0.6467  0.6411  0.6379
  0.6337  0.6259  0.6130  0.5953  0.5738  0.5057  0.4193  0.3187  0.2098  0.0983
 -0.0138
  0.8265  0.7780  0.7398  0.7104  0.6852  0.6598  0.6372  0.6345  0.6329  0.6282
  0.6223  0.6134  0.5998  0.5814  0.5592  0.4895  0.4031  0.3045  0.1981  0.0890
 -0.0204 -0.1296
  0.8701  0.8153  0.7701  0.7329  0.7021  0.6760  0.6512  0.6300  0.6171  0.6157
  0.6131  0.6048  0.5910  0.5722  0.5492  0.4778  0.3908  0.2932  0.1886  0.0810
 -0.0266 -0.1335 -0.2400 -0.3465
  0.9081  0.8572  0.8055  0.7619  0.7245  0.6918  0.6630  0.6377  0.6156  0.5998
  0.5946  0.5917  0.5825  0.5655  0.5426  0.4696  0.3816  0.2844  0.1810  0.0744
 -0.0322 -0.1378 -0.2423 -0.3461 -0.4494 -0.5525 -0.6553 -0.7581 -0.8604 -0.9602
  0.9494  0.8995  0.8447  0.7957  0.7526  0.7141  0.6794  0.6483  0.6209  0.5985
  0.5816  0.5703  0.5623  0.5514  0.5340  0.4638  0.3749  0.2776  0.1750  0.0694
 -0.0369 -0.1419 -0.2453 -0.3473 -0.4484 -0.5490 -0.6491 -0.7487 -0.8478 -0.9464
 -1.0445
  0.9824  0.9366  0.8832  0.8321  0.7848  0.7417  0.7021  0.6656  0.6325  0.6035
  0.5798  0.5604  0.5435  0.5288  0.5138  0.4560  0.3697  0.2723  0.1703  0.0656
 -0.0402 -0.1451 -0.2482 -0.3494 -0.4490 -0.5472 -0.6444 -0.7411 -0.8378 -0.9347
 -1.0320
  1.0025  0.9624  0.9142  0.8652  0.8174  0.7717  0.7285  0.6881  0.6502  0.6156
  0.5853  0.5595  0.5364  0.5147  0.4942  0.4391  0.3617  0.2666  0.1652  0.0613
 -0.0437 -0.1485 -0.2518 -0.3531 -0.4523 -0.5496 -0.6456 -0.7408 -0.8353 -0.9290
 -1.0220
  1.0051  0.9715  0.9307  0.8892  0.8447  0.8002  0.7563  0.7138  0.6727  0.6339
  0.5981  0.5661  0.5374  0.5106  0.4848  0.4219  0.3496  0.2607  0.1616  0.0589
 -0.0449 -0.1490 -0.2521 -0.3537 -0.4530 -0.5500 -0.6451 -0.7384 -0.8305 -0.9216
 -1.0138
  0.9877  0.9629  0.9313  0.8979  0.8594  0.8199  0.7787  0.7372  0.6956  0.6548
  0.6156  0.5786  0.5446  0.5131  0.4830  0.4105  0.3367  0.2525  0.1574  0.0566
 -0.0461 -0.1490 -0.2515 -0.3529 -0.4526 -0.5500 -0.6451 -0.7379 -0.8288 -0.9183
 -1.0068
  0.9551  0.9366  0.9159  0.8901  0.8598  0.8259  0.7896  0.7517  0.7125  0.6728
  0.6330  0.5938  0.5561  0.5203  0.4864  0.4055  0.3264  0.2435  0.1522
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F140M
  0.6282  0.6259  0.6444  0.6552  0.6669  0.6754  0.6751  0.6717  0.6672  0.6630
  0.6563  0.6479  0.6364  0.6205  0.6003  0.5363  0.4563  0.3589  0.2463
  0.6976  0.6409  0.6211  0.6407  0.6512  0.6570  0.6580  0.6537  0.6484  0.6432
  0.6355  0.6259  0.6132  0.5963  0.5756  0.5113  0.4324  0.3381  0.2304  0.1164
  0.7286  0.6981  0.6626  0.6272  0.6389  0.6485  0.6492  0.6441  0.6365  0.6298
  0.6211  0.6104  0.5970  0.5796  0.5584  0.4932  0.4141  0.3215  0.2173  0.1069
 -0.0056
  0.7613  0.7245  0.6981  0.6753  0.6453  0.6359  0.6436  0.6409  0.6310  0.6213
  0.6115  0.5999  0.5859  0.5683  0.5469  0.4807  0.4008  0.3088  0.2068  0.0989
 -0.0109 -0.1210
  0.8035  0.7560  0.7213  0.6959  0.6758  0.6556  0.6352  0.6323  0.6290  0.6172
  0.6059  0.5931  0.5785  0.5609  0.5394  0.4725  0.3914  0.2993  0.1985  0.0923
 -0.0158 -0.1237 -0.2311 -0.3382
  0.8539  0.7965  0.7519  0.7176  0.6912  0.6695  0.6495  0.6300  0.6153  0.6095
  0.6011  0.5889  0.5739  0.5562  0.5348  0.4673  0.3852  0.2925  0.1922  0.0871
 -0.0199 -0.1265 -0.2321 -0.3369 -0.4411 -0.5450 -0.6488 -0.7526 -0.8557 -0.9548
  0.9089  0.8449  0.7909  0.7474  0.7121  0.6827  0.6577  0.6352  0.6141  0.5952
