 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.7898 -1.7674 -1.9523 -1.9473 -1.8553 -1.7077 -1.5322 -1.4139 -1.3115 -1.2027
 -1.0981 -0.9983 -0.9049 -0.8203 -0.7479 -0.5966 -0.5370 -0.5359 -0.5196
 -1.7793 -1.6876 -1.6134 -1.5717 -1.5632 -1.5288 -1.4445 -1.3424 -1.2432 -1.1467
 -1.0529 -0.9640 -0.8823 -0.8096 -0.7464 -0.6289 -0.5621 -0.5346 -0.5307 -0.5404
 -1.6401 -1.5558 -1.4743 -1.4021 -1.3456 -1.3183 -1.3047 -1.2630 -1.1913 -1.1067
 -1.0232 -0.9428 -0.8683 -0.8019 -0.7444 -0.6374 -0.5762 -0.5521 -0.5502 -0.5599
 -0.5772
 -1.5157 -1.4486 -1.3763 -1.3044 -1.2382 -1.1809 -1.1385 -1.1170 -1.0956 -1.0533
 -0.9921 -0.9239 -0.8574 -0.7968 -0.7441 -0.6453 -0.5882 -0.5664 -0.5663 -0.5767
 -0.5933 -0.6149
 -1.3920 -1.3453 -1.2892 -1.2274 -1.1649 -1.1060 -1.0533 -1.0081 -0.9763 -0.9516
 -0.9246 -0.8861 -0.8386 -0.7882 -0.7410 -0.6501 -0.5962 -0.5764 -0.5783 -0.5906
 -0.6077 -0.6287 -0.6535 -0.6823
 -1.2684 -1.2372 -1.1994 -1.1527 -1.1006 -1.0469 -0.9959 -0.9489 -0.9066 -0.8700
 -0.8411 -0.8167 -0.7902 -0.7596 -0.7268 -0.6496 -0.5990 -0.5806 -0.5846 -0.6003
 -0.6196 -0.6415 -0.6661 -0.6934 -0.7238 -0.7578 -0.7957 -0.8379 -0.8845 -0.9355
 -1.1486 -1.1272 -1.1036 -1.0712 -1.0329 -0.9897 -0.9447 -0.9011 -0.8606 -0.8229
 -0.7887 -0.7594 -0.7352 -0.7136 -0.6921 -0.6393 -0.5960 -0.5772 -0.5838 -0.6040
 -0.6275 -0.6521 -0.6779 -0.7054 -0.7346 -0.7649 -0.7979 -0.8355 -0.8794 -0.9295
 -0.9822
 -1.0362 -1.0200 -1.0039 -0.9825 -0.9563 -0.9259 -0.8912 -0.8543 -0.8181 -0.7839
 -0.7521 -0.7229 -0.6969 -0.6750 -0.6560 -0.6166 -0.5858 -0.5697 -0.5767 -0.6002
 -0.6291 -0.6583 -0.6871 -0.7163 -0.7463 -0.7771 -0.8084 -0.8421 -0.8803 -0.9245
 -0.9758
 -0.9349 -0.9206 -0.9065 -0.8903 -0.8728 -0.8523 -0.8288 -0.8019 -0.7729 -0.7437
 -0.7160 -0.6905 -0.6672 -0.6462 -0.6275 -0.5918 -0.5689 -0.5584 -0.5650 -0.5901
 -0.6236 -0.6585 -0.6922 -0.7249 -0.7572 -0.7892 -0.8217 -0.8550 -0.8911 -0.9302
 -0.9719
 -0.8484 -0.8336 -0.8187 -0.8038 -0.7889 -0.7740 -0.7587 -0.7414 -0.7219 -0.7001
 -0.6778 -0.6568 -0.6375 -0.6197 -0.6035 -0.5710 -0.5510 -0.5441 -0.5516 -0.5756
 -0.6109 -0.6504 -0.6897 -0.7275 -0.7636 -0.7985 -0.8327 -0.8667 -0.9010 -0.9368
