 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F444W
  0.4786  0.3315  0.2385  0.2005  0.1416  0.0727  0.0011 -0.0662 -0.1410 -0.2234
 -0.3030 -0.3818 -0.4587 -0.5354 -0.6098 -0.7894 -0.9601 -1.1106 -1.2741
  0.3971  0.3313  0.2599  0.1811  0.0974  0.0265 -0.0382 -0.1063 -0.1781 -0.2559
 -0.3346 -0.4128 -0.4901 -0.5661 -0.6409 -0.8213 -0.9903 -1.1496 -1.3071 -1.4656
  0.3635  0.3029  0.2362  0.1647  0.0893  0.0087 -0.0700 -0.1392 -0.2080 -0.2802
 -0.3560 -0.4326 -0.5090 -0.5847 -0.6594 -0.8395 -1.0085 -1.1672 -1.3251 -1.4827
 -1.6340
  0.3246  0.2696  0.2081  0.1409  0.0694 -0.0047 -0.0804 -0.1581 -0.2326 -0.3040
 -0.3755 -0.4483 -0.5222 -0.5965 -0.6706 -0.8507 -1.0205 -1.1810 -1.3382 -1.4952
 -1.6462 -1.7906
  0.2762  0.2299  0.1749  0.1132  0.0460 -0.0247 -0.0969 -0.1698 -0.2449 -0.3202
 -0.3934 -0.4644 -0.5350 -0.6062 -0.6782 -0.8569 -1.0276 -1.1895 -1.3475 -1.5042
 -1.6551 -1.7993 -1.9372 -2.0696
  0.2191  0.1799  0.1340  0.0794  0.0184 -0.0476 -0.1166 -0.1868 -0.2583 -0.3307
 -0.4035 -0.4758 -0.5466 -0.6165 -0.6860 -0.8606 -1.0309 -1.1941 -1.3533 -1.5103
 -1.6615 -1.8058 -1.9436 -2.0757 -2.2027 -2.3254 -2.4441 -2.5594 -2.6717 -2.7813
  0.1556  0.1211  0.0834  0.0367 -0.0166 -0.0762 -0.1400 -0.2065 -0.2755 -0.3451
 -0.4149 -0.4847 -0.5545 -0.6239 -0.6928 -0.8638 -1.0322 -1.1953 -1.3553 -1.5133
 -1.6656 -1.8105 -1.9484 -2.0804 -2.2071 -2.3290 -2.4468 -2.5608 -2.6717 -2.7798
 -2.8858
  0.0882  0.0564  0.0229 -0.0166 -0.0618 -0.1132 -0.1702 -0.2313 -0.2962 -0.3629
 -0.4302 -0.4974 -0.5643 -0.6314 -0.6986 -0.8667 -1.0327 -1.1947 -1.3540 -1.5127
 -1.6670 -1.8132 -1.9518 -2.0841 -2.2107 -2.3323 -2.4494 -2.5626 -2.6725 -2.7793
 -2.8835
  0.0191 -0.0114 -0.0438 -0.0819 -0.1191 -0.1627 -0.2116 -0.2654 -0.3243 -0.3867
 -0.4507 -0.5154 -0.5800 -0.6443 -0.7087 -0.8715 -1.0347 -1.1948 -1.3532 -1.5113
 -1.6673 -1.8161 -1.9563 -2.0894 -2.2164 -2.3382 -2.4553 -2.5682 -2.6775 -2.7834
 -2.8862
 -0.0492 -0.0792 -0.1118 -0.1469 -0.1840 -0.2230 -0.2643 -0.3101 -0.3607 -0.4168
 -0.4757 -0.5366 -0.5983 -0.6601 -0.7219 -0.8776 -1.0355 -1.1936 -1.3494 -1.5051
 -1.6610 -1.8120 -1.9548 -2.0895 -2.2175 -2.3397 -2.4570 -2.5698 -2.6786 -2.7838
 -2.8878
 -0.1146 -0.1478 -0.1822 -0.2177 -0.2540 -0.2912 -0.3290 -0.3679 -0.4102 -0.4578
 -0.5099 -0.5652 -0.6224 -0.6809 -0.7399 -0.8885 -1.0395 -1.1931 -1.3462 -1.4994
 -1.6531 -1.8044 -1.9497 -2.0871 -2.2169 -2.3403 -2.4583 -2.5714 -2.6802 -2.7853
 -2.8869
 -0.1756 -0.2295 -0.2733 -0.3101 -0.3428 -0.3738 -0.4049 -0.4378 -0.4735 -0.5128
 -0.5563 -0.6041 -0.6550 -0.7083 -0.7632 -0.9041 -1.0480 -1.1952 -1.3450
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F444W
  0.4444  0.3588  0.2931  0.2338  0.1646  0.0898  0.0120 -0.0666 -0.1426 -0.2244
 -0.3064 -0.3871 -0.4659 -0.5430 -0.6184 -0.7996 -0.9710 -1.1281 -1.2837
  0.4309  0.3629  0.2830  0.2011  0.1355  0.0640 -0.0135 -0.0926 -0.1708 -0.2532
 -0.3359 -0.4172 -0.4967 -0.5743 -0.6501 -0.8315 -1.0010 -1.1589 -1.3097 -1.4628
  0.4065  0.3430  0.2740  0.1990  0.1144  0.0372 -0.0342 -0.1106 -0.1888 -0.2696
 -0.3520 -0.4334 -0.5133 -0.5914 -0.6677 -0.8499 -1.0196 -1.1772 -1.3280 -1.4804
 -1.6306
  0.3776  0.3181  0.2529  0.1833  0.1088  0.0287 -0.0543 -0.1302 -0.2042 -0.2811
 -0.3615 -0.4422 -0.5219 -0.6001 -0.6767 -0.8600 -1.0310 -1.1898 -1.3414 -1.4930
 -1.6425 -1.7867
  0.3433  0.2890  0.2281  0.1619  0.0912  0.0168 -0.0606 -0.1402 -0.2199 -0.2951
 -0.3708 -0.4484 -0.5266 -0.6042 -0.6806 -0.8646 -1.0371 -1.1979 -1.3508 -1.5020
 -1.6510 -1.7950 -1.9330 -2.0660
  0.3012  0.2538  0.1987  0.1374  0.0708  0.0001 -0.0737 -0.1491 -0.2258 -0.3038
 -0.3813 -0.4570 -0.5320 -0.6071 -0.6822 -0.8657 -1.0393 -1.2022 -1.3569 -1.5082
 -1.6571 -1.8011 -1.9390 -2.0713 -2.1987 -2.3218 -2.4410 -2.5567 -2.6693 -2.7787
  0.2513  0.2103  0.1624  0.1074  0.0462 -0.0201 -0.0901 -0.1626 -0.2363 -0.3108
 -0.3862 -0.4624 -0.5376 -0.6115 -0.6844 -0.8650 -1.0389 -1.2033 -1.3597 -1.5117
 -1.6609 -1.8053 -1.9434 -2.0756 -2.2026 -2.3249 -2.4430 -2.5576 -2.6689 -2.7774
 -2.8833
  0.1947  0.1569  0.1169  0.0695  0.0151 -0.0453 -0.1105 -0.1790 -0.2499 -0.3216
 -0.3940 -0.4671 -0.5406 -0.6138 -0.6863 -0.8640 -1.0369 -1.2019 -1.3594 -1.5123
 -1.6624 -1.8078 -1.9464 -2.0789 -2.2058 -2.3277 -2.4452 -2.5589 -2.6692 -2.7764
 -2.8809
  0.1342  0.0973  0.0615  0.0213 -0.0256 -0.0790 -0.1381 -0.2016 -0.2685 -0.3372
 -0.4069 -0.4773 -0.5479 -0.6185 -0.6892 -0.8646 -1.0360 -1.2011 -1.3591 -1.5125
 -1.6636 -1.8105 -1.9506 -2.0839 -2.2111 -2.3332 -2.4507 -2.5642 -2.6739 -2.7802
 -2.8833
  0.0730  0.0354  0.0004 -0.0361 -0.0759 -0.1217 -0.1733 -0.2301 -0.2915 -0.3561
 -0.4225 -0.4898 -0.5577 -0.6257 -0.6936 -0.8638 -1.0326 -1.1969 -1.3547 -1.5076
 -1.6585 -1.8070 -1.9490 -2.0837 -2.2119 -2.3344 -2.4520 -2.5652 -2.6745 -2.7802
 -2.8847
  0.0147 -0.0279 -0.0653 -0.1005 -0.1355 -0.1751 -0.2196 -0.2688 -0.3230 -0.3820
 -0.4439 -0.5076 -0.5724 -0.6376 -0.7029 -0.8665 -1.0307 -1.1927 -1.3500 -1.5020
 -1.6517 -1.8003 -1.9442 -2.0812 -2.2110 -2.3346 -2.4530 -2.5665 -2.6757 -2.7813
 -2.8833
 -0.0404 -0.0927 -0.1355 -0.1715 -0.2045 -0.2383 -0.2765 -0.3191 -0.3659 -0.4174
 -0.4734 -0.5323 -0.5930 -0.6548 -0.7172 -0.8740 -1.0320 -1.1901 -1.3456
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F444W
  0.4266  0.3760  0.3205  0.2530  0.1810  0.1041  0.0214 -0.0607 -0.1387 -0.2205
 -0.3042 -0.3864 -0.4667 -0.5449 -0.6213 -0.8042 -0.9767 -1.1380 -1.2901
  0.4490  0.3677  0.2997  0.2370  0.1617  0.0816 -0.0012 -0.0848 -0.1650 -0.2488
 -0.3332 -0.4163 -0.4976 -0.5768 -0.6540 -0.8378 -1.0093 -1.1682 -1.3171 -1.4627
  0.4356  0.3717  0.2962  0.2142  0.1465  0.0692 -0.0140 -0.0982 -0.1805 -0.2632
 -0.3477 -0.4312 -0.5131 -0.5930 -0.6708 -0.8561 -1.0282 -1.1868 -1.3354 -1.4809
 -1.6266
  0.4145  0.3533  0.2867  0.2136  0.1308  0.0520 -0.0237 -0.1058 -0.1892 -0.2708
 -0.3545 -0.4378 -0.5199 -0.6002 -0.6785 -0.8652 -1.0386 -1.1985 -1.3482 -1.4938
 -1.6386 -1.7814
  0.3900  0.3311  0.2673  0.1986  0.1248  0.0456 -0.0383 -0.1172 -0.1956 -0.2761
 -0.3575 -0.4402 -0.5219 -0.6023 -0.6808 -0.8686 -1.0435 -1.2054 -1.3569 -1.5029
 -1.6471 -1.7893 -1.9271 -2.0601
  0.3603  0.3056  0.2448  0.1793  0.1091  0.0346 -0.0432 -0.1239 -0.2059 -0.2844
 -0.3616 -0.4413 -0.5218 -0.6018 -0.6803 -0.8686 -1.0448 -1.2088 -1.3623 -1.5091
 -1.6531 -1.7949 -1.9325 -2.0650 -2.1929 -2.3165 -2.4363 -2.5525 -2.6653 -2.7747
  0.3238  0.2750  0.2191  0.1573  0.0908  0.0199 -0.0546 -0.1314 -0.2096 -0.2890
 -0.3681 -0.4459 -0.5234 -0.6009 -0.6784 -0.8665 -1.0437 -1.2094 -1.3649 -1.5129
 -1.6570 -1.7987 -1.9363 -2.0687 -2.1960 -2.3189 -2.4379 -2.5531 -2.6647 -2.7731
 -2.8791
  0.2803  0.2372  0.1876  0.1312  0.0689  0.0020 -0.0688 -0.1424 -0.2178 -0.2940
 -0.3706 -0.4480 -0.5256 -0.6023 -0.6779 -0.8635 -1.0409 -1.2079 -1.3651 -1.5144
 -1.6591 -1.8009 -1.9388 -2.0714 -2.1985 -2.3210 -2.4393 -2.5537 -2.6645 -2.7721
 -2.8767
  0.2317  0.1916  0.1479  0.0979  0.0413 -0.0210 -0.0876 -0.1575 -0.2299 -0.3035
 -0.3778 -0.4524 -0.5278 -0.6033 -0.6784 -0.8621 -1.0391 -1.2070 -1.3655 -1.5160
 -1.6614 -1.8038 -1.9425 -2.0757 -2.2033 -2.3258 -2.4439 -2.5580 -2.6684 -2.7753
 -2.8790
  0.1808  0.1418  0.1009  0.0572  0.0072 -0.0489 -0.1102 -0.1755 -0.2440 -0.3144
 -0.3860 -0.4583 -0.5310 -0.6040 -0.6770 -0.8577 -1.0336 -1.2021 -1.3613 -1.5125
 -1.6583 -1.8013 -1.9409 -2.0751 -2.2035 -2.3264 -2.4446 -2.5584 -2.6684 -2.7748
 -2.8779
  0.1307  0.0867  0.0477  0.0081 -0.0356 -0.0851 -0.1400 -0.1997 -0.2633 -0.3298
