 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F444W
 -4.0692 -4.2164 -4.3082 -4.3459 -4.4044 -4.4737 -4.5455 -4.6130 -4.6881 -4.7700
 -4.8502 -4.9290 -5.0065 -5.0824 -5.1569 -5.3358 -5.5083 -5.6581 -5.8244
 -4.1508 -4.2166 -4.2880 -4.3666 -4.4500 -4.5206 -4.5851 -4.6533 -4.7252 -4.8030
 -4.8817 -4.9600 -5.0373 -5.1134 -5.1883 -5.3690 -5.5385 -5.6982 -5.8560 -6.0144
 -4.1849 -4.2455 -4.3122 -4.3836 -4.4589 -4.5393 -4.6177 -4.6866 -4.7553 -4.8275
 -4.9033 -4.9800 -5.0564 -5.1321 -5.2069 -5.3873 -5.5566 -5.7158 -5.8738 -6.0315
 -6.1828
 -4.2241 -4.2791 -4.3406 -4.4078 -4.4792 -4.5532 -4.6287 -4.7062 -4.7805 -4.8517
 -4.9230 -4.9958 -5.0698 -5.1441 -5.2182 -5.3984 -5.5686 -5.7295 -5.8869 -6.0439
 -6.1950 -6.3394
 -4.2727 -4.3190 -4.3741 -4.4358 -4.5029 -4.5735 -4.6457 -4.7185 -4.7934 -4.8685
 -4.9415 -5.0123 -5.0828 -5.1540 -5.2260 -5.4048 -5.5757 -5.7380 -5.8962 -6.0529
 -6.2039 -6.3481 -6.4860 -6.6183
 -4.3300 -4.3691 -4.4151 -4.4697 -4.5307 -4.5967 -4.6656 -4.7358 -4.8072 -4.8794
 -4.9521 -5.0242 -5.0949 -5.1646 -5.2340 -5.4086 -5.5791 -5.7426 -5.9020 -6.0590
 -6.2102 -6.3545 -6.4923 -6.6244 -6.7515 -6.8741 -6.9929 -7.1082 -7.2205 -7.3301
 -4.3935 -4.4279 -4.4658 -4.5125 -4.5659 -4.6255 -4.6893 -4.7557 -4.8246 -4.8941
 -4.9638 -5.0335 -5.1031 -5.1724 -5.2412 -5.4120 -5.5805 -5.7438 -5.9039 -6.0620
 -6.2143 -6.3592 -6.4971 -6.6291 -6.7558 -6.8778 -6.9955 -7.1096 -7.2205 -7.3286
 -7.4346
 -4.4610 -4.4927 -4.5263 -4.5660 -4.6113 -4.6626 -4.7196 -4.7807 -4.8455 -4.9122
 -4.9794 -5.0465 -5.1133 -5.1802 -5.2474 -5.4152 -5.5811 -5.7432 -5.9027 -6.0614
 -6.2157 -6.3619 -6.5005 -6.6328 -6.7594 -6.8810 -6.9981 -7.1113 -7.2211 -7.3280
 -7.4323
 -4.5302 -4.5605 -4.5930 -4.6313 -4.6687 -4.7123 -4.7612 -4.8150 -4.8739 -4.9361
 -5.0001 -5.0647 -5.1291 -5.1934 -5.2577 -5.4203 -5.5834 -5.7435 -5.9018 -6.0599
 -6.2160 -6.3647 -6.5050 -6.6381 -6.7651 -6.8868 -7.0039 -7.1169 -7.2262 -7.3322
 -7.4349
 -4.5986 -4.6285 -4.6612 -4.6963 -4.7335 -4.7726 -4.8140 -4.8598 -4.9104 -4.9663
 -5.0253 -5.0861 -5.1477 -5.2094 -5.2711 -5.4265 -5.5843 -5.7423 -5.8981 -6.0538
 -6.2096 -6.3607 -6.5034 -6.6382 -6.7662 -6.8884 -7.0057 -7.1184 -7.2272 -7.3325
 -7.4365
 -4.6641 -4.6974 -4.7319 -4.7674 -4.8038 -4.8409 -4.8787 -4.9176 -4.9600 -5.0075
