 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F444W
  0.4669  0.3195  0.2285  0.1920  0.1332  0.0638 -0.0080 -0.0759 -0.1514 -0.2331
 -0.3133 -0.3919 -0.4692 -0.5458 -0.6207 -0.8010 -0.9716 -1.1238 -1.2890
  0.3850  0.3193  0.2480  0.1696  0.0865  0.0162 -0.0481 -0.1163 -0.1883 -0.2661
 -0.3449 -0.4232 -0.5006 -0.5768 -0.6518 -0.8328 -1.0028 -1.1631 -1.3211 -1.4796
  0.3505  0.2899  0.2232  0.1519  0.0767 -0.0034 -0.0815 -0.1502 -0.2188 -0.2909
 -0.3667 -0.4433 -0.5198 -0.5956 -0.6704 -0.8511 -1.0209 -1.1806 -1.3390 -1.4966
 -1.6480
  0.3110  0.2560  0.1944  0.1273  0.0559 -0.0180 -0.0933 -0.1706 -0.2446 -0.3156
 -0.3867 -0.4595 -0.5334 -0.6078 -0.6819 -0.8624 -1.0329 -1.1942 -1.3520 -1.5090
 -1.6601 -1.8045
  0.2622  0.2158  0.1607  0.0990  0.0319 -0.0387 -0.1108 -0.1834 -0.2582 -0.3331
 -0.4057 -0.4764 -0.5468 -0.6179 -0.6899 -0.8689 -1.0401 -1.2028 -1.3613 -1.5180
 -1.6689 -1.8131 -1.9511 -2.0834
  0.2047  0.1655  0.1194  0.0648  0.0038 -0.0622 -0.1310 -0.2012 -0.2724 -0.3445
 -0.4170 -0.4889 -0.5594 -0.6289 -0.6983 -0.8729 -1.0436 -1.2074 -1.3670 -1.5241
 -1.6753 -1.8196 -1.9574 -2.0895 -2.2166 -2.3392 -2.4580 -2.5733 -2.6856 -2.7952
  0.1410  0.1065  0.0685  0.0218 -0.0316 -0.0912 -0.1550 -0.2214 -0.2901 -0.3596
 -0.4291 -0.4986 -0.5681 -0.6372 -0.7059 -0.8765 -1.0450 -1.2085 -1.3689 -1.5271
 -1.6794 -1.8242 -1.9622 -2.0942 -2.2208 -2.3427 -2.4605 -2.5747 -2.6856 -2.7937
