 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F210M
  0.9580  0.9437  0.9459  0.9573  0.9833  1.0176  1.1244  1.1421  1.1398  1.1153
  1.0700  1.0083  0.9401  0.8662  0.7920  0.6069  0.4359  0.2741  0.1149
  1.0019  0.9662  0.9554  0.9669  1.0000  1.0322  1.0549  1.0685  1.0715  1.0611
  1.0311  0.9803  0.9159  0.8464  0.7759  0.6016  0.4315  0.2660  0.1055 -0.0498
  0.9468  0.9380  0.9244  0.9139  0.9171  0.9409  0.9788  1.0067  1.0144  1.0042
  0.9822  0.9449  0.8892  0.8231  0.7544  0.5839  0.4181  0.2555  0.0971 -0.0560
 -0.2040
  0.8788  0.8870  0.8841  0.8754  0.8675  0.8684  0.8826  0.9075  0.9325  0.9398
  0.9257  0.8983  0.8553  0.7970  0.7317  0.5653  0.4037  0.2454  0.0894 -0.0620
 -0.2081 -0.3494
  0.7752  0.8066  0.8215  0.8242  0.8199  0.8147  0.8149  0.8233  0.8359  0.8468
  0.8477  0.8324  0.8042  0.7603  0.7044  0.5454  0.3876  0.2344  0.0821 -0.0676
 -0.2123 -0.3519 -0.4867 -0.6176
  0.6352  0.6919  0.7303  0.7515  0.7591  0.7584  0.7555  0.7556  0.7599  0.7645
  0.7637  0.7542  0.7358  0.7047  0.6617  0.5227  0.3701  0.2214  0.0742 -0.0727
 -0.2163 -0.3548 -0.4882 -0.6174 -0.7432 -0.8658 -0.9850 -1.1008 -1.2134 -1.3227
  0.4699  0.5438  0.6070  0.6512  0.6772  0.6887  0.6914  0.6906  0.6905  0.6921
  0.6918  0.6842  0.6682  0.6437  0.6093  0.4916  0.3504  0.2066  0.0647 -0.0780
 -0.2197 -0.3575 -0.4902 -0.6182 -0.7419 -0.8619 -0.9786 -1.0927 -1.2044 -1.3137
 -1.4193
  0.2824  0.3720  0.4529  0.5197  0.5683  0.5981  0.6135  0.6192  0.6201  0.6204
  0.6205  0.6174  0.6071  0.5878  0.5588  0.4559  0.3275  0.1901  0.0530 -0.0845
 -0.2229 -0.3596 -0.4920 -0.6195 -0.7423 -0.8610 -0.9761 -1.0883 -1.1978 -1.3051
 -1.4105
  0.0902  0.1876  0.2773  0.3600  0.4299  0.4813  0.5148  0.5336  0.5422  0.5452
  0.5461  0.5457  0.5418  0.5310  0.5100  0.4202  0.3018  0.1712  0.0381 -0.0950
 -0.2291 -0.3636 -0.4956 -0.6232 -0.7460 -0.8642 -0.9786 -1.0898 -1.1979 -1.3033
 -1.4060
 -0.1066 -0.0094  0.0907  0.1811  0.2642  0.3352  0.3893  0.4263  0.4489  0.4608
  0.4664  0.4687  0.4689  0.4655  0.4552  0.3861  0.2785  0.1547  0.0254 -0.1045
 -0.2344 -0.3652 -0.4954 -0.6228 -0.7458 -0.8641 -0.9781 -1.0883 -1.1975 -1.3014
 -1.4020
 -0.3081 -0.2190 -0.1069 -0.0027  0.0822  0.1638  0.2351  0.2917  0.3325  0.3595
  0.3757  0.3845  0.3891  0.3908  0.3888  0.3477  0.2543  0.1386  0.0136 -0.1137
 -0.2410 -0.3682 -0.4954 -0.6215 -0.7445 -0.8634 -0.9778 -1.0879 -1.1942 -1.2972
 -1.3974
 -0.5143 -0.4412 -0.3155 -0.1882 -0.1039 -0.0209  0.0587  0.1300  0.1888  0.2340
  0.2660  0.2871  0.3002  0.3080  0.3108  0.3050  0.2292  0.1229  0.0027
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F210M
  0.9713  0.9772  0.9967  1.0236  1.0562  1.0886  1.1391  1.1514  1.1467  1.1221
  1.0773  1.0165  0.9480  0.8753  0.8022  0.6199  0.4454  0.2784  0.1162
  0.9851  0.9651  0.9686  0.9844  1.0062  1.0325  1.0588  1.0787  1.0856  1.0752
  1.0443  0.9928  0.9276  0.8571  0.7854  0.6077  0.4352  0.2686  0.1079 -0.0476
  0.9943  0.9637  0.9388  0.9308  0.9482  0.9797  1.0040  1.0186  1.0250  1.0215
  1.0030  0.9649  0.9072  0.8393  0.7688  0.5934  0.4232  0.2587  0.0999 -0.0534
 -0.2016
  0.9813  0.9589  0.9329  0.9098  0.8978  0.9027  0.9272  0.9608  0.9787  0.9753
  0.9583  0.9294  0.8835  0.8214  0.7536  0.5798  0.4119  0.2497  0.0927 -0.0590
 -0.2053 -0.3467
  0.9369  0.9302  0.9144  0.8942  0.8748  0.8626  0.8618  0.8717  0.8913  0.9095
  0.9079  0.8877  0.8520  0.7999  0.7363  0.5667  0.4007  0.2410  0.0861 -0.0642
 -0.2091 -0.3489 -0.4839 -0.6151
  0.8550  0.8701  0.8714  0.8628  0.8483  0.8328  0.8214  0.8171  0.8179  0.8207
  0.8244  0.8196  0.8005  0.7646  0.7135  0.5530  0.3893  0.2319  0.0798 -0.0687
 -0.2127 -0.3514 -0.4851 -0.6144 -0.7399 -0.8621 -0.9813 -1.0978 -1.2115 -1.3208
  0.7346  0.7740  0.7976  0.8067  0.8046  0.7954  0.7835  0.7731  0.7662  0.7607
  0.7528  0.7420  0.7281  0.7052  0.6689  0.5356  0.3772  0.2221  0.0728 -0.0730
 -0.2157 -0.3539 -0.4868 -0.6149 -0.7389 -0.8592 -0.9764 -1.0907 -1.2024 -1.3118
 -1.4174
  0.5850  0.6441  0.6901  0.7211  0.7370  0.7404  0.7354  0.7265  0.7171  0.7087
  0.6994  0.6853  0.6666  0.6429  0.6131  0.5041  0.3620  0.2113  0.0646 -0.0779
 -0.2182 -0.3556 -0.4883 -0.6160 -0.7390 -0.8580 -0.9736 -1.0860 -1.1957 -1.3031
 -1.4086
  0.4187  0.4902  0.5539  0.6056  0.6417  0.6624  0.6701  0.6688  0.6623  0.6540
  0.6450  0.6334  0.6163  0.5930  0.5634  0.4649  0.3380  0.1964  0.0533 -0.0863
 -0.2235 -0.3592 -0.4916 -0.6195 -0.7424 -0.8609 -0.9756 -1.0868 -1.1949 -1.3005
 -1.4040
  0.2482  0.3232  0.3966  0.4632  0.5182  0.5581  0.5826  0.5941  0.5959  0.5918
  0.5847  0.5758  0.5639  0.5463  0.5212  0.4298  0.3130  0.1809  0.0430 -0.0935
 -0.2274 -0.3601 -0.4911 -0.6188 -0.7420 -0.8606 -0.9749 -1.0853 -1.1923 -1.2964
 -1.3999
  0.0821  0.1558  0.2290  0.3030  0.3704  0.4274  0.4697  0.4975  0.5123  0.5172
  0.5155  0.5100  0.5019  0.4907  0.4737  0.3976  0.2884  0.1642  0.0322 -0.1012
 -0.2325 -0.3622 -0.4906 -0.6173 -0.7406 -0.8597 -0.9743 -1.0847 -1.1913 -1.2946
 -1.3950
 -0.0736 -0.0070  0.0630  0.1355  0.2075  0.2744  0.3318  0.3759  0.4063  0.4245
  0.4328  0.4340  0.4418  0.4309  0.4209  0.3683  0.2642  0.1463  0.0209
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F210M
  1.0192  1.0405  1.0718  1.1073  1.1414  1.1684  1.1838  1.1841  1.1681  1.1346
  1.0841  1.0209  0.9513  0.8794  0.8072  0.6281  0.4531  0.2837  0.1197
  0.9856  0.9864  1.0022  1.0285  1.0592  1.0878  1.1090  1.1190  1.1151  1.0949
  1.0563  1.0002  0.9332  0.8621  0.7903  0.6129  0.4402  0.2729  0.1117 -0.0440
  0.9925  0.9670  0.9631  0.9750  0.9937  1.0160  1.0370  1.0514  1.0559  1.0474
  1.0226  0.9783  0.9174  0.8482  0.7769  0.6003  0.4292  0.2637  0.1043 -0.0493
 -0.1977
  1.0139  0.9775  0.9478  0.9317  0.9362  0.9608  0.9847  0.9982  1.0024  0.9975
  0.9814  0.9503  0.9003  0.8357  0.7659  0.5902  0.4200  0.2559  0.0978 -0.0543
 -0.2009 -0.3426
  1.0189  0.9867  0.9526  0.9219  0.9007  0.8947  0.9066  0.9299  0.9531  0.9567
