 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F115W
  0.7952  0.7776  0.7539  0.7236  0.6939  0.6676  0.6406  0.6112  0.5894  0.5772
  0.5748  0.5824  0.5824  0.5864  0.5869  0.5738  0.5145  0.4277  0.3386
  0.8192  0.8052  0.7792  0.7425  0.6982  0.6610  0.6315  0.6057  0.5823  0.5621
  0.5490  0.5446  0.5462  0.5474  0.5449  0.5156  0.4605  0.3896  0.3135  0.2358
  0.8142  0.7892  0.7659  0.7418  0.7135  0.6776  0.6363  0.6021  0.5776  0.5595
  0.5428  0.5297  0.5240  0.5216  0.5173  0.4891  0.4353  0.3656  0.2905  0.2143
  0.1381
  0.8211  0.7899  0.7628  0.7384  0.7141  0.6878  0.6582  0.6245  0.5902  0.5632
  0.5439  0.5264  0.5130  0.5049  0.4977  0.4677  0.4157  0.3469  0.2721  0.1966
  0.1215  0.0471
  0.8437  0.8059  0.7735  0.7453  0.7197  0.6948  0.6689  0.6416  0.6129  0.5839
  0.5577  0.5357  0.5155  0.4998  0.4871  0.4529  0.4017  0.3337  0.2582  0.1823
  0.1074  0.0335 -0.0394 -0.1110
  0.8761  0.8337  0.7959  0.7630  0.7339  0.7071  0.6811  0.6551  0.6284  0.6019
  0.5763  0.5521  0.5285  0.5076  0.4890  0.4450  0.3932  0.3261  0.2495  0.1719
  0.0959  0.0216 -0.0513 -0.1231 -0.1941 -0.2651 -0.3367 -0.4096 -0.4842 -0.5607
  0.9086  0.8676  0.8266  0.7896  0.7564  0.7264  0.6983  0.6712  0.6443  0.6175
  0.5916  0.5668  0.5429  0.5197  0.4982  0.4457  0.3900  0.3235  0.2464  0.1663
  0.0879  0.0120 -0.0619 -0.1341 -0.2048 -0.2735 -0.3419 -0.4117 -0.4844 -0.5602
 -0.6366
  0.9391  0.9001  0.8602  0.8217  0.7854  0.7519  0.7210  0.6916  0.6630  0.6352
  0.6078  0.5813  0.5559  0.5314  0.5082  0.4515  0.3917  0.3249  0.2480  0.1661
  0.0847  0.0059 -0.0701 -0.1438 -0.2153 -0.2850 -0.3527 -0.4201 -0.4888 -0.5604
 -0.6357
  0.9563  0.9240  0.8895  0.8531  0.8164  0.7812  0.7477  0.7159  0.6852  0.6553
  0.6261  0.5976  0.5700  0.5433  0.5181  0.4580  0.3958  0.3279  0.2519  0.1694
  0.0855  0.0033 -0.0760 -0.1522 -0.2256 -0.2966 -0.3658 -0.4344 -0.5027 -0.5706
 -0.6381
  0.9603  0.9393  0.9090  0.8784  0.8453  0.8108  0.7766  0.7432  0.7106  0.6787
  0.6475  0.6169  0.5871  0.5581  0.5301  0.4654  0.4014  0.3329  0.2578  0.1765
  0.0919  0.0072 -0.0754 -0.1550 -0.2312 -0.3045 -0.3753 -0.4439 -0.5146 -0.5809
 -0.6441
  0.9511  0.9460  0.9187  0.8904  0.8648  0.8349  0.8027  0.7698  0.7367  0.7037
  0.6708  0.6383  0.6064  0.5751  0.5447  0.4737  0.4072  0.3381  0.2635  0.1836
  0.0998  0.0146 -0.0702 -0.1529 -0.2326 -0.3090 -0.3823 -0.4529 -0.5212 -0.5879
 -0.6537
  0.9286  0.9441  0.9186  0.8874  0.8696  0.8470  0.8204  0.7909  0.7596  0.7271
  0.6941  0.6606  0.6270  0.5939  0.5619  0.4829  0.4132  0.3435  0.2690
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F115W
  0.8859  0.8473  0.8031  0.7549  0.7069  0.6625  0.6219  0.5863  0.5603  0.5449
  0.5402  0.5447  0.5494  0.5542  0.5555  0.5427  0.4971  0.4271  0.3443
  0.8735  0.8419  0.7973  0.7550  0.7149  0.6736  0.6322  0.5937  0.5612  0.5369
  0.5224  0.5177  0.5193  0.5213  0.5208  0.5021  0.4577  0.3925  0.3178  0.2407
  0.8365  0.8145  0.7895  0.7576  0.7138  0.6672  0.6288  0.5965  0.5668  0.5395
  0.5179  0.5041  0.4991  0.4976  0.4949  0.4739  0.4310  0.3685  0.2954  0.2196
  0.1435
  0.8175  0.7918  0.7680  0.7439  0.7170  0.6851  0.6452  0.6020  0.5672  0.5420
  0.5204  0.5018  0.4891  0.4827  0.4768  0.4532  0.4104  0.3498  0.2778  0.2027
  0.1276  0.0530
  0.8192  0.7872  0.7595  0.7348  0.7110  0.6861  0.6586  0.6280  0.5927  0.5573
  0.5296  0.5071  0.4891  0.4766  0.4675  0.4393  0.3958  0.3362  0.2647  0.1893
  0.1142  0.0400 -0.0332 -0.1060
  0.8388  0.7997  0.7661  0.7375  0.7122  0.6884  0.6643  0.6389  0.6123  0.5842
