 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -8.0845 -7.6140 -7.2480 -7.0081 -6.9116 -6.9173 -7.1148 -7.0479 -6.9767 -6.8897
 -6.7834 -6.6662 -6.5250 -6.3667 -6.1950 -5.6745 -4.9484 -4.4924 -3.8565
 -7.6741 -7.4265 -7.2503 -7.1383 -7.0712 -7.0111 -6.9449 -6.8738 -6.7982 -6.7143
 -6.6087 -6.4706 -6.3031 -6.1171 -5.9151 -5.2942 -4.6303 -4.0603 -3.6550 -3.3788
 -7.5195 -7.2859 -7.0982 -6.9513 -6.8413 -6.7668 -6.7198 -6.6722 -6.6059 -6.5160
 -6.4074 -6.2690 -6.0883 -5.8818 -5.6608 -5.0439 -4.3839 -3.8366 -3.4600 -3.2113
 -3.0508
 -7.3952 -7.1827 -7.0026 -6.8482 -6.7145 -6.5988 -6.5004 -6.4201 -6.3519 -6.2726
 -6.1638 -6.0264 -5.8472 -5.6302 -5.3990 -4.7939 -4.1767 -3.6542 -3.2985 -3.0706
 -2.9266 -2.8395
 -7.2666 -7.0824 -6.9193 -6.7693 -6.6271 -6.4905 -6.3594 -6.2345 -6.1167 -6.0062
 -5.8931 -5.7594 -5.5944 -5.3893 -5.1627 -4.5866 -4.0204 -3.5229 -3.1738 -2.9554
 -2.8208 -2.7401 -2.6965 -2.6787
 -7.1257 -6.9720 -6.8321 -6.6957 -6.5562 -6.4122 -6.2642 -6.1143 -5.9651 -5.8176
 -5.6725 -5.5267 -5.3715 -5.1875 -4.9782 -4.4340 -3.9165 -3.4452 -3.0916 -2.8667
 -2.7320 -2.6524 -2.6089 -2.5910 -2.5910 -2.6015 -2.6164 -2.6307 -2.6404 -2.6428
 -6.9754 -6.8498 -6.7354 -6.6191 -6.4922 -6.3519 -6.1996 -6.0385 -5.8725 -5.7052
 -5.5383 -5.3731 -5.2093 -5.0368 -4.8483 -4.3376 -3.8551 -3.4125 -3.0529 -2.8096
 -2.6614 -2.5758 -2.5288 -2.5077 -2.5050 -2.5145 -2.5307 -2.5494 -2.5668 -2.5799
 -2.5858
 -6.8170 -6.7187 -6.6293 -6.5357 -6.4285 -6.3021 -6.1559 -5.9947 -5.8235 -5.6459
 -5.4672 -5.2899 -5.1156 -4.9412 -4.7615 -4.2889 -3.8237 -3.4079 -3.0499 -2.7861
 -2.6145 -2.5125 -2.4565 -2.4295 -2.4222 -2.4287 -2.4439 -2.4637 -2.4846 -2.5038
 -2.5194
 -6.6475 -6.5832 -6.5152 -6.4440 -6.3592 -6.2526 -6.1219 -5.9697 -5.8014 -5.6224
 -5.4381 -5.2529 -5.0704 -4.8904 -4.7099 -4.2604 -3.8144 -3.4118 -3.0638 -2.7876
 -2.5922 -2.4669 -2.3943 -2.3572 -2.3432 -2.3450 -2.3578 -2.3750 -2.3950 -2.4173
 -2.4419
 -6.4670 -6.4433 -6.3990 -6.3471 -6.2840 -6.2010 -6.0925 -5.9579 -5.8011 -5.6281
 -5.4445 -5.2561 -5.0673 -4.8813 -4.6974 -4.2531 -3.8256 -3.4300 -3.0884 -2.8084
 -2.5958 -2.4468 -2.3515 -2.2973 -2.2718 -2.2654 -2.2725 -2.2885 -2.3063 -2.3297
 -2.3576
 -6.2754 -6.2990 -6.2807 -6.2469 -6.2011 -6.1397 -6.0553 -5.9439 -5.8060 -5.6458
 -5.4691 -5.2822 -5.0906 -4.8990 -4.7097 -4.2591 -3.8417 -3.4544 -3.1155 -2.8339
 -2.6123 -2.4467 -2.3302 -2.2554 -2.2133 -2.1949 -2.1933 -2.2031 -2.2208 -2.2432
 -2.2675
 -6.0727 -6.1503 -6.1603 -6.1436 -6.1129 -6.0694 -6.0064 -5.9189 -5.8040 -5.6627
 -5.4992 -5.3193 -5.1292 -4.9348 -4.7468 -4.2784 -3.8627 -3.4850 -3.1451
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  u   
 -8.3646 -8.0173 -7.7315 -7.5103 -7.3532 -7.2444 -7.2126 -7.1024 -6.9912 -6.8746
 -6.7467 -6.6063 -6.4484 -6.2817 -6.1075 -5.6139 -4.9931 -4.4813 -3.9264
 -7.9563 -7.6973 -7.5091 -7.3475 -7.2049 -7.0828 -6.9772 -6.8810 -6.7857 -6.6832
 -6.5636 -6.4165 -6.2426 -6.0536 -5.8549 -5.3083 -4.6969 -4.1340 -3.7126 -3.4184
 -7.7706 -7.4632 -7.2237 -7.0496 -6.9370 -6.8551 -6.7708 -6.6787 -6.5813 -6.4773
 -6.3567 -6.2062 -6.0177 -5.8062 -5.5869 -5.0191 -4.4367 -3.9112 -3.5192 -3.2572
 -3.0878
 -7.6673 -7.3531 -7.0948 -6.8883 -6.7268 -6.6035 -6.5167 -6.4512 -6.3717 -6.2620
 -6.1302 -5.9759 -5.7854 -5.5625 -5.3329 -4.7643 -4.2191 -3.7313 -3.3618 -3.1178
 -2.9634 -2.8691
 -7.5905 -7.2873 -7.0291 -6.8119 -6.6288 -6.4733 -6.3398 -6.2240 -6.1268 -6.0340
 -5.9126 -5.7583 -5.5738 -5.3571 -5.1251 -4.5689 -4.0579 -3.6009 -3.2428 -3.0052
 -2.8577 -2.7688 -2.7192 -2.6958
 -7.5088 -7.2306 -6.9862 -6.7720 -6.5813 -6.4089 -6.2509 -6.1040 -5.9647 -5.8326
 -5.7069 -5.5709 -5.4073 -5.2073 -4.9847 -4.4409 -3.9555 -3.5214 -3.1653 -2.9201
 -2.7697 -2.6805 -2.6305 -2.6073 -2.6024 -2.6086 -2.6201 -2.6318 -2.6404 -2.6406
 -7.4062 -7.1619 -6.9437 -6.7448 -6.5590 -6.3818 -6.2112 -6.0463 -5.8860 -5.7285
