 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -3.8141 -3.0833 -2.6921 -2.6363 -2.9377 -3.3780 -3.8603 -3.7227 -3.5896 -3.4481
 -3.2989 -3.1882 -3.0228 -2.8586 -2.7024 -2.3685 -2.0831 -1.8685 -1.6951
 -4.5462 -4.2097 -3.9660 -3.8058 -3.7017 -3.6066 -3.5051 -3.4015 -3.2985 -3.1941
 -3.0779 -2.9451 -2.8022 -2.6619 -2.5303 -2.2399 -2.0037 -1.8203 -1.6837 -1.5798
 -4.3392 -4.0239 -3.7760 -3.5842 -3.4411 -3.3423 -3.2744 -3.2027 -3.1116 -3.0070
 -2.9021 -2.7923 -2.6697 -2.5440 -2.4256 -2.1696 -1.9622 -1.7996 -1.6769 -1.5826
 -1.5074
 -4.1792 -3.8963 -3.6642 -3.4732 -3.3169 -3.1913 -3.0917 -3.0140 -2.9465 -2.8669
 -2.7697 -2.6701 -2.5656 -2.4549 -2.3474 -2.1152 -1.9306 -1.7858 -1.6753 -1.5893
 -1.5200 -1.4617
 -4.0264 -3.7803 -3.5720 -3.3932 -3.2386 -3.1062 -2.9939 -2.8982 -2.8147 -2.7390
 -2.6612 -2.5746 -2.4838 -2.3864 -2.2893 -2.0754 -1.9067 -1.7760 -1.6761 -1.5980
 -1.5343 -1.4804 -1.4333 -1.3905
 -3.8725 -3.6611 -3.4795 -3.3186 -3.1740 -3.0443 -2.9289 -2.8272 -2.7367 -2.6534
 -2.5741 -2.4954 -2.4168 -2.3330 -2.2462 -2.0472 -1.8892 -1.7678 -1.6766 -1.6058
 -1.5482 -1.4991 -1.4559 -1.4171 -1.3800 -1.3460 -1.3173 -1.2957 -1.2825 -1.2784
 -3.7251 -3.5395 -3.3818 -3.2403 -3.1097 -2.9884 -2.8763 -2.7741 -2.6815 -2.5968
 -2.5168 -2.4391 -2.3634 -2.2883 -2.2115 -2.0283 -1.8769 -1.7608 -1.6748 -1.6104
 -1.5590 -1.5155 -1.4771 -1.4423 -1.4100 -1.3788 -1.3504 -1.3269 -1.3101 -1.3017
 -1.3041
 -3.5869 -3.4220 -3.2817 -3.1565 -3.0406 -2.9307 -2.8258 -2.7272 -2.6361 -2.5517
 -2.4730 -2.3980 -2.3249 -2.2535 -2.1825 -2.0138 -1.8693 -1.7555 -1.6714 -1.6105
 -1.5645 -1.5270 -1.4943 -1.4647 -1.4369 -1.4104 -1.3839 -1.3597 -1.3409 -1.3298
 -1.3278
 -3.4615 -3.3135 -3.1833 -3.0692 -2.9652 -2.8663 -2.7707 -2.6786 -2.5913 -2.5093
 -2.4328 -2.3605 -2.2911 -2.2237 -2.1569 -1.9988 -1.8617 -1.7510 -1.6670 -1.6067
 -1.5638 -1.5316 -1.5051 -1.4815 -1.4594 -1.4378 -1.4170 -1.3984 -1.3820 -1.3678
 -1.3554
 -3.3489 -3.2140 -3.0955 -2.9864 -2.8890 -2.7989 -2.7123 -2.6280 -2.5466 -2.4688
 -2.3952 -2.3260 -2.2601 -2.1967 -2.1348 -1.9862 -1.8555 -1.7478 -1.6643 -1.6030
 -1.5601 -1.5306 -1.5090 -1.4916 -1.4758 -1.4604 -1.4450 -1.4297 -1.4189 -1.4047
 -1.3889
 -3.2491 -3.1235 -3.0183 -2.9122 -2.8161 -2.7297 -2.6496 -2.5727 -2.4979 -2.4256
 -2.3562 -2.2904 -2.2280 -2.1685 -2.1109 -1.9731 -1.8483 -1.7438 -1.6614 -1.5994
 -1.5555 -1.5260 -1.5068 -1.4941 -1.4844 -1.4755 -1.4665 -1.4571 -1.4472 -1.4374
 -1.4288
 -3.1621 -3.0420 -2.9517 -2.8471 -2.7504 -2.6639 -2.5858 -2.5135 -2.4446 -2.3782
 -2.3139 -2.2524 -2.1937 -2.1380 -2.0852 -1.9595 -1.8401 -1.7390 -1.6583
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = G_BP 
 -5.3683 -4.7098 -4.2304 -3.9246 -3.7949 -3.7614 -3.7846 -3.6317 -3.4844 -3.3365
 -3.1841 -3.0434 -2.8866 -2.7379 -2.5999 -2.3038 -2.0552 -1.8569 -1.6960
 -5.0140 -4.5986 -4.2994 -4.0483 -3.8325 -3.6525 -3.5017 -3.3704 -3.2486 -3.1284
 -3.0033 -2.8693 -2.7302 -2.5964 -2.4726 -2.2077 -1.9918 -1.8168 -1.6813 -1.5755
 -4.7006 -4.2646 -3.9387 -3.7044 -3.5485 -3.4300 -3.3108 -3.1907 -3.0768 -2.9693
 -2.8628 -2.7504 -2.6276 -2.5036 -2.3879 -2.1437 -1.9506 -1.7952 -1.6735 -1.5786
 -1.5026
 -4.5348 -4.1167 -3.7928 -3.5449 -3.3578 -3.2193 -3.1236 -3.0504 -2.9651 -2.8631
 -2.7589 -2.6576 -2.5518 -2.4391 -2.3313 -2.0996 -1.9214 -1.7809 -1.6707 -1.5841
 -1.5141 -1.4553
 -4.4202 -4.0310 -3.7227 -3.4787 -3.2852 -3.1322 -3.0110 -2.9147 -2.8400 -2.7716
 -2.6869 -2.5913 -2.4935 -2.3921 -2.2906 -2.0702 -1.9015 -1.7713 -1.6706 -1.5915
 -1.5271 -1.4728 -1.4256 -1.3838
 -4.3164 -3.9614 -3.6749 -3.4426 -3.2518 -3.0938 -2.9628 -2.8535 -2.7602 -2.6790
 -2.6062 -2.5305 -2.4470 -2.3558 -2.2617 -2.0509 -1.8880 -1.7642 -1.6705 -1.5982
 -1.5398 -1.4903 -1.4471 -1.4084 -1.3733 -1.3415 -1.3137 -1.2909 -1.2763 -1.2722
 -4.2130 -3.8914 -3.6292 -3.4121 -3.2290 -3.0725 -2.9377 -2.8216 -2.7206 -2.6307
 -2.5481 -2.4707 -2.3969 -2.3200 -2.2372 -2.0376 -1.8786 -1.7583 -1.6688 -1.6020
 -1.5496 -1.5057 -1.4672 -1.4326 -1.4007 -1.3712 -1.3446 -1.3214 -1.3034 -1.2953
 -1.2980
 -4.1125 -3.8208 -3.5808 -3.3791 -3.2060 -3.0545 -2.9205 -2.8013 -2.6957 -2.6015
