 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F277W
  2.5964  2.5732  2.5466  2.5195  2.4854  2.4640  2.5475  2.5991  2.6544  2.6950
  2.7090  2.6765  2.6491  2.5944  2.5288  2.3576  2.1971  2.0042  1.8305
  2.7323  2.6965  2.6577  2.6163  2.5815  2.5609  2.5559  2.5673  2.5943  2.6344
  2.6685  2.6725  2.6369  2.5783  2.5123  2.3436  2.1735  2.0040  1.8403  1.6832
  2.7470  2.7252  2.6973  2.6650  2.6316  2.6016  2.5806  2.5716  2.5720  2.5811
  2.6053  2.6266  2.6103  2.5590  2.4953  2.3275  2.1597  1.9913  1.8282  1.6722
  1.5224
  2.7360  2.7245  2.7066  2.6831  2.6554  2.6273  2.6036  2.5867  2.5769  2.5707
  2.5643  2.5735  2.5723  2.5354  2.4777  2.3136  2.1481  1.9817  1.8190  1.6634
  1.5146  1.3716
  2.6966  2.6970  2.6903  2.6764  2.6561  2.6314  2.6065  2.5857  2.5701  2.5578
  2.5453  2.5330  2.5284  2.5016  2.4547  2.2998  2.1372  1.9740  1.8123  1.6567
  1.5083  1.3661  1.2295  1.0974
  2.6293  2.6421  2.6485  2.6465  2.6356  2.6175  2.5951  2.5722  2.5519  2.5348
  2.5181  2.4986  2.4861  2.4616  2.4213  2.2831  2.1259  1.9670  1.8077  1.6522
  1.5035  1.3616  1.2257  1.0947  0.9678  0.8447  0.7252  0.6091  0.4963  0.3866
  2.5408  2.5607  2.5800  2.5917  2.5933  2.5848  2.5686  2.5480  2.5262  2.5054
  2.4858  2.4646  2.4446  2.4211  2.3845  2.2602  2.1125  1.9592  1.8041  1.6500
  1.5008  1.3584  1.2226  1.0922  0.9666  0.8451  0.7273  0.6126  0.5008  0.3917
  0.2856
  2.4329  2.4593  2.4862  2.5100  2.5259  2.5302  2.5242  2.5100  2.4909  2.4700
  2.4487  2.4268  2.4044  2.3808  2.3477  2.2341  2.0961  1.9493  1.7998  1.6490
  1.5003  1.3571  1.2205  1.0901  0.9649  0.8443  0.7276  0.6144  0.5041  0.3965
  0.2913
  2.3153  2.3436  2.3733  2.4042  2.4320  2.4504  2.4575  2.4539  2.4420  2.4247
  2.4048  2.3835  2.3614  2.3381  2.3089  2.2061  2.0770  1.9360  1.7915  1.6454
  1.4990  1.3555  1.2177  1.0863  0.9608  0.8402  0.7239  0.6113  0.5020  0.3958
  0.2926
