 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1500W
 -1.9298 -2.0416 -2.1498 -2.2525 -2.3596 -2.4590 -2.5302 -2.5896 -2.6437 -2.7030
 -2.7664 -2.8362 -2.9061 -2.9794 -3.0528 -3.2316 -3.4073 -3.5969 -3.7674
 -1.8797 -1.9949 -2.1095 -2.2234 -2.3352 -2.4411 -2.5390 -2.6275 -2.7052 -2.7700
 -2.8271 -2.8839 -2.9477 -3.0183 -3.0916 -3.2764 -3.4598 -3.6385 -3.8085 -3.9697
 -1.8758 -1.9897 -2.1000 -2.2077 -2.3138 -2.4194 -2.5243 -2.6251 -2.7189 -2.8028
 -2.8695 -2.9234 -2.9802 -3.0480 -3.1208 -3.3048 -3.4867 -3.6647 -3.8351 -3.9972
 -4.1508
 -1.8753 -1.9872 -2.0951 -2.1994 -2.3010 -2.4006 -2.4991 -2.5973 -2.6952 -2.7903
 -2.8792 -2.9467 -3.0037 -3.0683 -3.1398 -3.3242 -3.5053 -3.6822 -3.8527 -4.0150
 -4.1690 -4.3155
 -1.8785 -1.9876 -2.0934 -2.1956 -2.2945 -2.3909 -2.4854 -2.5784 -2.6708 -2.7633
 -2.8555 -2.9412 -3.0079 -3.0785 -3.1522 -3.3369 -3.5180 -3.6939 -3.8642 -4.0267
 -4.1809 -4.3275 -4.4673 -4.6009
 -1.8886 -1.9926 -2.0951 -2.1949 -2.2919 -2.3862 -2.4784 -2.5687 -2.6578 -2.7459
 -2.8338 -2.9218 -2.9953 -3.0691 -3.1496 -3.3445 -3.5262 -3.7015 -3.8715 -4.0342
 -4.1886 -4.3355 -4.4754 -4.6092 -4.7373 -4.8607 -4.9800 -5.0960 -5.2093 -5.3203
 -1.9091 -2.0055 -2.1022 -2.1982 -2.2926 -2.3850 -2.4754 -2.5639 -2.6509 -2.7368
 -2.8218 -2.9063 -2.9837 -3.0557 -3.1361 -3.3418 -3.5301 -3.7059 -3.8757 -4.0387
 -4.1936 -4.3407 -4.4810 -4.6149 -4.7431 -4.8662 -4.9849 -5.0999 -5.2118 -5.3211
 -5.4286
 -1.9406 -2.0291 -2.1184 -2.2083 -2.2983 -2.3878 -2.4759 -2.5626 -2.6480 -2.7321
 -2.8153 -2.8976 -2.9763 -3.0481 -3.1250 -3.3300 -3.5261 -3.7066 -3.8772 -4.0407
 -4.1962 -4.3439 -4.4846 -4.6189 -4.7474 -4.8704 -4.9887 -5.1030 -5.2140 -5.3221
 -5.4278
 -1.9855 -2.0660 -2.1475 -2.2298 -2.3134 -2.3980 -2.4826 -2.5667 -2.6499 -2.7322
 -2.8136 -2.8942 -2.9726 -3.0465 -3.1213 -3.3206 -3.5179 -3.7038 -3.8783 -4.0431
