 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F460M
  0.0512 -0.0246 -0.0932 -0.1620 -0.2274 -0.2841 -0.3105 -0.3476 -0.3898 -0.4437
 -0.5062 -0.5824 -0.6522 -0.7208 -0.7907 -0.9480 -1.0779 -1.2520 -1.4039
  0.1398  0.0608 -0.0209 -0.1049 -0.1880 -0.2628 -0.3278 -0.3851 -0.4376 -0.4880
 -0.5425 -0.6042 -0.6716 -0.7411 -0.8099 -0.9721 -1.1169 -1.2531 -1.4117 -1.5709
  0.1390  0.0652 -0.0099 -0.0859 -0.1625 -0.2402 -0.3183 -0.3910 -0.4563 -0.5156
 -0.5694 -0.6240 -0.6855 -0.7528 -0.8212 -0.9844 -1.1341 -1.2725 -1.4303 -1.5888
 -1.7405
  0.1228  0.0554 -0.0140 -0.0846 -0.1561 -0.2279 -0.2997 -0.3726 -0.4463 -0.5169
 -0.5831 -0.6405 -0.6970 -0.7595 -0.8261 -0.9908 -1.1452 -1.2880 -1.4441 -1.6019
 -1.7534 -1.8980
  0.0903  0.0311 -0.0310 -0.0957 -0.1622 -0.2300 -0.2981 -0.3663 -0.4351 -0.5055
 -0.5764 -0.6441 -0.7042 -0.7657 -0.8296 -0.9930 -1.1511 -1.2991 -1.4541 -1.6115
 -1.7629 -1.9074 -2.0454 -2.1778
  0.0409 -0.0094 -0.0624 -0.1191 -0.1793 -0.2423 -0.3067 -0.3718 -0.4374 -0.5035
 -0.5708 -0.6395 -0.7027 -0.7656 -0.8306 -0.9935 -1.1532 -1.3054 -1.4606 -1.6182
 -1.7699 -1.9144 -2.0524 -2.1845 -2.3113 -2.4336 -2.5520 -2.6670 -2.7790 -2.8884
 -0.0209 -0.0662 -0.1100 -0.1569 -0.2086 -0.2648 -0.3242 -0.3855 -0.4480 -0.5112
 -0.5750 -0.6399 -0.7028 -0.7640 -0.8283 -0.9924 -1.1533 -1.3075 -1.4629 -1.6216
 -1.7744 -1.9195 -2.0577 -2.1899 -2.3165 -2.4383 -2.5558 -2.6697 -2.7802 -2.8879
 -2.9936
 -0.0940 -0.1349 -0.1731 -0.2112 -0.2528 -0.3000 -0.3520 -0.4077 -0.4660 -0.5258
 -0.5866 -0.6483 -0.7092 -0.7681 -0.8294 -0.9903 -1.1516 -1.3068 -1.4614 -1.6210
 -1.7761 -1.9226 -2.0615 -2.1940 -2.3208 -2.4424 -2.5594 -2.6724 -2.7820 -2.8885
 -2.9924
 -0.1726 -0.2122 -0.2484 -0.2815 -0.3143 -0.3513 -0.3939 -0.4417 -0.4936 -0.5486
 -0.6055 -0.6638 -0.7222 -0.7795 -0.8379 -0.9923 -1.1506 -1.3063 -1.4599 -1.6189
 -1.7766 -1.9258 -2.0662 -2.1996 -2.3270 -2.4489 -2.5662 -2.6793 -2.7886 -2.8942
 -2.9965
 -0.2567 -0.2981 -0.3285 -0.3607 -0.3896 -0.4182 -0.4508 -0.4890 -0.5323 -0.5800
 -0.6310 -0.6847 -0.7397 -0.7952 -0.8509 -0.9974 -1.1495 -1.3029 -1.4554 -1.6117
 -1.7696 -1.9218 -2.0650 -2.2000 -2.3282 -2.4508 -2.5683 -2.6814 -2.7928 -2.8981
 -2.9995
 -0.3464 -0.3926 -0.4134 -0.4419 -0.4731 -0.4994 -0.5245 -0.5529 -0.5865 -0.6250
 -0.6680 -0.7150 -0.7649 -0.8166 -0.8694 -1.0080 -1.1522 -1.3011 -1.4517 -1.6051
 -1.7608 -1.9138 -2.0600 -2.1978 -2.3279 -2.4516 -2.5699 -2.6833 -2.7924 -2.8978
 -2.9997
 -0.4416 -0.4957 -0.5031 -0.5237 -0.5579 -0.5866 -0.6102 -0.6326 -0.6575 -0.6863
 -0.7198 -0.7578 -0.8002 -0.8460 -0.8934 -1.0241 -1.1587 -1.3009 -1.4488
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F460M
  0.0623 -0.0065 -0.0688 -0.1284 -0.1855 -0.2406 -0.2885 -0.3440 -0.4036 -0.4678
 -0.5357 -0.6092 -0.6807 -0.7513 -0.8213 -0.9833 -1.1190 -1.2647 -1.3991
  0.1122  0.0250 -0.0623 -0.1422 -0.2135 -0.2776 -0.3361 -0.3911 -0.4469 -0.5054
 -0.5675 -0.6340 -0.7038 -0.7745 -0.8441 -1.0070 -1.1466 -1.2809 -1.4145 -1.5606
  0.1346  0.0540 -0.0285 -0.1119 -0.1965 -0.2773 -0.3495 -0.4139 -0.4732 -0.5295
 -0.5868 -0.6474 -0.7135 -0.7829 -0.8526 -1.0164 -1.1633 -1.2990 -1.4354 -1.5873
 -1.7381
  0.1415  0.0656 -0.0120 -0.0904 -0.1687 -0.2462 -0.3244 -0.4018 -0.4735 -0.5391
 -0.5988 -0.6567 -0.7173 -0.7837 -0.8517 -1.0185 -1.1723 -1.3121 -1.4509 -1.6007
 -1.7509 -1.8953
  0.1343  0.0639 -0.0087 -0.0826 -0.1570 -0.2310 -0.3039 -0.3761 -0.4500 -0.5244
 -0.5957 -0.6598 -0.7201 -0.7826 -0.8493 -1.0163 -1.1756 -1.3210 -1.4624 -1.6107
 -1.7602 -1.9045 -2.0425 -2.1751
  0.1120  0.0486 -0.0176 -0.0861 -0.1560 -0.2267 -0.2972 -0.3668 -0.4358 -0.5056
 -0.5776 -0.6494 -0.7153 -0.7798 -0.8455 -1.0116 -1.1746 -1.3257 -1.4702 -1.6178
 -1.7670 -1.9113 -2.0493 -2.1815 -2.3086 -2.4313 -2.5501 -2.6654 -2.7773 -2.8864
  0.0729  0.0179 -0.0402 -0.1015 -0.1656 -0.2317 -0.2989 -0.3665 -0.4336 -0.5003
 -0.5675 -0.6366 -0.7042 -0.7703 -0.8378 -1.0060 -1.1709 -1.3263 -1.4741 -1.6221
 -1.7715 -1.9162 -2.0544 -2.1867 -2.3135 -2.4356 -2.5535 -2.6676 -2.7783 -2.8861
 -2.9919
  0.0193 -0.0290 -0.0785 -0.1310 -0.1872 -0.2470 -0.3094 -0.3734 -0.4383 -0.5032
 -0.5679 -0.6332 -0.6977 -0.7623 -0.8285 -0.9986 -1.1655 -1.3237 -1.4741 -1.6229
 -1.7733 -1.9191 -2.0580 -2.1906 -2.3175 -2.4394 -2.5569 -2.6703 -2.7800 -2.8866
 -2.9906
 -0.0447 -0.0897 -0.1327 -0.1764 -0.2238 -0.2755 -0.3311 -0.3899 -0.4510 -0.5132
 -0.5760 -0.6390 -0.7011 -0.7628 -0.8259 -0.9927 -1.1605 -1.3209 -1.4730 -1.6226
 -1.7744 -1.9222 -2.0625 -2.1960 -2.3235 -2.4456 -2.5631 -2.6764 -2.7858 -2.8917
 -2.9946
 -0.1114 -0.1571 -0.1980 -0.2359 -0.2749 -0.3176 -0.3648 -0.4162 -0.4713 -0.5290
