 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F360M
 -3.5865 -3.6653 -3.7308 -3.7926 -3.8342 -3.8606 -3.8473 -3.8738 -3.9120 -3.9634
 -4.0272 -4.0975 -4.1747 -4.2518 -4.3295 -4.5198 -4.7044 -4.8728 -5.0407
 -3.5180 -3.5996 -3.6773 -3.7514 -3.8172 -3.8689 -3.9101 -3.9460 -3.9818 -4.0221
 -4.0731 -4.1361 -4.2071 -4.2811 -4.3560 -4.5422 -4.7236 -4.8976 -5.0638 -5.2224
 -3.5290 -3.6050 -3.6801 -3.7526 -3.8206 -3.8839 -3.9412 -3.9887 -4.0309 -4.0732
 -4.1179 -4.1703 -4.2337 -4.3041 -4.3770 -4.5600 -4.7396 -4.9132 -5.0791 -5.2372
 -5.3882
 -3.5527 -3.6220 -3.6924 -3.7625 -3.8308 -3.8953 -3.9552 -4.0115 -4.0642 -4.1127
 -4.1608 -4.2090 -4.2631 -4.3266 -4.3957 -4.5742 -4.7514 -4.9246 -5.0906 -5.2484
 -5.3988 -5.5429
 -3.5932 -3.6533 -3.7162 -3.7810 -3.8466 -3.9112 -3.9731 -4.0314 -4.0872 -4.1416
 -4.1945 -4.2465 -4.2979 -4.3542 -4.4163 -4.5867 -4.7602 -4.9320 -5.0986 -5.2568
 -5.4071 -5.5505 -5.6880 -5.8205
 -3.6513 -3.7014 -3.7546 -3.8114 -3.8710 -3.9323 -3.9935 -4.0530 -4.1105 -4.1662
 -4.2212 -4.2763 -4.3295 -4.3842 -4.4423 -4.6003 -4.7677 -4.9363 -5.1030 -5.2624
 -5.4132 -5.5566 -5.6936 -5.8252 -5.9522 -6.0751 -6.1943 -6.3101 -6.4230 -6.5331
 -3.7228 -3.7658 -3.8092 -3.8562 -3.9076 -3.9626 -4.0198 -4.0775 -4.1349 -4.1912
 -4.2466 -4.3019 -4.3566 -4.4110 -4.4673 -4.6171 -4.7764 -4.9394 -5.1040 -5.2647
 -5.4171 -5.5611 -5.6982 -5.8294 -5.9554 -6.0770 -6.1948 -6.3092 -6.4205 -6.5291
 -6.6354
 -3.8065 -3.8430 -3.8791 -3.9168 -3.9586 -4.0053 -4.0557 -4.1087 -4.1633 -4.2182
 -4.2730 -4.3278 -4.3823 -4.4362 -4.4910 -4.6344 -4.7867 -4.9436 -5.1034 -5.2635
 -5.4178 -5.5636 -5.7015 -5.8329 -5.9587 -6.0797 -6.1964 -6.3094 -6.4192 -6.5262
 -6.6308
 -3.8967 -3.9292 -3.9612 -3.9927 -4.0257 -4.0630 -4.1050 -4.1511 -4.2003 -4.2514
 -4.3037 -4.3567 -4.4100 -4.4632 -4.5165 -4.6539 -4.7993 -4.9511 -5.1058 -5.2626
 -5.4175 -5.5658 -5.7057 -5.8381 -5.9644 -6.0854 -6.2018 -6.3143 -6.4233 -6.5289
 -6.6314
 -3.9934 -4.0244 -4.0491 -4.0777 -4.1055 -4.1346 -4.1678 -4.2055 -4.2471 -4.2921
 -4.3395 -4.3888 -4.4393 -4.4906 -4.5423 -4.6741 -4.8118 -4.9571 -5.1070 -5.2592
 -5.4117 -5.5610 -5.7034 -5.8380 -5.9654 -6.0870 -6.2035 -6.3156 -6.4260 -6.5308
 -6.6318
 -4.0965 -4.1286 -4.1428 -4.1662 -4.1940 -4.2194 -4.2453 -4.2744 -4.3077 -4.3447
 -4.3851 -4.4286 -4.4744 -4.5219 -4.5708 -4.6971 -4.8276 -4.9654 -5.1098 -5.2575
 -5.4062 -5.5539 -5.6975 -5.8347 -5.9644 -6.0874 -6.2048 -6.3172 -6.4254 -6.5298
 -6.6308
 -4.2061 -4.2418 -4.2423 -4.2571 -4.2858 -4.3113 -4.3343 -4.3574 -4.3829 -4.4115
 -4.4436 -4.4793 -4.5182 -4.5600 -4.6020 -4.7229 -4.8467 -4.9760 -5.1142
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F360M
 -3.5767 -3.6423 -3.6962 -3.7441 -3.7819 -3.8138 -3.8342 -3.8712 -3.9161 -3.9709
 -4.0358 -4.1070 -4.1820 -4.2571 -4.3324 -4.5185 -4.7008 -4.8731 -5.0412
 -3.5427 -3.6285 -3.7081 -3.7738 -3.8265 -3.8688 -3.9042 -3.9374 -3.9742 -4.0186
 -4.0734 -4.1389 -4.2110 -4.2851 -4.3594 -4.5432 -4.7225 -4.8958 -5.0617 -5.2203
 -3.5283 -3.6116 -3.6921 -3.7674 -3.8374 -3.8969 -3.9444 -3.9853 -4.0239 -4.0637
 -4.1097 -4.1660 -4.2331 -4.3055 -4.3793 -4.5621 -4.7398 -4.9117 -5.0769 -5.2348
 -5.3858
 -3.5255 -3.6053 -3.6842 -3.7600 -3.8309 -3.8952 -3.9547 -4.0082 -4.0545 -4.0991
 -4.1447 -4.1945 -4.2533 -4.3217 -4.3936 -4.5757 -4.7524 -4.9235 -5.0883 -5.2458
 -5.3962 -5.5402
 -3.5358 -3.6099 -3.6846 -3.7586 -3.8304 -3.8979 -3.9597 -4.0164 -4.0711 -4.1234
 -4.1735 -4.2234 -4.2766 -4.3378 -4.4064 -4.5853 -4.7611 -4.9314 -5.0962 -5.2539
 -5.4041 -5.5476 -5.6851 -5.8177
 -3.5630 -3.6288 -3.6966 -3.7657 -3.8349 -3.9028 -3.9678 -4.0285 -4.0850 -4.1399
 -4.1951 -4.2499 -4.3029 -4.3591 -4.4209 -4.5929 -4.7669 -4.9362 -5.1009 -5.2593
 -5.4100 -5.5534 -5.6905 -5.8222 -5.9492 -6.0722 -6.1918 -6.3081 -6.4212 -6.5311
 -3.6095 -3.6652 -3.7239 -3.7853 -3.8489 -3.9136 -3.9781 -4.0407 -4.1006 -4.1576
 -4.2134 -4.2698 -4.3260 -4.3823 -4.4413 -4.6013 -4.7713 -4.9386 -5.1024 -5.2617
 -5.4136 -5.5577 -5.6948 -5.8262 -5.9524 -6.0742 -6.1923 -6.3070 -6.4185 -6.5273
 -6.6337
 -3.6727 -3.7198 -3.7686 -3.8206 -3.8761 -3.9346 -3.9951 -4.0561 -4.1166 -4.1755
 -4.2326 -4.2889 -4.3452 -4.4022 -4.4606 -4.6141 -4.7762 -4.9402 -5.1019 -5.2609
 -5.4144 -5.5600 -5.6979 -5.8295 -5.9554 -6.0766 -6.1937 -6.3070 -6.4170 -6.5242
 -6.6290
 -3.7478 -3.7895 -3.8302 -3.8730 -3.9194 -3.9699 -4.0238 -4.0802 -4.1381 -4.1963
 -4.2539 -4.3107 -4.3668 -4.4229 -4.4799 -4.6293 -4.7855 -4.9447 -5.1032 -5.2603
 -5.4144 -5.5622 -5.7019 -5.8344 -5.9609 -6.0820 -6.1987 -6.3113 -6.4204 -6.5262
 -6.6295
