 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F300M
  2.6519  2.6181  2.5798  2.5418  2.4928  2.4573  2.5276  2.5886  2.6592  2.7141
  2.7378  2.7045  2.6784  2.6212  2.5536  2.3667  2.1819  2.0196  1.8554
  2.8029  2.7577  2.7067  2.6506  2.5982  2.5611  2.5452  2.5536  2.5859  2.6382
  2.6853  2.6975  2.6635  2.6030  2.5333  2.3520  2.1718  1.9995  1.8351  1.6777
  2.8376  2.8010  2.7607  2.7166  2.6705  2.6260  2.5893  2.5684  2.5643  2.5761
  2.6093  2.6409  2.6301  2.5790  2.5130  2.3353  2.1577  1.9859  1.8217  1.6652
  1.5153
  2.8500  2.8193  2.7860  2.7493  2.7098  2.6699  2.6340  2.6048  2.5840  2.5715
  2.5641  2.5787  2.5842  2.5501  2.4918  2.3209  2.1466  1.9757  1.8115  1.6553
  1.5062  1.3632
  2.8415  2.8171  2.7900  2.7596  2.7256  2.6888  2.6524  2.6203  2.5941  2.5723
  2.5529  2.5380  2.5357  2.5110  2.4649  2.3064  2.1369  1.9685  1.8043  1.6477
  1.4988  1.3565  1.2200  1.0883
  2.8104  2.7940  2.7745  2.7511  2.7230  2.6906  2.6557  2.6212  2.5896  2.5620
  2.5364  2.5103  2.4955  2.4703  2.4294  2.2890  2.1270  1.9630  1.8001  1.6427
  1.4932  1.3510  1.2150  1.0843  0.9580  0.8357  0.7170  0.6016  0.4893  0.3798
  2.7581  2.7483  2.7378  2.7229  2.7023  2.6760  2.6452  2.6118  2.5780  2.5456
  2.5151  2.4849  2.4590  2.4325  2.3937  2.2657  2.1147  1.9571  1.7979  1.6407
  1.4899  1.3468  1.2107  1.0803  0.9551  0.8343  0.7172  0.6033  0.4923  0.3839
  0.2782
  2.6851  2.6821  2.6785  2.6724  2.6612  2.6431  2.6189  2.5899  2.5576  2.5244
  2.4911  2.4579  2.4262  2.3966  2.3594  2.2405  2.0993  1.9491  1.7956  1.6411
  1.4897  1.3451  1.2078  1.0771  0.9519  0.8315  0.7154  0.6029  0.4936  0.3869
  0.2825
  2.5965  2.5981  2.5991  2.5996  2.5974  2.5889  2.5734  2.5515  2.5245  2.4939
  2.4614  2.4278  2.3941  2.3611  2.3248  2.2135  2.0812  1.9373  1.7894  1.6393
  1.4896  1.3438  1.2047  1.0726  0.9467  0.8261  0.7100  0.5978  0.4891  0.3839
  0.2817
  2.4924  2.4963  2.5051  2.5096  2.5131  2.5133  2.5073  2.4945  2.4754  2.4510
  2.4228  2.3918  2.3591  2.3254  2.2900  2.1859  2.0634  1.9269  1.7840  1.6388
  1.4928  1.3482  1.2080  1.0742  0.9470  0.8255  0.7090  0.5969  0.4866  0.3821
  0.2813
  2.3728  2.3767  2.3965  2.4094  2.4131  2.4180  2.4200  2.4167  2.4068  2.3911
  2.3702  2.3449  2.3163  2.2853  2.2522  2.1558  2.0424  1.9148  1.7776  1.6366
  1.4946  1.3529  1.2135  1.0786  0.9498  0.8270  0.7096  0.5969  0.4884  0.3838
  0.2828
  2.2376  2.2393  2.2733  2.3004  2.3042  2.3097  2.3157  2.3193  2.3183  2.3121
  2.3004  2.2835  2.2620  2.2365  2.2114  2.1232  2.0182  1.9010  1.7702
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F300M
  2.6342  2.6065  2.5811  2.5624  2.5476  2.5445  2.5837  2.6261  2.6759  2.7209
  2.7442  2.7248  2.6855  2.6239  2.5547  2.3719  2.1902  2.0207  1.8548
  2.7299  2.6750  2.6161  2.5654  2.5279  2.5082  2.5112  2.5384  2.5835  2.6360
  2.6797  2.6910  2.6591  2.6003  2.5318  2.3520  2.1738  2.0018  1.8374  1.6800
  2.7894  2.7456  2.6940  2.6374  2.5796  2.5316  2.5025  2.4962  2.5142  2.5549
  2.6037  2.6384  2.6289  2.5790  2.5131  2.3356  2.1590  1.9881  1.8242  1.6677
  1.5179
  2.8224  2.7857  2.7430  2.6957  2.6460  2.5986  2.5566  2.5261  2.5125  2.5154
  2.5394  2.5737  2.5885  2.5563  2.4999  2.3228  2.1478  1.9778  1.8142  1.6581
  1.5090  1.3660
  2.8373  2.8051  2.7690  2.7290  2.6858  2.6423  2.6025  2.5708  2.5463  2.5296
  2.5201  2.5271  2.5394  2.5256  2.4787  2.3125  2.1394  1.9706  1.8072  1.6508
  1.5019  1.3596  1.2229  1.0911
  2.8375  2.8094  2.7785  2.7444  2.7072  2.6674  2.6280  2.5926  2.5646  2.5427
  2.5230  2.5064  2.5029  2.4892  2.4534  2.3026  2.1327  1.9658  1.8030  1.6460
  1.4966  1.3543  1.2182  1.0873  0.9610  0.8386  0.7197  0.6039  0.4911  0.3818
  2.8207  2.7985  2.7733  2.7450  2.7135  2.6786  2.6412  2.6040  2.5700  2.5416
  2.5171  2.4927  2.4746  2.4557  2.4215  2.2896  2.1263  1.9621  1.8011  1.6441
  1.4935  1.3504  1.2141  1.0836  0.9581  0.8370  0.7195  0.6054  0.4943  0.3858
  0.2800
  2.7850  2.7688  2.7503  2.7294  2.7045  2.6754  2.6422  2.6065  2.5703  2.5361
  2.5053  2.4764  2.4515  2.4249  2.3904  2.2683  2.1176  1.9581  1.8001  1.6446
  1.4933  1.3487  1.2115  1.0806  0.9553  0.8347  0.7181  0.6053  0.4957  0.3889
  0.2844
  2.7306  2.7195  2.7079  2.6945  2.6772  2.6552  2.6281  2.5966  2.5621  2.5263
  2.4912  2.4574  2.4262  2.3961  2.3609  2.2435  2.1023  1.9500  1.7960  1.6435
  1.4932  1.3475  1.2085  1.0763  0.9503  0.8295  0.7131  0.6009  0.4922  0.3867
  0.2837
  2.6628  2.6539  2.6467  2.6394  2.6298  2.6157  2.5962  2.5714  2.5417  2.5085
  2.4732  2.4379  2.4028  2.3685  2.3325  2.2206  2.0869  1.9419  1.7929  1.6442
  1.4968  1.3519  1.2118  1.0780  0.9507  0.8291  0.7123  0.6001  0.4918  0.3870
  0.2834
  2.5849  2.5768  2.5702  2.5664  2.5622  2.5556  2.5439  2.5269  2.5042  2.4767
  2.4451  2.4112  2.3757  2.3397  2.3027  2.1962  2.0700  1.9319  1.7881  1.6433
  1.4994  1.3569  1.2173  1.0824  0.9535  0.8307  0.7130  0.6001  0.4915  0.3866
  0.2852
  2.5034  2.4919  2.4844  2.4804  2.4784  2.4763  2.4714  2.4618  2.4469  2.4267
  2.4017  2.3725  2.3394  2.3045  2.2715  2.1703  2.0516  1.9200  1.7816
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F300M
  2.6323  2.6123  2.6004  2.6006  2.6154  2.6401  2.6694  2.6995  2.7298  2.7559
  2.7639  2.7405  2.6896  2.6244  2.5544  2.3755  2.1975  2.0249  1.8580
  2.6512  2.6151  2.5866  2.5676  2.5607  2.5677  2.5864  2.6106  2.6412  2.6757
  2.7018  2.6990  2.6598  2.5987  2.5300  2.3525  2.1769  2.0058  1.8413  1.6838
  2.7299  2.6794  2.6246  2.5764  2.5413  2.5229  2.5228  2.5365  2.5605  2.5942
  2.6305  2.6501  2.6311  2.5785  2.5122  2.3357  2.1611  1.9916  1.8283  1.6718
  1.5219
  2.7887  2.7490  2.6993  2.6445  2.5893  2.5398  2.5076  2.4961  2.5032  2.5244
  2.5561  2.5881  2.5946  2.5586  2.4981  2.3238  2.1496  1.9811  1.8185  1.6626
  1.5134  1.3703
  2.8189  2.7866  2.7457  2.6979  2.6468  2.5971  2.5532  2.5193  2.4993  2.4957
  2.5066  2.5265  2.5446  2.5322  2.4838  2.3154  2.1417  1.9737  1.8115  1.6557
  1.5068  1.3643  1.2275  1.0953
  2.8324  2.8040  2.7691  2.7281  2.6825  2.6354  2.5920  2.5564  2.5296  2.5096
  2.4981  2.4967  2.5003  2.4957  2.4643  2.3089  2.1366  1.9690  1.8072  1.6512
  1.5019  1.3595  1.2231  1.0920  0.9653  0.8424  0.7231  0.6070  0.4941  0.3847
  2.8365  2.8102  2.7791  2.7432  2.7033  2.6606  2.6176  2.5783  2.5464  2.5225
  2.5029  2.4865  2.4762  2.4637  2.4374  2.3022  2.1330  1.9664  1.8051  1.6491
  1.4991  1.3560  1.2196  1.0888  0.9629  0.8413  0.7234  0.6088  0.4974  0.3889
  0.2832
  2.8313  2.8078  2.7798  2.7481  2.7129  2.6749  2.6346  2.5944  2.5572  2.5258
  2.5002  2.4774  2.4569  2.4371  2.4086  2.2908  2.1297  1.9648  1.8047  1.6493
  1.4989  1.3546  1.2173  1.0862  0.9605  0.8395  0.7225  0.6092  0.4992  0.3921
  0.2875
  2.8118  2.7932  2.7695  2.7422  2.7119  2.6786  2.6424  2.6040  2.5653  2.5284
  2.4953  2.4660  2.4392  2.4129  2.3812  2.2681  2.1220  1.9610  1.8025  1.6485
  1.4985  1.3533  1.2145  1.0822  0.9559  0.8348  0.7180  0.6053  0.4962  0.3901
  0.2869
  2.7769  2.7622  2.7437  2.7222  2.6979  2.6701  2.6391  2.6048  2.5678  2.5297
  2.4921  2.4566  2.4235  2.3917  2.3577  2.2462  2.1093  1.9578  1.8025  1.6506
  1.5024  1.3576  1.2178  1.0841  0.9566  0.8347  0.7176  0.6049  0.4962  0.3909
  0.2869
  2.7276  2.7149  2.7006  2.6848  2.6665  2.6452  2.6204  2.5918  2.5592  2.5234
  2.4855  2.4473  2.4095  2.3731  2.3357  2.2260  2.0942  1.9504  1.8008  1.6518
  1.5059  1.3628  1.2232  1.0885  0.9596  0.8365  0.7186  0.6053  0.4963  0.3910
  0.2892
  2.6657  2.6540  2.6423  2.6304  2.6171  2.6017  2.5834  2.5612  2.5347  2.5039
  2.4694  2.4319  2.3902  2.3507  2.3152  2.2075  2.0767  1.9388  1.7974
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = F300M
  2.6461  2.6356  2.6378  2.6564  2.6963  2.7442  2.7847  2.8088  2.8209  2.8191
  2.7969  2.7517  2.6908  2.6228  2.5528  2.3775  2.2037  2.0320  1.8651
  2.6352  2.6155  2.6062  2.6109  2.6315  2.6663  2.7002  2.7226  2.7401  2.7506
  2.7460  2.7169  2.6642  2.5988  2.5293  2.3538  2.1813  2.0124  1.8481  1.6901
  2.6527  2.6184  2.5937  2.5813  2.5837  2.6019  2.6262  2.6449  2.6621  2.6783
  2.6876  2.6777  2.6399  2.5809  2.5131  2.3375  2.1650  1.9975  1.8351  1.6786
  1.5283
  2.7303  2.6801  2.6290  2.5871  2.5611  2.5546  2.5646  2.5765  2.5894  2.6053
  2.6213  2.6278  2.6102  2.5639  2.5007  2.3265  2.1537  1.9867  1.8254  1.6699
  1.5205  1.3770
  2.7910  2.7441  2.6974  2.6508  2.6046  2.5624  2.5383  2.5321  2.5342  2.5420
  2.5547  2.5678  2.5690  2.5419  2.4888  2.3190  2.1462  1.9792  1.8183  1.6635
  1.5146  1.3717  1.2345  1.1019
  2.8182  2.7899  2.7529  2.7079  2.6600  2.6139  2.5736  2.5422  2.5219  2.5126
  2.5114  2.5150  2.5184  2.5091  2.4726  2.3137  2.1414  1.9744  1.8137  1.6591
  1.5104  1.3677  1.2310  1.0993  0.9721  0.8487  0.7286  0.6118  0.4985  0.3893
  2.8261  2.8034  2.7736  2.7356  2.6912  2.6444  2.6005  2.5645  2.5376  2.5174
  2.5020  2.4915  2.4829  2.4715  2.4475  2.3090  2.1387  1.9718  1.8112  1.6566
  1.5079  1.3650  1.2282  1.0969  0.9705  0.8482  0.7295  0.6142  0.5022  0.3935
  0.2881
  2.8282  2.8067  2.7807  2.7480  2.7091  2.6658  2.6213  2.5801  2.5458  2.5197
  2.4999  2.4820  2.4642  2.4453  2.4198  2.3025  2.1370  1.9709  1.8105  1.6562
  1.5073  1.3639  1.2266  1.0951  0.9689  0.8472  0.7295  0.6154  0.5046  0.3970
  0.2923
  2.8286  2.8072  2.7826  2.7527  2.7177  2.6785  2.6365  2.5943  2.5547  2.5207
  2.4933  2.4702  2.4478  2.4231  2.3937  2.2873  2.1334  1.9687  1.8088  1.6549
  1.5062  1.3625  1.2242  1.0917  0.9650  0.8432  0.7257  0.6123  0.5023  0.3955
  0.2919
  2.8237  2.8032  2.7805  2.7525  2.7204  2.6852  2.6467  2.6063  2.5654  2.5263
  2.4910  2.4601  2.4320  2.4036  2.3712  2.2656  2.1283  1.9693  1.8107  1.6575
  1.5096  1.3661  1.2273  1.0938  0.9661  0.8437  0.7260  0.6126  0.5031  0.3970
  0.2942
  2.8083  2.7903  2.7699  2.7449  2.7165  2.6846  2.6497  2.6125  2.5732  2.5330
  2.4934  2.4558  2.4207  2.3870  2.3520  2.2451  2.1144  1.9674  1.8122  1.6604
  1.5135  1.3709  1.2323  1.0981  0.9693  0.8459  0.7274  0.6136  0.5039  0.3978
  0.2953
  2.7789  2.7644  2.7467  2.7253  2.7004  2.6726  2.6421  2.6091  2.5732  2.5349
  2.4949  2.4544  2.4143  2.3750  2.3361  2.2258  2.0917  1.9630  1.8133
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = F300M
  2.6589  2.6538  2.6633  2.6909  2.7417  2.7994  2.8456  2.8683  2.8692  2.8499
  2.8111  2.7556  2.6903  2.6212  2.5515  2.3779  2.2064  2.0367  1.8701
  2.6416  2.6270  2.6245  2.6383  2.6701  2.7175  2.7607  2.7851  2.7958  2.7912
  2.7685  2.7256  2.6664  2.5990  2.5290  2.3544  2.1834  2.0159  1.8526  1.6944
  2.6411  2.6159  2.6008  2.5992  2.6146  2.6475  2.6836  2.7067  2.7216  2.7271
  2.7196  2.6930  2.6452  2.5827  2.5139  2.3387  2.1672  2.0008  1.8393  1.6830
  1.5325
  2.6870  2.6403  2.6039  2.5808  2.5748  2.5881  2.6141  2.6337  2.6483  2.6586
  2.6620  2.6516  2.6201  2.5676  2.5026  2.3282  2.1562  1.9899  1.8294  1.6743
  1.5250  1.3813
  2.7459  2.7102  2.6711  2.6199  2.5788  2.5575  2.5609  2.5717  2.5813  2.5905
  2.5982  2.5996  2.5856  2.5485  2.4918  2.3212  2.1489  1.9825  1.8223  1.6679
  1.5193  1.3764  1.2389  1.1061
  2.7960  2.7776  2.7365  2.6886  2.6396  2.5966  2.5652  2.5479  2.5405  2.5393
  2.5412  2.5430  2.5397  2.5203  2.4775  2.3163  2.1444  1.9778  1.8176  1.6636
  1.5153  1.3728  1.2359  1.1040  0.9765  0.8526  0.7321  0.6150  0.5014  0.3922
  2.8235  2.7996  2.7680  2.7282  2.6825  2.6365  2.5968  2.5669  2.5445  2.5267
  2.5139  2.5051  2.4964  2.4825  2.4549  2.3120  2.1417  1.9752  1.8149  1.6610
  1.5129  1.3704  1.2336  1.1021  0.9754  0.8528  0.7337  0.6179  0.5054  0.3965
  0.2912
  2.8240  2.8036  2.7785  2.7457  2.7059  2.6618  2.6180  2.5797  2.5497  2.5272
  2.5084  2.4903  2.4723  2.4523  2.4265  2.3065  2.1403  1.9742  1.8141  1.6603
  1.5122  1.3696  1.2324  1.1007  0.9743  0.8523  0.7341  0.6195  0.5083  0.4002
  0.2954
  2.8235  2.8033  2.7803  2.7518  2.7170  2.6768  2.6338  2.5918  2.5541  2.5233
  2.4988  2.4774  2.4550  2.4297  2.4003  2.2942  2.1373  1.9722  1.8123  1.6586
  1.5107  1.3678  1.2301  1.0977  0.9708  0.8487  0.7308  0.6169  0.5065  0.3992
  0.2952
  2.8251  2.8027  2.7805  2.7540  2.7223  2.6859  2.6455  2.6039  2.5628  2.5249
  2.4922  2.4641  2.4379  2.4099  2.3776  2.2742  2.1351  1.9734  1.8143  1.6611
  1.5136  1.3710  1.2331  1.1000  0.9722  0.8496  0.7315  0.6177  0.5077  0.4012
  0.2979
  2.8231  2.8013  2.7785  2.7534  2.7238  2.6901  2.6528  2.6133  2.5723  2.5316
  2.4928  2.4571  2.4244  2.3924  2.3582  2.2530  2.1234  1.9739  1.8166  1.6642
  1.5174  1.3754  1.2376  1.1041  0.9755  0.8520  0.7333  0.6192  0.5090  0.4025
  0.2995
  2.8105  2.7911  2.7701  2.7465  2.7191  2.6882  2.6541  2.6174  2.5785  2.5380
  2.4970  2.4566  2.4176  2.3800  2.3421  2.2306  2.1022  1.9737  1.8192
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value = F300M
