 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -1.5369 -1.5339 -1.5396 -1.5501 -1.5521 -1.5398 -1.4747 -1.4566 -1.4315 -1.3932
 -1.3416 -1.2845 -1.2233 -1.1593 -1.0986 -0.9837 -0.9337 -0.9284 -0.9388
 -1.5249 -1.4504 -1.4066 -1.3904 -1.3956 -1.3983 -1.3908 -1.3770 -1.3594 -1.3375
 -1.3048 -1.2586 -1.2035 -1.1487 -1.0996 -1.0106 -0.9647 -0.9523 -0.9585 -0.9756
 -1.4849 -1.4249 -1.3735 -1.3334 -1.3083 -1.3022 -1.3115 -1.3170 -1.3087 -1.2880
 -1.2635 -1.2331 -1.1911 -1.1443 -1.1008 -1.0199 -0.9803 -0.9716 -0.9796 -0.9968
 -1.0198
 -1.4410 -1.3941 -1.3496 -1.3088 -1.2746 -1.2499 -1.2363 -1.2342 -1.2386 -1.2365
 -1.2223 -1.2032 -1.1759 -1.1395 -1.1020 -1.0290 -0.9929 -0.9872 -0.9973 -1.0150
 -1.0376 -1.0637
 -1.3765 -1.3465 -1.3149 -1.2820 -1.2497 -1.2211 -1.1988 -1.1836 -1.1747 -1.1705
 -1.1663 -1.1574 -1.1453 -1.1246 -1.0977 -1.0343 -1.0008 -0.9976 -1.0107 -1.0302
 -1.0533 -1.0793 -1.1078 -1.1378
 -1.2921 -1.2793 -1.2632 -1.2428 -1.2188 -1.1936 -1.1702 -1.1510 -1.1365 -1.1254
 -1.1163 -1.1080 -1.1012 -1.0909 -1.0763 -1.0331 -1.0031 -1.0012 -1.0182 -1.0412
 -1.0664 -1.0934 -1.1222 -1.1527 -1.1849 -1.2196 -1.2573 -1.2987 -1.3442 -1.3939
 -1.1953 -1.1950 -1.1937 -1.1873 -1.1752 -1.1586 -1.1396 -1.1211 -1.1054 -1.0928
 -1.0820 -1.0719 -1.0630 -1.0551 -1.0455 -1.0197 -0.9990 -0.9982 -1.0180 -1.0459
 -1.0752 -1.1048 -1.1351 -1.1664 -1.1985 -1.2307 -1.2648 -1.3028 -1.3462 -1.3954
 -1.4474
 -1.0880 -1.0998 -1.1099 -1.1158 -1.1165 -1.1113 -1.1007 -1.0873 -1.0739 -1.0619
 -1.0519 -1.0430 -1.0345 -1.0267 -1.0184 -0.9996 -0.9880 -0.9896 -1.0106 -1.0428
 -1.0775 -1.1116 -1.1450 -1.1783 -1.2117 -1.2454 -1.2789 -1.3140 -1.3528 -1.3971
 -1.4479
 -0.9789 -0.9995 -1.0173 -1.0326 -1.0440 -1.0499 -1.0500 -1.0450 -1.0371 -1.0283
 -1.0204 -1.0136 -1.0075 -1.0018 -0.9954 -0.9800 -0.9731 -0.9780 -0.9988 -1.0330
 -1.0725 -1.1123 -1.1506 -1.1876 -1.2236 -1.2590 -1.2944 -1.3312 -1.3696 -1.4094
 -1.4504
 -0.8681 -0.8941 -0.9204 -0.9424 -0.9614 -0.9767 -0.9871 -0.9920 -0.9924 -0.9897
 -0.9857 -0.9819 -0.9787 -0.9759 -0.9730 -0.9629 -0.9584 -0.9652 -0.9855 -1.0189
 -1.0604 -1.1047 -1.1484 -1.1903 -1.2304 -1.2689 -1.3064 -1.3433 -1.3843 -1.4220
 -1.4577
 -0.7555 -0.7836 -0.8192 -0.8498 -0.8733 -0.8951 -0.9136 -0.9278 -0.9375 -0.9431
 -0.9454 -0.9461 -0.9465 -0.9471 -0.9477 -0.9466 -0.9447 -0.9528 -0.9730 -1.0047
 -1.0455 -1.0914 -1.1391 -1.1861 -1.2311 -1.2739 -1.3149 -1.3545 -1.3930 -1.4313
 -1.4704
 -0.6411 -0.6680 -0.7137 -0.7558 -0.7832 -0.8095 -0.8338 -0.8551 -0.8729 -0.8871
 -0.8975 -0.9049 -0.9103 -0.9149 -0.9195 -0.9311 -0.9320 -0.9408 -0.9613
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = G_RP 
 -1.5727 -1.5391 -1.5206 -1.5127 -1.5071 -1.4987 -1.4721 -1.4575 -1.4323 -1.3948
 -1.3448 -1.2869 -1.2250 -1.1650 -1.1098 -1.0016 -0.9420 -0.9229 -0.9301
 -1.5161 -1.4598 -1.4359 -1.4182 -1.4028 -1.3927 -1.3863 -1.3793 -1.3667 -1.3451
 -1.3121 -1.2669 -1.2137 -1.1607 -1.1122 -1.0184 -0.9651 -0.9475 -0.9522 -0.9682
 -1.5059 -1.4286 -1.3715 -1.3375 -1.3310 -1.3371 -1.3364 -1.3276 -1.3154 -1.3008
 -1.2801 -1.2498 -1.2079 -1.1615 -1.1177 -1.0322 -0.9829 -0.9667 -0.9724 -0.9890
 -1.0119
 -1.5007 -1.4270 -1.3650 -1.3158 -1.2809 -1.2617 -1.2614 -1.2729 -1.2770 -1.2671
 -1.2499 -1.2285 -1.1993 -1.1612 -1.1230 -1.0439 -0.9978 -0.9824 -0.9890 -1.0062
 -1.0288 -1.0552
 -1.4793 -1.4167 -1.3608 -1.3115 -1.2698 -1.2376 -1.2158 -1.2044 -1.2053 -1.2122
 -1.2111 -1.2009 -1.1827 -1.1554 -1.1227 -1.0517 -1.0084 -0.9937 -1.0015 -1.0202
 -1.0436 -1.0699 -1.0988 -1.1303
 -1.4350 -1.3876 -1.3430 -1.3008 -1.2615 -1.2264 -1.1972 -1.1751 -1.1599 -1.1514
