 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F444W
  0.2264  0.1486  0.0804  0.0164 -0.0397 -0.0870 -0.1085 -0.1473 -0.1936 -0.2509
 -0.3193 -0.3893 -0.4703 -0.5464 -0.6186 -0.7954 -0.9622 -1.1322 -1.2876
  0.2921  0.2122  0.1320  0.0516 -0.0256 -0.0929 -0.1510 -0.2035 -0.2538 -0.3050
 -0.3624 -0.4277 -0.4987 -0.5720 -0.6453 -0.8237 -0.9920 -1.1521 -1.3157 -1.4748
  0.2810  0.2059  0.1303  0.0552 -0.0188 -0.0922 -0.1642 -0.2294 -0.2882 -0.3438
 -0.3977 -0.4553 -0.5204 -0.5910 -0.6632 -0.8405 -1.0094 -1.1699 -1.3332 -1.4919
 -1.6434
  0.2559  0.1876  0.1174  0.0462 -0.0250 -0.0951 -0.1638 -0.2323 -0.3003 -0.3647
 -0.4259 -0.4828 -0.5416 -0.6068 -0.6763 -0.8517 -1.0213 -1.1834 -1.3462 -1.5046
 -1.6558 -1.8002
  0.2152  0.1556  0.0929  0.0275 -0.0396 -0.1073 -0.1745 -0.2405 -0.3062 -0.3724
 -0.4385 -0.5023 -0.5620 -0.6239 -0.6890 -0.8596 -1.0289 -1.1925 -1.3554 -1.5138
 -1.6650 -1.8092 -1.9470 -2.0793
  0.1580  0.1077  0.0546 -0.0025 -0.0634 -0.1268 -0.1913 -0.2558 -0.3198 -0.3836
 -0.4479 -0.5130 -0.5751 -0.6375 -0.7017 -0.8666 -1.0334 -1.1974 -1.3609 -1.5201
 -1.6717 -1.8159 -1.9536 -2.0856 -2.2124 -2.3348 -2.4532 -2.5683 -2.6804 -2.7899
  0.0889  0.0443  0.0007 -0.0465 -0.0986 -0.1553 -0.2151 -0.2764 -0.3384 -0.4004
 -0.4624 -0.5251 -0.5868 -0.6480 -0.7112 -0.8734 -1.0370 -1.1992 -1.3624 -1.5232
 -1.6760 -1.8208 -1.9587 -2.0905 -2.2170 -2.3387 -2.4562 -2.5700 -2.6806 -2.7885
 -2.8943
  0.0093 -0.0305 -0.0681 -0.1063 -0.1482 -0.1959 -0.2483 -0.3043 -0.3625 -0.4218
 -0.4816 -0.5419 -0.6019 -0.6610 -0.7217 -0.8793 -1.0401 -1.1997 -1.3606 -1.5222
 -1.6774 -1.8237 -1.9623 -2.0944 -2.2208 -2.3422 -2.4591 -2.5720 -2.6815 -2.7881
 -2.8921
