 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F335M
  3.0591  2.9924  2.9311  2.8723  2.8316  2.8115  2.8576  2.8754  2.8849  2.8751
  2.8422  2.7854  2.7189  2.6455  2.5683  2.3804  2.1985  2.0295  1.8631
  3.1778  3.1048  3.0325  2.9609  2.8966  2.8489  2.8192  2.8054  2.8022  2.8023
  2.7888  2.7496  2.6880  2.6169  2.5433  2.3591  2.1789  2.0058  1.8404  1.6823
  3.1916  3.1252  3.0585  2.9926  2.9298  2.8718  2.8218  2.7856  2.7607  2.7425
  2.7293  2.7067  2.6590  2.5937  2.5227  2.3418  2.1635  1.9909  1.8258  1.6683
  1.5178
  3.1899  3.1292  3.0674  3.0051  2.9439  2.8862  2.8343  2.7884  2.7486  2.7150
  2.6835  2.6583  2.6237  2.5691  2.5033  2.3276  2.1520  1.9800  1.8148  1.6576
  1.5077  1.3642
  3.1697  3.1167  3.0613  3.0041  2.9457  2.8881  2.8335  2.7839  2.7391  2.6971
  2.6569  2.6184  2.5834  2.5374  2.4804  2.3144  2.1429  1.9727  1.8071  1.6495
  1.4998  1.3568  1.2198  1.0878
  3.1292  3.0853  3.0384  2.9884  2.9353  2.8805  2.8258  2.7733  2.7241  2.6781
  2.6334  2.5885  2.5479  2.5029  2.4507  2.2992  2.1344  1.9680  1.8028  1.6441
  1.4938  1.3509  1.2144  1.0832  0.9566  0.8342  0.7154  0.5999  0.4874  0.3776
  3.0707  3.0341  2.9967  2.9556  2.9101  2.8610  2.8096  2.7577  2.7067  2.6574
  2.6099  2.5627  2.5171  2.4717  2.4214  2.2799  2.1242  1.9638  1.8014  1.6420
  1.4901  1.3465  1.2098  1.0790  0.9534  0.8322  0.7149  0.6010  0.4901  0.3818
  0.2758
  2.9949  2.9657  2.9360  2.9039  2.8676  2.8262  2.7811  2.7332  2.6839  2.6345
  2.5856  2.5371  2.4892  2.4427  2.3936  2.2594  2.1118  1.9580  1.8010  1.6430
  1.4896  1.3442  1.2066  1.0755  0.9501  0.8295  0.7132  0.6006  0.4913  0.3846
  0.2803
  2.9079  2.8836  2.8588  2.8336  2.8060  2.7737  2.7366  2.6954  2.6510  2.6045
  2.5571  2.5090  2.4608  2.4133  2.3651  2.2368  2.0969  1.9488  1.7971  1.6430
  1.4899  1.3423  1.2027  1.0705  0.9444  0.8237  0.7076  0.5954  0.4868  0.3816
  0.2795
  2.8097  2.7878  2.7716  2.7503  2.7287  2.7047  2.6763  2.6432  2.6060  2.5654
  2.5223  2.4773  2.4311  2.3843  2.3370  2.2137  2.0821  1.9408  1.7941  1.6449
  1.4948  1.3471  1.2054  1.0710  0.9437  0.8223  0.7060  0.5941  0.4839  0.3795
  0.2788
  2.7004  2.6783  2.6744  2.6605  2.6395  2.6201  2.5991  2.5746  2.5456  2.5128
  2.4765  2.4371  2.3953  2.3516  2.3066  2.1885  2.0640  1.9307  1.7897  1.6450
  1.4989  1.3535  1.2114  1.0749  0.9454  0.8224  0.7051  0.5927  0.4847  0.3804
  0.2796
  2.5798  2.5551  2.5672  2.5655  2.5445  2.5259  2.5086  2.4903  2.4692  2.4448
  2.4167  2.3849  2.3498  2.3117  2.2739  2.1612  2.0426  1.9185  1.7839
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F335M
  3.0550  2.9980  2.9497  2.9096  2.8833  2.8695  2.8809  2.8840  2.8833  2.8703
  2.8369  2.7813  2.7137  2.6410  2.5662  2.3816  2.2009  2.0290  1.8621
  3.1206  3.0403  2.9623  2.8969  2.8476  2.8157  2.8009  2.7995  2.8030  2.8023
  2.7865  2.7462  2.6845  2.6137  2.5407  2.3583  2.1800  2.0077  1.8425  1.6844
  3.1580  3.0849  3.0108  2.9381  2.8691  2.8118  2.7722  2.7491  2.7390  2.7370
  2.7315  2.7091  2.6596  2.5931  2.5214  2.3404  2.1636  1.9925  1.8280  1.6708
  1.5203
  3.1784  3.1102  3.0411  2.9724  2.9067  2.8470  2.7939  2.7504  2.7193  2.6968
  2.6817  2.6654  2.6323  2.5749  2.5075  2.3272  2.1514  1.9812  1.8171  1.6602
  1.5104  1.3669
