 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F480M
 -0.0313 -0.1090 -0.1804 -0.2511 -0.3203 -0.3806 -0.4020 -0.4345 -0.4709 -0.5185
 -0.5763 -0.6453 -0.7125 -0.7831 -0.8536 -1.0123 -1.1588 -1.3339 -1.4690
  0.0579 -0.0218 -0.1044 -0.1895 -0.2739 -0.3499 -0.4152 -0.4712 -0.5205 -0.5662
 -0.6158 -0.6738 -0.7397 -0.8092 -0.8789 -1.0445 -1.1959 -1.3411 -1.5038 -1.6633
  0.0601 -0.0143 -0.0901 -0.1666 -0.2439 -0.3223 -0.4011 -0.4742 -0.5392 -0.5966
 -0.6466 -0.6970 -0.7562 -0.8232 -0.8925 -1.0599 -1.2141 -1.3607 -1.5225 -1.6815
 -1.8333
  0.0464 -0.0216 -0.0914 -0.1625 -0.2345 -0.3066 -0.3788 -0.4519 -0.5257 -0.5964
 -0.6620 -0.7169 -0.7708 -0.8326 -0.8998 -1.0681 -1.2264 -1.3759 -1.5362 -1.6949
 -1.8464 -1.9910
  0.0162 -0.0436 -0.1062 -0.1712 -0.2382 -0.3065 -0.3751 -0.4435 -0.5124 -0.5828
 -0.6538 -0.7212 -0.7800 -0.8412 -0.9056 -1.0720 -1.2334 -1.3866 -1.5461 -1.7046
 -1.8561 -2.0005 -2.1384 -2.2706
 -0.0316 -0.0824 -0.1357 -0.1927 -0.2533 -0.3168 -0.3819 -0.4476 -0.5135 -0.5797
 -0.6471 -0.7159 -0.7788 -0.8421 -0.9080 -1.0738 -1.2363 -1.3926 -1.5524 -1.7113
 -1.8631 -2.0077 -2.1455 -2.2774 -2.4039 -2.5259 -2.6438 -2.7584 -2.8701 -2.9793
 -0.0926 -0.1381 -0.1819 -0.2290 -0.2810 -0.3377 -0.3977 -0.4597 -0.5229 -0.5867
 -0.6508 -0.7159 -0.7789 -0.8408 -0.9062 -1.0732 -1.2367 -1.3944 -1.5545 -1.7148
 -1.8678 -2.0129 -2.1509 -2.2829 -2.4092 -2.5306 -2.6477 -2.7610 -2.8711 -2.9784
 -3.0839
 -0.1655 -0.2064 -0.2445 -0.2825 -0.3241 -0.3715 -0.4240 -0.4806 -0.5398 -0.6004
 -0.6619 -0.7240 -0.7854 -0.8450 -0.9073 -1.0710 -1.2348 -1.3932 -1.5525 -1.7144
 -1.8697 -2.0160 -2.1548 -2.2871 -2.4136 -2.5349 -2.6514 -2.7639 -2.8728 -2.9788
 -3.0822
 -0.2443 -0.2838 -0.3198 -0.3526 -0.3851 -0.4221 -0.4650 -0.5135 -0.5663 -0.6223
 -0.6802 -0.7392 -0.7984 -0.8566 -0.9159 -1.0727 -1.2336 -1.3923 -1.5504 -1.7122
 -1.8704 -2.0194 -2.1596 -2.2928 -2.4199 -2.5415 -2.6582 -2.7707 -2.8793 -2.9842
 -3.0858
 -0.3289 -0.3703 -0.4004 -0.4321 -0.4606 -0.4889 -0.5215 -0.5600 -0.6041 -0.6528
 -0.7050 -0.7597 -0.8158 -0.8722 -0.9290 -1.0777 -1.2323 -1.3888 -1.5452 -1.7046
 -1.8635 -2.0157 -2.1586 -2.2933 -2.4213 -2.5435 -2.6606 -2.7730 -2.8836 -2.9880
 -3.0886
 -0.4194 -0.4659 -0.4863 -0.5142 -0.5448 -0.5705 -0.5954 -0.6239 -0.6580 -0.6973
 -0.7413 -0.7895 -0.8406 -0.8935 -0.9474 -1.0883 -1.2351 -1.3870 -1.5411 -1.6973
 -1.8544 -2.0078 -2.1539 -2.2913 -2.4210 -2.5444 -2.6623 -2.7752 -2.8837 -2.9882
 -3.0892
 -0.5158 -0.5706 -0.5775 -0.5975 -0.6310 -0.6590 -0.6821 -0.7043 -0.7292 -0.7585
 -0.7928 -0.8320 -0.8755 -0.9226 -0.9711 -1.1045 -1.2420 -1.3869 -1.5381
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F480M
 -0.0234 -0.0931 -0.1562 -0.2160 -0.2732 -0.3277 -0.3719 -0.4236 -0.4791 -0.5393
 -0.6042 -0.6742 -0.7441 -0.8151 -0.8853 -1.0477 -1.1920 -1.3427 -1.4761
  0.0276 -0.0605 -0.1490 -0.2301 -0.3023 -0.3663 -0.4233 -0.4755 -0.5270 -0.5807
 -0.6384 -0.7016 -0.7698 -0.8402 -0.9101 -1.0756 -1.2224 -1.3616 -1.5043 -1.6549
  0.0520 -0.0291 -0.1124 -0.1969 -0.2826 -0.3644 -0.4370 -0.5005 -0.5572 -0.6092
 -0.6616 -0.7179 -0.7814 -0.8503 -0.9204 -1.0877 -1.2402 -1.3809 -1.5247 -1.6796
 -1.8309
  0.0607 -0.0156 -0.0938 -0.1727 -0.2516 -0.3297 -0.4083 -0.4858 -0.5573 -0.6213
 -0.6776 -0.7312 -0.7883 -0.8535 -0.9218 -1.0923 -1.2505 -1.3949 -1.5397 -1.6931
 -1.8439 -1.9883
  0.0555 -0.0155 -0.0886 -0.1629 -0.2376 -0.3119 -0.3850 -0.4570 -0.5305 -0.6046
 -0.6753 -0.7374 -0.7947 -0.8554 -0.9220 -1.0923 -1.2552 -1.4045 -1.5507 -1.7029
 -1.8533 -1.9976 -2.1356 -2.2679
  0.0354 -0.0288 -0.0956 -0.1645 -0.2348 -0.3057 -0.3764 -0.4460 -0.5146 -0.5839
 -0.6555 -0.7270 -0.7916 -0.8551 -0.9208 -1.0897 -1.2556 -1.4098 -1.5582 -1.7097
 -1.8601 -2.0045 -2.1424 -2.2745 -2.4013 -2.5235 -2.6419 -2.7568 -2.8684 -2.9773
 -0.0015 -0.0574 -0.1162 -0.1780 -0.2425 -0.3089 -0.3765 -0.4442 -0.5115 -0.5779
 -0.6448 -0.7136 -0.7807 -0.8465 -0.9147 -1.0857 -1.2530 -1.4109 -1.5619 -1.7138
 -1.8646 -2.0095 -2.1476 -2.2797 -2.4062 -2.5279 -2.6453 -2.7590 -2.8692 -2.9766
 -3.0821
 -0.0533 -0.1025 -0.1527 -0.2056 -0.2623 -0.3224 -0.3853 -0.4497 -0.5150 -0.5801
 -0.6449 -0.7101 -0.7743 -0.8390 -0.9060 -1.0790 -1.2483 -1.4086 -1.5617 -1.7144
 -1.8665 -2.0125 -2.1513 -2.2837 -2.4103 -2.5318 -2.6488 -2.7616 -2.8707 -2.9768
 -3.0804
 -0.1163 -0.1620 -0.2055 -0.2496 -0.2973 -0.3493 -0.4054 -0.4648 -0.5264 -0.5893
 -0.6525 -0.7158 -0.7781 -0.8400 -0.9038 -1.0731 -1.2433 -1.4058 -1.5605 -1.7140
 -1.8677 -2.0158 -2.1559 -2.2892 -2.4164 -2.5381 -2.6551 -2.7677 -2.8764 -2.9816
 -3.0839
 -0.1827 -0.2289 -0.2700 -0.3082 -0.3473 -0.3901 -0.4376 -0.4896 -0.5454 -0.6039
 -0.6641 -0.7248 -0.7857 -0.8463 -0.9073 -1.0691 -1.2359 -1.3988 -1.5547 -1.7078
 -1.8620 -2.0124 -2.1548 -2.2895 -2.4175 -2.5399 -2.6572 -2.7699 -2.8784 -2.9832
 -3.0867
 -0.2491 -0.2981 -0.3414 -0.3783 -0.4122 -0.4468 -0.4855 -0.5287 -0.5767 -0.6286
 -0.6837 -0.7407 -0.7991 -0.8580 -0.9171 -1.0710 -1.2317 -1.3924 -1.5484 -1.7008
 -1.8538 -2.0052 -2.1504 -2.2875 -2.4172 -2.5406 -2.6587 -2.7718 -2.8806 -2.9855
 -3.0868
 -0.3115 -0.3663 -0.4132 -0.4531 -0.4872 -0.5176 -0.5489 -0.5838 -0.6232 -0.6669
 -0.7148 -0.7661 -0.8215 -0.8771 -0.9332 -1.0788 -1.2307 -1.3866 -1.5416
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F480M
 -0.0089 -0.0726 -0.1302 -0.1835 -0.2346 -0.2875 -0.3458 -0.4113 -0.4807 -0.5515
 -0.6236 -0.6969 -0.7701 -0.8425 -0.9133 -1.0791 -1.2238 -1.3592 -1.4890
 -0.0156 -0.0920 -0.1608 -0.2234 -0.2815 -0.3376 -0.3953 -0.4577 -0.5224 -0.5881
 -0.6551 -0.7248 -0.7965 -0.8687 -0.9396 -1.1062 -1.2525 -1.3871 -1.5178 -1.6597
  0.0240 -0.0625 -0.1492 -0.2298 -0.3019 -0.3669 -0.4272 -0.4873 -0.5487 -0.6102
 -0.6724 -0.7370 -0.8055 -0.8767 -0.9477 -1.1152 -1.2679 -1.4064 -1.5384 -1.6799
 -1.8276
  0.0530 -0.0271 -0.1094 -0.1929 -0.2769 -0.3593 -0.4344 -0.5016 -0.5643 -0.6249
 -0.6845 -0.7444 -0.8078 -0.8763 -0.9470 -1.1163 -1.2749 -1.4186 -1.5536 -1.6944
 -1.8406 -1.9844
  0.0658 -0.0098 -0.0878 -0.1674 -0.2469 -0.3260 -0.4044 -0.4820 -0.5573 -0.6263
 -0.6896 -0.7499 -0.8096 -0.8735 -0.9423 -1.1131 -1.2763 -1.4257 -1.5645 -1.7050
 -1.8500 -1.9933 -2.1313 -2.2638
  0.0664 -0.0051 -0.0790 -0.1547 -0.2314 -0.3078 -0.3828 -0.4559 -0.5287 -0.6032
 -0.6768 -0.7454 -0.8092 -0.8715 -0.9371 -1.1076 -1.2741 -1.4286 -1.5717 -1.7126
 -1.8568 -1.9999 -2.1377 -2.2700 -2.3970 -2.5198 -2.6387 -2.7540 -2.8658 -2.9746
