 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  o   
 -2.2499 -2.2387 -2.2313 -2.2270 -2.2113 -2.1856 -2.1498 -2.1304 -2.1026 -2.0595
 -2.0017 -1.9430 -1.8735 -1.7995 -1.7298 -1.5881 -1.5058 -1.4640 -1.4403
 -2.2260 -2.1453 -2.0958 -2.0743 -2.0748 -2.0727 -2.0600 -2.0406 -2.0170 -1.9887
 -1.9490 -1.8949 -1.8311 -1.7672 -1.7085 -1.5930 -1.5180 -1.4756 -1.4538 -1.4448
 -2.1817 -2.1148 -2.0562 -2.0093 -1.9780 -1.9662 -1.9704 -1.9702 -1.9551 -1.9270
 -1.8947 -1.8560 -1.8050 -1.7488 -1.6958 -1.5903 -1.5239 -1.4875 -1.4695 -1.4625
 -1.4623
 -2.1350 -2.0804 -2.0280 -1.9796 -1.9383 -1.9069 -1.8869 -1.8785 -1.8764 -1.8667
 -1.8437 -1.8155 -1.7788 -1.7328 -1.6858 -1.5893 -1.5287 -1.4977 -1.4836 -1.4788
 -1.4796 -1.4843
 -2.0680 -2.0301 -1.9903 -1.9494 -1.9095 -1.8736 -1.8442 -1.8220 -1.8059 -1.7944
 -1.7821 -1.7639 -1.7417 -1.7106 -1.6737 -1.5872 -1.5309 -1.5042 -1.4948 -1.4931
 -1.4957 -1.5015 -1.5096 -1.5187
 -1.9819 -1.9610 -1.9365 -1.9079 -1.8759 -1.8431 -1.8123 -1.7856 -1.7637 -1.7450
 -1.7279 -1.7110 -1.6949 -1.6745 -1.6493 -1.5816 -1.5297 -1.5057 -1.5011 -1.5039
 -1.5097 -1.5176 -1.5271 -1.5380 -1.5494 -1.5624 -1.5783 -1.5984 -1.6234 -1.6538
 -1.8841 -1.8758 -1.8660 -1.8511 -1.8308 -1.8061 -1.7795 -1.7534 -1.7301 -1.7098
 -1.6910 -1.6726 -1.6550 -1.6377 -1.6183 -1.5675 -1.5242 -1.5019 -1.5006 -1.5088
 -1.5195 -1.5309 -1.5431 -1.5559 -1.5690 -1.5814 -1.5951 -1.6123 -1.6349 -1.6637
 -1.6977
 -1.7765 -1.7804 -1.7821 -1.7795 -1.7717 -1.7581 -1.7394 -1.7182 -1.6971 -1.6773
 -1.6594 -1.6423 -1.6253 -1.6087 -1.5912 -1.5487 -1.5140 -1.4941 -1.4941 -1.5065
 -1.5229 -1.5395 -1.5557 -1.5716 -1.5872 -1.6024 -1.6165 -1.6317 -1.6506 -1.6753
 -1.7071
 -1.6682 -1.6807 -1.6902 -1.6970 -1.6997 -1.6969 -1.6884 -1.6752 -1.6594 -1.6428
 -1.6269 -1.6120 -1.5976 -1.5833 -1.5681 -1.5302 -1.5007 -1.4840 -1.4839 -1.4981
 -1.5191 -1.5415 -1.5633 -1.5837 -1.6030 -1.6212 -1.6388 -1.6573 -1.6770 -1.6977
 -1.7193
 -1.5592 -1.5767 -1.5949 -1.6083 -1.6186 -1.6250 -1.6265 -1.6228 -1.6148 -1.6040
 -1.5919 -1.5800 -1.5686 -1.5575 -1.5459 -1.5140 -1.4877 -1.4732 -1.4729 -1.4863
 -1.5089 -1.5357 -1.5630 -1.5891 -1.6135 -1.6359 -1.6569 -1.6769 -1.7004 -1.7199
 -1.7369
 -1.4495 -1.4684 -1.4962 -1.5181 -1.5328 -1.5456 -1.5550 -1.5602 -1.5609 -1.5578
 -1.5518 -1.5444 -1.5366 -1.5288 -1.5210 -1.4984 -1.4753 -1.4625 -1.4623 -1.4744
 -1.4964 -1.5246 -1.5557 -1.5871 -1.6170 -1.6448 -1.6705 -1.6944 -1.7168 -1.7385
 -1.7606
 -1.3391 -1.3558 -1.3941 -1.4275 -1.4460 -1.4630 -1.4779 -1.4898 -1.4983 -1.5033
 -1.5048 -1.5036 -1.5007 -1.4970 -1.4934 -1.4834 -1.4635 -1.4519 -1.4521
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  o   
 -2.2824 -2.2467 -2.2232 -2.2083 -2.1931 -2.1752 -2.1523 -2.1306 -2.0980 -2.0528
 -1.9948 -1.9304 -1.8599 -1.7905 -1.7264 -1.5944 -1.5076 -1.4576 -1.4331
 -2.2214 -2.1619 -2.1333 -2.1098 -2.0875 -2.0698 -2.0556 -2.0406 -2.0199 -1.9901
 -1.9486 -1.8945 -1.8321 -1.7697 -1.7119 -1.5947 -1.5160 -1.4708 -1.4480 -1.4378
 -2.2079 -2.1247 -2.0603 -2.0189 -2.0054 -2.0045 -1.9960 -1.9790 -1.9582 -1.9349
 -1.9054 -1.8660 -1.8145 -1.7583 -1.7049 -1.5962 -1.5236 -1.4823 -1.4628 -1.4553
 -1.4549
 -2.2002 -2.1189 -2.0482 -1.9900 -1.9467 -1.9198 -1.9124 -1.9169 -1.9128 -1.8937
 -1.8669 -1.8362 -1.7973 -1.7492 -1.7012 -1.5989 -1.5307 -1.4924 -1.4758 -1.4705
 -1.4712 -1.4760
 -2.1770 -2.1062 -2.0407 -1.9818 -1.9312 -1.8906 -1.8610 -1.8423 -1.8360 -1.8350
 -1.8244 -1.8039 -1.7752 -1.7376 -1.6950 -1.6005 -1.5358 -1.4998 -1.4859 -1.4835
 -1.4863 -1.4923 -1.5008 -1.5113
 -2.1318 -2.0760 -2.0215 -1.9695 -1.9207 -1.8768 -1.8396 -1.8099 -1.7871 -1.7709
 -1.7610 -1.7512 -1.7370 -1.7143 -1.6832 -1.5993 -1.5377 -1.5032 -1.4918 -1.4931
 -1.4991 -1.5074 -1.5174 -1.5288 -1.5413 -1.5553 -1.5715 -1.5915 -1.6179 -1.6487
 -2.0647 -2.0250 -1.9847 -1.9437 -1.9023 -1.8618 -1.8237 -1.7899 -1.7613 -1.7372
 -1.7168 -1.6999 -1.6869 -1.6730 -1.6537 -1.5924 -1.5358 -1.5023 -1.4923 -1.4974
 -1.5080 -1.5199 -1.5326 -1.5459 -1.5597 -1.5741 -1.5897 -1.6073 -1.6290 -1.6582
 -1.6924
 -1.9804 -1.9555 -1.9294 -1.9011 -1.8702 -1.8374 -1.8037 -1.7707 -1.7404 -1.7137
 -1.6899 -1.6687 -1.6504 -1.6340 -1.6181 -1.5734 -1.5288 -1.4975 -1.4878 -1.4954
 -1.5109 -1.5278 -1.5445 -1.5610 -1.5772 -1.5932 -1.6096 -1.6267 -1.6455 -1.6696
 -1.7018
 -1.8850 -1.8720 -1.8580 -1.8417 -1.8223 -1.7994 -1.7733 -1.7452 -1.7172 -1.6906
 -1.6665 -1.6447 -1.6247 -1.6065 -1.5893 -1.5493 -1.5146 -1.4888 -1.4795 -1.4880
 -1.5072 -1.5296 -1.5516 -1.5726 -1.5924 -1.6113 -1.6297 -1.6480 -1.6670 -1.6879
 -1.7138
 -1.7863 -1.7816 -1.7767 -1.7703 -1.7611 -1.7482 -1.7313 -1.7109 -1.6882 -1.6648
 -1.6421 -1.6213 -1.6023 -1.5847 -1.5679 -1.5291 -1.4984 -1.4776 -1.4695 -1.4772
 -1.4975 -1.5238 -1.5512 -1.5777 -1.6024 -1.6255 -1.6473 -1.6681 -1.6885 -1.7093
 -1.7310
 -1.6880 -1.6890 -1.6896 -1.6903 -1.6892 -1.6852 -1.6773 -1.6653 -1.6500 -1.6323
 -1.6135 -1.5950 -1.5778 -1.5621 -1.5472 -1.5123 -1.4834 -1.4654 -1.4590 -1.4658
 -1.4853 -1.5128 -1.5439 -1.5755 -1.6058 -1.6341 -1.6605 -1.6852 -1.7085 -1.7311
 -1.7540
 -1.5938 -1.5975 -1.6018 -1.6064 -1.6106 -1.6134 -1.6131 -1.6091 -1.6016 -1.5910
 -1.5781 -1.5640 -1.5522 -1.5377 -1.5272 -1.4989 -1.4696 -1.4522 -1.4480
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  o   
 -2.4475 -2.3925 -2.3525 -2.3220 -2.2954 -2.2662 -2.2285 -2.1793 -2.1220 -2.0590
 -1.9906 -1.9188 -1.8469 -1.7805 -1.7204 -1.5963 -1.5076 -1.4515 -1.4237
 -2.3635 -2.2974 -2.2485 -2.2128 -2.1848 -2.1593 -2.1310 -2.0957 -2.0543 -2.0075
 -1.9541 -1.8940 -1.8300 -1.7685 -1.7122 -1.5967 -1.5153 -1.4649 -1.4393 -1.4287
 -2.2886 -2.2129 -2.1695 -2.1371 -2.1064 -2.0794 -2.0542 -2.0267 -1.9957 -1.9608
 -1.9206 -1.8731 -1.8181 -1.7615 -1.7085 -1.5997 -1.5235 -1.4764 -1.4529 -1.4442
 -1.4435
 -2.2785 -2.1798 -2.1024 -2.0477 -2.0174 -2.0073 -1.9960 -1.9753 -1.9487 -1.9191
 -1.8868 -1.8504 -1.8064 -1.7562 -1.7067 -1.6035 -1.5312 -1.4865 -1.4646 -1.4577
 -1.4585 -1.4635
 -2.2797 -2.1792 -2.0929 -2.0217 -1.9659 -1.9274 -1.9070 -1.9000 -1.8977 -1.8831
 -1.8570 -1.8256 -1.7906 -1.7492 -1.7043 -1.6064 -1.5373 -1.4945 -1.4740 -1.4690
 -1.4718 -1.4784 -1.4874 -1.4987
 -2.2711 -2.1772 -2.0927 -2.0187 -1.9558 -1.9048 -1.8650 -1.8358 -1.8180 -1.8124
 -1.8081 -1.7941 -1.7692 -1.7366 -1.6986 -1.6072 -1.5407 -1.4995 -1.4802 -1.4773
 -1.4829 -1.4919 -1.5027 -1.5149 -1.5285 -1.5432 -1.5606 -1.5825 -1.6095 -1.6400
 -2.2424 -2.1613 -2.0849 -2.0152 -1.9528 -1.8981 -1.8516 -1.8132 -1.7825 -1.7586
