 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F162M
 -1.3225 -1.3004 -1.2771 -1.2579 -1.2464 -1.2442 -1.2748 -1.3064 -1.3476 -1.3959
 -1.4490 -1.4500 -1.5133 -1.5803 -1.6483 -1.8180 -1.9826 -2.1339 -2.2853
 -1.4690 -1.4917 -1.4701 -1.4088 -1.3400 -1.3117 -1.3172 -1.3413 -1.3765 -1.4195
 -1.4686 -1.5218 -1.5777 -1.6357 -1.6946 -1.8427 -1.9924 -2.1439 -2.2947 -2.4431
 -1.5375 -1.5533 -1.5623 -1.5583 -1.5373 -1.4923 -1.4381 -1.4147 -1.4249 -1.4575
 -1.5012 -1.5509 -1.6047 -1.6616 -1.7198 -1.8652 -2.0089 -2.1548 -2.3020 -2.4474
 -2.5897
 -1.5902 -1.6021 -1.6141 -1.6228 -1.6244 -1.6172 -1.6005 -1.5702 -1.5395 -1.5329
 -1.5521 -1.5892 -1.6365 -1.6900 -1.7465 -1.8897 -2.0288 -2.1676 -2.3099 -2.4525
 -2.5925 -2.7292
 -1.6571 -1.6598 -1.6661 -1.6739 -1.6807 -1.6840 -1.6828 -1.6782 -1.6691 -1.6553
 -1.6484 -1.6598 -1.6878 -1.7279 -1.7772 -1.9155 -2.0517 -2.1839 -2.3192 -2.4577
 -2.5955 -2.7304 -2.8620 -2.9903
 -1.7411 -1.7320 -1.7291 -1.7304 -1.7342 -1.7389 -1.7422 -1.7439 -1.7454 -1.7472
 -1.7489 -1.7529 -1.7657 -1.7898 -1.8246 -1.9436 -2.0761 -2.2039 -2.3316 -2.4640
 -2.5984 -2.7315 -2.8617 -2.9887 -3.1130 -3.2344 -3.3526 -3.4673 -3.5785 -3.6860
 -1.8425 -1.8205 -1.8061 -1.7982 -1.7954 -1.7962 -1.7986 -1.8013 -1.8043 -1.8090
 -1.8166 -1.8275 -1.8418 -1.8603 -1.8856 -1.9804 -2.1018 -2.2260 -2.3478 -2.4730
 -2.6023 -2.7326 -2.8610 -2.9867 -3.1093 -3.2287 -3.3451 -3.4588 -3.5702 -3.6789
 -3.7831
 -1.9612 -1.9256 -1.8987 -1.8798 -1.8682 -1.8623 -1.8601 -1.8605 -1.8625 -1.8657
 -1.8719 -1.8827 -1.8986 -1.9190 -1.9430 -2.0235 -2.1304 -2.2487 -2.3666 -2.4854
 -2.6083 -2.7345 -2.8606 -2.9846 -3.1057 -3.2241 -3.3396 -3.4523 -3.5623 -3.6700
 -3.7754
 -2.0927 -2.0452 -2.0069 -1.9769 -1.9549 -1.9401 -1.9311 -1.9265 -1.9251 -1.9258
 -1.9288 -1.9357 -1.9480 -1.9661 -1.9897 -2.0657 -2.1620 -2.2727 -2.3874 -2.5023
 -2.6194 -2.7403 -2.8631 -2.9853 -3.1052 -3.2222 -3.3367 -3.4485 -3.5577 -3.6644
 -3.7687
 -2.2370 -2.1793 -2.1294 -2.0893 -2.0570 -2.0323 -2.0147 -2.0029 -1.9959 -1.9924
 -1.9917 -1.9939 -2.0003 -2.0125 -2.0311 -2.1022 -2.1913 -2.2946 -2.4054 -2.5179
 -2.6311 -2.7465 -2.8645 -2.9835 -3.1015 -3.2171 -3.3301 -3.4403 -3.5506 -3.6561
 -3.7589
 -2.3941 -2.3279 -2.2662 -2.2133 -2.1742 -2.1404 -2.1134 -2.0928 -2.0782 -2.0684
 -2.0624 -2.0596 -2.0603 -2.0655 -2.0768 -2.1342 -2.2198 -2.3158 -2.4220 -2.5323
 -2.6436 -2.7556 -2.8689 -2.9838 -3.0989 -3.2126 -3.3241 -3.4330 -3.5393 -3.6433
 -3.7451
 -2.5641 -2.4910 -2.4173 -2.3479 -2.3033 -2.2627 -2.2276 -2.1984 -2.1749 -2.1569
 -2.1437 -2.1346 -2.1291 -2.1275 -2.1268 -2.1617 -2.2475 -2.3363 -2.4372
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F162M
 -1.2813 -1.2579 -1.2380 -1.2255 -1.2232 -1.2315 -1.2578 -1.2909 -1.3323 -1.3799
