 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -4.1822 -3.8444 -3.6005 -3.3309 -3.0326 -2.7879 -2.6468 -2.5619 -2.4656 -2.3353
 -2.1888 -2.0303 -1.8713 -1.7217 -1.5774 -1.2494 -0.9690 -0.7445 -0.5632
 -3.7973 -3.4031 -3.1097 -2.8697 -2.6735 -2.5169 -2.3906 -2.2827 -2.1819 -2.0799
 -1.9707 -1.8489 -1.7139 -1.5752 -1.4429 -1.1509 -0.9064 -0.7079 -0.5513 -0.4311
 -3.5378 -3.1212 -2.8026 -2.5699 -2.4105 -2.2891 -2.1768 -2.0714 -1.9752 -1.8860
 -1.7951 -1.6967 -1.5836 -1.4589 -1.3374 -1.0729 -0.8564 -0.6799 -0.5421 -0.4349
 -0.3486
 -3.4037 -2.9987 -2.6792 -2.4315 -2.2436 -2.1045 -2.0054 -1.9280 -1.8455 -1.7536
 -1.6620 -1.5737 -1.4804 -1.3728 -1.2609 -1.0154 -0.8190 -0.6605 -0.5357 -0.4378
 -0.3584 -0.2917
 -3.3085 -2.9271 -2.6203 -2.3752 -2.1803 -2.0265 -1.9058 -1.8099 -1.7321 -1.6601
 -1.5777 -1.4872 -1.3993 -1.3067 -1.2059 -0.9752 -0.7921 -0.6470 -0.5331 -0.4434
 -0.3705 -0.3088 -0.2549 -0.2067
 -3.2092 -2.8610 -2.5761 -2.3428 -2.1510 -1.9927 -1.8619 -1.7534 -1.6613 -1.5797
 -1.5035 -1.4249 -1.3416 -1.2574 -1.1656 -0.9479 -0.7736 -0.6373 -0.5315 -0.4492
 -0.3826 -0.3262 -0.2767 -0.2321 -0.1913 -0.1539 -0.1203 -0.0917 -0.0706 -0.0615
 -3.0931 -2.7821 -2.5245 -2.3096 -2.1280 -1.9727 -1.8391 -1.7235 -1.6235 -1.5344
 -1.4520 -1.3728 -1.2937 -1.2170 -1.1358 -0.9303 -0.7615 -0.6303 -0.5295 -0.4528
 -0.3922 -0.3415 -0.2971 -0.2569 -0.2197 -0.1850 -0.1533 -0.1245 -0.1015 -0.0876
 -0.0855
 -2.9669 -2.6905 -2.4600 -2.2657 -2.0985 -1.9518 -1.8210 -1.7039 -1.5992 -1.5056
 -1.4198 -1.3386 -1.2600 -1.1833 -1.1088 -0.9192 -0.7548 -0.6257 -0.5271 -0.4532
 -0.3972 -0.3522 -0.3135 -0.2786 -0.2462 -0.2155 -0.1867 -0.1601 -0.1367 -0.1188
 -0.1119
 -2.8352 -2.5906 -2.3838 -2.2084 -2.0563 -1.9206 -1.7969 -1.6830 -1.5782 -1.4823
 -1.3943 -1.3124 -1.2341 -1.1582 -1.0853 -0.9069 -0.7497 -0.6223 -0.5241 -0.4507
 -0.3970 -0.3565 -0.3235 -0.2947 -0.2680 -0.2424 -0.2180 -0.1947 -0.1731 -0.1547
 -0.1424
 -2.7131 -2.4973 -2.3084 -2.1468 -2.0070 -1.8820 -1.7670 -1.6589 -1.5573 -1.4621
 -1.3735 -1.2912 -1.2137 -1.1397 -1.0682 -0.8974 -0.7462 -0.6213 -0.5232 -0.4490
 -0.3949 -0.3561 -0.3274 -0.3042 -0.2837 -0.2643 -0.2455 -0.2271 -0.2092 -0.1928
 -0.1776
 -2.6046 -2.4114 -2.2380 -2.0855 -1.9528 -1.8356 -1.7284 -1.6274 -1.5310 -1.4392
 -1.3521 -1.2703 -1.1936 -1.1212 -1.0519 -0.8882 -0.7419 -0.6196 -0.5223 -0.4474
 -0.3921 -0.3530 -0.3259 -0.3067 -0.2918 -0.2787 -0.2662 -0.2537 -0.2411 -0.2288
 -0.2177
 -2.5096 -2.3329 -2.1738 -2.0288 -1.9002 -1.7863 -1.6837 -1.5886 -1.4979 -1.4109
 -1.3272 -1.2475 -1.1722 -1.1013 -1.0364 -0.8793 -0.7368 -0.6172 -0.5214
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.0711 -4.5740 -4.1415 -3.7701 -3.4538 -3.1771 -2.9247 -2.6874 -2.4713 -2.2817
 -2.1096 -1.9463 -1.7891 -1.6416 -1.4954 -1.2009 -0.9522 -0.7418 -0.5739
 -4.6725 -4.1715 -3.7364 -3.3690 -3.0631 -2.8081 -2.5911 -2.3955 -2.2215 -2.0676
 -1.9259 -1.7876 -1.6478 -1.5114 -1.3843 -1.1117 -0.8891 -0.7037 -0.5536 -0.4349
 -4.2724 -3.7702 -3.3589 -3.0696 -2.7922 -2.5574 -2.3590 -2.1877 -2.0379 -1.9060
 -1.7857 -1.6687 -1.5471 -1.4212 -1.3009 -1.0446 -0.8411 -0.6749 -0.5397 -0.4319
 -0.3439
 -3.9790 -3.4746 -3.0781 -2.7754 -2.5420 -2.3543 -2.1927 -2.0438 -1.9072 -1.7850
 -1.6759 -1.5741 -1.4710 -1.3588 -1.2452 -0.9996 -0.8082 -0.6554 -0.5322 -0.4335
 -0.3532 -0.2858
 -3.8670 -3.3577 -2.9457 -2.6265 -2.3820 -2.1931 -2.0437 -1.9205 -1.8122 -1.7084
 -1.6022 -1.5026 -1.4088 -1.3125 -1.2080 -0.9709 -0.7868 -0.6429 -0.5287 -0.4377
 -0.3638 -0.3015 -0.2474 -0.1993
 -3.8192 -3.3114 -2.8978 -2.5676 -2.3063 -2.1004 -1.9384 -1.8105 -1.7083 -1.6254
 -1.5461 -1.4572 -1.3656 -1.2750 -1.1810 -0.9531 -0.7733 -0.6348 -0.5270 -0.4424
 -0.3745 -0.3175 -0.2679 -0.2235 -0.1830 -0.1462 -0.1133 -0.0853 -0.0642 -0.0550
 -3.7764 -3.2889 -2.8837 -2.5562 -2.2933 -2.0823 -1.9122 -1.7743 -1.6614 -1.5660
 -1.4826 -1.4062 -1.3284 -1.2468 -1.1602 -0.9424 -0.7651 -0.6294 -0.5254 -0.4456
 -0.3831 -0.3317 -0.2871 -0.2471 -0.2103 -0.1762 -0.1453 -0.1174 -0.0948 -0.0808
 -0.0788
 -3.7175 -3.2589 -2.8733 -2.5563 -2.2975 -2.0862 -1.9121 -1.7670 -1.6454 -1.5419
 -1.4505 -1.3672 -1.2891 -1.2142 -1.1389 -0.9358 -0.7604 -0.6258 -0.5235 -0.4462
 -0.3878 -0.3417 -0.3027 -0.2679 -0.2358 -0.2056 -0.1777 -0.1519 -0.1294 -0.1121
 -0.1052
 -3.6294 -3.2054 -2.8475 -2.5476 -2.2993 -2.0928 -1.9191 -1.7710 -1.6433 -1.5326
 -1.4351 -1.3469 -1.2647 -1.1869 -1.1134 -0.9275 -0.7571 -0.6222 -0.5203 -0.4439
 -0.3876 -0.3457 -0.3122 -0.2833 -0.2568 -0.2318 -0.2081 -0.1856 -0.1651 -0.1475
 -0.1357
 -3.5218 -3.1468 -2.8181 -2.5369 -2.2999 -2.1000 -1.9292 -1.7808 -1.6503 -1.5348
 -1.4317 -1.3390 -1.2538 -1.1738 -1.0981 -0.9198 -0.7571 -0.6223 -0.5192 -0.4420
 -0.3857 -0.3454 -0.3159 -0.2925 -0.2722 -0.2531 -0.2349 -0.2173 -0.2004 -0.1850
 -0.1707
 -3.4073 -3.0790 -2.7820 -2.5208 -2.2957 -2.1026 -1.9357 -1.7888 -1.6578 -1.5398
 -1.4331 -1.3364 -1.2482 -1.1665 -1.0897 -0.9128 -0.7555 -0.6231 -0.5189 -0.4404
 -0.3829 -0.3424 -0.3145 -0.2950 -0.2801 -0.2673 -0.2553 -0.2435 -0.2317 -0.2205
 -0.2102
 -3.2886 -3.0036 -2.7429 -2.5050 -2.2912 -2.1028 -1.9392 -1.7941 -1.6634 -1.5445
 -1.4358 -1.3363 -1.2452 -1.1616 -1.0882 -0.9065 -0.7523 -0.6246 -0.5194
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.8188 -5.4156 -5.0297 -4.6566 -4.2986 -3.9262 -3.5069 -3.0477 -2.6551 -2.3418
 -2.0926 -1.8894 -1.7177 -1.5685 -1.4361 -1.1579 -0.9299 -0.7363 -0.5748
 -5.4344 -4.9917 -4.5733 -4.1824 -3.8169 -3.4686 -3.1107 -2.7408 -2.4223 -2.1606
 -1.9460 -1.7648 -1.6065 -1.4656 -1.3394 -1.0763 -0.8674 -0.6951 -0.5512 -0.4328
 -5.1387 -4.6813 -4.2477 -3.8461 -3.4814 -3.1513 -2.8418 -2.5339 -2.2617 -2.0334
 -1.8429 -1.6797 -1.5337 -1.3997 -1.2776 -1.0233 -0.8257 -0.6670 -0.5361 -0.4282
 -0.3397
 -4.8009 -4.3274 -3.9418 -3.5782 -3.2362 -2.9228 -2.6414 -2.3790 -2.1411 -1.9368
 -1.7642 -1.6161 -1.4830 -1.3576 -1.2396 -0.9907 -0.7995 -0.6491 -0.5276 -0.4280
 -0.3463 -0.2778
 -4.5273 -4.0228 -3.6021 -3.2500 -2.9525 -2.6977 -2.4715 -2.2527 -2.0463 -1.8620
 -1.7023 -1.5647 -1.4430 -1.3285 -1.2166 -0.9720 -0.7841 -0.6386 -0.5235 -0.4304
 -0.3546 -0.2914 -0.2368 -0.1888
 -4.4365 -3.8868 -3.4216 -3.0368 -2.7222 -2.4645 -2.2543 -2.0824 -1.9339 -1.7946
 -1.6564 -1.5268 -1.4102 -1.3041 -1.2011 -0.9622 -0.7755 -0.6327 -0.5217 -0.4338
 -0.3634 -0.3052 -0.2552 -0.2109 -0.1709 -0.1349 -0.1029 -0.0757 -0.0550 -0.0452
 -4.4422 -3.8620 -3.3659 -2.9565 -2.6238 -2.3548 -2.1366 -1.9578 -1.8098 -1.6881
 -1.5858 -1.4880 -1.3865 -1.2854 -1.1880 -0.9579 -0.7714 -0.6294 -0.5208 -0.4365
 -0.3704 -0.3174 -0.2724 -0.2325 -0.1963 -0.1631 -0.1332 -0.1068 -0.0848 -0.0706
 -0.0679
 -4.4803 -3.8906 -3.3776 -2.9488 -2.5998 -2.3187 -2.0915 -1.9065 -1.7544 -1.6272
 -1.5192 -1.4267 -1.3442 -1.2619 -1.1756 -0.9565 -0.7701 -0.6277 -0.5198 -0.4376
 -0.3734 -0.3261 -0.2863 -0.2517 -0.2201 -0.1908 -0.1640 -0.1386 -0.1169 -0.1016
 -0.0943
 -4.4891 -3.9171 -3.4044 -2.9708 -2.6124 -2.3216 -2.0862 -1.8939 -1.7353 -1.6028
 -1.4900 -1.3916 -1.3040 -1.2246 -1.1494 -0.9530 -0.7691 -0.6255 -0.5174 -0.4360
 -0.3751 -0.3298 -0.2949 -0.2658 -0.2398 -0.2155 -0.1929 -0.1717 -0.1525 -0.1364
 -0.1251
 -4.4550 -3.9180 -3.4320 -3.0059 -2.6474 -2.3517 -2.1100 -1.9107 -1.7450 -1.6053
 -1.4858 -1.3819 -1.2893 -1.2051 -1.1275 -0.9466 -0.7720 -0.6267 -0.5169 -0.4347
 -0.3740 -0.3302 -0.2986 -0.2745 -0.2542 -0.2358 -0.2186 -0.2021 -0.1865 -0.1726
 -0.1597
