 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -4.1873 -3.8506 -3.6066 -3.3374 -3.0388 -2.7939 -2.6526 -2.5672 -2.4708 -2.3404
 -2.1936 -2.0349 -1.8762 -1.7262 -1.5819 -1.2539 -0.9740 -0.7497 -0.5683
 -3.8033 -3.4094 -3.1160 -2.8759 -2.6795 -2.5227 -2.3962 -2.2881 -2.1871 -2.0850
 -1.9756 -1.8537 -1.7186 -1.5798 -1.4475 -1.1555 -0.9113 -0.7131 -0.5568 -0.4371
 -3.5445 -3.1278 -2.8091 -2.5760 -2.4164 -2.2948 -2.1823 -2.0768 -1.9804 -1.8911
 -1.8001 -1.7016 -1.5883 -1.4636 -1.3421 -1.0776 -0.8613 -0.6851 -0.5478 -0.4409
 -0.3550
 -3.4109 -3.0058 -2.6859 -2.4377 -2.2495 -2.1102 -2.0109 -1.9333 -1.8507 -1.7587
 -1.6671 -1.5786 -1.4853 -1.3776 -1.2657 -1.0202 -0.8240 -0.6657 -0.5412 -0.4436
 -0.3647 -0.2983
 -3.3162 -2.9346 -2.6273 -2.3817 -2.1864 -2.0322 -1.9112 -1.8152 -1.7373 -1.6653
 -1.5829 -1.4922 -1.4043 -1.3117 -1.2108 -0.9800 -0.7971 -0.6521 -0.5384 -0.4491
 -0.3765 -0.3152 -0.2616 -0.2139
 -3.2176 -2.8692 -2.5837 -2.3497 -2.1574 -1.9985 -1.8674 -1.7588 -1.6666 -1.5849
 -1.5086 -1.4300 -1.3467 -1.2625 -1.1707 -0.9528 -0.7786 -0.6424 -0.5368 -0.4546
 -0.3883 -0.3322 -0.2830 -0.2389 -0.1985 -0.1615 -0.1282 -0.1000 -0.0793 -0.0706
 -3.1025 -2.7911 -2.5328 -2.3171 -2.1348 -1.9789 -1.8449 -1.7290 -1.6288 -1.5397
 -1.4572 -1.3779 -1.2988 -1.2221 -1.1408 -0.9353 -0.7665 -0.6353 -0.5346 -0.4580
 -0.3976 -0.3472 -0.3031 -0.2632 -0.2264 -0.1921 -0.1607 -0.1323 -0.1096 -0.0960
 -0.0942
 -2.9774 -2.7005 -2.4691 -2.2740 -2.1060 -1.9585 -1.8272 -1.7097 -1.6047 -1.5109
 -1.4250 -1.3438 -1.2651 -1.1884 -1.1139 -0.9242 -0.7598 -0.6307 -0.5322 -0.4583
 -0.4024 -0.3576 -0.3191 -0.2845 -0.2524 -0.2220 -0.1935 -0.1673 -0.1442 -0.1266
 -0.1199
 -2.8470 -2.6017 -2.3940 -2.2177 -2.0647 -1.9281 -1.8036 -1.6892 -1.5840 -1.4878
 -1.3996 -1.3176 -1.2393 -1.1634 -1.0904 -0.9120 -0.7547 -0.6272 -0.5291 -0.4557
