 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F150W
 -1.3170 -1.2369 -1.1256 -1.0625 -1.0613 -1.0691 -1.0459 -1.0106 -0.9956 -1.0085
 -1.0335 -1.0647 -1.0983 -1.1355 -1.1773 -1.2952 -1.4243 -1.5574 -1.6900
 -1.2935 -1.2638 -1.2162 -1.1719 -1.1322 -1.0957 -1.0659 -1.0466 -1.0399 -1.0458
 -1.0629 -1.0897 -1.1233 -1.1618 -1.2037 -1.3188 -1.4432 -1.5725 -1.7029 -1.8333
 -1.2690 -1.2667 -1.2569 -1.2328 -1.1899 -1.1441 -1.1118 -1.0927 -1.0836 -1.0836
 -1.0949 -1.1170 -1.1482 -1.1862 -1.2279 -1.3411 -1.4617 -1.5870 -1.7145 -1.8416
 -1.9677
 -1.2435 -1.2456 -1.2477 -1.2452 -1.2344 -1.2143 -1.1836 -1.1489 -1.1267 -1.1219
 -1.1295 -1.1466 -1.1730 -1.2087 -1.2499 -1.3621 -1.4798 -1.6009 -1.7249 -1.8493
 -1.9725 -2.0943
 -1.2248 -1.2267 -1.2312 -1.2359 -1.2379 -1.2353 -1.2276 -1.2161 -1.2001 -1.1833
 -1.1771 -1.1850 -1.2031 -1.2322 -1.2708 -1.3816 -1.4976 -1.6151 -1.7350 -1.8565
 -1.9774 -2.0968 -2.2145 -2.3308
 -1.2149 -1.2150 -1.2186 -1.2244 -1.2313 -1.2375 -1.2413 -1.2429 -1.2438 -1.2440
 -1.2424 -1.2430 -1.2515 -1.2690 -1.2974 -1.4001 -1.5147 -1.6298 -1.7457 -1.8636
 -1.9822 -2.0997 -2.2154 -2.3294 -2.4417 -2.5526 -2.6621 -2.7707 -2.8781 -2.9813
 -1.2163 -1.2138 -1.2150 -1.2193 -1.2261 -1.2350 -1.2448 -1.2541 -1.2634 -1.2732
 -1.2839 -1.2946 -1.3057 -1.3190 -1.3390 -1.4221 -1.5313 -1.6445 -1.7574 -1.8714
 -1.9871 -2.1027 -2.2167 -2.3289 -2.4393 -2.5479 -2.6551 -2.7609 -2.8658 -2.9698
 -3.0701
 -1.2333 -1.2265 -1.2243 -1.2256 -1.2301 -1.2379 -1.2483 -1.2607 -1.2744 -1.2893
 -1.3056 -1.3234 -1.3423 -1.3615 -1.3816 -1.4524 -1.5498 -1.6591 -1.7695 -1.8801
 -1.9924 -2.1058 -2.2183 -2.3291 -2.4377 -2.5445 -2.6497 -2.7534 -2.8557 -2.9572
 -3.0582
 -1.2683 -1.2567 -1.2496 -1.2469 -1.2476 -1.2519 -1.2600 -1.2715 -1.2859 -1.3026
 -1.3212 -1.3419 -1.3645 -1.3886 -1.4130 -1.4837 -1.5727 -1.6755 -1.7831 -1.8913
 -2.0004 -2.1110 -2.2220 -2.3317 -2.4393 -2.5447 -2.6483 -2.7501 -2.8505 -2.9497
 -3.0482
 -1.3225 -1.3072 -1.2939 -1.2856 -1.2812 -1.2808 -1.2846 -1.2924 -1.3042 -1.3194
 -1.3375 -1.3582 -1.3814 -1.4068 -1.4339 -1.5088 -1.5939 -1.6909 -1.7949 -1.9009
 -2.0074 -2.1150 -2.2235 -2.3318 -2.4385 -2.5429 -2.6451 -2.7453 -2.8436 -2.9407
 -3.0383
 -1.3960 -1.3755 -1.3578 -1.3433 -1.3327 -1.3267 -1.3250 -1.3275 -1.3344 -1.3456
 -1.3605 -1.3788 -1.4002 -1.4244 -1.4512 -1.5274 -1.6133 -1.7057 -1.8061 -1.9099
 -2.0148 -2.1200 -2.2259 -2.3322 -2.4378 -2.5415 -2.6429 -2.7420 -2.8389 -2.9341
 -3.0278
 -1.4889 -1.4616 -1.4373 -1.4186 -1.4025 -1.3904 -1.3826 -1.3790 -1.3798 -1.3850
 -1.3945 -1.4083 -1.4257 -1.4466 -1.4649 -1.5395 -1.6309 -1.7199 -1.8167
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F150W
 -1.2402 -1.1802 -1.1233 -1.0730 -1.0330 -1.0049 -0.9894 -0.9867 -0.9951 -1.0127
 -1.0377 -1.0684 -1.1029 -1.1409 -1.1830 -1.2970 -1.4227 -1.5548 -1.6890
 -1.2804 -1.2321 -1.1805 -1.1311 -1.0886 -1.0561 -1.0353 -1.0263 -1.0286 -1.0409
 -1.0623 -1.0911 -1.1255 -1.1637 -1.2051 -1.3187 -1.4416 -1.5700 -1.7005 -1.8309
 -1.2851 -1.2671 -1.2326 -1.1829 -1.1435 -1.1100 -1.0850 -1.0702 -1.0659 -1.0718
 -1.0874 -1.1122 -1.1447 -1.1826 -1.2242 -1.3375 -1.4584 -1.5837 -1.7110 -1.8383
 -1.9645
 -1.2666 -1.2711 -1.2583 -1.2311 -1.1965 -1.1616 -1.1318 -1.1118 -1.1037 -1.1051
 -1.1154 -1.1347 -1.1628 -1.1990 -1.2403 -1.3534 -1.4731 -1.5959 -1.7205 -1.8452
 -1.9687 -2.0908
 -1.2402 -1.2419 -1.2456 -1.2408 -1.2281 -1.2105 -1.1907 -1.1710 -1.1530 -1.1411
 -1.1450 -1.1598 -1.1830 -1.2148 -1.2545 -1.3671 -1.4861 -1.6071 -1.7292 -1.8516
 -1.9730 -2.0928 -2.2109 -2.3275
 -1.2186 -1.2202 -1.2259 -1.2337 -1.2406 -1.2436 -1.2423 -1.2371 -1.2281 -1.2131
 -1.1990 -1.1979 -1.2103 -1.2344 -1.2689 -1.3791 -1.4977 -1.6175 -1.7375 -1.8575
 -1.9771 -2.0951 -2.2113 -2.3257 -2.4384 -2.5497 -2.6595 -2.7684 -2.8759 -2.9789
 -1.2011 -1.2023 -1.2076 -1.2165 -1.2274 -1.2384 -1.2477 -1.2544 -1.2594 -1.2634
 -1.2650 -1.2628 -1.2634 -1.2732 -1.2943 -1.3908 -1.5083 -1.6275 -1.7459 -1.8636
 -1.9810 -2.0975 -2.2121 -2.3248 -2.4355 -2.5446 -2.6522 -2.7583 -2.8635 -2.9675
 -3.0677
 -1.1905 -1.1903 -1.1945 -1.2025 -1.2135 -1.2269 -1.2414 -1.2558 -1.2695 -1.2827
 -1.2958 -1.3083 -1.3187 -1.3278 -1.3403 -1.4098 -1.5190 -1.6370 -1.7543 -1.8701
 -1.9852 -2.0999 -2.2131 -2.3244 -2.4336 -2.5408 -2.6465 -2.7505 -2.8532 -2.9548
 -3.0558
 -1.1914 -1.1868 -1.1894 -1.1958 -1.2055 -1.2182 -1.2336 -1.2510 -1.2698 -1.2892
 -1.3089 -1.3290 -1.3491 -1.3681 -1.3856 -1.4432 -1.5356 -1.6482 -1.7642 -1.8786
 -1.9917 -2.1044 -2.2163 -2.3266 -2.4347 -2.5406 -2.6447 -2.7470 -2.8477 -2.9472
 -3.0459
 -1.2075 -1.1994 -1.1977 -1.2009 -1.2079 -1.2182 -1.2318 -1.2486 -1.2683 -1.2903
 -1.3138 -1.3383 -1.3634 -1.3887 -1.4134 -1.4765 -1.5581 -1.6605 -1.7727 -1.8855
 -1.9968 -2.1072 -2.2172 -2.3263 -2.4335 -2.5384 -2.6411 -2.7418 -2.8406 -2.9380
 -3.0360
 -1.2416 -1.2302 -1.2236 -1.2220 -1.2246 -1.2312 -1.2414 -1.2552 -1.2728 -1.2938
 -1.3177 -1.3438 -1.3714 -1.3999 -1.4287 -1.5014 -1.5814 -1.6759 -1.7822 -1.8925
 -2.0024 -2.1110 -2.2188 -2.3263 -2.4325 -2.5367 -2.6386 -2.7382 -2.8355 -2.9311
 -3.0253
 -1.2943 -1.2794 -1.2687 -1.2618 -1.2590 -1.2602 -1.2656 -1.2750 -1.2884 -1.3060
 -1.3273 -1.3520 -1.3793 -1.4085 -1.4315 -1.5179 -1.6055 -1.6944 -1.7927
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F150W
 -1.1548 -1.0954 -1.0419 -0.9970 -0.9647 -0.9470 -0.9447 -0.9574 -0.9801 -1.0092
 -1.0421 -1.0773 -1.1137 -1.1517 -1.1919 -1.3024 -1.4236 -1.5526 -1.6859
 -1.2041 -1.1458 -1.0911 -1.0436 -1.0071 -0.9847 -0.9776 -0.9851 -1.0030 -1.0284
 -1.0593 -1.0941 -1.1312 -1.1701 -1.2111 -1.3222 -1.4420 -1.5677 -1.6968 -1.8269
 -1.2477 -1.1971 -1.1450 -1.0969 -1.0575 -1.0298 -1.0162 -1.0167 -1.0283 -1.0485
 -1.0755 -1.1080 -1.1445 -1.1838 -1.2253 -1.3375 -1.4569 -1.5804 -1.7066 -1.8335
 -1.9598
 -1.2588 -1.2322 -1.1972 -1.1510 -1.1104 -1.0793 -1.0601 -1.0534 -1.0582 -1.0721
 -1.0937 -1.1220 -1.1560 -1.1945 -1.2361 -1.3489 -1.4685 -1.5909 -1.7150 -1.8395
 -1.9632 -2.0857
 -1.2447 -1.2403 -1.2259 -1.2035 -1.1752 -1.1427 -1.1110 -1.0942 -1.0914 -1.0993
 -1.1155 -1.1388 -1.1685 -1.2043 -1.2450 -1.3578 -1.4774 -1.5992 -1.7220 -1.8447
 -1.9666 -2.0869 -2.2055 -2.3227
 -1.2224 -1.2216 -1.2229 -1.2226 -1.2175 -1.2080 -1.1926 -1.1712 -1.1511 -1.1401
 -1.1433 -1.1593 -1.1842 -1.2156 -1.2534 -1.3649 -1.4846 -1.6061 -1.7278 -1.8491
 -1.9695 -2.0883 -2.2051 -2.3201 -2.4334 -2.5453 -2.6557 -2.7648 -2.8722 -2.9750
 -1.2030 -1.2025 -1.2065 -1.2133 -1.2203 -1.2251 -1.2269 -1.2268 -1.2254 -1.2205
 -1.2107 -1.2052 -1.2125 -1.2333 -1.2645 -1.3711 -1.4906 -1.6120 -1.7331 -1.8532
 -1.9722 -2.0896 -2.2050 -2.3184 -2.4299 -2.5396 -2.6478 -2.7544 -2.8598 -2.9636
 -3.0635
 -1.1844 -1.1837 -1.1882 -1.1971 -1.2091 -1.2221 -1.2344 -1.2449 -1.2543 -1.2634
 -1.2714 -1.2757 -1.2760 -1.2798 -1.2938 -1.3781 -1.4959 -1.6172 -1.7379 -1.8571
 -1.9737 -2.0910 -2.2052 -2.3173 -2.4271 -2.5351 -2.6415 -2.7461 -2.8492 -2.9511
 -3.0519
 -1.1666 -1.1658 -1.1698 -1.1795 -1.1931 -1.2095 -1.2272 -1.2451 -1.2626 -1.2795
 -1.2963 -1.3128 -1.3276 -1.3388 -1.3480 -1.3999 -1.5031 -1.6235 -1.7439 -1.8626
 -1.9792 -2.0942 -2.2075 -2.3187 -2.4276 -2.5342 -2.6390 -2.7420 -2.8433 -2.9432
 -3.0421
 -1.1542 -1.1521 -1.1548 -1.1643 -1.1780 -1.1952 -1.2148 -1.2362 -1.2585 -1.2814
 -1.3043 -1.3273 -1.3501 -1.3721 -1.3917 -1.4384 -1.5179 -1.6288 -1.7480 -1.8660
 -1.9817 -2.0954 -2.2074 -2.3177 -2.4257 -2.5313 -2.6348 -2.7361 -2.8356 -2.9336
 -3.0320
 -1.1528 -1.1482 -1.1495 -1.1563 -1.1685 -1.1847 -1.2041 -1.2261 -1.2502 -1.2760
 -1.3029 -1.3306 -1.3584 -1.3862 -1.4133 -1.4751 -1.5444 -1.6399 -1.7530 -1.8695
 -1.9844 -2.0970 -2.2076 -2.3167 -2.4240 -2.5290 -2.6317 -2.7319 -2.8300 -2.9262
 -3.0209
 -1.1671 -1.1589 -1.1569 -1.1605 -1.1696 -1.1831 -1.2004 -1.2209 -1.2444 -1.2703
 -1.2984 -1.3282 -1.3593 -1.3908 -1.4128 -1.5100 -1.5826 -1.6568 -1.7589
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F150W
 -1.0486 -0.9940 -0.9481 -0.9129 -0.8912 -0.8851 -0.8962 -0.9240 -0.9617 -1.0035
 -1.0458 -1.0870 -1.1270 -1.1666 -1.2068 -1.3136 -1.4287 -1.5522 -1.6823
 -1.0977 -1.0396 -0.9891 -0.9486 -0.9216 -0.9098 -0.9152 -0.9383 -0.9723 -1.0123
 -1.0546 -1.0969 -1.1383 -1.1793 -1.2207 -1.3297 -1.4458 -1.5671 -1.6933 -1.8220
 -1.1518 -1.0938 -1.0405 -0.9952 -0.9613 -0.9419 -0.9394 -0.9551 -0.9836 -1.0199
 -1.0605 -1.1029 -1.1454 -1.1875 -1.2299 -1.3409 -1.4580 -1.5786 -1.7023 -1.8278
 -1.9537
 -1.2018 -1.1491 -1.0964 -1.0487 -1.0098 -0.9831 -0.9715 -0.9779 -0.9990 -1.0299
 -1.0670 -1.1077 -1.1500 -1.1928 -1.2359 -1.3483 -1.4665 -1.5872 -1.7095 -1.8328
 -1.9561 -2.0788
 -1.2313 -1.1985 -1.1533 -1.1061 -1.0640 -1.0315 -1.0123 -1.0087 -1.0210 -1.0448
 -1.0766 -1.1138 -1.1544 -1.1967 -1.2401 -1.3532 -1.4722 -1.5933 -1.7150 -1.8369
 -1.9583 -2.0788 -2.1980 -2.3158
 -1.2175 -1.2097 -1.1946 -1.1691 -1.1348 -1.0974 -1.0669 -1.0511 -1.0518 -1.0667
 -1.0916 -1.1236 -1.1605 -1.2009 -1.2436 -1.3566 -1.4761 -1.5974 -1.7189 -1.8399
 -1.9600 -2.0790 -2.1964 -2.3121 -2.4262 -2.5388 -2.6499 -2.7595 -2.8668 -2.9691
 -1.2005 -1.1975 -1.1955 -1.1904 -1.1798 -1.1649 -1.1486 -1.1327 -1.1195 -1.1142
 -1.1213 -1.1416 -1.1714 -1.2074 -1.2477 -1.3592 -1.4787 -1.6004 -1.7218 -1.8421
 -1.9613 -2.0790 -2.1951 -2.3093 -2.4216 -2.5322 -2.6411 -2.7484 -2.8542 -2.9579
 -3.0571
 -1.1855 -1.1829 -1.1842 -1.1878 -1.1909 -1.1919 -1.1910 -1.1908 -1.1929 -1.1964
 -1.1984 -1.1996 -1.2071 -1.2263 -1.2569 -1.3616 -1.4806 -1.6024 -1.7239 -1.8438
 -1.9622 -2.0790 -2.1940 -2.3069 -2.4178 -2.5267 -2.6339 -2.7393 -2.8431 -2.9453
 -3.0471
 -1.1690 -1.1661 -1.1683 -1.1749 -1.1845 -1.1953 -1.2059 -1.2162 -1.2273 -1.2404
 -1.2550 -1.2688 -1.2785 -1.2852 -1.2961 -1.3679 -1.4833 -1.6053 -1.7269 -1.8468
 -1.9647 -2.0809 -2.1951 -2.3072 -2.4170 -2.5247 -2.6305 -2.7344 -2.8365 -2.9370
 -3.0361
 -1.1499 -1.1479 -1.1500 -1.1577 -1.1699 -1.1855 -1.2031 -1.2215 -1.2402 -1.2595
 -1.2799 -1.3012 -1.3223 -1.3409 -1.3553 -1.3964 -1.4862 -1.6061 -1.7276 -1.8474
 -1.9649 -2.0803 -2.1937 -2.3051 -2.4142 -2.5208 -2.6252 -2.7275 -2.8279 -2.9267
 -3.0240
 -1.1292 -1.1277 -1.1310 -1.1389 -1.1520 -1.1698 -1.1909 -1.2140 -1.2383 -1.2633
 -1.2886 -1.3146 -1.3409 -1.3671 -1.3917 -1.4419 -1.5062 -1.6084 -1.7282 -1.8478
 -1.9650 -2.0799 -2.1924 -2.3031 -2.4115 -2.5175 -2.6211 -2.7223 -2.8213 -2.9185
 -3.0140
 -1.1124 -1.1108 -1.1139 -1.1220 -1.1349 -1.1530 -1.1755 -1.2009 -1.2283 -1.2569
 -1.2863 -1.3163 -1.3467 -1.3772 -1.4053 -1.5044 -1.5433 -1.6122 -1.7287
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = F150W
 -0.9949 -0.9433 -0.9016 -0.8718 -0.8576 -0.8593 -0.8765 -0.9087 -0.9530 -0.9999
 -1.0463 -1.0909 -1.1334 -1.1746 -1.2155 -1.3215 -1.4345 -1.5545 -1.6817
 -1.0417 -0.9850 -0.9377 -0.9021 -0.8808 -0.8752 -0.8872 -0.9173 -0.9583 -1.0043
 -1.0513 -1.0973 -1.1415 -1.1841 -1.2263 -1.3350 -1.4493 -1.5682 -1.6921 -1.8196
 -1.0978 -1.0386 -0.9866 -0.9446 -0.9154 -0.9014 -0.9048 -0.9273 -0.9632 -1.0064
 -1.0528 -1.0996 -1.1452 -1.1893 -1.2328 -1.3438 -1.4597 -1.5786 -1.7006 -1.8250
 -1.9503
 -1.1544 -1.0970 -1.0431 -0.9964 -0.9601 -0.9371 -0.9305 -0.9430 -0.9715 -1.0099
 -1.0539 -1.1002 -1.1465 -1.1918 -1.2364 -1.3492 -1.4666 -1.5861 -1.7072 -1.8295
 -1.9522 -2.0747
 -1.2009 -1.1531 -1.1021 -1.0537 -1.0126 -0.9824 -0.9662 -0.9672 -0.9863 -1.0179
 -1.0574 -1.1013 -1.1470 -1.1929 -1.2382 -1.3524 -1.4708 -1.5911 -1.7120 -1.8330
 -1.9539 -2.0742 -2.1935 -2.3116
 -1.2124 -1.1930 -1.1604 -1.1176 -1.0737 -1.0367 -1.0120 -1.0021 -1.0099 -1.0327
 -1.0657 -1.1053 -1.1487 -1.1938 -1.2393 -1.3542 -1.4733 -1.5942 -1.7151 -1.8354
 -1.9550 -2.0738 -2.1912 -2.3072 -2.4217 -2.5346 -2.6460 -2.7559 -2.8630 -2.9650
 -1.1974 -1.1917 -1.1829 -1.1664 -1.1423 -1.1140 -1.0853 -1.0629 -1.0535 -1.0610
