 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F090W
 -0.7640 -0.7851 -0.8475 -0.8970 -0.9170 -0.9363 -0.9805 -1.0331 -1.0643 -1.0623
 -1.0418 -1.0075 -0.9682 -0.9319 -0.8991 -0.8444 -0.8330 -0.8525 -0.8800
 -0.8091 -0.8017 -0.8187 -0.8440 -0.8751 -0.9115 -0.9495 -0.9835 -1.0088 -1.0229
 -1.0237 -1.0103 -0.9842 -0.9526 -0.9231 -0.8738 -0.8627 -0.8814 -0.9131 -0.9531
 -0.8394 -0.8209 -0.8148 -0.8232 -0.8496 -0.8845 -0.9163 -0.9436 -0.9680 -0.9893
 -1.0017 -1.0030 -0.9903 -0.9665 -0.9414 -0.8979 -0.8875 -0.9055 -0.9393 -0.9795
 -1.0227
 -0.8549 -0.8427 -0.8358 -0.8346 -0.8405 -0.8553 -0.8809 -0.9134 -0.9419 -0.9615
 -0.9758 -0.9856 -0.9865 -0.9736 -0.9540 -0.9167 -0.9074 -0.9248 -0.9585 -0.9987
 -1.0415 -1.0858
 -0.8441 -0.8432 -0.8432 -0.8435 -0.8453 -0.8507 -0.8611 -0.8768 -0.8984 -0.9230
 -0.9431 -0.9573 -0.9685 -0.9698 -0.9588 -0.9291 -0.9214 -0.9386 -0.9730 -1.0140
 -1.0573 -1.1019 -1.1471 -1.1927
 -0.8060 -0.8189 -0.8297 -0.8371 -0.8420 -0.8460 -0.8515 -0.8596 -0.8706 -0.8842
 -0.9001 -0.9160 -0.9306 -0.9437 -0.9476 -0.9338 -0.9289 -0.9459 -0.9817 -1.0250
 -1.0700 -1.1156 -1.1616 -1.2079 -1.2542 -1.3007 -1.3481 -1.3986 -1.4535 -1.5100
 -0.7433 -0.7705 -0.7938 -0.8117 -0.8239 -0.8322 -0.8384 -0.8445 -0.8518 -0.8605
 -0.8702 -0.8805 -0.8912 -0.9049 -0.9160 -0.9261 -0.9292 -0.9469 -0.9835 -1.0300
 -1.0784 -1.1263 -1.1740 -1.2215 -1.2687 -1.3157 -1.3631 -1.4112 -1.4627 -1.5193
 -1.5781
 -0.6622 -0.7014 -0.7368 -0.7663 -0.7885 -0.8046 -0.8158 -0.8242 -0.8318 -0.8396
 -0.8477 -0.8558 -0.8640 -0.8729 -0.8841 -0.9039 -0.9203 -0.9417 -0.9788 -1.0280
 -1.0807 -1.1326 -1.1831 -1.2327 -1.2816 -1.3298 -1.3778 -1.4260 -1.4754 -1.5278
 -1.5862
 -0.5704 -0.6184 -0.6632 -0.7029 -0.7356 -0.7612 -0.7802 -0.7945 -0.8057 -0.8155
 -0.8247 -0.8336 -0.8420 -0.8501 -0.8597 -0.8808 -0.9039 -0.9314 -0.9695 -1.0202
 -1.0767 -1.1335 -1.1883 -1.2413 -1.2928 -1.3430 -1.3925 -1.4415 -1.4908 -1.5413
 -1.5953
 -0.4744 -0.5274 -0.5783 -0.6254 -0.6670 -0.7019 -0.7302 -0.7524 -0.7700 -0.7845
 -0.7970 -0.8085 -0.8191 -0.8290 -0.8388 -0.8615 -0.8865 -0.9178 -0.9571 -1.0074
 -1.0656 -1.1262 -1.1858 -1.2432 -1.2984 -1.3515 -1.4034 -1.4541 -1.5042 -1.5545
 -1.6061
 -0.3754 -0.4322 -0.4872 -0.5388 -0.5864 -0.6293 -0.6663 -0.6972 -0.7227 -0.7439
 -0.7620 -0.7778 -0.7921 -0.8052 -0.8174 -0.8450 -0.8712 -0.9040 -0.9446 -0.9940
 -1.0515 -1.1136 -1.1767 -1.2386 -1.2981 -1.3551 -1.4102 -1.4636 -1.5156 -1.5669
 -1.6184
 -0.2735 -0.3328 -0.3931 -0.4471 -0.4988 -0.5469 -0.5907 -0.6297 -0.6635 -0.6926
