 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
  0.3858  0.3114  0.2504  0.2206  0.2214  0.2411  0.2689  0.2993  0.3185  0.3136
  0.2978  0.2613  0.2058  0.1476  0.0809 -0.0952 -0.2702 -0.4418 -0.6063
  0.4432  0.3762  0.3117  0.2572  0.2157  0.1894  0.1786  0.1814  0.1929  0.2082
  0.2203  0.2174  0.1860  0.1289  0.0613 -0.1148 -0.2887 -0.4593 -0.6236 -0.7812
  0.4786  0.4187  0.3559  0.2922  0.2314  0.1807  0.1448  0.1248  0.1212  0.1331
  0.1505  0.1638  0.1534  0.1070  0.0428 -0.1312 -0.3039 -0.4734 -0.6373 -0.7941
 -0.9442
  0.4920  0.4389  0.3830  0.3256  0.2685  0.2150  0.1675  0.1295  0.1034  0.0883
  0.0884  0.1005  0.1080  0.0819  0.0254 -0.1444 -0.3158 -0.4841 -0.6475 -0.8039
 -0.9533 -1.0966
  0.4850  0.4394  0.3908  0.3401  0.2885  0.2380  0.1912  0.1510  0.1175  0.0901
  0.0677  0.0536  0.0549  0.0463  0.0046 -0.1558 -0.3251 -0.4918 -0.6549 -0.8113
 -0.9604 -1.1031 -1.2400 -1.3721
  0.4569  0.4201  0.3800  0.3373  0.2925  0.2466  0.2013  0.1594  0.1233  0.0927
  0.0650  0.0377  0.0172  0.0063 -0.0250 -0.1677 -0.3332 -0.4975 -0.6595 -0.8163
 -0.9657 -1.1082 -1.2446 -1.3758 -1.5024 -1.6250 -1.7442 -1.8603 -1.9733 -2.0830
  0.4062  0.3791  0.3491  0.3160  0.2796  0.2405  0.1994  0.1584  0.1196  0.0851
  0.0544  0.0246 -0.0068 -0.0279 -0.0565 -0.1845 -0.3417 -0.5025 -0.6620 -0.8186
 -0.9689 -1.1120 -1.2484 -1.3791 -1.5049 -1.6264 -1.7442 -1.8586 -1.9700 -2.0787
 -2.1847
  0.3350  0.3157  0.2956  0.2735  0.2475  0.2174  0.1835  0.1469  0.1092  0.0723
  0.0381  0.0058 -0.0270 -0.0586 -0.0861 -0.2062 -0.3530 -0.5082 -0.6640 -0.8186
 -0.9695 -1.1138 -1.2509 -1.3818 -1.5072 -1.6281 -1.7449 -1.8581 -1.9680 -2.0751
 -2.1799
  0.2496  0.2340  0.2203  0.2079  0.1930  0.1738  0.1494  0.1202  0.0873  0.0522
  0.0169 -0.0177 -0.0518 -0.0861 -0.1163 -0.2295 -0.3686 -0.5178 -0.6690 -0.8203
 -0.9701 -1.1156 -1.2542 -1.3861 -1.5120 -1.6328 -1.7492 -1.8616 -1.9706 -2.0764
 -2.1797
  0.1588  0.1424  0.1304  0.1231  0.1172  0.1082  0.0949  0.0757  0.0507  0.0213
 -0.0113 -0.0453 -0.0797 -0.1144 -0.1479 -0.2524 -0.3833 -0.5261 -0.6729 -0.8201
 -0.9669 -1.1116 -1.2515 -1.3850 -1.5120 -1.6333 -1.7497 -1.8619 -1.9702 -2.0751
 -2.1791
  0.0646  0.0461  0.0336  0.0260  0.0226  0.0216  0.0177  0.0091 -0.0056 -0.0262
 -0.0521 -0.0819 -0.1141 -0.1475 -0.1814 -0.2784 -0.4002 -0.5358 -0.6779 -0.8213
 -0.9646 -1.1069 -1.2464 -1.3812 -1.5099 -1.6324 -1.7497 -1.8621 -1.9704 -2.0750
 -2.1763
 -0.0330 -0.0549 -0.0661 -0.0774 -0.0812 -0.0808 -0.0792 -0.0790 -0.0837 -0.0941
 -0.1104 -0.1324 -0.1590 -0.1887 -0.2168 -0.3075 -0.4193 -0.5469 -0.6840
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F322W2
  0.4040  0.3715  0.3469  0.3301  0.3205  0.3152  0.3110  0.3058  0.2997  0.2935
  0.2813  0.2537  0.2058  0.1433  0.0715 -0.1013 -0.2715 -0.4397 -0.6047
  0.3942  0.3462  0.3074  0.2774  0.2558  0.2416  0.2329  0.2266  0.2234  0.2242
  0.2242  0.2126  0.1770  0.1191  0.0520 -0.1218 -0.2917 -0.4580 -0.6215 -0.7790
  0.4329  0.3756  0.3214  0.2597  0.2178  0.1878  0.1691  0.1584  0.1536  0.1555
  0.1621  0.1650  0.1477  0.0998  0.0355 -0.1376 -0.3075 -0.4727 -0.6350 -0.7914
 -0.9416
  0.4790  0.4204  0.3587  0.2951  0.2347  0.1821  0.1413  0.1144  0.0993  0.0945
  0.0983  0.1073  0.1088  0.0794  0.0220 -0.1487 -0.3189 -0.4838 -0.6452 -0.8010
 -0.9503 -1.0937
  0.4961  0.4440  0.3879  0.3285  0.2691  0.2128  0.1623  0.1197  0.0867  0.0645
  0.0534  0.0525  0.0571  0.0498  0.0072 -0.1565 -0.3268 -0.4917 -0.6525 -0.8081
 -0.9571 -1.0999 -1.2369 -1.3692
  0.4950  0.4490  0.3992  0.3458  0.2903  0.2350  0.1833  0.1383  0.1008  0.0695
  0.0438  0.0241  0.0151  0.0091 -0.0152 -0.1630 -0.3321 -0.4969 -0.6573 -0.8129
 -0.9621 -1.1047 -1.2412 -1.3726 -1.4995 -1.6224 -1.7420 -1.8583 -1.9713 -2.0809
  0.4784  0.4384  0.3949  0.3480  0.2984  0.2474  0.1969  0.1498  0.1086  0.0744
  0.0450  0.0172 -0.0077 -0.0235 -0.0444 -0.1709 -0.3361 -0.5003 -0.6599 -0.8153
 -0.9651 -1.1082 -1.2447 -1.3756 -1.5016 -1.6234 -1.7416 -1.8563 -1.9679 -2.0766
 -2.1826
  0.4431  0.4112  0.3751  0.3354  0.2928  0.2480  0.2017  0.1557  0.1121  0.0731
  0.0397  0.0094 -0.0212 -0.0484 -0.0719 -0.1856 -0.3406 -0.5027 -0.6610 -0.8156
 -0.9658 -1.1098 -1.2469 -1.3780 -1.5037 -1.6247 -1.7419 -1.8554 -1.9657 -2.0730
 -2.1778
  0.3873  0.3650  0.3371  0.3058  0.2712  0.2339  0.1940  0.1525  0.1102  0.0692
  0.0313 -0.0032 -0.0361 -0.0691 -0.0978 -0.2072 -0.3510 -0.5078 -0.6641 -0.8170
 -0.9667 -1.1117 -1.2502 -1.3821 -1.5081 -1.6291 -1.7459 -1.8587 -1.9680 -2.0741
 -2.1776
  0.3164  0.2994  0.2793  0.2567  0.2312  0.2029  0.1715  0.1369  0.0995  0.0605
  0.0214 -0.0164 -0.0525 -0.0878 -0.1217 -0.2270 -0.3635 -0.5128 -0.6653 -0.8156
 -0.9633 -1.1079 -1.2475 -1.3809 -1.5080 -1.6294 -1.7461 -1.8586 -1.9672 -2.0725
 -2.1768
  0.2366  0.2191  0.2039  0.1881  0.1707  0.1515  0.1293  0.1037  0.0739  0.0404
  0.0043 -0.0333 -0.0708 -0.1079 -0.1445 -0.2470 -0.3772 -0.5203 -0.6681 -0.8153
 -0.9604 -1.1031 -1.2425 -1.3772 -1.5058 -1.6285 -1.7459 -1.8586 -1.9672 -2.0721
 -2.1738
  0.1492  0.1319  0.1171  0.1044  0.0925  0.0801  0.0661  0.0496  0.0289  0.0037
 -0.0261 -0.0594 -0.0951 -0.1320 -0.1662 -0.2672 -0.3921 -0.5303 -0.6725
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F322W2
  0.4340  0.4090  0.3928  0.3858  0.3881  0.3916  0.3877  0.3722  0.3519  0.3289
  0.2990  0.2557  0.1984  0.1328  0.0644 -0.1074 -0.2753 -0.4385 -0.6003
  0.4013  0.3681  0.3438  0.3287  0.3217  0.3198  0.3162  0.3016  0.2851  0.2691
  0.2502  0.2201  0.1720  0.1098  0.0421 -0.1299 -0.2971 -0.4586 -0.6182 -0.7752
  0.3942  0.3483  0.3125  0.2864  0.2693  0.2599  0.2529  0.2389  0.2234  0.2102
  0.1983  0.1812  0.1475  0.0931  0.0275 -0.1447 -0.3128 -0.4739 -0.6320 -0.7874
 -0.9374
  0.4343  0.3783  0.3174  0.2695  0.2345  0.2114  0.1970  0.1823  0.1659  0.1524
  0.1429  0.1343  0.1167  0.0765  0.0168 -0.1541 -0.3232 -0.4850 -0.6424 -0.7967
 -0.9458 -1.0893
  0.4836  0.4257  0.3640  0.3031  0.2473  0.2002  0.1647  0.1406  0.1198  0.1021
  0.0894  0.0817  0.0746  0.0530  0.0055 -0.1597 -0.3296 -0.4926 -0.6500 -0.8036
 -0.9522 -1.0950 -1.2322 -1.3649
  0.5018  0.4512  0.3969  0.3393  0.2809  0.2258  0.1768  0.1358  0.1022  0.0753
  0.0543  0.0387  0.0279  0.0171 -0.0119 -0.1635 -0.3332 -0.4972 -0.6551 -0.8084
 -0.9568 -1.0993 -1.2360 -1.3677 -1.4950 -1.6183 -1.7383 -1.8551 -1.9684 -2.0776
  0.5022  0.4571  0.4091  0.3571  0.3018  0.2457  0.1924  0.1454  0.1060  0.0726
  0.0435  0.0189 -0.0015 -0.0191 -0.0399 -0.1674 -0.3350 -0.4995 -0.6579 -0.8112
 -0.9596 -1.1024 -1.2390 -1.3702 -1.4966 -1.6188 -1.7375 -1.8527 -1.9647 -2.0734
 -2.1789
  0.4913  0.4505  0.4075  0.3610  0.3107  0.2579  0.2047  0.1542  0.1091  0.0711
  0.0390  0.0100 -0.0173 -0.0420 -0.0669 -0.1746 -0.3360 -0.5003 -0.6589 -0.8121
 -0.9598 -1.1038 -1.2409 -1.3721 -1.4981 -1.6196 -1.7373 -1.8514 -1.9621 -2.0697
 -2.1743
  0.4677  0.4331  0.3955  0.3539  0.3088  0.2607  0.2108  0.1610  0.1133  0.0700
  0.0325 -0.0002 -0.0307 -0.0605 -0.0897 -0.1919 -0.3399 -0.5025 -0.6609 -0.8138
 -0.9621 -1.1059 -1.2439 -1.3758 -1.5021 -1.6235 -1.7407 -1.8540 -1.9639 -2.0705
 -2.1742
  0.4301  0.4024  0.3715  0.3361  0.2968  0.2543  0.2094  0.1633  0.1168  0.0716
  0.0295 -0.0087 -0.0433 -0.0766 -0.1096 -0.2110 -0.3472 -0.5025 -0.6596 -0.8117
 -0.9591 -1.1026 -1.2414 -1.3745 -1.5016 -1.6234 -1.7405 -1.8534 -1.9626 -2.0685
 -2.1733
  0.3773  0.3559  0.3313  0.3033  0.2707  0.2348  0.1964  0.1558  0.1134  0.0702
  0.0272 -0.0143 -0.0536 -0.0908 -0.1271 -0.2290 -0.3597 -0.5060 -0.6590 -0.8096
 -0.9557 -1.0981 -1.2368 -1.3709 -1.4994 -1.6222 -1.7399 -1.8530 -1.9621 -2.0675
 -2.1697
  0.3085  0.2920  0.2732  0.2520  0.2270  0.1986  0.1675  0.1340  0.0980  0.0597
  0.0196 -0.0216 -0.0627 -0.1030 -0.1422 -0.2459 -0.3774 -0.5130 -0.6591
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F322W2
  0.4807  0.4634  0.4547  0.4544  0.4640  0.4736  0.4722  0.4529  0.4185  0.3736
  0.3196  0.2577  0.1906  0.1217  0.0529 -0.1164 -0.2810 -0.4408 -0.5971
  0.4359  0.4116  0.3965  0.3909  0.3934  0.4016  0.4066  0.3911  0.3645  0.3293
  0.2853  0.2317  0.1694  0.1019  0.0328 -0.1382 -0.3034 -0.4620 -0.6160 -0.7696
  0.4060  0.3738  0.3507  0.3376  0.3343  0.3393  0.3450  0.3334  0.3120  0.2840
  0.2494  0.2061  0.1521  0.0887  0.0207 -0.1514 -0.3181 -0.4771 -0.6303 -0.7821
 -0.9314
  0.3982  0.3539  0.3197  0.2960  0.2830  0.2804  0.2845  0.2773  0.2593  0.2361
  0.2086  0.1753  0.1323  0.0771  0.0127 -0.1590 -0.3271 -0.4874 -0.6409 -0.7916
 -0.9395 -1.0829
  0.4425  0.3780  0.3212  0.2769  0.2468  0.2309  0.2265  0.2220  0.2067  0.1863
  0.1633  0.1373  0.1053  0.0618  0.0050 -0.1629 -0.3321 -0.4938 -0.6482 -0.7985
 -0.9455 -1.0880 -1.2254 -1.3584
  0.4906  0.4317  0.3705  0.3107  0.2571  0.2144  0.1876  0.1747  0.1590  0.1386
  0.1166  0.0939  0.0695  0.0381 -0.0068 -0.1650 -0.3343 -0.4974 -0.6530 -0.8033
 -0.9498 -1.0917 -1.2285 -1.3605 -1.4882 -1.6122 -1.7329 -1.8503 -1.9640 -2.0732
  0.5090  0.4585  0.4048  0.3481  0.2912  0.2382  0.1939  0.1606  0.1339  0.1071
  0.0809  0.0556  0.0310  0.0061 -0.0273 -0.1669 -0.3348 -0.4988 -0.6556 -0.8063
 -0.9526 -1.0942 -1.2307 -1.3622 -1.4890 -1.6119 -1.7312 -1.8472 -1.9599 -2.0690
 -2.1742
  0.5084  0.4634  0.4163  0.3659  0.3125  0.2582  0.2069  0.1628  0.1268  0.0951
  0.0642  0.0340  0.0048 -0.0241 -0.0547 -0.1709 -0.3343 -0.4986 -0.6563 -0.8077
 -0.9539 -1.0954 -1.2319 -1.3633 -1.4898 -1.6119 -1.7302 -1.8450 -1.9565 -2.0649
 -2.1718
  0.4993  0.4562  0.4135  0.3685  0.3202  0.2690  0.2168  0.1671  0.1225  0.0841
