 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F150W
 -1.4701 -1.3910 -1.2800 -1.2165 -1.2154 -1.2236 -1.2010 -1.1656 -1.1513 -1.1639
 -1.1891 -1.2207 -1.2541 -1.2917 -1.3335 -1.4512 -1.5807 -1.7136 -1.8461
 -1.4473 -1.4181 -1.3707 -1.3265 -1.2868 -1.2504 -1.2208 -1.2016 -1.1952 -1.2012
 -1.2185 -1.2454 -1.2791 -1.3177 -1.3597 -1.4749 -1.5994 -1.7287 -1.8591 -1.9896
 -1.4232 -1.4212 -1.4116 -1.3878 -1.3449 -1.2991 -1.2668 -1.2478 -1.2388 -1.2390
 -1.2505 -1.2726 -1.3040 -1.3420 -1.3838 -1.4972 -1.6178 -1.7432 -1.8708 -1.9980
 -2.1241
 -1.3978 -1.4003 -1.4027 -1.4004 -1.3897 -1.3697 -1.3390 -1.3042 -1.2821 -1.2773
 -1.2851 -1.3023 -1.3288 -1.3646 -1.4058 -1.5181 -1.6359 -1.7571 -1.8812 -2.0056
 -2.1289 -2.2508
 -1.3792 -1.3814 -1.3862 -1.3912 -1.3934 -1.3909 -1.3833 -1.3719 -1.3558 -1.3390
 -1.3328 -1.3407 -1.3589 -1.3881 -1.4267 -1.5376 -1.6537 -1.7714 -1.8913 -2.0128
 -2.1338 -2.2533 -2.3711 -2.4873
 -1.3695 -1.3699 -1.3737 -1.3798 -1.3869 -1.3932 -1.3972 -1.3988 -1.3997 -1.3999
 -1.3983 -1.3989 -1.4074 -1.4249 -1.4534 -1.5562 -1.6708 -1.7861 -1.9020 -2.0200
 -2.1386 -2.2562 -2.3719 -2.4860 -2.5983 -2.7092 -2.8187 -2.9274 -3.0348 -3.1380
 -1.3711 -1.3689 -1.3704 -1.3748 -1.3818 -1.3908 -1.4007 -1.4101 -1.4194 -1.4293
 -1.4400 -1.4507 -1.4617 -1.4751 -1.4950 -1.5783 -1.6875 -1.8008 -1.9136 -2.0277
 -2.1434 -2.2591 -2.3732 -2.4855 -2.5959 -2.7045 -2.8118 -2.9176 -3.0225 -3.1265
 -3.2269
 -1.3885 -1.3819 -1.3799 -1.3814 -1.3860 -1.3938 -1.4044 -1.4169 -1.4306 -1.4455
 -1.4618 -1.4795 -1.4984 -1.5176 -1.5377 -1.6086 -1.7061 -1.8154 -1.9259 -2.0365
 -2.1488 -2.2622 -2.3748 -2.4856 -2.5943 -2.7011 -2.8064 -2.9100 -3.0124 -3.1139
 -3.2149
 -1.4240 -1.4125 -1.4055 -1.4028 -1.4036 -1.4081 -1.4162 -1.4277 -1.4422 -1.4589
 -1.4775 -1.4982 -1.5208 -1.5448 -1.5692 -1.6400 -1.7289 -1.8318 -1.9394 -2.0476
 -2.1568 -2.2674 -2.3784 -2.4882 -2.5958 -2.7013 -2.8049 -2.9068 -3.0072 -3.1064
 -3.2049
 -1.4786 -1.4633 -1.4502 -1.4418 -1.4375 -1.4372 -1.4410 -1.4488 -1.4606 -1.4758
 -1.4939 -1.5146 -1.5377 -1.5631 -1.5902 -1.6650 -1.7502 -1.8472 -1.9513 -2.0573
 -2.1638 -2.2714 -2.3800 -2.4883 -2.5950 -2.6994 -2.8017 -2.9019 -3.0003 -3.0973
 -3.1950
