 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
 -3.4923 -3.5672 -3.6280 -3.6576 -3.6568 -3.6379 -3.6098 -3.5798 -3.5611 -3.5657
 -3.5820 -3.6187 -3.6741 -3.7324 -3.7991 -3.9749 -4.1502 -4.3219 -4.4865
 -3.4351 -3.5022 -3.5668 -3.6213 -3.6629 -3.6894 -3.7003 -3.6976 -3.6863 -3.6712
 -3.6593 -3.6624 -3.6939 -3.7511 -3.8187 -3.9948 -4.1688 -4.3394 -4.5037 -4.6613
 -3.3998 -3.4597 -3.5227 -3.5865 -3.6474 -3.6981 -3.7342 -3.7542 -3.7579 -3.7463
 -3.7290 -3.7159 -3.7265 -3.7730 -3.8372 -4.0113 -4.1840 -4.3535 -4.5174 -4.6742
 -4.8243
 -3.3864 -3.4397 -3.4957 -3.5532 -3.6103 -3.6640 -3.7115 -3.7496 -3.7759 -3.7910
 -3.7911 -3.7792 -3.7719 -3.7981 -3.8546 -4.0244 -4.1958 -4.3642 -4.5277 -4.6840
 -4.8334 -4.9767
 -3.3934 -3.4392 -3.4879 -3.5387 -3.5904 -3.6410 -3.6879 -3.7282 -3.7618 -3.7893
 -3.8118 -3.8261 -3.8249 -3.8337 -3.8754 -4.0358 -4.2052 -4.3719 -4.5350 -4.6914
 -4.8405 -4.9832 -5.1201 -5.2522
 -3.4215 -3.4585 -3.4987 -3.5415 -3.5865 -3.6325 -3.6778 -3.7198 -3.7560 -3.7868
 -3.8146 -3.8419 -3.8626 -3.8736 -3.9050 -4.0478 -4.2133 -4.3776 -4.5396 -4.6964
 -4.8458 -4.9884 -5.1248 -5.2560 -5.3825 -5.5052 -5.6245 -5.7405 -5.8534 -5.9631
 -3.4721 -3.4994 -3.5295 -3.5628 -3.5993 -3.6386 -3.6797 -3.7208 -3.7597 -3.7943
 -3.8251 -3.8550 -3.8866 -3.9078 -3.9364 -4.0645 -4.2217 -4.3826 -4.5421 -4.6987
 -4.8491 -4.9921 -5.1285 -5.2592 -5.3850 -5.5065 -5.6243 -5.7388 -5.8502 -5.9588
 -6.0648
 -3.5433 -3.5628 -3.5830 -3.6052 -3.6314 -3.6616 -3.6957 -3.7324 -3.7702 -3.8071
 -3.8414 -3.8738 -3.9067 -3.9384 -3.9660 -4.0862 -4.2331 -4.3883 -4.5440 -4.6987
 -4.8496 -4.9939 -5.1310 -5.2619 -5.3874 -5.5082 -5.6250 -5.7382 -5.8481 -5.9552
 -6.0600
 -3.6287 -3.6444 -3.6582 -3.6708 -3.6859 -3.7051 -3.7297 -3.7590 -3.7921 -3.8273
 -3.8627 -3.8973 -3.9315 -3.9659 -3.9962 -4.1095 -4.2487 -4.3978 -4.5491 -4.7004
 -4.8503 -4.9957 -5.1344 -5.2663 -5.3922 -5.5129 -5.6293 -5.7418 -5.8507 -5.9566
 -6.0599
 -3.7194 -3.7360 -3.7481 -3.7555 -3.7616 -3.7707 -3.7841 -3.8035 -3.8286 -3.8581
 -3.8908 -3.9249 -3.9594 -3.9941 -4.0277 -4.1323 -4.2633 -4.4062 -4.5530 -4.7002
 -4.8470 -4.9918 -5.1317 -5.2652 -5.3921 -5.5134 -5.6299 -5.7420 -5.8503 -5.9552
 -6.0593
 -3.8135 -3.8321 -3.8448 -3.8526 -3.8560 -3.8573 -3.8612 -3.8700 -3.8848 -3.9055
 -3.9315 -3.9614 -3.9937 -4.0272 -4.0612 -4.1584 -4.2802 -4.4159 -4.5579 -4.7014
 -4.8447 -4.9870 -5.1266 -5.2614 -5.3900 -5.5126 -5.6298 -5.7423 -5.8505 -5.9551
 -6.0564
 -3.9109 -3.9327 -3.9444 -3.9558 -3.9598 -3.9595 -3.9580 -3.9580 -3.9628 -3.9733
 -3.9898 -4.0119 -4.0385 -4.0684 -4.0967 -4.1878 -4.2994 -4.4269 -4.5638
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.4740 -3.5067 -3.5315 -3.5484 -3.5581 -3.5636 -3.5679 -3.5733 -3.5796 -3.5859
 -3.5983 -3.6261 -3.6741 -3.7366 -3.8085 -3.9810 -4.1516 -4.3198 -4.4848
 -3.4839 -3.5321 -3.5710 -3.6011 -3.6229 -3.6372 -3.6461 -3.6525 -3.6559 -3.6553
 -3.6554 -3.6672 -3.7029 -3.7608 -3.8280 -4.0017 -4.1717 -4.3381 -4.5016 -4.6591
 -3.4453 -3.5028 -3.5571 -3.6189 -3.6609 -3.6910 -3.7098 -3.7207 -3.7256 -3.7239
 -3.7174 -3.7147 -3.7321 -3.7801 -3.8445 -4.0176 -4.1875 -4.3528 -4.5151 -4.6715
 -4.8217
 -3.3993 -3.4580 -3.5199 -3.5835 -3.6440 -3.6967 -3.7376 -3.7647 -3.7799 -3.7848
 -3.7812 -3.7724 -3.7710 -3.8006 -3.8580 -4.0287 -4.1990 -4.3639 -4.5253 -4.6811
 -4.8304 -4.9738
 -3.3823 -3.4346 -3.4908 -3.5502 -3.6097 -3.6661 -3.7167 -3.7594 -3.7925 -3.8148
 -3.8260 -3.8271 -3.8226 -3.8301 -3.8727 -4.0366 -4.2069 -4.3718 -4.5326 -4.6882
 -4.8373 -4.9800 -5.1171 -5.2494
 -3.3834 -3.4296 -3.4795 -3.5330 -3.5886 -3.6440 -3.6958 -3.7409 -3.7784 -3.8099
 -3.8357 -3.8555 -3.8646 -3.8707 -3.8951 -4.0431 -4.2122 -4.3770 -4.5374 -4.6930
 -4.8422 -4.9848 -5.1214 -5.2528 -5.3796 -5.5025 -5.6221 -5.7384 -5.8515 -5.9610
 -3.3999 -3.4402 -3.4838 -3.5309 -3.5806 -3.6316 -3.6823 -3.7294 -3.7707 -3.8049
 -3.8345 -3.8624 -3.8874 -3.9034 -3.9243 -4.0509 -4.2162 -4.3803 -4.5400 -4.6955
 -4.8453 -4.9883 -5.1248 -5.2557 -5.3818 -5.5036 -5.6217 -5.7365 -5.8481 -5.9567
 -6.0627
