 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F335M
 -3.5667 -3.6563 -3.7348 -3.7809 -3.7894 -3.7704 -3.7376 -3.7063 -3.6918 -3.7064
 -3.7402 -3.7987 -3.8685 -3.9362 -4.0080 -4.1916 -4.3719 -4.5454 -4.7112
 -3.5109 -3.5912 -3.6694 -3.7372 -3.7899 -3.8241 -3.8388 -3.8377 -3.8283 -3.8186
 -3.8189 -3.8414 -3.8915 -3.9586 -4.0308 -4.2134 -4.3922 -4.5647 -4.7298 -4.8880
 -3.4736 -3.5465 -3.6214 -3.6968 -3.7692 -3.8309 -3.8755 -3.9004 -3.9069 -3.8991
 -3.8903 -3.8932 -3.9236 -3.9819 -4.0512 -4.2312 -4.4084 -4.5800 -4.7447 -4.9020
 -5.0525
 -3.4548 -3.5222 -3.5908 -3.6597 -3.7273 -3.7908 -3.8477 -3.8944 -3.9276 -3.9479
 -3.9544 -3.9541 -3.9648 -4.0061 -4.0692 -4.2450 -4.4205 -4.5913 -4.7558 -4.9128
 -5.0626 -5.2062
 -3.4510 -3.5131 -3.5762 -3.6398 -3.7032 -3.7644 -3.8208 -3.8696 -3.9115 -3.9472
 -3.9775 -4.0007 -4.0136 -4.0385 -4.0891 -4.2565 -4.4295 -4.5990 -4.7637 -4.9210
 -5.0706 -5.2135 -5.3506 -5.4826
 -3.4628 -3.5186 -3.5755 -3.6333 -3.6920 -3.7505 -3.8070 -3.8589 -3.9042 -3.9437
 -3.9806 -4.0173 -4.0490 -4.0750 -4.1164 -4.2680 -4.4368 -4.6040 -4.7682 -4.9264
 -5.0766 -5.2195 -5.3560 -5.4872 -5.6136 -5.7359 -5.8548 -5.9705 -6.0831 -6.1928
 -3.4937 -3.5414 -3.5905 -3.6412 -3.6937 -3.7476 -3.8021 -3.8551 -3.9047 -3.9494
 -3.9900 -4.0296 -4.0707 -4.1051 -4.1447 -4.2835 -4.4442 -4.6077 -4.7699 -4.9287
 -5.0802 -5.2239 -5.3605 -5.4914 -5.6170 -5.7382 -5.8556 -5.9696 -6.0805 -6.1888
 -6.2947
 -3.5455 -3.5850 -3.6252 -3.6669 -3.7114 -3.7586 -3.8082 -3.8589 -3.9093 -3.9577
 -4.0030 -4.0460 -4.0889 -4.1310 -4.1702 -4.3025 -4.4540 -4.6118 -4.7703 -4.9279
 -5.0808 -5.2261 -5.3637 -5.4948 -5.6204 -5.7410 -5.8574 -5.9701 -6.0795 -6.1860
 -6.2903
 -3.6143 -3.6486 -3.6814 -3.7141 -3.7493 -3.7878 -3.8301 -3.8753 -3.9228 -3.9710
 -4.0185 -4.0648 -4.1100 -4.1548 -4.1962 -4.3230 -4.4676 -4.6197 -4.7735 -4.9280
 -5.0807 -5.2280 -5.3676 -5.4999 -5.6259 -5.7467 -5.8629 -5.9750 -6.0834 -6.1886
 -6.2912
 -3.6911 -3.7249 -3.7541 -3.7805 -3.8070 -3.8366 -3.8699 -3.9074 -3.9486 -3.9927
 -4.0385 -4.0850 -4.1314 -4.1775 -4.2221 -4.3431 -4.4804 -4.6264 -4.7757 -4.9258
 -5.0758 -5.2233 -5.3650 -5.4993 -5.6266 -5.7481 -5.8645 -5.9765 -6.0844 -6.1888
 -6.2921
 -3.7737 -3.8080 -3.8366 -3.8613 -3.8834 -3.9053 -3.9302 -3.9589 -3.9918 -4.0289
 -4.0693 -4.1125 -4.1572 -4.2027 -4.2482 -4.3659 -4.4960 -4.6350 -4.7793 -4.9253
 -5.0716 -5.2170 -5.3590 -5.4955 -5.6250 -5.7479 -5.8653 -5.9778 -6.0859 -6.1902
 -6.2911
 -3.8622 -3.8979 -3.9235 -3.9501 -3.9712 -3.9900 -4.0088 -4.0296 -4.0542 -4.0827
 -4.1154 -4.1520 -4.1918 -4.2340 -4.2745 -4.3914 -4.5144 -4.6455 -4.7843
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F335M
 -3.5519 -3.5975 -3.6339 -3.6604 -3.6778 -3.6894 -3.6986 -3.7075 -3.7161 -3.7289
 -3.7549 -3.8007 -3.8637 -3.9347 -4.0107 -4.1908 -4.3692 -4.5430 -4.7094
 -3.5617 -3.6243 -3.6775 -3.7201 -3.7519 -3.7737 -3.7885 -3.7979 -3.8023 -3.8050
 -3.8148 -3.8433 -3.8956 -3.9629 -4.0346 -4.2147 -4.3913 -4.5628 -4.7277 -4.8856
 -3.5232 -3.5944 -3.6629 -3.7382 -3.7926 -3.8322 -3.8580 -3.8733 -3.8800 -3.8801
 -3.8795 -3.8900 -3.9249 -3.9846 -4.0542 -4.2333 -4.4087 -4.5786 -4.7424 -4.8994
 -5.0499
 -3.4767 -3.5486 -3.6235 -3.7000 -3.7727 -3.8362 -3.8861 -3.9199 -3.9390 -3.9465
 -3.9465 -3.9465 -3.9609 -4.0050 -4.0695 -4.2466 -4.4214 -4.5904 -4.7535 -4.9099
 -5.0597 -5.2032
 -3.4574 -3.5238 -3.5928 -3.6641 -3.7345 -3.8008 -3.8602 -3.9106 -3.9504 -3.9782
 -3.9942 -4.0018 -4.0087 -4.0318 -4.0844 -4.2561 -4.4303 -4.5987 -4.7614 -4.9178
 -5.0673 -5.2103 -5.3474 -5.4796
 -3.4520 -3.5138 -3.5776 -3.6432 -3.7094 -3.7744 -3.8347 -3.8873 -3.9315 -3.9698
 -4.0031 -4.0307 -4.0494 -4.0684 -4.1048 -4.2635 -4.4361 -4.6040 -4.7664 -4.9231
 -5.0729 -5.2159 -5.3526 -5.4839 -5.6106 -5.7332 -5.8524 -5.9684 -6.0812 -6.1907
 -3.4555 -3.5144 -3.5737 -3.6344 -3.6960 -3.7576 -3.8177 -3.8733 -3.9221 -3.9631
 -3.9996 -4.0357 -4.0704 -4.0984 -4.1313 -4.2712 -4.4403 -4.6069 -4.7687 -4.9257
 -5.0765 -5.2200 -5.3568 -5.4878 -5.6137 -5.7352 -5.8529 -5.9672 -6.0784 -6.1867
 -6.2925
 -3.4730 -3.5259 -3.5803 -3.6358 -3.6923 -3.7496 -3.8071 -3.8632 -3.9159 -3.9630
 -4.0042 -4.0423 -4.0814 -4.1192 -4.1549 -4.2843 -4.4443 -4.6087 -4.7691 -4.9256
 -5.0773 -5.2222 -5.3598 -5.4910 -5.6167 -5.7376 -5.8544 -5.9674 -6.0771 -6.1839
 -6.2882
 -3.5088 -3.5530 -3.6009 -3.6502 -3.7009 -3.7527 -3.8058 -3.8594 -3.9125 -3.9635
 -4.0106 -4.0538 -4.0952 -4.1369 -4.1764 -4.3025 -4.4532 -4.6128 -4.7710 -4.9260
 -5.0778 -5.2242 -5.3635 -5.4958 -5.6220 -5.7430 -5.8595 -5.9719 -6.0807 -6.1863
 -6.2891
 -3.5602 -3.5990 -3.6394 -3.6812 -3.7244 -3.7694 -3.8162 -3.8648 -3.9150 -3.9658
 -4.0156 -4.0635 -4.1090 -4.1533 -4.1963 -4.3184 -4.4630 -4.6161 -4.7708 -4.9232
 -5.0732 -5.2199 -5.3610 -5.4951 -5.6225 -5.7442 -5.8608 -5.9731 -6.0814 -6.1862
 -6.2898
 -3.6233 -3.6619 -3.6966 -3.7314 -3.7671 -3.8043 -3.8437 -3.8854 -3.9300 -3.9769
 -4.0254 -4.0743 -4.1226 -4.1697 -4.2156 -4.3353 -4.4741 -4.6218 -4.7721 -4.9214
 -5.0687 -5.2138 -5.3554 -5.4915 -5.6208 -5.7439 -5.8615 -5.9742 -6.0827 -6.1873
 -6.2885
