 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -0.7671 -0.7313 -0.7467 -0.7452 -0.7125 -0.6842 -0.6917 -0.7157 -0.7188 -0.6879
 -0.6394 -0.5767 -0.5104 -0.4493 -0.3923 -0.2821 -0.2217 -0.2001 -0.1960
 -0.7509 -0.6771 -0.6405 -0.6194 -0.6102 -0.6113 -0.6178 -0.6233 -0.6221 -0.6111
 -0.5883 -0.5518 -0.5027 -0.4482 -0.3967 -0.2973 -0.2424 -0.2239 -0.2253 -0.2413
 -0.7389 -0.6489 -0.5854 -0.5488 -0.5401 -0.5456 -0.5500 -0.5513 -0.5516 -0.5504
 -0.5417 -0.5230 -0.4903 -0.4458 -0.4005 -0.3109 -0.2605 -0.2442 -0.2489 -0.2649
 -0.2881
 -0.7311 -0.6467 -0.5814 -0.5334 -0.5022 -0.4871 -0.4883 -0.4997 -0.5073 -0.5058
 -0.4996 -0.4903 -0.4732 -0.4421 -0.4037 -0.3229 -0.2760 -0.2610 -0.2667 -0.2827
 -0.3048 -0.3319
 -0.7048 -0.6332 -0.5751 -0.5285 -0.4928 -0.4677 -0.4528 -0.4469 -0.4493 -0.4558
 -0.4573 -0.4526 -0.4459 -0.4300 -0.4019 -0.3308 -0.2869 -0.2730 -0.2804 -0.2975
 -0.3197 -0.3458 -0.3754 -0.4086
 -0.6528 -0.5977 -0.5521 -0.5135 -0.4809 -0.4544 -0.4344 -0.4207 -0.4121 -0.4075
 -0.4060 -0.4046 -0.4019 -0.3984 -0.3856 -0.3322 -0.2921 -0.2788 -0.2884 -0.3083
 -0.3321 -0.3587 -0.3878 -0.4196 -0.4541 -0.4915 -0.5325 -0.5791 -0.6318 -0.6863
 -0.5763 -0.5383 -0.5072 -0.4803 -0.4559 -0.4339 -0.4149 -0.3991 -0.3870 -0.3776
 -0.3699 -0.3633 -0.3574 -0.3551 -0.3505 -0.3217 -0.2904 -0.2783 -0.2892 -0.3130
 -0.3406 -0.3693 -0.3995 -0.4311 -0.4645 -0.4998 -0.5379 -0.5790 -0.6257 -0.6792
 -0.7352
 -0.4827 -0.4590 -0.4412 -0.4269 -0.4134 -0.3999 -0.3861 -0.3729 -0.3612 -0.3513
 -0.3424 -0.3341 -0.3260 -0.3191 -0.3152 -0.2976 -0.2800 -0.2717 -0.2833 -0.3102
 -0.3426 -0.3756 -0.4085 -0.4416 -0.4754 -0.5101 -0.5463 -0.5848 -0.6263 -0.6728
 -0.7272
 -0.3789 -0.3671 -0.3599 -0.3559 -0.3529 -0.3490 -0.3435 -0.3364 -0.3288 -0.3213
 -0.3141 -0.3071 -0.2998 -0.2925 -0.2873 -0.2721 -0.2620 -0.2599 -0.2725 -0.3009
 -0.3377 -0.3760 -0.4135 -0.4499 -0.4857 -0.5214 -0.5575 -0.5945 -0.6332 -0.6750
 -0.7220
 -0.2723 -0.2693 -0.2701 -0.2734 -0.2785 -0.2832 -0.2865 -0.2874 -0.2863 -0.2838
 -0.2805 -0.2768 -0.2725 -0.2677 -0.2632 -0.2509 -0.2433 -0.2454 -0.2591 -0.2870
 -0.3255 -0.3681 -0.4109 -0.4521 -0.4916 -0.5298 -0.5674 -0.6048 -0.6425 -0.6816
 -0.7231
 -0.1646 -0.1684 -0.1755 -0.1844 -0.1948 -0.2061 -0.2166 -0.2254 -0.2319 -0.2362
 -0.2387 -0.2400 -0.2402 -0.2394 -0.2380 -0.2322 -0.2265 -0.2306 -0.2457 -0.2726
 -0.3103 -0.3545 -0.4011 -0.4474 -0.4918 -0.5341 -0.5747 -0.6141 -0.6527 -0.6914
 -0.7311
 -0.0557 -0.0644 -0.0794 -0.0918 -0.1065 -0.1221 -0.1377 -0.1527 -0.1662 -0.1778
 -0.1873 -0.1949 -0.2008 -0.2054 -0.2117 -0.2160 -0.2116 -0.2155 -0.2323
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  i   
 -1.0362 -0.9627 -0.9083 -0.8681 -0.8386 -0.8140 -0.7886 -0.7584 -0.7232 -0.6830
 -0.6354 -0.5799 -0.5190 -0.4589 -0.3998 -0.2909 -0.2238 -0.1969 -0.1972
 -0.9084 -0.8250 -0.7669 -0.7286 -0.7044 -0.6891 -0.6777 -0.6643 -0.6475 -0.6259
 -0.5968 -0.5580 -0.5096 -0.4573 -0.4077 -0.3084 -0.2468 -0.2208 -0.2212 -0.2368
 -0.8430 -0.7371 -0.6677 -0.6331 -0.6087 -0.5962 -0.5907 -0.5867 -0.5814 -0.5727
 -0.5585 -0.5358 -0.5016 -0.4581 -0.4139 -0.3235 -0.2666 -0.2414 -0.2416 -0.2563
 -0.2793
 -0.8226 -0.7017 -0.6188 -0.5688 -0.5429 -0.5322 -0.5298 -0.5296 -0.5276 -0.5242
 -0.5181 -0.5074 -0.4883 -0.4565 -0.4184 -0.3362 -0.2832 -0.2587 -0.2584 -0.2729
 -0.2950 -0.3224
 -0.8232 -0.7082 -0.6170 -0.5528 -0.5115 -0.4877 -0.4768 -0.4751 -0.4792 -0.4844
 -0.4822 -0.4759 -0.4657 -0.4477 -0.4182 -0.3445 -0.2952 -0.2718 -0.2715 -0.2864
 -0.3087 -0.3354 -0.3657 -0.3997
 -0.8130 -0.7057 -0.6187 -0.5503 -0.4984 -0.4614 -0.4374 -0.4242 -0.4203 -0.4252
 -0.4332 -0.4366 -0.4352 -0.4274 -0.4099 -0.3475 -0.3020 -0.2799 -0.2801 -0.2963
 -0.3201 -0.3473 -0.3772 -0.4098 -0.4453 -0.4838 -0.5260 -0.5735 -0.6266 -0.6810
 -0.7807 -0.6868 -0.6087 -0.5459 -0.4956 -0.4562 -0.4267 -0.4059 -0.3926 -0.3847
 -0.3813 -0.3824 -0.3851 -0.3873 -0.3841 -0.3439 -0.3031 -0.2826 -0.2832 -0.3011
 -0.3276 -0.3571 -0.3880 -0.4205 -0.4548 -0.4913 -0.5305 -0.5728 -0.6203 -0.6740
 -0.7300
 -0.7245 -0.6460 -0.5801 -0.5262 -0.4822 -0.4460 -0.4162 -0.3926 -0.3748 -0.3620
