 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F150W
  0.5644  0.6450  0.7573  0.8201  0.8200  0.8105  0.8328  0.8682  0.8825  0.8692
  0.8435  0.8123  0.7783  0.7406  0.6986  0.5801  0.4506  0.3171  0.1840
  0.5865  0.6160  0.6638  0.7081  0.7478  0.7840  0.8134  0.8323  0.8385  0.8321
  0.8145  0.7874  0.7534  0.7146  0.6724  0.5567  0.4319  0.3022  0.1715  0.0408
  0.6101  0.6118  0.6213  0.6454  0.6887  0.7348  0.7671  0.7859  0.7947  0.7943
  0.7826  0.7601  0.7285  0.6903  0.6483  0.5345  0.4135  0.2878  0.1600  0.0325
 -0.0939
  0.6352  0.6324  0.6298  0.6320  0.6427  0.6629  0.6939  0.7290  0.7511  0.7558
  0.7478  0.7304  0.7036  0.6677  0.6263  0.5135  0.3954  0.2739  0.1496  0.0249
 -0.0986 -0.2207
  0.6534  0.6509  0.6460  0.6408  0.6385  0.6410  0.6487  0.6603  0.6766  0.6936
  0.6998  0.6918  0.6735  0.6441  0.6053  0.4940  0.3776  0.2597  0.1395  0.0177
 -0.1035 -0.2232 -0.3411 -0.4576
  0.6626  0.6620  0.6581  0.6519  0.6447  0.6383  0.6344  0.6328  0.6320  0.6319
  0.6337  0.6332  0.6247  0.6071  0.5785  0.4754  0.3604  0.2449  0.1288  0.0106
 -0.1082 -0.2260 -0.3420 -0.4562 -0.5687 -0.6797 -0.7894 -0.8982 -1.0057 -1.1089
  0.6601  0.6623  0.6609  0.6564  0.6494  0.6404  0.6305  0.6211  0.6119  0.6021
  0.5915  0.5809  0.5700  0.5566  0.5366  0.4532  0.3437  0.2301  0.1171  0.0028
 -0.1131 -0.2289 -0.3432 -0.4557 -0.5662 -0.6750 -0.7824 -0.8883 -0.9934 -1.0975
 -1.1979
  0.6417  0.6485  0.6507  0.6493  0.6447  0.6369  0.6264  0.6140  0.6004  0.5856
  0.5694  0.5517  0.5329  0.5137  0.4937  0.4227  0.3250  0.2155  0.1048 -0.0060
 -0.1184 -0.2320 -0.3447 -0.4557 -0.5646 -0.6716 -0.7770 -0.8808 -0.9832 -1.0849
 -1.1859
  0.6053  0.6170  0.6242  0.6271  0.6264  0.6221  0.6141  0.6027  0.5884  0.5718
  0.5533  0.5327  0.5102  0.4863  0.4618  0.3911  0.3020  0.1990  0.0911 -0.0172
 -0.1264 -0.2372 -0.3484 -0.4583 -0.5661 -0.6717 -0.7755 -0.8775 -0.9780 -1.0774
 -1.1760
  0.5498  0.5653  0.5788  0.5873  0.5919  0.5925  0.5888  0.5812  0.5696  0.5545
  0.5366  0.5160  0.4930  0.4676  0.4407  0.3658  0.2806  0.1835  0.0792 -0.0269
 -0.1335 -0.2412 -0.3499 -0.4584 -0.5652 -0.6698 -0.7722 -0.8725 -0.9711 -1.0682
 -1.1661
  0.4751  0.4959  0.5139  0.5286  0.5395  0.5458  0.5477  0.5454  0.5387  0.5278
  0.5131  0.4949  0.4738  0.4497  0.4230  0.3470  0.2611  0.1685  0.0680 -0.0360
 -0.1410 -0.2464 -0.3524 -0.4588 -0.5645 -0.6684 -0.7700 -0.8692 -0.9662 -1.0615
 -1.1555
  0.3811  0.4088  0.4335  0.4525  0.4689  0.4812  0.4893  0.4932  0.4927  0.4877
  0.4784  0.4649  0.4477  0.4271  0.4087  0.3347  0.2435  0.1540  0.0575
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F150W
  0.6417  0.7013  0.7578  0.8077  0.8472  0.8748  0.8898  0.8921  0.8832  0.8652
  0.8398  0.8088  0.7739  0.7356  0.6931  0.5782  0.4523  0.3197  0.1851
  0.6008  0.6488  0.7001  0.7491  0.7913  0.8235  0.8439  0.8525  0.8498  0.8370
  0.8153  0.7861  0.7514  0.7129  0.6712  0.5569  0.4335  0.3047  0.1738  0.0431
  0.5950  0.6124  0.6468  0.6967  0.7361  0.7693  0.7940  0.8085  0.8125  0.8062
  0.7902  0.7651  0.7323  0.6940  0.6522  0.5383  0.4168  0.2911  0.1634  0.0358
 -0.0907
  0.6125  0.6072  0.6198  0.6471  0.6818  0.7170  0.7469  0.7668  0.7746  0.7728
  0.7622  0.7426  0.7141  0.6776  0.6361  0.5224  0.4022  0.2789  0.1539  0.0289
 -0.0949 -0.2172
  0.6387  0.6363  0.6320  0.6365  0.6492  0.6669  0.6869  0.7068  0.7248  0.7366
  0.7325  0.7174  0.6938  0.6618  0.6219  0.5087  0.3892  0.2678  0.1453  0.0226
 -0.0991 -0.2192 -0.3375 -0.4544
  0.6600  0.6577  0.6514  0.6432  0.6359  0.6326  0.6339  0.6392  0.6484  0.6637
  0.6779  0.6790  0.6664  0.6421  0.6073  0.4966  0.3775  0.2573  0.1370  0.0167
 -0.1031 -0.2214 -0.3379 -0.4525 -0.5654 -0.6769 -0.7869 -0.8959 -1.0034 -1.1065
  0.6771  0.6753  0.6695  0.6601  0.6488  0.6376  0.6281  0.6214  0.6164  0.6124
  0.6110  0.6133  0.6128  0.6030  0.5818  0.4848  0.3668  0.2473  0.1286  0.0106
 -0.1070 -0.2237 -0.3386 -0.4515 -0.5625 -0.6718 -0.7796 -0.8858 -0.9911 -1.0952
 -1.1954
  0.6870  0.6867  0.6821  0.6737  0.6624  0.6489  0.6342  0.6197  0.6059  0.5927
  0.5796  0.5671  0.5569  0.5478  0.5353  0.4657  0.3561  0.2377  0.1201  0.0041
 -0.1113 -0.2262 -0.3396 -0.4511 -0.5605 -0.6679 -0.7738 -0.8780 -0.9807 -1.0825
 -1.1836
  0.6849  0.6892  0.6865  0.6798  0.6700  0.6571  0.6416  0.6241  0.6053  0.5858
  0.5662  0.5461  0.5261  0.5071  0.4897  0.4320  0.3394  0.2264  0.1102 -0.0045
 -0.1177 -0.2306 -0.3427 -0.4533 -0.5615 -0.6676 -0.7719 -0.8744 -0.9753 -1.0749
 -1.1737
  0.6674  0.6755  0.6771  0.6738  0.6668  0.6565  0.6429  0.6261  0.6064  0.5844
  0.5609  0.5365  0.5114  0.4862  0.4614  0.3984  0.3167  0.2140  0.1016 -0.0115
 -0.1230 -0.2335 -0.3437 -0.4529 -0.5603 -0.6654 -0.7682 -0.8690 -0.9680 -1.0656
 -1.1637
  0.6318  0.6432  0.6500  0.6518  0.6492  0.6427  0.6327  0.6189  0.6014  0.5805
  0.5566  0.5306  0.5031  0.4747  0.4459  0.3732  0.2932  0.1985  0.0920 -0.0185
 -0.1286 -0.2373 -0.3453 -0.4528 -0.5592 -0.6636 -0.7657 -0.8654 -0.9629 -1.0586
 -1.1529
  0.5777  0.5928  0.6037  0.6108  0.6138  0.6128  0.6076  0.5984  0.5851  0.5678
  0.5466  0.5220  0.4949  0.4658  0.4432  0.3564  0.2689  0.1799  0.0814
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F150W
  0.7274  0.7862  0.8391  0.8834  0.9150  0.9322  0.9340  0.9210  0.8979  0.8685
  0.8352  0.7997  0.7630  0.7247  0.6842  0.5731  0.4513  0.3219  0.1883
  0.6777  0.7353  0.7896  0.8366  0.8726  0.8945  0.9012  0.8934  0.8751  0.8494
  0.8182  0.7831  0.7457  0.7065  0.6652  0.5534  0.4331  0.3070  0.1775  0.0471
  0.6334  0.6836  0.7353  0.7830  0.8220  0.8492  0.8625  0.8617  0.8498  0.8293
  0.8021  0.7693  0.7325  0.6929  0.6511  0.5383  0.4183  0.2943  0.1678  0.0406
 -0.0860
  0.6212  0.6473  0.6823  0.7285  0.7688  0.7997  0.8186  0.8250  0.8199  0.8057
  0.7838  0.7552  0.7209  0.6822  0.6403  0.5269  0.4068  0.2839  0.1594  0.0346
 -0.0894 -0.2121
  0.6344  0.6382  0.6523  0.6746  0.7029  0.7355  0.7673  0.7840  0.7866  0.7784
  0.7620  0.7384  0.7084  0.6724  0.6314  0.5181  0.3979  0.2756  0.1525  0.0294
 -0.0927 -0.2133 -0.3321 -0.4495
  0.6566  0.6566  0.6546  0.6545  0.6595  0.6689  0.6843  0.7059  0.7262  0.7374
  0.7341  0.7178  0.6927  0.6611  0.6230  0.5110  0.3907  0.2688  0.1467  0.0250
 -0.0956 -0.2147 -0.3317 -0.4469 -0.5605 -0.6725 -0.7830 -0.8923 -0.9997 -1.1026
  0.6758  0.6756  0.6709  0.6635  0.6562  0.6512  0.6492  0.6494  0.6508  0.6559
  0.6660  0.6716  0.6642  0.6433  0.6119  0.5047  0.3847  0.2629  0.1414  0.0210
 -0.0982 -0.2159 -0.3316 -0.4452 -0.5569 -0.6668 -0.7751 -0.8819 -0.9874 -1.0913
